,Foggia,,
,Capitaneria di Porto,,
Parm,SO2,NO2,PM10
,,,,
,,,,,
,,,,
,,,,
,,,,
12/01/2010 4.00,"5,12381584","22,3545304","21,60000038"
12/01/2010 5.00,"5,23037405","17,57188419","21,60000038"
12/01/2010 6.00,"5,02267621","15,26037562","21,60000038"
12/01/2010 7.00,"5,33512607","24,19620704","21,60000038"
12/01/2010 8.00,"5,57352714","51,28800424","21,60000038"
12/01/2010 9.00,"5,38208401","53,2179388","21,60000038"
12/01/2010 10.00,"5,9040379","60,59504664","21,60000038"
12/01/2010 11.00,"5,55907862","55,66571944","21,60000038"
12/01/2010 12.00,"5,28275057","40,4300048","21,60000038"
12/01/2010 13.00,"5,19064088","34,54804272","21,60000038"
12/01/2010 14.00,"5,34415703","37,80958968","21,60000038"
12/01/2010 15.00,"5,19786463","35,28005192","21,60000038"
12/01/2010 16.00,"4,95765736","29,39548952","21,60000038"
12/01/2010 17.00,"5,06240938","31,5486692","21,60000038"
12/01/2010 18.00,"5,38027781","37,11652792","21,60000038"
12/01/2010 19.00,"5,24482257","44,10167576","21,60000038"
12/01/2010 20.00,"5,25385251","39,03868064","21,60000038"
12/01/2010 21.00,"5,39653253","47,21787248","21,60000038"
12/01/2010 22.00,"5,65480069","59,6073648","21,60000038"
12/01/2010 23.00,"5,43807189","56,23547632","21,60000038"
13/01/2010 0.00,"5,42362337","47,76038336","21,60000038"
13/01/2010 1.00,"5,3459622","44,04068296","28,10000038"
13/01/2010 2.00,"5,46877512","37,4176488","28,10000038"
13/01/2010 3.00,"5,23940501","22,78543784","28,10000038"
13/01/2010 4.00,"5,2032832","20,41291352","28,10000038"
13/01/2010 5.00,"5,26107728","17,8820756","28,10000038"
13/01/2010 6.00,"5,14910151","17,41224749","28,10000038"
13/01/2010 7.00,"5,56449719","26,58041368","28,10000038"
13/01/2010 8.00,"6,03949315","44,11077688","28,10000038"
13/01/2010 9.00,"6,77636863","60,37180152","28,10000038"
13/01/2010 10.00,"6,81971419","58,7650332","28,10000038"
13/01/2010 11.00,"6,66981042","63,41790432","28,10000038"
13/01/2010 12.00,"5,77761361","59,72936952","28,10000038"
13/01/2010 13.00,"5,39292014","53,68257392","28,10000038"
13/01/2010 14.00,"5,16174384","40,31580104","28,10000038"
13/01/2010 15.00,"5,29539289","42,13281288","28,10000038"
13/01/2010 16.00,"5,10033738","27,32408608","28,10000038"
13/01/2010 17.00,"5,18883468","26,48047344","28,10000038"
13/01/2010 18.00,"5,24301638","39,97703288","28,10000038"
13/01/2010 19.00,"5,32790231","59,59956384","28,10000038"
13/01/2010 20.00,"5,61326133","73,45825608","28,10000038"
13/01/2010 21.00,"5,70717619","75,5270592","28,10000038"
13/01/2010 22.00,"5,92571017","80,40315632","28,10000038"
13/01/2010 23.00,"5,34776839","57,30363424","28,10000038"
14/01/2010 0.00,"5,31887135","42,61043048","28,10000038"
14/01/2010 1.00,,"34,78555136","29,39999962"
14/01/2010 2.00,"5,28094437",,"29,39999962"
14/01/2010 3.00,"5,27010824","21,22667984","29,39999962"
14/01/2010 4.00,"5,26288347","20,23511664","29,39999962"
14/01/2010 5.00,"5,08047028","15,58744042","29,39999962"
14/01/2010 6.00,"5,15451907","12,78663384","29,39999962"
14/01/2010 7.00,"5,15632526","22,35583056","29,39999962"
14/01/2010 8.00,"5,4182048","39,65128544","29,39999962"
14/01/2010 9.00,"5,51573306","47,29834856","29,39999962"
14/01/2010 10.00,"6,92266001","76,16691","29,39999962"
14/01/2010 11.00,"5,80289827","64,4782804","29,39999962"
