, Brindisi,,,,,
,Via Taranto,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,,
07/01/2007 10.00,"3,91513473","55,3535472","37,59416464","0,58639206","38,07982185","0,9955413"
07/01/2007 11.00,"3,06365962","52,33939392","33,2203308","0,54033899","47,1496704","2,492667"
07/01/2007 12.00,"1,67528478","49,93998688","27,36303352","0,44658597","56,787276","2,0375595"
07/01/2007 13.00,"1,6815434","54,35230928","30,52075888","0,4360144","63,63301875","1,751274"
07/01/2007 14.00,"0,84059016","52,23823","26,15858824","0,38556498","69,0328254","1,3459995"
07/01/2007 15.00,"0,62334473","42,0284368","18,15722196","0,31549082","73,382484","0,20090835"
07/01/2007 16.00,"1,05847123","54,69989176","30,49349376","0,37828016","66,52764405","0,5361624"
07/01/2007 17.00,"0,88322382","65,8240416","46,8804236","0,43127466","48,7067679","0,73798605"
07/01/2007 18.00,"2,72132826","171,46391536","89,43894328","0,90866662","25,60632375","2,8552275"
07/01/2007 19.00,"4,92462317","301,2648536","115,09262968","1,61675144","15,13599717","1,7751735"
07/01/2007 20.00,"5,17035071","229,8468736","109,08870112","1,16377301","15,50586618","3,130326"
07/01/2007 21.00,"4,11151743","222,9510544","108,573398","1,17866734","17,07624839","5,486715"
07/01/2007 22.00,"1,15634426","56,74393448","46,16269704","0,47747022","45,97714905","2,685897"
07/01/2007 23.00,"0,84730236","35,3451364","32,76347752","0,45802886","49,9820916","0,9205884"
08/01/2007 0.00,"0,56656155","62,79560568","47,36972352","0,62097654","37,56802455","0,69527205"
08/01/2007 1.00,,"62,50507728","52,05504128","0,65698014","30,99705315","0,93996225"
08/01/2007 2.00,"0,95405279",,,"0,71050374","28,9274601","1,253961"
08/01/2007 3.00,"0,24900126","39,50972096","35,5525884",,"29,63083725","1,325151"
08/01/2007 4.00,"0,50089589","30,1131396","27,09435928","0,65436499",,"1,27109745"
08/01/2007 5.00,"0,02405002","27,78896976","25,10343192","0,56052554","28,24626735","1,926198"
08/01/2007 6.00,"0,00126617","43,36563224","34,50651408","0,51808859","25,5095064","2,162142"
08/01/2007 7.00,0,"104,41034304","64,3095464","0,70998515","15,78182655","1,64754"
08/01/2007 8.00,"0,16084669","248,0020784","86,530428","1,10289568","12,30477696","1,7741565"
08/01/2007 9.00,"1,04889719","284,436768","88,82765776","1,47381978","12,47399087","2,7636975"
08/01/2007 10.00,"0,72593663","176,12525664","84,8003548","1,01152421","22,50190425","2,507922"
08/01/2007 11.00,"3,42281622","118,63164608","67,17655216","0,70118077","29,1939921","3,973419"
08/01/2007 12.00,"1,56009936","85,89342608","52,186128","0,65863286","41,788068","2,5104645"
08/01/2007 13.00,"0,55062312","74,7614944","48,55338536","0,61206821","47,0971221","1,5961815"
08/01/2007 14.00,"0,54727821","77,87424952","51,32175104","0,5826568","47,6723205","1,19482245"
08/01/2007 15.00,"0,69546731","78,03114824","53,94214704","0,45367573","45,5428176","1,619064"
08/01/2007 16.00,"0,97801229","94,22389536","66,37834952","0,52006952","34,4627871","0,60689475"
08/01/2007 17.00,"0,39890808","108,44131704","75,4686476","0,6608509","25,84588335","0,9208935"
08/01/2007 18.00,"0,23507752","144,93558456","87,61154928","0,97387139","20,8500243","0,32345685"
08/01/2007 19.00,"0,46057082","176,83080376","95,4545924","1,22087419","16,60605881","1,4985495"
08/01/2007 20.00,"0,61201433","155,50204224","90,14890712","1,06017958","18,19993812","3,0932055"
08/01/2007 21.00,"0,6754853","125,37722032","77,20262128","0,88354645","19,9616508","4,356828"
08/01/2007 22.00,"0,02052408","98,86575336","61,52431688","0,76929152","22,60628265","1,3215915"
08/01/2007 23.00,"0,01012627","55,21869384","43,34242056","0,5465948","36,0184482","1,4893965"
09/01/2007 0.00,"0,04565923","56,22773272","43,55008288","0,79389077","26,0853831","1,155312"
09/01/2007 1.00,"0,18779108","41,0232984","34,49873224","0,74548534","27,10065855","1,852974"
09/01/2007 2.00,"0,00379748","44,73913656","39,47867008","0,8540089","23,18419425","1,3500675"
09/01/2007 3.00,"0,00253131","35,41775416","31,636908","0,77958277","31,26071235",
09/01/2007 4.00,"0,40749766","38,97149296","31,94841104","0,63700384","29,9690895","0,92063925"
09/01/2007 5.00,"0,42241604","30,97434264","26,00545616","0,66875709","30,29114235","0,87680655"
09/01/2007 6.00,"0,29031994","37,08828768","32,71544808","0,57876736","32,7249426","1,2422655"
09/01/2007 7.00,"0,96435906","89,0450904","55,14787336","0,92751581","17,63429976","1,2076875"
09/01/2007 8.00,"1,0155345","196,4562792","77,23116744","1,0975404","12,54358046","1,828566"
09/01/2007 9.00,"1,34183895","178,35602528","83,04563592","1,15893398","16,96154187","2,780478"
09/01/2007 10.00,"0,25080949","146,123644","69,97216384","0,74519334","23,18419425","1,8412785"
09/01/2007 11.00,"0,88804949","65,16648568","40,83752848","0,47975834","54,3787524","3,583908"
09/01/2007 12.00,"1,68324382","56,65183344","32,57267904","0,4096211","59,38690065","1,1118861"
09/01/2007 13.00,"1,37339443","89,14883552","48,0134748","0,47789888","50,9405694","0,5233482"
09/01/2007 14.00,"0,86870106","143,25470712","79,63611928","0,68317605","40,4445951","2,0426445"
09/01/2007 15.00,"0,07215107","112,2505564","69,9669632","0,41731939","46,8910785","1,391256"
09/01/2007 16.00,"0,73940883","79,45396304","52,1432992","0,45687371","55,0658304","0,73513845"
09/01/2007 17.00,"0,00189874","96,18620008","71,85536912","0,52538275","53,16900435","0,3761883"
09/01/2007 18.00,"0,00759496","138,29121248","96,83293408","0,90254046","24,8906574","1,7192385"
09/01/2007 19.00,"0,24872972","147,02241784","101,96730416","1,15339299","18,47422269","1,2331125"
09/01/2007 20.00,"0,53905068","173,10718376","104,0373692","1,19717314","16,72750842","2,1463785"
09/01/2007 21.00,"0,53018956","299,2817272","98,1943928","1,52640781","11,12369906","2,1423105"
09/01/2007 22.00,"0,03453834","262,389496","100,32938936","1,16744987","10,92173723","2,048238"
09/01/2007 23.00,"0,8904913","257,2068288","88,25140008","1,21485082","10,90876773","1,6856775"
10/01/2007 0.00,"0,18607235","93,42496616","57,09469088","0,73435781","23,5246809","1,646523"
10/01/2007 1.00,,"40,73537032","35,97959536","0,59608763","32,5625496","1,01054205"
10/01/2007 2.00,"0,4240473",,,"0,56433322","30,88613115","0,8764506"
10/01/2007 3.00,"0,00334491","30,81998688","27,92630872",,"33,1725408","1,02844125"
10/01/2007 4.00,"0,41215552","32,46067408","27,1397884","0,46209701",,"1,19278845"
10/01/2007 5.00,"1,44198498","26,00562824","23,242272","0,37740299","38,79419145","0,8343468"
10/01/2007 6.00,"1,08817881","34,68886152","28,51682992","0,44106016","33,31923315","1,039374"
10/01/2007 7.00,"2,9958369","75,64472368","53,69685656","0,55959581","16,91654664","1,3378635"
10/01/2007 8.00,"3,1942953","93,9411488","58,31078024","0,79582965","17,02403325","1,6866945"
10/01/2007 9.00,"1,61182805","139,18482392","67,04806576","0,90480638","14,06498541","1,03098375"
10/01/2007 10.00,"0,80164008","105,28189","57,98113232","0,67611899","19,30070331","1,6419465"
10/01/2007 11.00,"2,14699785","65,87981464","47,62281496","0,52915539","25,48993545","1,9511145"
10/01/2007 12.00,"0,9283715","66,01986864","40,52344424","0,47010482","32,65557645","1,53480555"
10/01/2007 13.00,"0,64071712","53,42627032","33,391646","0,46605069","43,29550995","1,29377655"
10/01/2007 14.00,"0,38651187","63,00959672","36,34819072","0,49472275","48,18517515","0,8486865"
10/01/2007 15.00,"0,75295426","59,4040236","39,9186404","0,45703606","52,23853635","0,54058635"
10/01/2007 16.00,"1,38140737","63,05630688","43,45014264","0,58114774","52,4750037","2,915739"
10/01/2007 17.00,"9,00163175","82,64451744","59,83189096","0,61662107","39,14299725","4,398525"
10/01/2007 18.00,"8,70282902","143,28455344","88,42791592","1,00673774","19,54203447","4,0257945"
10/01/2007 19.00,"3,93126842","402,9245552","120,38280864","2,33931478","13,78898514","2,1880755"
10/01/2007 20.00,"1,45685148","385,6955232","127,76511712","2,05762822","13,27789806","6,3303165"
10/01/2007 21.00,"0,88600328","278,0491584","120,86036888","1,50394366","13,01299598","6,33235152"
10/01/2007 22.00,"0,74812249","270,88738","111,21593496","1,43861626","12,74045703","3,4054245"
10/01/2007 23.00,"0,30512136","244,7348528","91,53113016","1,41698022","12,99427091","2,0670525"
11/01/2007 0.00,"0,75964408","155,57469824","74,5510788","1,02552152","13,72934661","2,7850545"
11/01/2007 1.00,"1,35056075","153,24920912","70,98062912","0,99642314","12,12604491","2,3762205"
11/01/2007 2.00,"1,37992052","85,53156096","57,54894384","0,72404554","12,6842918","1,6510995"
