,ARPA Puglia,,,,,
,S.Maria Cerrate,,,,,
Parm,SO2,NO2,CO,O3,,BENZENE
11/01/2008 16.00,"4,19166708","8,65562653","2,40269845","67,21437258",,"0,68760002"
11/01/2008 17.00,"3,43967009","7,53712374","2,51180585","76,67089866",,"0,64104998"
11/01/2008 18.00,"1,49553299","7,23451598","2,21826835","68,63266314",,"0,80769998"
11/01/2008 19.00,"1,45033705","13,94807585","1,8055828","55,4832999",,"0,5733"
11/01/2008 20.00,"1,06245005","12,210314","1,56018775","59,55168348",,"0,7956"
11/01/2008 21.00,"0,57790101","12,87937629","1,0254067","49,83281838",,"1,16474998"
11/01/2008 22.00,"0,65587699","20,28496734","0,83715745","35,15729382",,"1,00105"
11/01/2008 23.00,"1,18518996","18,3544124","0,84761555","28,21240242",,"1,07700002"
12/01/2008 0.00,"0,39884299","18,55487997","0,8972921","23,5527309",,"0,93435001"
12/01/2008 1.00,,"18,00329177","0,98664365","23,25707712",,"0,9041"
12/01/2008 2.00,"1,54457104",,"1,0963732","25,63953372",,"1,09800005"
12/01/2008 3.00,"1,58974695","9,07825713",,"28,69181712",,"1,02384996"
12/01/2008 4.00,"2,39563298","8,80118395","0,79619445","29,59339536",,"0,89864999"
12/01/2008 5.00,"1,98952699","5,85681703","0,81813645","38,6117676",,0
12/01/2008 6.00,"3,27291608","6,65355785","0,78020485","39,23101404",,"0,63730001"
12/01/2008 7.00,"2,88687897","11,03308074","0,72212065","37,3959162",,"0,5891"
12/01/2008 8.00,"2,1006639","7,52307831","0,6775271","45,66853224",,"0,24575"
12/01/2008 9.00,"1,73652697","4,73552096","0,7964348","53,07588666",,"0,43735"
12/01/2008 10.00,"2,7387991","12,25500467","0,76484085","42,50837808",,"0,39340001"
12/01/2008 11.00,"2,1140039","11,3318569","0,9487546","48,5317377",,"0,40595001"
12/01/2008 12.00,"1,871068","6,022804","1,1193019","58,45967352",,"0,4425"
12/01/2008 13.00,"1,50911498","5,30139535","1,023201","61,6850838",,"0,48394999"
12/01/2008 14.00,"2,0183661","5,91554938","0,77645815","63,09405486",,"0,4675"
12/01/2008 15.00,"1,95668399","5,72147156","0,84865745","63,68267448",,"0,44690001"
12/01/2008 16.00,"1,90345299","6,04706325","1,0191208","62,84635236",,"0,45175001"
12/01/2008 17.00,"2,10942888","4,72809853","0,95066935","66,7562652",,"0,42840001"
12/01/2008 18.00,"2,41720605","4,48677752","0,8967907","67,66983126",,"0,37175"
12/01/2008 19.00,"2,36381292","5,25032244","0,81680475","67,6218996",,"0,37970001"
12/01/2008 20.00,"2,41996288","5,45206157","0,74177415","67,70977758",,"0,43485001"
12/01/2008 21.00,"2,61725307","5,11114725","0,77970575","68,58738018",,"0,4382"
12/01/2008 22.00,"2,56623101","5,61677134","0,70796415","68,85639",,"0,45210001"
12/01/2008 23.00,"2,98946905","5,60145059","0,80843505","68,58738018",,"0,44229999"
13/01/2008 0.00,"2,50984097","5,11370165","0,7468951","67,93217028",,
13/01/2008 1.00,"2,19464111","3,83431881","0,8343342","67,47937992",,
13/01/2008 2.00,"2,4080441","2,89712561","0,72740835","68,33967768",,
13/01/2008 3.00,"1,85827696","2,62643654","0,65358525","69,07744854",,
13/01/2008 4.00,"2,082654","2,72858424","0,57851325","68,06535084",,
13/01/2008 5.00,"1,58926594","2,21274445","0,63905385","69,32781936",,
13/01/2008 6.00,"2,85638404","1,67775231","0,689103","68,06799954",,
13/01/2008 7.00,"3,623101","1,62923379","0,75976015","72,09111978",,
13/01/2008 8.00,"2,13351297","1,93184343","0,7845346","71,96859288",,
13/01/2008 9.00,"5,17482424","1,87055481","0,71491705","67,846941",,
13/01/2008 10.00,"5,58850908","2,86009812","0,70638175","66,93737742",,
13/01/2008 11.00,"5,86887407","2,96735086","0,60674345","63,18059868",,
13/01/2008 12.00,"6,50463104","4,30036101","0,67257175","61,8768693",,
13/01/2008 13.00,"6,60137701","3,9722168","0,6295606","60,91668612",,
13/01/2008 14.00,"6,17687988","4,88259635","0,69926095","57,58340508",,
13/01/2008 15.00,"6,29929304","4,91706943","0,68785295","53,47772388",,
13/01/2008 16.00,"6,64876223","4,49699323","0,84270275","57,36234654",,
13/01/2008 17.00,"7,58857679","2,77837996","1,19595515","70,96981716",,
13/01/2008 18.00,"5,0940361","3,9696624","1,3351914","67,58860446",,
13/01/2008 19.00,"4,17333317","15,15723155","1,0238266","29,20719528",,
13/01/2008 20.00,"3,44840908","16,2834013","0,7401078","21,71627928",,
13/01/2008 21.00,"3,573982","9,64772236","0,66807525","27,28153152",,
13/01/2008 22.00,"2,81185198","12,0481511","0,63139255","28,30428288",,
13/01/2008 23.00,"2,83861995","10,67811347","0,73910845","29,00742444",,
14/01/2008 0.00,"3,15524602","8,11169588","0,78449435","43,43791482",,
14/01/2008 1.00,,"3,01970097","0,8520718","62,91027432",,
14/01/2008 2.00,"1,47503901",,"0,851322","63,96098418",,
14/01/2008 3.00,"1,39877701",,,"67,63787028",,
14/01/2008 4.00,"1,52195299",,"0,64496255","73,2470517",,
