Stat,TA-Paolo VI -CISI,,,,,,,
,,,,,
Parm,SO2,NOX,NO2,PM10 biorario,IPA TOT,PM10,PM2.5,CO
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3,mg/m3 293K
,,,,,,
,,,,
,,,,
,,,,
08/01/2014 23.00,,"12,7","11,7",,"2,6","11,5","7,9","0,7"
09/01/2014 0.00,,"11,0","10,1","21,5","2,5","11,5","7,9","0,6"
09/01/2014 1.00,,"8,7","7,7",,"2,1","22,1","16,9","0,2"
09/01/2014 2.00,,"5,6","4,6","18,1","2,0","22,1","16,9","0,3"
09/01/2014 3.00,,"12,3","11,1",,"4,6","22,1","16,9","0,3"
09/01/2014 4.00,,"8,4","7,2","18,6","1,9","22,1","16,9","0,3"
09/01/2014 5.00,,"7,4","6,3",,"1,9","22,1","16,9","0,2"
09/01/2014 6.00,,"4,3","3,3","18,1","1,3","22,1","16,9","0,2"
09/01/2014 7.00,,"10,8","7,2",,"3,2","22,1","16,9","0,2"
09/01/2014 8.00,"0,4","8,4","6,7","16,1","1,9","22,1","16,9","0,3"
09/01/2014 9.00,"2,6","137,1","52,2",,"99,0","22,1","16,9","0,5"
09/01/2014 10.00,"2,4","111,4","43,8","19,8","67,4","22,1","16,9","0,5"
09/01/2014 11.00,"4,3","74,4","41,5",,"16,4","22,1","16,9","0,6"
09/01/2014 12.00,"5,8","71,9","41,1","24,7","20,9","22,1","16,9","0,6"
09/01/2014 13.00,"7,0","54,4","34,1",,"16,9","22,1","16,9","0,5"
09/01/2014 14.00,"7,6","41,8","29,0","23,7","17,2","22,1","16,9","0,5"
09/01/2014 15.00,"7,3","45,9","33,0",,"18,4","22,1","16,9","0,4"
09/01/2014 16.00,"5,2","55,0","39,0","21,5","32,2","22,1","16,9","0,5"
09/01/2014 17.00,"4,9","83,5","60,6",,"66,3","22,1","16,9","0,5"
09/01/2014 18.00,"3,8","80,7","54,0","26,1","69,1","22,1","16,9","0,5"
09/01/2014 19.00,"3,4","89,8","50,3",,"67,3","22,1","16,9","0,5"
09/01/2014 20.00,"2,2","63,2","45,2","38,8","49,6","22,1","16,9","0,5"
09/01/2014 21.00,"1,7","57,4","41,6",,"51,1","22,1","16,9","0,5"
09/01/2014 22.00,"1,4","47,9","37,4","38,8","39,8","22,1","16,9","0,5"
09/01/2014 23.00,"1,3","29,0","24,5",,"24,2","22,1","16,9","0,4"
10/01/2014 0.00,"1,3","18,3","16,5","40,0","11,7","22,1","16,9","0,4"
10/01/2014 1.00,,"14,1","12,6",,"9,0","19,4","15,3","0,3"
10/01/2014 2.00,"1,2",,,"32,7","4,3","19,4","15,3","0,3"
10/01/2014 3.00,"1,2","7,3","6,3",,"3,6","19,4","15,3",
10/01/2014 4.00,"1,1","7,2","6,3","32,0","2,8","19,4","15,3","0,3"
10/01/2014 5.00,"1,3","12,1","10,6",,"7,8","19,4","15,3","0,3"
10/01/2014 6.00,"0,5","13,1","12,0","21,5","5,7","19,4","15,3","0,3"
10/01/2014 7.00,"1,3","23,9","21,3",,"14,7","19,4","15,3","0,3"
10/01/2014 8.00,"1,3","54,0","42,8","20,5","45,3","19,4","15,3","0,4"
10/01/2014 9.00,"1,2","54,4","39,3",,"44,4","19,4","15,3","0,4"
10/01/2014 10.00,"1,3","41,1","28,1","18,8","30,0","19,4","15,3","0,4"
10/01/2014 11.00,"1,3","20,4","14,9",,"13,2","19,4","15,3","0,3"
10/01/2014 12.00,"1,3","13,1","9,2","10,3","9,9","19,4","15,3","0,3"
10/01/2014 13.00,"1,3","15,3","10,3",,"8,6","19,4","15,3","0,3"
10/01/2014 14.00,"1,3","16,7","11,3","6,8","11,1","19,4","15,3","0,3"
10/01/2014 15.00,"0,4","18,6","13,6",,"13,4","19,4","15,3","0,3"
10/01/2014 16.00,"0,4","25,2","17,8","9,5","20,6","19,4","15,3","0,3"
10/01/2014 17.00,"0,3","30,1","23,7",,"40,7","19,4","15,3","0,3"
10/01/2014 18.00,"1,7","78,8","57,3","21,2","66,3","19,4","15,3","0,4"
10/01/2014 19.00,"1,4","40,0","35,3",,"27,0","19,4","15,3","0,3"
10/01/2014 20.00,"0,4","12,4","11,2","23,2","8,2","19,4","15,3","0,3"
10/01/2014 21.00,,"13,9","10,9",,"15,3","19,4","15,3","0,3"
10/01/2014 22.00,"0,4","21,8","15,7","26,1","23,8","19,4","15,3","0,4"
10/01/2014 23.00,"2,1","38,8","30,1",,"31,6","19,4","15,3","0,3"
11/01/2014 0.00,"1,1","14,7","13,8","31,3","8,0","19,4","15,3","0,3"
11/01/2014 1.00,"1,1","6,6","5,5",,"3,3","22,0","17,5","0,2"
11/01/2014 2.00,"0,8","7,1","6,1","25,4","3,8","22,0","17,5","0,2"
11/01/2014 3.00,"0,3","6,8","5,7",,"4,5","22,0","17,5","0,2"
11/01/2014 4.00,,"4,8","3,8","21,0","2,2","22,0","17,5","0,2"
11/01/2014 5.00,"0,6","6,4","5,0",,"3,9","22,0","17,5","0,2"
11/01/2014 6.00,"0,1","11,2","9,8","18,1","5,2","22,0","17,5","0,2"
11/01/2014 7.00,"0,8","7,7","6,6",,"2,4","22,0","17,5","0,2"
11/01/2014 8.00,"0,3","10,0","6,2","16,4","6,9","22,0","17,5","0,2"
11/01/2014 9.00,"2,3","96,4","33,0",,"74,3","22,0","17,5","0,4"
11/01/2014 10.00,"2,0","99,8","40,0","23,7","76,8","22,0","17,5","0,5"
11/01/2014 11.00,"1,5","74,7","39,6",,"58,3","22,0","17,5","0,4"
11/01/2014 12.00,"1,6","55,6","37,5","22,5","38,6","22,0","17,5","0,4"
11/01/2014 13.00,"1,5","27,0","20,7",,"17,9","22,0","17,5","0,3"
11/01/2014 14.00,"1,3","13,4","9,6","14,4","6,6","22,0","17,5","0,3"
11/01/2014 15.00,"1,3","10,7","7,8",,"7,6","22,0","17,5","0,2"
11/01/2014 16.00,"0,8","17,9","14,7","19,5","9,8","22,0","17,5","0,3"
11/01/2014 17.00,"1,2","39,4","35,1",,"24,1","22,0","17,5","0,3"
11/01/2014 18.00,"1,3","29,7","26,6","30,8","10,7","22,0","17,5","0,3"
11/01/2014 19.00,"1,3","38,6","32,2",,"27,6","22,0","17,5","0,3"
11/01/2014 20.00,"1,3","44,4","39,8","34,4","30,4","22,0","17,5","0,4"
11/01/2014 21.00,"1,2","47,8","41,0",,"32,8","22,0","17,5","0,4"
11/01/2014 22.00,"1,0","38,6","36,2","41,0","24,7","22,0","17,5","0,4"
11/01/2014 23.00,"0,9","35,3","32,7",,"20,7","22,0","17,5","0,4"
12/01/2014 0.00,"1,1","24,2","22,9","42,2","13,8","22,0","17,5","0,4"
12/01/2014 1.00,,"16,0","14,8",,"8,7","25,0","21,1","0,3"
12/01/2014 2.00,"1,3",,,"41,8","13,5","25,0","21,1","0,3"
