"NetC","Comune Bari","","","","","","","","","","","","","",""
"Stat","Carbonara","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE
07/01/2012 8.00,"4,94503029","11,30187024","14,62468533","0,29831689","12,69841003","0,70156525"
07/01/2012 9.00,"4,90118945","13,77885477","19,57652824","0,35889456",,"0,98932845"
07/01/2012 10.00,"4,34752245","14,89308042","21,35791952","0,42859535","19,04759979","1,18122414"
07/01/2012 11.00,"4,04379743","17,19095834","26,13791952","0,57177035",,"1,66072134"
07/01/2012 12.00,"4,31859694","19,25716688","28,85248152","0,68938875","15,87300968","1,20004068"
07/01/2012 13.00,"4,44650503","20,40318144","28,4912856","0,39719277",,"1,17067989"
07/01/2012 14.00,"4,37599743","19,10078249","27,02894976","0,42241386","13,67521","0,96564557"
07/01/2012 15.00,"4,35159045","15,12085698","19,41570992","0,34043164",,"2,36439482"
07/01/2012 16.00,"4,54277526","15,20975924","20,29958928","0,37346289","13,67521","0,97424227"
07/01/2012 17.00,"4,15543454","15,60172115","20,44356288","0,41030951",,"0,91536"
07/01/2012 18.00,"3,88334738","19,37980256","26,44531176","0,45721357","18,31501007","1,72171286"
07/01/2012 19.00,"4,13690378","19,21888864","26,78899376","0,39246287",,"2,51135844"
07/01/2012 20.00,"4,59520365","24,58818616","36,3211168","0,52015619","13,67521","1,08551936"
07/01/2012 21.00,"4,37012121","25,13847888","35,33800464","0,46381213",,"1,11098606"
07/01/2012 22.00,"4,55633391","23,53884232","34,41003456","0,51167033","8,79120922","1,40458989"
07/01/2012 23.00,"4,41486717","15,13837472","20,68024936","0,32900299",,"0,58996272"
08/01/2012 0.00,"4,90842032","17,40510617","23,29559768","0,3047174","9,76801014","0,38947032"
08/01/2012 1.00,"6,17846315","16,82366314","19,9396744","0,33947751",,"0,78623965"
08/01/2012 2.00,,"14,17405178","16,49232884","0,30533252","9,52380943","1,03945129"
08/01/2012 3.00,"6,33348954",,,"0,28164225",,"0,48063217"
08/01/2012 4.00,"6,00806988","33,41629168","35,92942448","0,27381228","12,69841003","0,85225922"
08/01/2012 5.00,"7,3513306","23,22020752","26,76564824","0,25904474",,"0,79727003"
08/01/2012 6.00,"7,4973179","21,85356728","25,39151296",,"6,83760691",
08/01/2012 7.00,"6,75382378","22,81593424","27,39922768","0,27592559",,"0,86004537"
08/01/2012 8.00,"6,48851594","25,13975992","31,42698952","0,31729824","8,05860806","0,7941875"
08/01/2012 9.00,"5,06570751","27,82506832","36,92810032","0,50660491",,"1,66899463"
08/01/2012 10.00,"5,60762206","26,80168944","39,416358","0,52966492","5,37240601","2,65053591"
08/01/2012 11.00,"5,26638297","25,01907448","35,18496816","0,46932375",,"2,3556354"
08/01/2012 12.00,"4,36831298","24,77118368","32,95546144","0,41225972","14,40781021","2,13989411"
08/01/2012 13.00,"4,48311398","22,70236144","29,06714176","0,31120063",,"1,26314146"
08/01/2012 14.00,"5,01418222","23,32989896","29,70200224","0,31600742","12,69841003","1,20944894"
08/01/2012 15.00,"4,92921187","20,53556832","24,79944304","0,32561983",,"1,13888643"
08/01/2012 16.00,"4,78503178","20,73284848","25,04458056","0,30065388","12,69841003","0,99257166"
08/01/2012 17.00,"5,64513512","24,41620176","28,46729","0,33682247",,"1,10839169"
08/01/2012 18.00,"4,24402134","23,900956","28,57105424","0,32053577","7,32600689","1,05340148"
08/01/2012 19.00,"4,78548435","35,89198752","41,30862616","0,34327774",,"1,04788629"
08/01/2012 20.00,"4,48582631","36,02307424","42,72298992","0,35450018","10,50061035","1,18819975"
08/01/2012 21.00,"5,25960263","31,79979128","39,21401104","0,34236438",,"0,96353631"
08/01/2012 22.00,"6,95449923","32,57787968","42,84683016","0,37964554","7,57020807","1,58724004"
08/01/2012 23.00,"6,23947908","26,42791256","33,77970552","0,361849",,"1,40572486"
09/01/2012 0.00,"6,96218267","23,4480032","29,83234328","0,33737934","11,47741032","1,02842091"
09/01/2012 1.00,"5,65281958","22,189716","27,85900632","0,34063668",,"1,45438831"
09/01/2012 2.00,"6,98026188","16,03391154","19,62061896","0,26039265","8,30280876","0,90043655"
09/01/2012 3.00,"7,14613559","16,81133648","20,26458056","0,25721453",,"0,87561768"
09/01/2012 4.00,"6,24671096","12,83335356","16,2186681","0,24402673","13,67521","0,92087519"
09/01/2012 5.00,"7,06116524","14,90734967","18,27112936","0,2505216",,"1,25421932"
09/01/2012 6.00,"5,78750699","14,85024588","18,13948816","0,27562735","7,32600689","0,91844151"
09/01/2012 7.00,"4,90028534","16,92879064","20,34888064","0,2868696",,"1,12120589"
09/01/2012 8.00,"4,97666814","25,70823576","33,63831312","0,4024877","6,34920597","2,7363463"
09/01/2012 9.00,"5,52174658","39,416358","68,0541984","0,67563243",,"2,57543249"
09/01/2012 10.00,"4,73893117","37,1781708","59,94032048","0,46181532","5,37240601","2,22002659"
09/01/2012 11.00,"4,16944575","33,18203344","49,27983064","0,4660466",,"1,80622556"
09/01/2012 12.00,"5,46479865","37,42738088","65,42066696","0,77120903","15,38461018","2,18693544"
09/01/2012 13.00,"4,4446968","29,6810276","51,85561968","0,72846518",,"3,18421175"
09/01/2012 14.00,"4,76921336","35,2157896","62,18409072","0,62500386","10,98900986","2,54509844"
09/01/2012 15.00,"4,0975825","29,09763816","47,4887264","0,42669873",,"1,39193739"
09/01/2012 16.00,"4,06910751","29,0288444","43,47392792","0,46997848","10,25640965","1,16402972"
09/01/2012 17.00,"4,45554412","31,8575528","45,56271144","0,53901987",,"2,30178119"
09/01/2012 18.00,"4,60424274","38,12044264","60,71072264","0,94967072","8,54700947","1,86494612"
09/01/2012 19.00,"4,27656331","42,71750248","69,91468912","0,74070118",,"3,32046941"
09/01/2012 20.00,"4,38865196","50,25489328","85,16648368","0,69996346","14,89620972","2,59570842"
09/01/2012 21.00,"4,08221461","34,57465776","54,9651244","0,60847717",,"2,25668639"
09/01/2012 22.00,"4,17080141","27,44544072","39,33073864","0,45210272","8,54700947","1,5852935"
09/01/2012 23.00,"3,63883007","19,54788648","24,40061896","0,35837264",,"1,76113076"
10/01/2012 0.00,"3,63024252","15,8606461","19,67186056","0,30120959","8,05860806","3,61715373"
10/01/2012 1.00,"3,56786991","10,91250291","12,7855765","0,28450582",,"2,96376683"
10/01/2012 2.00,,"8,92806106","10,08786878","0,28762452","7,08180714","1,11779996"
10/01/2012 3.00,"4,10345771",,,"0,24650934",,"2,40056748"
10/01/2012 4.00,"3,78752869","27,83675064","28,7487364","0,23888209","10,98900986","5,19336338"
10/01/2012 5.00,"3,51724975","16,67376234","17,66609226","0,24488067",,"0,9945182"
10/01/2012 6.00,"3,7251571","18,35060929","20,69451288",,"6,83760691","1,07822035"
10/01/2012 7.00,"4,02662234","26,37988312","30,97694296","0,23611055",,"1,49477948"
10/01/2012 8.00,"5,30841558","39,1717176","54,36527264","0,37170024","5,12820482","1,08438337"
10/01/2012 9.00,"4,09080216","41,99329424","68,30126704","0,48250805",,"2,53228322"
10/01/2012 10.00,"3,0838074","37,51368856","61,44416584","0,35918931","5,61660624","4,24004589"
10/01/2012 11.00,"3,17510654","32,402664","53,18956472","0,39008977",,"1,61951962"
10/01/2012 12.00,"3,11725348","31,20018808","46,05101712","0,31625673","15,87300968","1,37312086"
10/01/2012 13.00,"3,20132074","33,55647952","48,49449576","0,3517636",,"1,35527759"
10/01/2012 14.00,"3,90639768","38,4066308","63,9680632","0,52383177","13,43101025","2,36066345"
10/01/2012 15.00,"3,59544078","33,01071824","46,85061552","0,27390082",,"1,29250123"
10/01/2012 16.00,"3,85170851","33,9581716","46,82465056","0,28891301","22,22220993","1,45763254"
10/01/2012 17.00,"5,05486019","33,70443008","44,80850392","0,38599829",,"1,50224121"
10/01/2012 18.00,"5,553837","42,36058944","62,51415928","0,48429516","15,38461018","1,79081496"
10/01/2012 19.00,"5,43270823","37,84788704","58,68679416","0,43651618",,"2,77852129"
10/01/2012 20.00,"4,87316704","43,38266816","58,15565968","0,36612106","16,84980965","1,83396322"
10/01/2012 21.00,"4,88898545","33,6823656","45,30786096","0,28629176",,"1,66055963"
10/01/2012 22.00,"4,82887364","31,15800936","39,71983064","0,28583508","17,82661057","1,16613898"
10/01/2012 23.00,"4,42481038","36,92509848","46,24103168","0,31053891",,"3,54983647"
11/01/2012 0.00,"4,89666889","30,29166304","40,77556056","0,27578696","17,33819962","2,86514223"
11/01/2012 1.00,"5,45259567","25,70758568","33,36206736","0,22767129",,"2,61955402"
11/01/2012 2.00,"5,32287935","18,17085261","24,18207736","0,20767407","10,25640965","4,65368623"
11/01/2012 3.00,"4,92830776","13,08254261","17,1116352","0,20394141",,"0,84431137"
11/01/2012 4.00,"4,67339468","15,13188348","19,17122248","0,20332512","9,76801014","5,03342285"
11/01/2012 5.00,"4,62413018","12,42971315","15,59741724","0,17963485",,"1,81822921"
11/01/2012 6.00,"4,67068335","15,66531427","19,99026592","0,19665317","10,7448101","1,74328648"
11/01/2012 7.00,"4,22323081","21,79710592","26,65607152","0,23082844",,"4,36592303"
11/01/2012 8.00,"4,352042","35,16972952","47,01986576","0,36200977","9,76801014","1,12104419"
11/01/2012 9.00,"4,27113965","44,54296536","69,77138472","0,44670411",,"2,33049313"
11/01/2012 10.00,"3,65510105","31,76671368","51,76483792","0,51978106","11,96580982","1,70727655"
11/01/2012 11.00,"3,67091947","29,93021856","45,96088544","0,43099641",,"2,35612153"
11/01/2012 12.00,"4,4044714","28,42729096","43,75084288","0,39272966","10,01220989","1,47531308"
11/01/2012 13.00,"4,21057526","28,04764424","43,06279056","0,41133704",,"3,09158949"
11/01/2012 14.00,"4,51836828","35,03994296","58,88199024","0,55393653","5,86080599","3,09791523"
11/01/2012 15.00,"4,25170478","28,1196884","42,36502528","0,304065",,"1,30142236"
11/01/2012 16.00,"4,41260638","32,29624208","50,1222196","0,4262502","10,50061035","1,52300327"
11/01/2012 17.00,"4,1084288","28,96655144","44,47325384","0,38413196",,"1,09833458"
11/01/2012 18.00,"4,45644824","34,88354136","51,63774728","0,39729762","6,10500622","1,90663397"
11/01/2012 19.00,"4,47045944","42,7687632","67,27148296","0,56327051",,"2,26317485"
11/01/2012 20.00,"4,49215409","38,56106304","56,87295624","0,48089919","12,69841003","2,1566024"
11/01/2012 21.00,"4,23814512","40,10488832","56,8930896","0,4535345",,"1,89544087"
11/01/2012 22.00,"4,53057126","54,1245136","73,73301048","0,49307227","14,40781021","4,16299594"
11/01/2012 23.00,"4,42345472","32,8004556","41,17633488","0,30342891",,"1,2047443"
12/01/2012 0.00,"3,63566618","24,41295136","29,4821796","0,24937641","12,45421028","2,12594392"
12/01/2012 1.00,"3,33646071","22,49081776","26,44596184","0,21444621",,"1,59129482"
12/01/2012 2.00,,"29,97564768","34,489134","0,21450446","13,43101025","1,03847802"
12/01/2012 3.00,"3,34549981",,,"0,1978636",,"1,3710116"
12/01/2012 4.00,"3,42233518","38,90434352","42,62895776","0,18418301","12,69841003","0,54713888"
12/01/2012 5.00,"3,32968037","25,40973432","28,76753136","0,20580774",,"3,49630667"
12/01/2012 6.00,"4,56582557","25,92693032","30,59756392",,"9,27960968","0,6616602"
12/01/2012 7.00,"4,22910602","30,64729504","39,81063152","0,553375",,"2,44290519"
12/01/2012 8.00,"5,67496577","44,41445984","78,51624176","0,58347511","11,47741032","5,50042925"
12/01/2012 9.00,"7,1330285","48,95832784","110,00030448","0,74005344",,"3,72924239"
12/01/2012 10.00,"5,18186417","40,04324544","71,83487248","0,53582078","10,98900986","3,47943668"
12/01/2012 11.00,"4,73847861","38,89526152","69,2214744","0,57087097",,"2,33114198"
12/01/2012 12.00,"4,76288559","35,47796304","63,44409872","0,41172615","22,71062088","1,38480008"
12/01/2012 13.00,"4,58345221","32,86924936","53,58253808","0,34578365",,"1,64563618"
12/01/2012 14.00,"4,50390552","35,63889608","63,03944304","0,42852545","22,46640968","2,03510548"
12/01/2012 15.00,"4,53147538","33,06781056","52,12861504","0,89172246",,"4,38068377"
12/01/2012 16.00,"4,67068335","36,2294364","61,94998544","0,69723153","13,67521","1,54425348"
12/01/2012 17.00,"5,52807436","52,1128028","96,2465428","0,99333259",,"4,29341398"
12/01/2012 18.00,"6,74840012","59,11611464","165,57696296","1,68579228","18,07081032","5,1583257"
12/01/2012 19.00,"6,96353833","69,84302736","166,55229328","1,13040882",,"5,9369409"
12/01/2012 20.00,"6,0591426","54,7825284","116,96116992","0,77822466","22,46640968","4,25480765"
12/01/2012 21.00,"5,49688907","48,97844208","95,8542004","0,70188338",,"4,04231058"
12/01/2012 22.00,"4,75520216","43,39758176","72,15134672","0,71886209","42,24663162","2,93035024"
12/01/2012 23.00,"4,55362259","34,612936","53,16751936","0,57268022",,"2,95938661"
13/01/2012 0.00,"5,42818868","29,42728608","47,71763104","0,97836234","34,18803024","7,71477894"
13/01/2012 1.00,"4,77373291","25,24295056","36,32241696","0,77397008",,"12,14963118"
13/01/2012 2.00,"4,7244674","16,69127818","22,27617664","0,57146745","27,8388195","5,91585341"
13/01/2012 3.00,"4,59294387","20,21693352","24,7825792","0,6555222",,"4,217499"
13/01/2012 4.00,"4,77328035","18,68286326","23,89739968","0,58603927","25,88521957","5,48923716"
13/01/2012 5.00,"4,75475061","19,58551464","24,27610952","0,63021374",,"1,98060242"
13/01/2012 6.00,"4,70186864","23,51417752","30,25776328","0,58908225","18,31501007","6,2613639"
13/01/2012 7.00,"4,7818679","31,7751456","46,54647368","0,76236086",,"3,42104054"
13/01/2012 8.00,"5,85394658","45,8921108","97,59993288","1,00553946","20,26861954","5,96111092"
13/01/2012 9.00,"7,57822127","60,58531456","173,034566","2,12415965",,"6,7804407"
