"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
,NO2,NOX,PM10
12/01/2012 3.00,"5,91310474","7,59832624",
12/01/2012 4.00,"2,62105373","4,24759213","17,58241081"
12/01/2012 5.00,"2,3945735","4,08417349",
12/01/2012 6.00,"3,96629678","6,57695878","15,14041042"
12/01/2012 7.00,"12,78728583","19,02986067",
12/01/2012 8.00,"26,76536144","45,25143784","9,52380943"
12/01/2012 9.00,"37,65708856","108,83951016",
12/01/2012 10.00,"20,95672456","46,56461856","30,52503014"
12/01/2012 11.00,"17,44339397","32,24926424",
12/01/2012 12.00,"13,7587367","24,2650964","15,14041042"
12/01/2012 13.00,"12,78014451","23,33062552",
12/01/2012 14.00,"21,32857032","37,11161408","12,21000957"
12/01/2012 15.00,"16,79640376","26,88497616",
12/01/2012 16.00,"22,50898176","37,0934692","20,02441978"
12/01/2012 17.00,"48,46577752","68,39399904",
12/01/2012 18.00,"61,79945368","106,2306244","17,09399986"
12/01/2012 19.00,"49,49238768","133,81143472",
12/01/2012 20.00,"50,24581128","135,396368","42,49084091"
12/01/2012 21.00,"36,87448784","73,54234584",
12/01/2012 22.00,"26,548598","34,0734652","64,22466278"
12/01/2012 23.00,"18,16760603","22,12053984",
13/01/2012 0.00,"13,47450452","15,35358562","56,41025162"
13/01/2012 1.00,"9,83851913","12,5975141",
13/01/2012 2.00,"5,34528662","6,85969961","29,7924099"
13/01/2012 3.00,"5,43548905","6,83829859",
13/01/2012 4.00,"3,68336093","5,47453018","23,19902039"
13/01/2012 5.00,"1,36276653","2,59719197",
13/01/2012 6.00,"14,55368703","16,54356088","28,57142067"
13/01/2012 7.00,"13,79248542","16,85742906",
13/01/2012 8.00,"31,12231232","44,69697696","25,39682007"
13/01/2012 9.00,"19,4492464","26,23973352",
13/01/2012 10.00,"16,45831054","29,86088944","34,67642975"
13/01/2012 11.00,"12,2551552","25,29618064",
13/01/2012 12.00,"14,62831813","27,03218104","25,39682007"
13/01/2012 13.00,"9,67498768","19,36641856",
13/01/2012 14.00,"24,12288184","41,14262632","16,11721039"
13/01/2012 15.00,"27,22026448","40,49413328",
13/01/2012 16.00,"36,95689504","52,83223104","22,22220993"
13/01/2012 17.00,"54,56383384","66,38563424",
13/01/2012 18.00,"71,88523456","93,54234384","21,73381996"
13/01/2012 19.00,"70,94816336","110,1403776",
13/01/2012 20.00,"47,70069072","112,68892064","48,84004974"
13/01/2012 21.00,"42,18667392","88,7422296",
13/01/2012 22.00,"34,04252904","42,99080376","50,79365158"
13/01/2012 23.00,"19,15074496","21,27361944",
14/01/2012 0.00,"9,41930739","11,86991206","40,29304123"
14/01/2012 1.00,"4,53736146","6,65542535",
14/01/2012 2.00,,,"28,32722092"
14/01/2012 3.00,"7,14932937","9,10800511",
14/01/2012 4.00,"3,399775","5,25858316","20,75702095"
14/01/2012 5.00,"2,55421212","4,25018671",
14/01/2012 6.00,"4,74501996","6,92649342","18,80340958"
14/01/2012 7.00,"9,789201","13,47686393",
14/01/2012 8.00,"21,65628712","30,62932224","20,02441978"
14/01/2012 9.00,"38,16455248","103,22230272",
14/01/2012 10.00,"22,17153288","46,75981464","21,48962021"
14/01/2012 11.00,"17,88727242","33,27451688",
14/01/2012 12.00,"20,64589072","34,36460544","16,36141014"
14/01/2012 13.00,"18,54724128","32,90486992",
14/01/2012 14.00,"30,6330124","51,39777216","17,09399986"
14/01/2012 15.00,"15,71917531","27,7785876",
14/01/2012 16.00,"18,60304491","31,5469484","14,89620972"
14/01/2012 17.00,"33,18853424","43,54008312",
14/01/2012 18.00,"61,1654536","93,36724288","19,53602028"
14/01/2012 19.00,"43,19770128","89,53792752",
14/01/2012 20.00,"37,2703292","89,76490104","42,73503113"
14/01/2012 21.00,"31,484426","60,99603128",
14/01/2012 22.00,"22,6329176","39,54214848","31,74603081"
14/01/2012 23.00,"11,34210063","14,59615255",
15/01/2012 0.00,"5,6658621","7,27019071","23,93161964"
15/01/2012 1.00,"4,3024455","6,10550738",
15/01/2012 2.00,"8,50820115","12,0741844","16,60560989"
15/01/2012 3.00,"4,09413692","6,44661201",
15/01/2012 4.00,"5,20252141","7,52115601","19,04759979"
15/01/2012 5.00,"3,67816985","5,4849066",
15/01/2012 6.00,"0,98443526","2,19966996","11,47741032"
15/01/2012 7.00,"5,23107522","10,2259974",
15/01/2012 8.00,"8,82553197","15,35942295","6,59340715"
15/01/2012 9.00,"5,56462744","9,92315381",
15/01/2012 10.00,"19,89766776","29,65012968","8,05860806"
15/01/2012 11.00,"6,32647722","10,44064617",
15/01/2012 12.00,"7,61007357","18,91702399","21,24542046"
15/01/2012 13.00,"15,89633932","27,94200624",
15/01/2012 14.00,"13,70097901","21,77878896","17,09399986"
15/01/2012 15.00,"10,78337217","16,08053949",
15/01/2012 16.00,"15,84895805","22,1010948","25,15262032"
15/01/2012 17.00,"27,45322256","35,06305904",
15/01/2012 18.00,"33,48315432","43,20869528","16,11721039"
15/01/2012 19.00,"26,69203624","46,24036248",
15/01/2012 20.00,"22,89834144","35,38341464","38,0952301"
15/01/2012 21.00,"14,6666021","19,95913856",
15/01/2012 22.00,"13,38884692","21,630934","30,76922989"
15/01/2012 23.00,"7,45692428","13,29334252",
16/01/2012 0.00,"6,26612686","9,85765634","30,76922989"
16/01/2012 1.00,"1,67555252","2,86371903",
16/01/2012 2.00,,,"16,11721039"
16/01/2012 3.00,"6,77164818","8,6261792",
16/01/2012 4.00,"3,12657506","5,08608634","8,79120922"
16/01/2012 5.00,"1,65997737","3,81375359",
16/01/2012 6.00,"1,78522293","3,14451535","5,86080599"
16/01/2012 7.00,"14,22143306","27,11908144",
16/01/2012 8.00,"39,0432312","131,81993376","7,57020807"
16/01/2012 9.00,"53,25881736","192,9385816",
16/01/2012 10.00,"29,27285384","65,14897176","34,18803024"
16/01/2012 11.00,"11,69253008","22,28265832",
16/01/2012 12.00,"9,61204082","17,31980038","72,03907013"
16/01/2012 13.00,"10,7742787","20,38388936",
16/01/2012 14.00,"14,65103078","25,7553092","44,20024109"
16/01/2012 15.00,"10,16428569","16,60516743",
16/01/2012 16.00,"13,12992388","21,14457856","32,72283173"
16/01/2012 17.00,"29,37862568","39,44421584",
16/01/2012 18.00,"44,6545688","65,51146784","23,68741989"
16/01/2012 19.00,"62,46008792","94,89898432",
16/01/2012 20.00,"58,94804984","88,17738656","39,07204056"
16/01/2012 21.00,"38,73497856","59,71464712",
16/01/2012 22.00,"29,44870048","38,045454","40,04883957"
16/01/2012 23.00,"23,16116496","33,13119336",
17/01/2012 0.00,"10,37259044","11,8193301","37,6068306"
17/01/2012 1.00,"8,1512862","11,75058987",
17/01/2012 2.00,"3,71905223","5,50760204","31,01342964"
17/01/2012 3.00,"1,04868038","2,0258749",
17/01/2012 4.00,,,"22,22220993"
17/01/2012 5.00,,,
17/01/2012 6.00,,,"12,94260979"
17/01/2012 7.00,"3,81898865","10,99380498",
17/01/2012 8.00,"13,73083489","29,6553112","10,98900986"
17/01/2012 9.00,"29,81989616","79,44811232",
17/01/2012 10.00,"21,25199472","44,15289824","11,47741032"
17/01/2012 11.00,"25,44801256","51,43735056",
17/01/2012 12.00,"27,26049296","64,72810232","17,82661057"
17/01/2012 13.00,"22,69848008","43,35461912",
17/01/2012 14.00,"24,75300056","51,8374748","22,71062088"
17/01/2012 15.00,"19,74386648","33,11823",
17/01/2012 16.00,"24,2468368","38,76851504","29,30401993"
17/01/2012 17.00,"34,68302992","50,06969696",
17/01/2012 18.00,"46,00111392","66,48226672","25,39682007"
17/01/2012 19.00,"43,08219736","58,18032448",
17/01/2012 20.00,"35,91795248","48,0392868","38,0952301"
17/01/2012 21.00,"35,62981408","89,16634944",
17/01/2012 22.00,"19,71011968","32,05731856","36,38582993"
17/01/2012 23.00,"8,31936056","14,77643312",
18/01/2012 0.00,"3,4166484","7,34801102","36,8742218"
18/01/2012 1.00,"0,13108481","0,99477918",
18/01/2012 2.00,,,"28,81562042"
18/01/2012 3.00,"7,15517053","10,8226045",
18/01/2012 4.00,"4,61653165","7,40831933","15,62880993"
18/01/2012 5.00,"0,900074","2,46879161",
18/01/2012 6.00,"0,97145661","2,97655762","9,27960968"
18/01/2012 7.00,"7,46795652","12,40621085",
18/01/2012 8.00,"26,71993232","57,2432724","5,12820482"
18/01/2012 9.00,"30,4435332","76,4560044",
18/01/2012 10.00,"21,0352504","41,05958816","18,07081032"
18/01/2012 11.00,"25,39610176","54,55788752",
18/01/2012 12.00,"16,56927537","32,16496416","22,95482063"
18/01/2012 13.00,"27,18131704","43,48494104",
18/01/2012 14.00,"21,9444064","35,18626832","26,37360954"
18/01/2012 15.00,"21,5407832","31,94772272",
18/01/2012 16.00,"34,38775976","46,28252208","31,50181961"
18/01/2012 17.00,"55,44119328","78,70105568",
18/01/2012 18.00,"68,40564312","105,02705864","34,18803024"
18/01/2012 19.00,"47,39763872","72,44120592",
18/01/2012 20.00,"34,03734752","58,9487764","46,64223099"
18/01/2012 21.00,"31,20731984","51,09624976",
18/01/2012 22.00,"18,46418018","26,132738","51,77045059"
18/01/2012 23.00,"9,6769341","12,31023418",
19/01/2012 0.00,"8,09872341","13,77970752","41,75823975"
19/01/2012 1.00,"3,46986127","5,9537615",
19/01/2012 2.00,"1,56198928","2,68084579","26,86202049"
19/01/2012 3.00,"0,46723353","2,05181309",
19/01/2012 4.00,"0,1408188","1,36247208","14,16361046"
19/01/2012 5.00,"0,24789462","1,52329614",
19/01/2012 6.00,"2,81703182","5,6035787","16,11721039"
19/01/2012 7.00,"11,13314006","18,18099003",
19/01/2012 8.00,"27,48696936","52,59489448","9,03540897"
19/01/2012 9.00,"33,79333808","83,20285968",
19/01/2012 10.00,"17,13644914","33,62793096","16,11721039"
19/01/2012 11.00,"12,31680573","25,8694556",
19/01/2012 12.00,"7,94557221","14,93141984","15,87300968"
19/01/2012 13.00,"8,09417858","14,3270309",
19/01/2012 14.00,"6,59254158","11,06124886","9,76801014"
19/01/2012 15.00,"6,34724537","9,37972134",
19/01/2012 16.00,"7,41085082","9,94455291","15,14041042"
19/01/2012 17.00,"9,96246644","12,06056714",
19/01/2012 18.00,"7,78723375","10,02431773","10,25640965"
19/01/2012 19.00,"6,66002945","9,23381089",
19/01/2012 20.00,"8,49132966","11,09367256","11,23320961"
19/01/2012 21.00,"9,60684974","12,33811879",
19/01/2012 22.00,"8,71066857","11,36798338","18,07081032"
19/01/2012 23.00,"8,96634886","10,89458747",
20/01/2012 0.00,"4,85728686","6,37787178","18,55920982"
20/01/2012 1.00,"2,1012555","3,42141884",
20/01/2012 2.00,,,"18,55920982"
20/01/2012 3.00,"8,08509467","9,89008003",
20/01/2012 4.00,"3,12916964","5,12694005","23,93161964"
20/01/2012 5.00,"2,52111731","4,00894776",
20/01/2012 6.00,"3,43481814","4,9291513","13,43101025"
20/01/2012 7.00,"5,37903151","7,55293154",
20/01/2012 8.00,"9,17011643","12,44447188","10,7448101"
