"NetC","ENEL Brindisi"
"Stat","Costa Morena Diga"
,PM10

,,,

27/01/2012 4.00,"19,67987"
27/01/2012 5.00,
27/01/2012 6.00,"18,01997"
27/01/2012 7.00,
27/01/2012 8.00,"19,29538"
27/01/2012 9.00,
27/01/2012 10.00,"20,17783"
27/01/2012 11.00,
27/01/2012 12.00,"17,54233"
27/01/2012 13.00,
27/01/2012 14.00,"17,92852"
27/01/2012 15.00,
27/01/2012 16.00,"19,04607"
27/01/2012 17.00,
27/01/2012 18.00,"17,82317"
27/01/2012 19.00,
27/01/2012 20.00,"13,71849"
27/01/2012 21.00,
27/01/2012 22.00,"18,34552"
27/01/2012 23.00,
28/01/2012 0.00,"15,98136"
28/01/2012 1.00,
28/01/2012 2.00,"15,00203"
28/01/2012 3.00,
28/01/2012 4.00,"19,6294"
28/01/2012 5.00,
28/01/2012 6.00,"14,55623"
28/01/2012 7.00,
28/01/2012 8.00,"28,73983"
28/01/2012 9.00,
28/01/2012 10.00,"23,83739"
28/01/2012 11.00,
28/01/2012 12.00,"20,6145"
28/01/2012 13.00,
28/01/2012 14.00,"20,37161"
28/01/2012 15.00,
28/01/2012 16.00,"18,61449"
28/01/2012 17.00,
28/01/2012 18.00,"22,7229"
28/01/2012 19.00,
28/01/2012 20.00,"18,56368"
28/01/2012 21.00,
28/01/2012 22.00,"15,5376"
28/01/2012 23.00,
29/01/2012 0.00,"23,59281"
29/01/2012 1.00,
29/01/2012 2.00,"33,78081"
29/01/2012 3.00,
29/01/2012 4.00,"29,50643"
29/01/2012 5.00,
29/01/2012 6.00,"36,90515"
29/01/2012 7.00,
29/01/2012 8.00,"28,584"
29/01/2012 9.00,
29/01/2012 10.00,"20,79132"
29/01/2012 11.00,
29/01/2012 12.00,"20,93495"
29/01/2012 13.00,
29/01/2012 14.00,"17,85569"
29/01/2012 15.00,
29/01/2012 16.00,"14,96612"
29/01/2012 17.00,
29/01/2012 18.00,"16,13643"
29/01/2012 19.00,
29/01/2012 20.00,"12,27743"
29/01/2012 21.00,
29/01/2012 22.00,"8,205624"
29/01/2012 23.00,
30/01/2012 0.00,"12,53218"
30/01/2012 1.00,
30/01/2012 2.00,"17,43258"
30/01/2012 3.00,
30/01/2012 4.00,"14,38922"
30/01/2012 5.00,
30/01/2012 6.00,"9,870935"
30/01/2012 7.00,
30/01/2012 8.00,"9,824526"
30/01/2012 9.00,
30/01/2012 10.00,"11,31199"
30/01/2012 11.00,
30/01/2012 12.00,"13,50304"
30/01/2012 13.00,
30/01/2012 14.00,"17,55962"
30/01/2012 15.00,
30/01/2012 16.00,"19,67987"
30/01/2012 17.00,
30/01/2012 18.00,"23,03523"
30/01/2012 19.00,
30/01/2012 20.00,"23,43157"
30/01/2012 21.00,
30/01/2012 22.00,"21,0088"
30/01/2012 23.00,
31/01/2012 0.00,"23,84009"
31/01/2012 1.00,
31/01/2012 2.00,"24,94105"
31/01/2012 3.00,
31/01/2012 4.00,"19,29878"
31/01/2012 5.00,
31/01/2012 6.00,"20,91463"
31/01/2012 7.00,
31/01/2012 8.00,"20,92614"
31/01/2012 9.00,
31/01/2012 10.00,"17,95968"
31/01/2012 11.00,
31/01/2012 12.00,"22,45731"
31/01/2012 13.00,
31/01/2012 14.00,"28,87093"
31/01/2012 15.00,
31/01/2012 16.00,"27,06436"
31/01/2012 17.00,
31/01/2012 18.00,"20,62974"
31/01/2012 19.00,
31/01/2012 20.00,"13,56402"
31/01/2012 21.00,
31/01/2012 22.00,"24,69478"
31/01/2012 23.00,
01/02/2012 0.00,"31,43123"
01/02/2012 1.00,
01/02/2012 2.00,"21,04166"
01/02/2012 3.00,
01/02/2012 4.00,"29,11381"
01/02/2012 5.00,
01/02/2012 6.00,"35,38448"
01/02/2012 7.00,
01/02/2012 8.00,"23,86652"
01/02/2012 9.00,
01/02/2012 10.00,"22,92378"
01/02/2012 11.00,
01/02/2012 12.00,"21,4275"
01/02/2012 13.00,
01/02/2012 14.00,"23,17107"
01/02/2012 15.00,
01/02/2012 16.00,"16,22357"
01/02/2012 17.00,
01/02/2012 18.00,"9,806911"
01/02/2012 19.00,
01/02/2012 20.00,"14,33096"
01/02/2012 21.00,
01/02/2012 22.00,"11,46341"
01/02/2012 23.00,
02/02/2012 0.00,"8,411247"
02/02/2012 1.00,
02/02/2012 2.00,"15,39634"
02/02/2012 3.00,
02/02/2012 4.00,"14,16023"
02/02/2012 5.00,
02/02/2012 6.00,"9,800474"
02/02/2012 7.00,
02/02/2012 8.00,"15,59214"
02/02/2012 9.00,
02/02/2012 10.00,"12,56131"
02/02/2012 11.00,
02/02/2012 12.00,"21,80928"
02/02/2012 13.00,
02/02/2012 14.00,"21,00305"
02/02/2012 15.00,
02/02/2012 16.00,"17,6521"
02/02/2012 17.00,
02/02/2012 18.00,"30,00812"
02/02/2012 19.00,
02/02/2012 20.00,"37,49932"
02/02/2012 21.00,
02/02/2012 22.00,"28,83536"
02/02/2012 23.00,
03/02/2012 0.00,"27,87364"
03/02/2012 1.00,
03/02/2012 2.00,"33,06301"
03/02/2012 3.00,
03/02/2012 4.00,"33,99863"
03/02/2012 5.00,
03/02/2012 6.00,"46,96511"
03/02/2012 7.00,
03/02/2012 8.00,"46,32249"
03/02/2012 9.00,
03/02/2012 10.00,"52,64566"
03/02/2012 11.00,
03/02/2012 12.00,"42,32519"
03/02/2012 13.00,
03/02/2012 14.00,"31,08536"
03/02/2012 15.00,
03/02/2012 16.00,"26,25745"
03/02/2012 17.00,
03/02/2012 18.00,"34,52336"
03/02/2012 19.00,
03/02/2012 20.00,"27,73983"
03/02/2012 21.00,
03/02/2012 22.00,"30,59553"
03/02/2012 23.00,
04/02/2012 0.00,"41,00405"
04/02/2012 1.00,
04/02/2012 2.00,"37,9817"
04/02/2012 3.00,
04/02/2012 4.00,"33,16157"
04/02/2012 5.00,
04/02/2012 6.00,"27,52235"
04/02/2012 7.00,
04/02/2012 8.00,"23,52066"
04/02/2012 9.00,
04/02/2012 10.00,"28,76388"
04/02/2012 11.00,
04/02/2012 12.00,"23,68394"
04/02/2012 13.00,
04/02/2012 14.00,"15,06334"
04/02/2012 15.00,
04/02/2012 16.00,"13,47628"
04/02/2012 17.00,
04/02/2012 18.00,"30,50745"
04/02/2012 19.00,
04/02/2012 20.00,"37,28286"
04/02/2012 21.00,
04/02/2012 22.00,"26,38888"
04/02/2012 23.00,
05/02/2012 0.00,"24,56775"
05/02/2012 1.00,
05/02/2012 2.00,"14,64481"
05/02/2012 3.00,
05/02/2012 4.00,"18,89668"
05/02/2012 5.00,
05/02/2012 6.00,"32,20935"
05/02/2012 7.00,
05/02/2012 8.00,"35,43191"
05/02/2012 9.00,
05/02/2012 10.00,"31,31063"
05/02/2012 11.00,
05/02/2012 12.00,"35,8086"
05/02/2012 13.00,
05/02/2012 14.00,"26,56572"
05/02/2012 15.00,
05/02/2012 16.00,"15,57012"
05/02/2012 17.00,
05/02/2012 18.00,"11,29234"
05/02/2012 19.00,
05/02/2012 20.00,"10,52439"
05/02/2012 21.00,
05/02/2012 22.00,"15,35399"
05/02/2012 23.00,
06/02/2012 0.00,"11,03353"
06/02/2012 1.00,
06/02/2012 2.00,"13,12737"
06/02/2012 3.00,
06/02/2012 4.00,"13,76964"
06/02/2012 5.00,
06/02/2012 6.00,"17,15413"
06/02/2012 7.00,
06/02/2012 8.00,"12,97967"
06/02/2012 9.00,
06/02/2012 10.00,"23,09823"
06/02/2012 11.00,
06/02/2012 12.00,"22,02405"
06/02/2012 13.00,
06/02/2012 14.00,"18,88719"
06/02/2012 15.00,
06/02/2012 16.00,"19,62364"
06/02/2012 17.00,
06/02/2012 18.00,"21,03828"
06/02/2012 19.00,
06/02/2012 20.00,"25,38414"
06/02/2012 21.00,
06/02/2012 22.00,"24,44342"
06/02/2012 23.00,
07/02/2012 0.00,"26,43157"
07/02/2012 1.00,
07/02/2012 2.00,"34,40108"
07/02/2012 3.00,
07/02/2012 4.00,"40,27743"
07/02/2012 5.00,
07/02/2012 6.00,"34,81909"
07/02/2012 7.00,
07/02/2012 8.00,"32,98881"
07/02/2012 9.00,
07/02/2012 10.00,"45,18122"
07/02/2012 11.00,
07/02/2012 12.00,"44,62838"
07/02/2012 13.00,
07/02/2012 14.00,"40,75576"
07/02/2012 15.00,
07/02/2012 16.00,"36,95731"
07/02/2012 17.00,
07/02/2012 18.00,"32,8716"
07/02/2012 19.00,
07/02/2012 20.00,"32,65311"
07/02/2012 21.00,
07/02/2012 22.00,"23,67242"
07/02/2012 23.00,
08/02/2012 0.00,"29,12974"
08/02/2012 1.00,
