"NetC","Provincia di TARANTO","","","","","",""
"Stat","MANDURIA","","","","","",""
,NO2,NOX,CO,O3,PM10
11/01/2012 22.00,"42,781743","66,019313","1,298103","20,378067","54,45665"
11/01/2012 23.00,"21,642004","35,424674","0,832787","30,348419",
12/01/2012 0.00,"15,717231","26,818763","0,649583","33,650423","67,88765"
12/01/2012 1.00,"10,198673","18,145431","0,545744","37,272008",
12/01/2012 2.00,,,"0,568167","33,542094","45,66544"
12/01/2012 3.00,"10,113859","17,216872",,"37,025506",
12/01/2012 4.00,"8,550382","14,940092","0,387407",,"27,35042"
12/01/2012 5.00,"9,13702","15,877579","0,40431","39,941655",
12/01/2012 6.00,"19,592664","28,50832","0,493499","23,204782","15,87301"
12/01/2012 7.00,"26,531083","40,468684","0,497867","26,513571",
12/01/2012 8.00,"36,117182","56,469426","0,786246","19,843204","13,18681"
12/01/2012 9.00,"54,010939","117,497941","1,277771","14,667772",
12/01/2012 10.00,"33,886126","66,455003","0,807708","28,950961","16,36141"
12/01/2012 11.00,"27,472055","53,458601","0,575317","41,109588",
12/01/2012 12.00,"36,998443","80,950351","0,703859","42,999231","19,78022"
12/01/2012 13.00,"38,727196","79,207638","0,793959","41,804228",
12/01/2012 14.00,"27,743291","50,79136","0,683688","54,182206","12,69841"
12/01/2012 15.00,"25,072265","45,323368","0,657669","57,608799",
12/01/2012 16.00,"33,071059","58,188792","0,770142","49,987157","14,16361"
12/01/2012 17.00,"50,275656","89,800024","1,19747","31,979452",
12/01/2012 18.00,"76,652326","142,830737","1,842755","17,252779","20,757021"
12/01/2012 19.00,"95,721948","204,828916","2,514479","13,270327",
12/01/2012 20.00,"88,385083","177,37633","2,698553","19,695602","45,909641"
12/01/2012 21.00,"88,832836","174,38883","2,798567","12,594627",
12/01/2012 22.00,"72,408282","120,963922","2,569366","12,623053","94,993881"
12/01/2012 23.00,"50,924587","77,611462","1,96575","9,767234",
13/01/2012 0.00,"39,347584","55,660325","2,02512","9,052939","125,030502"
13/01/2012 1.00,"28,563559","41,350401","1,440763","7,999435",
13/01/2012 2.00,,,"0,990643","9,670415","99,63369"
13/01/2012 3.00,"23,998946","34,208413",,"6,882291",
13/01/2012 4.00,"21,879513","30,996599","0,741501",,"64,95726"
13/01/2012 5.00,"21,947007","33,771425","0,659234","11,520127",
13/01/2012 6.00,"33,581125","83,477538","0,571619","14,457882","45,17704"
13/01/2012 7.00,"53,581332","205,972685","1,369711","1,807067",
13/01/2012 8.00,"77,960575","420,922399","2,883361","1,229536","35,164822"
13/01/2012 9.00,"124,574924","604,789481","4,030432","4,918824",
13/01/2012 10.00,"63,202457","206,990434","1,850871","10,814637","44,444431"
13/01/2012 11.00,"18,915187","46,269941","0,574579","44,941724",
13/01/2012 12.00,"13,355097","29,164423","0,437467","63,160661","56,654442"
13/01/2012 13.00,"14,837267","29,122933","0,480819","69,271783",
13/01/2012 14.00,"22,06251","38,864726","0,638792","68,516862","30,036631"
13/01/2012 15.00,"19,146193","29,961862","0,607348","68,444419",
13/01/2012 16.00,"28,624551","44,374191","0,654114","58,427365","21,48962"
13/01/2012 17.00,"68,284934","128,590851","1,536407","23,254898",
13/01/2012 18.00,"81,916482","160,272076","1,852616","16,606189","20,51281"
13/01/2012 19.00,"88,07618","207,974543","2,395904","16,749729",
13/01/2012 20.00,"100,184037","244,191649","2,502901","12,096982","40,537231"
13/01/2012 21.00,"102,2697","255,346839","2,704073","9,555314",
13/01/2012 22.00,"102,923741","277,672683","4,190756","30,800685","85,714272"
13/01/2012 23.00,"72,172053","150,119245","3,444627","11,99136",
14/01/2012 0.00,"50,58714","91,891559","2,322626","3,860582","117,216103"
14/01/2012 1.00,"48,902514","85,110021","1,849809","1,903886",
14/01/2012 2.00,,,"1,061617","10,897235","144,810593"
14/01/2012 3.00,"22,053964","30,573872",,"18,809569",
14/01/2012 4.00,"18,338932","25,955189","0,724002",,"104,029198"
14/01/2012 5.00,"13,002081","19,311124","0,510873","38,917941",
14/01/2012 6.00,"13,907996","20,907299","0,484203","34,82919","64,224663"
14/01/2012 7.00,"26,854249","48,466464","0,61325","27,800644",
14/01/2012 8.00,"39,847264","88,33612","0,854748","20,842523","42,97924"
14/01/2012 9.00,"69,331011","181,691605","1,513756","13,96093",
14/01/2012 10.00,"59,860454","149,559103","1,38916","13,122723","26,86202"
14/01/2012 11.00,"43,581245","95,629806","1,020538","24,55823",
14/01/2012 12.00,"30,341641","65,450091","0,741015","37,072964","20,02442"
14/01/2012 13.00,"55,031068","135,214173","1,140683","28,618534",
14/01/2012 14.00,"33,880944","77,844861","0,783416","46,917374","20,757021"
14/01/2012 15.00,"25,369505","48,482029","0,830606","53,122621",
14/01/2012 16.00,"35,010096","62,846408","1,041021","45,458308","14,40781"
14/01/2012 17.00,"46,029026","78,790117","1,332124","36,022838",
14/01/2012 18.00,"61,569747","103,294363","1,711836","24,761342","22,710621"
14/01/2012 19.00,"56,514531","94,639161","1,506815","20,983369",
14/01/2012 20.00,"55,821469","92,004348","1,591427","21,153304","34,920631"
14/01/2012 21.00,"72,338204","127,518501","2,143755","22,628607",
14/01/2012 22.00,"52,034276","81,567544","1,48373","17,939994","56,410252"
14/01/2012 23.00,"30,771249","45,6268","1,14819","26,513571",
15/01/2012 0.00,"27,571977","41,273883","1,174105","25,764068","62,026852"
15/01/2012 1.00,"21,756207","32,891006","0,961502","28,416781",
15/01/2012 2.00,,,"0,741205","25,845305","52,014641"
15/01/2012 3.00,"17,679605","25,859244",,"29,207579",
15/01/2012 4.00,"11,438142","18,354194","0,460153",,"35,409031"
15/01/2012 5.00,"11,157806","18,581108","0,430896","30,085717",
15/01/2012 6.00,"13,641932","20,681683","0,466782","29,315229","26,86202"
15/01/2012 7.00,"18,828229","28,58352","0,547964","26,971922",
15/01/2012 8.00,"36,932227","66,665054","0,789565","18,348254","15,14041"
15/01/2012 9.00,"27,173534","46,662797","0,766898","33,980837",
15/01/2012 10.00,"26,287093","52,471836","0,698402","44,972188","21,73382"
15/01/2012 11.00,"36,287198","77,356022","0,744192","36,355284",
15/01/2012 12.00,"44,289872","91,870793","0,86743","35,289595","19,78022"
15/01/2012 13.00,"41,72917","86,124013","0,813069","42,918676",
15/01/2012 14.00,"21,693915","41,977999","0,610364","57,805803","18,55921"
15/01/2012 15.00,"12,739904","25,99928","0,53223","61,335995",
15/01/2012 16.00,"20,484306","39,105907","0,641222","56,128747","28,08301"
15/01/2012 17.00,"31,339706","57,299311","0,854821","43,753482",
15/01/2012 18.00,"52,392488","88,131247","1,340538","30,901572","18,31501"
15/01/2012 19.00,"54,423664","84,857178","1,583928","28,550165",
15/01/2012 20.00,"63,673594","109,601306","1,902825","24,567028","38,339432"
15/01/2012 21.00,"49,753908","82,444101","1,501225","21,986077",
15/01/2012 22.00,"32,401362","47,206131","1,202403","33,109459","60,073261"
15/01/2012 23.00,"24,2715","36,744681","0,927203","32,355908",
16/01/2012 0.00,"19,983326","33,021979","0,717488","35,134543","57,387051"
16/01/2012 1.00,"14,049456","25,669938","0,564726","33,545485",
16/01/2012 2.00,,,"0,537793","34,592901","39,072041"
16/01/2012 3.00,"13,201308","20,366929",,"32,410013",
16/01/2012 4.00,"9,663955","16,283428","0,530145",,"21,001221"
16/01/2012 5.00,"8,083147","14,529052","0,489186","42,090631",
16/01/2012 6.00,"17,40835","28,6652","0,495671","32,570511","20,02442"
16/01/2012 7.00,"30,668707","46,703026","0,567727","25,119505",
16/01/2012 8.00,"47,585166","82,329991","1,015652","16,998202","14,65201"
16/01/2012 9.00,"68,330344","162,966545","1,769549","15,216188",
16/01/2012 10.00,"40,614303","90,284982","0,929678","31,496023","15,62881"
16/01/2012 11.00,"29,722555","70,057114","0,733304","45,390618",
16/01/2012 12.00,"28,52461","68,445373","0,820076","50,171316","24,17581"
16/01/2012 13.00,"33,683664","79,629046","0,851704","48,29181",
16/01/2012 14.00,"34,096389","78,682491","0,909539","47,029094","16,11721"
16/01/2012 15.00,"21,745845","43,172215","0,766906","52,328431",
16/01/2012 16.00,"31,237163","66,569091","0,854133","41,379732","18,80341"
16/01/2012 17.00,"51,363278","103,853221","1,297391","28,58061",
16/01/2012 18.00,"66,761229","124,778666","1,786616","21,29481","23,93162"
16/01/2012 19.00,"69,363461","130,263544","2,096951","17,826243",
16/01/2012 20.00,"68,126588","130,891138","2,092096","14,913547","42,246632"
16/01/2012 21.00,"67,355651","132,082754","2,209205","16,645462",
16/01/2012 22.00,"56,868844","93,164856","1,863451","15,252744","69,84127"
16/01/2012 23.00,"44,37813","69,158551","1,709439","14,374606",
17/01/2012 0.00,"28,370159","41,652536","1,29614","11,941943","86,446869"
17/01/2012 1.00,"20,111811","30,140805","1,143495","14,958233",
17/01/2012 2.00,,,"0,83646","20,359114","73,992661"
17/01/2012 3.00,"11,871634","19,54582",,"22,759957",
17/01/2012 4.00,"9,952082","17,266298","0,605739",,"50,54945"
17/01/2012 5.00,"8,804763","16,38457","0,548493","30,953044",
17/01/2012 6.00,"18,726987","27,897589","0,628766","23,612361","38,58363"
17/01/2012 7.00,"29,50191","43,361501","0,641397","18,610279",
17/01/2012 8.00,"38,050997","59,913359","0,779786","17,242623","24,17581"
17/01/2012 9.00,"59,125865","121,444978","1,554391","17,398345",
17/01/2012 10.00,"41,552652","90,716769","1,090066","21,461353","23,93162"
