"NetC","Provincia di TARANTO","","","","","",""
"Stat","Massafra (TA) Via Frappietro","","","","","",""
,SO2,NO2,NOX,O3,BENZENE
06/01/2012 9.00,"1,599273","2,437404","3,435686","69,015825","0,652609"
06/01/2012 10.00,"1,834063","2,903339","4,075743","59,640324","0,890333"
06/01/2012 11.00,"1,480073","3,395882","4,803345","63,564252","0,969659"
06/01/2012 12.00,"1,220902","3,874148","5,641191","69,273526","1,104259"
06/01/2012 13.00,"1,326557","4,760595","6,522486","68,207213","1,144837"
06/01/2012 14.00,"1,23806","5,558138","7,508835","63,963911","1,354339"
06/01/2012 15.00,"1,464721","5,31219","8,008171","61,064897","1,520059"
06/01/2012 16.00,"1,661583","6,566584","9,831067","60,070406","1,545942"
06/01/2012 17.00,"1,83948","6,384233","8,854447","64,32808","1,447699"
06/01/2012 18.00,"1,592049","6,652244","8,705294","67,016678","1,451564"
06/01/2012 19.00,"1,466527","6,064958","7,990661","64,633932","1,65771"
06/01/2012 20.00,"1,506261","6,350488","9,027591","61,045464","1,580977"
06/01/2012 21.00,"1,586631","6,780084","9,908887","60,410055","1,486295"
06/01/2012 22.00,"1,631783","6,266775","8,9381","61,07842","1,377984"
06/01/2012 23.00,"1,846705","4,807318","6,97902","63,881096","1,212925"
07/01/2012 0.00,"1,996609","3,682064","5,409681","64,432837","1,003779"
07/01/2012 1.00,"1,90179","2,796265","4,121786","63,921659","0,883417"
07/01/2012 2.00,"1,946942","2,275819","3,176291","60,223343","0,81243"
07/01/2012 3.00,"1,679644","1,997424","2,900035","56,922995","0,745766"
07/01/2012 4.00,"1,496327","2,136299","3,162672","54,410972","0,738545"
07/01/2012 5.00,"1,778074","1,746287","2,431179","56,29856","0,768242"
07/01/2012 6.00,"1,502649","2,179776","3,014168","55,558395","0,760919"
07/01/2012 7.00,"1,664292","3,135659","4,144481","54,891747","0,802159"
07/01/2012 8.00,"1,310303","3,765776","5,108135","54,775137","0,822753"
07/01/2012 9.00,"1,65165","4,518542","6,368145","50,018101","0,971743"
07/01/2012 10.00,"1,606498","4,563967","6,934275","45,452882","1,032357"
07/01/2012 11.00,"1,649843","4,570456","6,678123","52,879928","1,177737"
07/01/2012 12.00,"1,512582","4,381617","6,458933","56,594301","0,980388"
07/01/2012 13.00,"1,406927","4,521138","6,49071","56,813151","1,170719"
07/01/2012 14.00,"1,266054","3,788488","5,217729","57,254207","1,12109"
07/01/2012 15.00,"1,222709","3,258308","4,506988","58,512334","1,099682"
07/01/2012 16.00,"1,341006","4,585381","6,184624","59,553304","1,262758"
07/01/2012 17.00,"1,577601","7,61267","9,399175","54,840194","1,604623"
07/01/2012 18.00,"1,283212","14,330455","16,931355","46,431311","2,000134"
07/01/2012 19.00,"1,604692","22,251358","27,010135","34,935023","3,709914"
07/01/2012 20.00,"1,965906","17,972277","22,492118","40,435599","2,799242"
07/01/2012 21.00,"2,028215","19,723101","24,178845","40,254789","2,710254"
07/01/2012 22.00,"1,516194","21,406445","25,547799","32,317384","2,655692"
07/01/2012 23.00,"2,042664","13,686057","16,400244","37,373533","2,334879"
08/01/2012 0.00,"1,564055","7,648359","9,510066","45,903234","1,703831"
08/01/2012 1.00,"1,478267","11,686681","14,358806","43,612596","1,281217"
08/01/2012 2.00,,"13,515385","16,829542","37,960761","1,426698"
08/01/2012 3.00,"1,505358",,,"41,776538","1,175093"
08/01/2012 4.00,"1,117957","7,189561","8,488698",,"1,046849"
08/01/2012 5.00,"1,46743","4,658712","5,533542","43,147043","0,903198"
08/01/2012 6.00,"1,111635","8,102616","9,79151","36,557319","0,947132"
08/01/2012 7.00,"1,369","13,057885","15,683665","26,818505","1,382967"
08/01/2012 8.00,"1,804263","23,280569","38,194588","22,434074","1,332931"
08/01/2012 9.00,"1,440339","17,774354","22,813772","23,603483","2,110529"
08/01/2012 10.00,"2,204307","23,772469","35,307526","21,151449","2,575502"
08/01/2012 11.00,"2,118519","26,945758","45,324724","19,741257","2,63942"
08/01/2012 12.00,"2,114906","10,379731","13,723288","42,501501","2,278131"
08/01/2012 13.00,"1,625462","10,811922","13,771925","53,077652","1,781886"
08/01/2012 14.00,"1,721183","11,356381","14,653868","46,83943","2,425799"
08/01/2012 15.00,"1,976742","8,17984","10,597579","52,6915","2,193313"
08/01/2012 16.00,"1,845802","7,876786","9,825881","55,781477","1,90896"
08/01/2012 17.00,"1,731117","9,280435","11,050224","54,030745","1,846618"
08/01/2012 18.00,"1,963196","11,919006","14,406145","51,703756","2,083375"
08/01/2012 19.00,"1,819614","15,3058","18,424822","47,262746","2,490124"
08/01/2012 20.00,"2,108585","19,423301","23,341637","40,73048","2,705067"
08/01/2012 21.00,"2,511338","38,88943","51,974297","19,101638","3,420832"
08/01/2012 22.00,"2,641375","25,685521","31,791415","22,106236","4,14041"
08/01/2012 23.00,"1,852123","15,913854","19,505842","34,405253","2,635555"
09/01/2012 0.00,"1,257926","13,166907","16,175219","36,919791","2,081036"
09/01/2012 1.00,"1,005077","9,213593","11,387437","41,614305","1,410274"
09/01/2012 2.00,"1,27689","3,856626","5,379202","57,39278","0,945352"
09/01/2012 3.00,"0,7441","3,795628","5,26442","50,036697","0,791633"
09/01/2012 4.00,"1,401509","6,13634","7,671605","39,086221","0,897147"
09/01/2012 5.00,"0,975277","5,955935","7,15022","33,276399","1,067036"
09/01/2012 6.00,"1,028556","4,136319","5,158067","46,493852","0,832313"
09/01/2012 7.00,"0,862398","7,488073","9,272072","41,333766","0,986185"
09/01/2012 8.00,"0,986114","10,08836","12,704515","40,2117","1,262656"
09/01/2012 9.00,"1,377127","16,095553","26,914803","42,065494","1,400104"
09/01/2012 10.00,"2,281064","25,564185","53,146103","11,6636","2,705728"
09/01/2012 11.00,"1,291339","8,969593","14,102653","46,2995","1,82043"
09/01/2012 12.00,"1,009592","12,431667","19,142045","47,001663","1,801514"
09/01/2012 13.00,"1,170332","11,627633","16,922925","43,273766","1,545942"
09/01/2012 14.00,"1,371709","7,244073","10,463343","50,418617",
09/01/2012 15.00,"1,078222","6,565286","9,327193","54,5673",
09/01/2012 16.00,"0,867816","9,005935","12,334229","51,15202",
09/01/2012 17.00,"0,977986","13,826226","17,024089","46,025749",
09/01/2012 18.00,"1,981257","34,83876","47,450448","25,141289",
09/01/2012 19.00,"2,826497","43,256763","65,730009","11,912853",
09/01/2012 20.00,"3,771973","39,888795","76,718618","8,280445",
09/01/2012 21.00,"3,147074","28,32735","40,156262","16,594689",
09/01/2012 22.00,"3,342129","24,780914","33,572825","18,950392",
09/01/2012 23.00,"2,858103","16,522556","22,143884","26,180564",
10/01/2012 0.00,"2,352404","11,007894","14,435328","32,815914",
10/01/2012 1.00,"1,975839","7,317404","9,68451","34,296243",
10/01/2012 2.00,,"6,354383","8,100905","33,750412",
10/01/2012 3.00,"1,502649",,,"37,327049",
10/01/2012 4.00,"1,406024","4,022106","5,327323",,
10/01/2012 5.00,"1,471043","3,362787","4,439544","37,378598",
10/01/2012 6.00,"1,565862","4,55034","5,731331","36,539564",
10/01/2012 7.00,"1,463819","8,003978","9,903051","35,580565",
10/01/2012 8.00,"1,61011","11,678899","14,703801","35,05584",
10/01/2012 9.00,"1,519807","16,329171","22,104976","30,107024",
10/01/2012 10.00,"1,365388","12,142238","17,94494","34,15767",
10/01/2012 11.00,"1,364484","13,503708","18,733501","35,256936",
10/01/2012 12.00,"1,397897","10,262267","14,601339","38,578411",
10/01/2012 13.00,"1,271473","11,796353","15,876266","41,47996",
10/01/2012 14.00,"1,250703","15,89763","20,909823","35,704754",
10/01/2012 15.00,"1,566765","10,751563","14,616255","42,472753",
10/01/2012 16.00,"1,343715","11,520553","14,385395","45,134341",
10/01/2012 17.00,"1,460207","13,489427","16,445638","42,115349",
10/01/2012 18.00,,,,,"1,843211"
10/01/2012 19.00,"2,59532","23,625149","32,496333","21,006971","3,933807"
10/01/2012 20.00,"3,127208","28,332531","52,447056","10,09454","4,748271"
10/01/2012 21.00,"3,801774","29,364993","58,424809","4,743514","5,925143"
10/01/2012 22.00,"3,805386","18,995005","38,038321","13,49628","5,014115"
10/01/2012 23.00,"2,049887","8,101968","11,01326","37,577163","2,333354"
11/01/2012 0.00,"1,558637","7,676913","10,148178","38,943436","1,619267"
11/01/2012 1.00,"1,298564","7,152574","9,018514","35,150482","1,562722"
11/01/2012 2.00,"1,087253","6,844329","8,764305","33,598316","1,226146"
11/01/2012 3.00,"1,057453","7,152574","8,948477","31,691274","1,051222"
11/01/2012 4.00,"0,745003","4,307638","5,94987","33,415812","1,074104"
11/01/2012 5.00,"0,921998","4,202511","5,654809","44,874095","0,916622"
11/01/2012 6.00,"0,750421","5,26352","6,579553","45,692843","0,912046"
11/01/2012 7.00,"0,702561","8,89886","11,366037","37,974288","1,03973"
11/01/2012 8.00,"0,930125","15,198083","19,878068","27,828195","1,287522"
11/01/2012 9.00,"1,230835","14,479056","20,869612","27,968465","1,577977"
11/01/2012 10.00,"1,158593","14,245438","21,721715","36,815868","1,928334"
11/01/2012 11.00,"0,99695","18,387593","26,342197","44,090836","1,39507"
11/01/2012 12.00,"0,893101","11,963781","16,936543","48,819985","1,246639"
11/01/2012 13.00,"0,906646","10,938462","15,145422","48,483689","1,413935"
11/01/2012 14.00,"0,90484","11,458903","15,945006","48,974596","1,702661"
11/01/2012 15.00,"0,981598","8,362839","11,290165","53,566866","1,576096"
11/01/2012 16.00,"0,711591","9,645785","12,635774","51,206943","1,762969"
11/01/2012 17.00,"0,814537","14,292807","17,103853","44,715233","2,352473"
11/01/2012 18.00,"1,222709","24,593368","30,360227","31,141232","3,862261"
11/01/2012 19.00,"1,455691","21,788653","27,261754","34,940928","3,694863"
11/01/2012 20.00,"1,654359","29,45325","36,148596","30,903786","3,262587"
11/01/2012 21.00,"2,536623","42,156176","54,933326","16,536379","4,491174"
11/01/2012 22.00,"3,120886","42,822624","72,955455","7,99908","6,291721"
11/01/2012 23.00,"2,51766","25,470727","35,026081","15,688905","3,830378"
12/01/2012 0.00,"2,212434","21,605025","29,017849","20,064014","2,659201"
12/01/2012 1.00,"1,403316","7,202542","9,844036","40,699217","1,627963"
12/01/2012 2.00,,"6,227191","8,514638","44,635812","1,021017"
12/01/2012 3.00,"1,039392",,,"32,545511","1,26108"
12/01/2012 4.00,"0,959022","9,22852","11,471092",,"1,13548"
12/01/2012 5.00,"0,76487","7,146733","9,061314","36,684898","1,04451"
12/01/2012 6.00,"0,835307","22,797101","32,017108","22,687558","1,29042"
12/01/2012 7.00,"2,045372","34,023715","65,321474","13,418548","2,440495"
12/01/2012 8.00,"4,201818","44,014068","115,69531","3,874912","5,41822"
12/01/2012 9.00,"4,753572","46,382041","125,827938","3,213321","5,576414"
12/01/2012 10.00,"1,203744","40,239855","79,070049","9,270719","3,320098"
12/01/2012 11.00,"2,067045","31,956844","51,419855","13,213226","2,607944"
12/01/2012 12.00,"1,343715","13,59326","18,487723","37,000905","1,842499"
12/01/2012 13.00,"0,626706","13,489427","18,824938","42,343476","1,47343"
12/01/2012 14.00,"0,582457","12,21167","16,343176","44,881693","1,545179"
12/01/2012 15.00,"0,169771","10,93262","13,978792","53,804312","1,448005"
12/01/2012 16.00,"0,325995","14,059192","17,21215","53,353103","1,718171"
12/01/2012 17.00,"0,226662","23,931452","27,880402","40,498978","2,231705"
12/01/2012 18.00,"1,184781","35,511057","44,215152","22,533784","4,30313"
12/01/2012 19.00,"1,563152","29,732938","37,027293","21,77333","4,414797"
12/01/2012 20.00,"2,23501","36,096398","54,054628","18,373296","4,519548"
12/01/2012 21.00,"3,975157","49,441774","88,434855","8,868527","5,178462"
12/01/2012 22.00,"7,012963","48,363904","121,728185","5,218371","9,973109"
12/01/2012 23.00,"5,127428","41,414436","120,846888","1,229393","7,63289"
13/01/2012 0.00,"2,382205","30,567469","66,026352","0,828045","4,207787"
13/01/2012 1.00,"0,411783","21,157905","31,783002","6,592248","2,306302"
13/01/2012 2.00,"0,002709","10,819706","16,455366","15,062809","1,711306"
13/01/2012 3.00,,"8,094828","11,859535","14,362344","1,599182"
13/01/2012 4.00,,"8,530913","11,817386","15,550338","1,530178"
13/01/2012 5.00,,"7,845637","10,773321","17,413432","1,497888"
13/01/2012 6.00,"0,152613","23,019046","42,743064","10,016805","1,830091"
13/01/2012 7.00,"2,824691","44,770071","125,129479","1,913798","4,774204"
13/01/2012 8.00,"5,647576","51,95445","186,456959","2,880413","7,277804"
13/01/2012 9.00,"15,993636","60,96817","300,395275","2,724943","11,84027"
13/01/2012 10.00,"8,324169","89,589491","187,635913","1,95351","8,795371"
13/01/2012 11.00,"3,485711","47,345058","76,734832","11,619656","4,39705"
13/01/2012 12.00,"2,191664","39,843362","69,641044","15,425285","2,593858"
13/01/2012 13.00,"0,486735","27,547962","41,535599","27,401505","2,262825"
13/01/2012 14.00,"0,009933","27,69138","39,151124","32,667208","2,257689"
13/01/2012 15.00,"0,051473","31,665471","44,424612","29,055898","2,920366"
13/01/2012 16.00,"0,00903","31,836786","41,53755","31,798585","2,860261"
13/01/2012 17.00,"0,110171","49,41063","69,79085","15,589205","3,59179"
13/01/2012 18.00,"5,354993","68,746341","173,876929","9,082297","5,304214"
13/01/2012 19.00,"8,49123","70,19344","213,153771","5,486218","9,551664"
13/01/2012 20.00,"11,530837","70,120766","266,426088","4,191764","9,842779"
13/01/2012 21.00,"10,599815","70,467946","241,022507","2,686076","7,406099"
13/01/2012 22.00,"6,024141","49,40543","91,053454","4,975027","7,088032"
13/01/2012 23.00,"1,453885","24,410369","32,183127","19,903488","3,322285"
14/01/2012 0.00,"0,37205","20,647191","27,686504","29,292485","2,218484"
14/01/2012 1.00,"0,085788","18,949578","25,617835","29,811285","1,895637"
14/01/2012 2.00,,"9,568562","14,168151","46,83943","1,292658"
14/01/2012 3.00,,,,"48,708444","0,998847"
14/01/2012 4.00,,"8,584774","11,479521",,"0,764225"
14/01/2012 5.00,,"5,229127","7,288349","48,678878","0,787768"
14/01/2012 6.00,,"7,08703","9,65468","55,224652","0,852043"
14/01/2012 7.00,,"5,977998","8,573651","54,190444","0,920741"
14/01/2012 8.00,,"9,712625","14,782268","52,220022","0,960556"
14/01/2012 9.00,,"9,659412","13,835476","52,011328","1,184856"
14/01/2012 10.00,,"14,974199","22,432463","49,485797","1,129785"
14/01/2012 11.00,,"16,890503","24,872729","36,504929","1,968556"
14/01/2012 12.00,,"11,27591","15,343859","44,633277","1,484413"
14/01/2012 13.00,,"11,999475","16,185594","45,275429","1,759562"
14/01/2012 14.00,,"11,953398","16,537076","43,757931","2,338286"
14/01/2012 15.00,,"10,897581","14,462565","47,298237","2,485243"
14/01/2012 16.00,,"13,583524","17,334066","46,652695","2,592129"
14/01/2012 17.00,,"21,889895","26,130138","37,345641","3,540635"
14/01/2012 18.00,,"31,115829","38,826868","21,762358","5,304062"
14/01/2012 19.00,,"31,80174","43,016749","17,750566","4,688268"
14/01/2012 20.00,,"36,041236","52,423042","13,768346","4,217194"
14/01/2012 21.00,,"39,088657","57,638844","12,911582","4,286909"
14/01/2012 22.00,,"32,158653","43,278061","17,22501","3,836734"
