"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
,NO2,NOX,CO,O3,PM10
07/01/2012 14.00,"10,566599","28,691662","0,392177","82,063987","11,71875"
07/01/2012 15.00,"4,800131","13,823155","0,370132","87,886552",
07/01/2012 16.00,"9,169328","22,307954","0,414765","82,422646","14,16015"
07/01/2012 17.00,"13,612526","32,359511","0,479856","76,644769",
07/01/2012 18.00,"19,575954","45,390211","0,539771","70,935201","7,8125"
07/01/2012 19.00,"25,397918","60,214632","0,540563","62,781313",
07/01/2012 20.00,"26,77668","59,317121","0,582066","60,863482","9,277344"
07/01/2012 21.00,"33,608524","79,15047","0,688407","53,435036",
07/01/2012 22.00,"33,764139","71,694148","0,579518","49,63115","14,16015"
07/01/2012 23.00,"16,509354","31,334906","0,47948","65,778539",
08/01/2012 0.00,"8,938627","17,016306","0,417562","73,113595","14,16015"
08/01/2012 1.00,"6,317108","13,015141","0,400777","73,797763",
08/01/2012 2.00,"7,648","15,729709","0,398857","70,697676","16,11327"
08/01/2012 3.00,"5,620649","11,18511",,"68,394108",
08/01/2012 4.00,"2,682459","6,062059","0,185148",,"11,71875"
08/01/2012 5.00,"1,470183","3,792354","0,16418","76,351041",
08/01/2012 6.00,"3,859911","7,66512","0,162499","71,354766","11,23046"
08/01/2012 7.00,"5,708794","9,737686","0,189182","65,799528",
08/01/2012 8.00,"4,2027","8,246165","0,192754","69,13377","6,347656"
08/01/2012 9.00,"9,136683","15,445668","0,23982","63,196156",
08/01/2012 10.00,"16,844525","32,843284","0,335714","58,97675","10,2539"
08/01/2012 11.00,"10,385957","22,505099","0,26541","77,256517",
08/01/2012 12.00,"10,487157","23,865622","0,321216","83,382239","8,300781"
08/01/2012 13.00,"18,851206","46,241032","0,311635","70,387053",
08/01/2012 14.00,"11,061734","25,689171","0,24461","80,408697","8,789063"
08/01/2012 15.00,"4,615134","10,816769","0,199478","88,581534",
08/01/2012 16.00,"6,209375","12,934728","0,247173","87,602322","5,371094"
08/01/2012 17.00,"13,27953","28,082078","0,284573","78,733132",
08/01/2012 18.00,"19,291927","34,171379","0,339285","69,428137","9,277344"
08/01/2012 19.00,"17,891392","32,927584","0,275328","66,820012",
08/01/2012 20.00,"20,584726","34,153232","0,323486","59,476855","10,74218"
