"NetC","ENEL Brindisi","","","","","","","","","","","","","","",""
"Stat","Terminale Passeggeri","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5
10/01/2012 2.00,,"19,346686","30,519458","0,679031","52,01043","7,5","0,351323","2,3"
10/01/2012 3.00,,"18,890067","33,709363","0,705207","50,768262","7,5","0,351323","2,3"
10/01/2012 4.00,,"13,21517","20,135693","0,692538",,"7,5","0,361086","2,3"
10/01/2012 5.00,,"7,134377","13,196817","0,695724","51,757622","7,5","0,47916","2,3"
10/01/2012 6.00,,"14,501923","23,883805","0,704219","44,790225","7,5","0,41814","2,3"
10/01/2012 7.00,,"12,383957","20,962689","0,667868","45,591656","7,5","0,350763","2,3"
10/01/2012 8.00,,"17,358264","30,801171","0,646827","40,4505","7,5","0,344712","2,3"
10/01/2012 9.00,,"13,319877","23,006178","0,66283","43,229976","7,5","0,345526","2,3"
10/01/2012 10.00,,"5,958807","9,938903","0,664805","50,292852","7,5","0,326304","2,3"
10/01/2012 11.00,,"9,213482","18,316855","0,648606","49,597136","7,5","0,330525","2,3"
10/01/2012 12.00,,"25,318455","55,633864","0,661842","44,541269","7,5","0,314202","2,3"
10/01/2012 13.00,,"5,382358","8,507493","0,633096","60,269907","7,5","0,304998","2,3"
10/01/2012 14.00,,"1,389309","3,737208","0,624799","62,561683","7,5","0,294421","2,3"
10/01/2012 15.00,,"1,910706","4,274796","0,6166","63,60529","7,5","0,283336","2,3"
10/01/2012 16.00,,"1,671057","4,006003","0,634381","63,397251","7,5","0,271183","2,3"
10/01/2012 17.00,,"2,056436","5,440651","0,638924","63,24208","7,5","0,283336","2,3"
10/01/2012 18.00,,"2,425622","4,883632","0,654433","60,926423","7,5","0,285268","2,3"
10/01/2012 19.00,,"2,234552","4,575976","0,655816","60,387593","7,5","0,287201","2,3"
10/01/2012 20.00,,"2,108252","4,452914","0,693946","59,932313","7,5","0,284455","2,3"
10/01/2012 21.00,,"4,294228","8,491301","0,701158","57,589366","7,5","0,28059","2,3"
10/01/2012 22.00,,"9,83527","19,064947","0,706986","53,225802","7,5","0,292133","2,3"
10/01/2012 23.00,,"10,240081","17,228726","0,726643","52,439694","7,5","0,301846","2,3"
11/01/2012 0.00,,"5,981478","11,509567","0,711728","52,864289","7,5","0,291625","2,3"
11/01/2012 1.00,,"14,858157","28,343181","0,715481","47,852748","7,7","0,286387","3,4"
11/01/2012 2.00,,"19,181527","35,67836","0,724371","42,934973","7,7","0,313846","3,4"
11/01/2012 3.00,,"7,386977","14,673563","0,740275","47,75212","7,7","0,311253","3,4"
11/01/2012 4.00,,"4,167927","6,583834","0,748079","51,70306","7,7","0,320558","3,4"
11/01/2012 5.00,,"2,305799","4,656938","0,735929","53,931712","7,7","0,327982","3,4"
11/01/2012 6.00,,"2,312277","4,666653","0,713505","54,289835","7,7","0,318575","3,4"
11/01/2012 7.00,,"2,24103","4,575976","0,681993","54,346094","7,7","0,314253","3,4"
11/01/2012 8.00,,"5,576667","9,488753","0,684068","50,524773","7,7","0,340339","3,4"
11/01/2012 9.00,,"4,556545","7,843605","0,695626","53,137126","7,7","0,32305","3,4"
11/01/2012 10.00,,"11,043224","18,090162","0,706294","50,287746","7,7","0,326355","3,4"
11/01/2012 11.00,,"7,950474","15,512331","0,71311","53,019459","7,7","0,301235","3,4"
11/01/2012 12.00,,"5,330541","12,030962","0,717061","57,522874","7,7","0,28298","3,4"
11/01/2012 13.00,,"6,175787","10,884539","0,704713","60,83946","7,7","0,277488","3,4"
11/01/2012 14.00,,"7,584525","13,478563","0,701751","60,305718","7,7","0,295133","3,4"
11/01/2012 15.00,,"5,949092","10,282181","0,696218","61,040677","7,7","0,302151","3,4"
11/01/2012 16.00,,"3,070081","6,457533","0,698392","64,128759","7,7","0,296913","3,4"
11/01/2012 17.00,,"3,232006","7,053414","0,664312","65,223496","7,7","0,276573","3,4"
11/01/2012 18.00,,"5,563713","8,669417","0,647124","64,919996","7,7","0,275709","3,4"
11/01/2012 19.00,,"3,735423","8,221278","0,653628","64,32423","7,7","0,260555","3,4"
11/01/2012 20.00,,"9,122803","14,408008","0,679426","60,728638","7,7","0,290353","3,4"
