,ARPA Puglia,
,S.Barbara,
Parm,SO2,NO2



19/01/2008 9.00,"0,450306","10,84537951"
19/01/2008 10.00,"0,56921601","12,58186981"
19/01/2008 11.00,"0,433175","10,01928005"
19/01/2008 12.00,"0,60520601","10,47255215"
19/01/2008 13.00,"0,51307201","8,94418886"
19/01/2008 14.00,"0,49882001","9,93883909"
19/01/2008 15.00,"0,49104601","8,58923099"
19/01/2008 16.00,"0,35212499","8,93269783"
19/01/2008 17.00,"0,420506","7,08384788"
19/01/2008 18.00,"0,67416298","6,82592892"
19/01/2008 19.00,"0,474347","7,7937655"
19/01/2008 20.00,"0,44800201","8,55986294"
19/01/2008 21.00,"0,40884501","7,86399075"
19/01/2008 22.00,"0,42626399","8,00188874"
19/01/2008 23.00,"0,431447","7,99039771"
20/01/2008 0.00,"0,39991999","6,83231304"
20/01/2008 1.00,,"7,27920478"
20/01/2008 2.00,"0,78658497",
20/01/2008 3.00,"0,688425","8,97483223"
20/01/2008 4.00,"0,72034299","7,37113489"
20/01/2008 5.00,"0,67404598","5,85681703"
20/01/2008 6.00,"0,73167801","4,58764802"
20/01/2008 7.00,"0,42835599","6,46075535"
20/01/2008 8.00,"0,498193",
20/01/2008 9.00,"0,47853801",
20/01/2008 10.00,"0,60505003","7,62011722"
20/01/2008 11.00,"0,65386897","7,07874097"
20/01/2008 12.00,"0,87230903","8,16277067"
20/01/2008 13.00,"0,753479","8,72712898"
20/01/2008 14.00,"0,84859502","6,912754"
20/01/2008 15.00,"0,856103","6,21815901"
20/01/2008 16.00,"0,72686601","5,4163094"
20/01/2008 17.00,"0,76281399","6,37776186"
20/01/2008 18.00,"0,72956198","9,27361027"
20/01/2008 19.00,"0,71141398","8,93397503"
20/01/2008 20.00,"0,94736397","8,03763903"
20/01/2008 21.00,"0,76620501","7,55755328"
20/01/2008 22.00,"0,776932","11,693197"
20/01/2008 23.00,"0,51541299","8,10658896"
21/01/2008 0.00,"0,71521199","9,76774333"
21/01/2008 1.00,"0,72002399","10,56958917"
21/01/2008 2.00,"0,73396802","11,84003726"
21/01/2008 3.00,"0,48439401",
21/01/2008 4.00,"0,604702",
21/01/2008 5.00,"0,540721",
21/01/2008 6.00,"0,56037599",
21/01/2008 7.00,"0,44198099",
21/01/2008 8.00,"0,45108399",
21/01/2008 9.00,"0,701819",
21/01/2008 10.00,"0,88349903",
21/01/2008 11.00,"0,82375002",
21/01/2008 12.00,"0,96748298",
21/01/2008 13.00,"1,03334796",
21/01/2008 14.00,"1,080109",
21/01/2008 15.00,"1,43419302",
21/01/2008 16.00,"1,34414995",
21/01/2008 17.00,"1,102054",
21/01/2008 18.00,"0,955046",
21/01/2008 19.00,"0,78957099",
21/01/2008 20.00,"0,725272",
21/01/2008 21.00,"0,568986",
21/01/2008 22.00,"0,60235399",
21/01/2008 23.00,"0,668944",
22/01/2008 0.00,"0,652942",
22/01/2008 1.00,,
22/01/2008 2.00,"0,42247099",
22/01/2008 3.00,"0,45037699",
22/01/2008 4.00,"0,48005101",
22/01/2008 5.00,"0,34199899",
22/01/2008 6.00,"0,49488699",
22/01/2008 7.00,"0,50447899",
22/01/2008 8.00,"0,44356701",
22/01/2008 9.00,"0,23727199",
22/01/2008 10.00,"0,473501","21,09575358"
22/01/2008 11.00,"0,61946398","14,78440418"
22/01/2008 12.00,"0,75699401","7,894636"
22/01/2008 13.00,"0,98093599","6,46713946"
22/01/2008 14.00,"0,53186297","5,20563364"
22/01/2008 15.00,"0,58358902","7,72864716"
22/01/2008 16.00,"0,65073103","7,53073774"
22/01/2008 17.00,"0,40847501","7,00851571"
22/01/2008 18.00,"0,56527501","7,14002959"
22/01/2008 19.00,"0,39624599","9,96437554"
22/01/2008 20.00,"0,587704","17,01119218"
22/01/2008 21.00,"0,58486402","12,0111255"
22/01/2008 22.00,"0,60775697","15,01167977"
22/01/2008 23.00,"0,63093901","16,37278266"
23/01/2008 0.00,"0,79301399","14,30686531"
23/01/2008 1.00,"0,565768","16,1110321"
23/01/2008 2.00,"0,614712","17,26783205"
23/01/2008 3.00,"0,58987701","9,4306606"
23/01/2008 4.00,"0,700342","8,16277067"
23/01/2008 5.00,"0,54690301","7,58053534"
23/01/2008 6.00,"0,59338403","5,24521364"
23/01/2008 7.00,"0,479848","6,92935383"
23/01/2008 8.00,,"6,33307307"
23/01/2008 9.00,"0,404708","6,37393215"
23/01/2008 10.00,"0,20977201","4,36420215"
23/01/2008 11.00,"0,171",
23/01/2008 12.00,"0,27511799",
23/01/2008 13.00,"0,241097",
23/01/2008 14.00,"0,36150101","4,86088961"
23/01/2008 15.00,"0,44116199","4,47017957"
23/01/2008 16.00,"0,54890198","4,21098341"
23/01/2008 17.00,"0,76209402","4,88514886"
23/01/2008 18.00,"0,50198698","5,24138393"
23/01/2008 19.00,"0,46756101","5,02049246"
23/01/2008 20.00,"0,49735001","3,74621653"
