,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO,NO2,PM10



09/01/2008 2.00,"0,705673","14,230405","5,301173","6,106488","33,60955"
09/01/2008 3.00,"0,802437","13,104632","5,505031","4,667148","33,60955"
09/01/2008 4.00,"0,735578","12,204531","5,473734","3,814446","33,60955"
09/01/2008 5.00,"0,730466","12,427609","5,256341","4,371233","33,60955"
09/01/2008 6.00,"0,812425","11,000939","4,89853","3,492574","33,60955"
09/01/2008 7.00,"0,790981","11,068383","4,574556","4,057147","33,60955"
09/01/2008 8.00,"0,854961","16,70633","4,484892","9,836572","33,60955"
09/01/2008 9.00,"0,990856","37,360652","9,853734","22,267591","33,60955"
09/01/2008 10.00,"0,994146","30,561903","7,377824","19,262998","33,60955"
09/01/2008 11.00,"1,009656","20,363794","5,001728","12,70357","33,60955"
09/01/2008 12.00,"1,072874","19,110921","5,229272","11,100691","33,60955"
09/01/2008 13.00,"1,042263","16,358741","5,823083","7,43551","33,60955"
09/01/2008 14.00,"1,028046","18,398882","6,520095","8,407616","33,60955"
09/01/2008 15.00,"0,843917","17,424854","6,034556","8,177894","33,60955"
09/01/2008 16.00,"0,847442","25,132761","6,439736","15,269457","33,60955"
09/01/2008 17.00,"0,946497","21,985016","5,784175","13,125377","33,60955"
09/01/2008 18.00,"0,886806","21,959071","5,509261","13,521224","33,60955"
09/01/2008 19.00,"1,399535","44,342263","7,67473","32,597344","33,60955"
09/01/2008 20.00,"1,761919","47,324008","8,238936","34,715475","33,60955"
09/01/2008 21.00,"4,068118","68,417993","18,477534","40,114619","33,60955"
09/01/2008 22.00,"2,257494","53,339367","12,339792","34,44292","33,60955"
09/01/2008 23.00,"2,112199","47,627499","10,308818","31,843288","33,60955"
10/01/2008 0.00,"1,644944","31,744743","5,210663","23,771818","33,60955"
10/01/2008 1.00,"20,501266","4,259886","13,979373","40,13377",
10/01/2008 2.00,"1,104241","40,13377",,,
10/01/2008 3.00,"1,187518","17,274405","5,802784","8,382955","40,13377"
10/01/2008 4.00,"1,389033","19,340472","6,635136","9,173361","40,13377"
10/01/2008 5.00,"1,190107","20,258728","7,250942","9,147401","40,13377"
10/01/2008 6.00,"1,319305","17,882687","7,285623","6,716489","40,13377"
10/01/2008 7.00,"1,379159","19,537618","7,136747","8,600997","40,13377"
10/01/2008 8.00,"1,822964","43,695049","12,810942","24,06902","40,13377"
