,,,ARPA Puglia,,,,
,,,De Santis,,,,
Field,,,Aver,Aver,Aver,Aver,Aver



07/01/2008 16.00,,,"35,48690838","0,72279685","32,40598122","25,39682007","2,52113008"
07/01/2008 17.00,,,"32,23227051","0,51345545","27,90262224",,"3,99980307"
07/01/2008 18.00,,,"39,08117961","0,61962575","20,4441381","27,8388195","2,44207406"
07/01/2008 19.00,,,"39,88047294","0,6603323","14,30707469",,"3,77346396"
07/01/2008 20.00,,,"51,80732964","0,9486074","3,02581602","51,28205109","3,81656599"
07/01/2008 21.00,,,"60,59064033","1,6651126","1,58116207",,"6,40483999"
07/01/2008 22.00,,,"53,42508369","1,43308745","1,63507979","69,84127045","9,75616646"
07/01/2008 23.00,,,"37,99204299","1,01625385","1,26905495",,"6,52548122"
08/01/2008 0.00,,,"39,79620414","0,9601534","2,93573471","63,49206161","4,97424984"
08/01/2008 1.00,,,"37,30765995","0,8602368","1,38850151",,"4,87353516"
08/01/2008 2.00,,,,"0,92525665","0,87440258","68,86447144","4,17914104"
08/01/2008 3.00,,,"35,48179206",,"5,48138263",,"4,35544682"
08/01/2008 4.00,,,"15,75734579","0,6175431","18,07387925","61,05006027","3,15249491"
08/01/2008 5.00,,,"9,34511272","0,46732895",,,"2,09530997"
08/01/2008 6.00,,,"9,32851478","0,37924585","20,74357854","43,46763992","1,39528501"
08/01/2008 7.00,,,"18,48465284","0,4120634","19,85508684",,"0,72666597"
08/01/2008 8.00,,,"39,89578428","0,56877505","1,7805719","29,7924099","1,09357297"
08/01/2008 9.00,,,"51,36809733","0,8352036","1,71955174",,"2,98918509"
08/01/2008 10.00,,,"53,40337695","0,7580846","5,77589648","37,6068306","5,2906909"
08/01/2008 11.00,,,"57,52496772","1,07778345","1,64201153",,"3,77627993"
08/01/2008 12.00,,,"36,00147474","0,74985175","3,60086645","26,86202049","5,26946402"
08/01/2008 13.00,,,"31,88879991","0,65737565","5,14668505",,"4,02016306"
08/01/2008 14.00,,,"34,56121185","0,84797665","5,43225022","38,58362961","3,02188993"
08/01/2008 15.00,,,"29,06955711","0,6103073","9,5545319",,"5,10593796"
08/01/2008 16.00,,,"25,54934085","0,60432615","13,08938098","37,6068306","2,85316491"
08/01/2008 17.00,,,"30,28765509","0,8018306","18,77129177",,"2,71584606"
08/01/2008 18.00,,,"45,07207056","0,91929965","13,7076523","32,72283173","3,59131098"
08/01/2008 19.00,,,"43,62029595","0,73947875","16,36723944",,"3,81829906"
08/01/2008 20.00,,,"41,5697238","0,68362325","21,56891346","23,44322014","3,62618208"
08/01/2008 21.00,,,"44,79881769","0,7980287","18,77276131",,"3,02427292"
08/01/2008 22.00,,,"27,38670165","0,52037845","27,57243726","21,48962021","3,40027595"
08/01/2008 23.00,,,"19,0528371","0,29803975","28,98519498",,"1,64631498"
09/01/2008 0.00,,,"30,5940888","0,4052991","14,19081246","16,60560989","1,19298804"
09/01/2008 1.00,,,"29,4194043","0,55238525","8,4721946",,"1,725371"
09/01/2008 2.00,,,"21,1187394","0,44606545","12,31397896","20,51280975","3,22267103"
09/01/2008 3.00,,,"8,47303786","0,3143456","24,60444138",,"1,93784797"
09/01/2008 4.00,,,"6,36627083","0,26339715","29,78851626","19,04759979","1,34633505"
09/01/2008 5.00,,,"1,08019811","0,2344045","37,56019446",,"1,02881205"
09/01/2008 6.00,,,"6,06238588","0,27065595","42,50341422","17,09399986","0,777565"
09/01/2008 7.00,,,"10,69216454","0,31183055","35,26775442",,"0,74356002"
09/01/2008 8.00,,,"52,62449247","0,497674","9,61423164","22,46640968","1,28222406"
09/01/2008 9.00,,,"107,85117915","1,35351435","1,1852854",,"2,4726131"
09/01/2008 10.00,,,"91,56779478","1,316819","8,01980057","37,6068306","9,45445347"
09/01/2008 11.00,,,"34,94807712","0,54304495","33,56420868",,"4,97165108"
09/01/2008 12.00,,,"23,07612681","0,4008417","49,5496233","24,90842056","2,41131806"
09/01/2008 13.00,,,"19,41289812","0,4304496","55,23740244",,"1,78558397"
09/01/2008 14.00,,,"24,80111667","0,6330474","52,80544458","20,02441978","2,00737405"
09/01/2008 15.00,,,"17,23846964","0,41346755","56,95709544",,"3,95713401"
09/01/2008 16.00,,,"24,23676024","0,47928895","52,77315006","16,11721039","1,38315594"
09/01/2008 17.00,,,"45,39127626","0,7807143","31,77254952",,"2,26078701"
09/01/2008 18.00,,,"70,77207951","0,9341036","12,4578995","21,97801971","4,14102077"
09/01/2008 19.00,,,"94,89265038","1,2842947","4,68900538",,"5,20881891"
09/01/2008 20.00,,,"98,62993404","1,20012505","3,52457408","31,25761986","6,34549284"
09/01/2008 21.00,,,"100,23610113","1,27868385","1,72381124",,"5,83130407"
09/01/2008 22.00,,,"102,91876452","1,40767015","0,79780217","43,9560318","7,71002197"
09/01/2008 23.00,,,"101,17846332","1,3823092",,,"7,52375412"
10/01/2008 0.00,,,"92,22663384","1,0825088",,"62,02685165","6,3303318"
10/01/2008 1.00,,,"75,52188666","1,0703257",,,"4,5092268"
10/01/2008 2.00,,,,"1,4040902",,"62,51525116","5,17589712"
10/01/2008 3.00,,,"77,89805991",,,,"6,83802319"
10/01/2008 4.00,,,"45,21250602","0,69498985",,"69,84127045","5,43169212"
10/01/2008 5.00,,,"38,40573132","0,889847",,,"3,1908319"
10/01/2008 6.00,,,"38,62535688","1,03999675",,"77,16725922","5,87332296"
10/01/2008 7.00,,,"45,93902346","0,9827969",,,"6,39422703"
10/01/2008 8.00,,,"64,69947792","0,81208055",,"74,23686981","4,74379587"
10/01/2008 9.00,,,"145,07199333","1,77423725",,,"6,03208494"
10/01/2008 10.00,,,"176,74882335","1,98214115",,"88,88887024",
10/01/2008 11.00,,,"189,0331641","2,33197805",,,
10/01/2008 12.00,,,"92,01978027","1,05367025","5,0593682","83,0280838",
10/01/2008 13.00,,,"62,55568341","0,88369105","13,26211742",,"8,54931641"
10/01/2008 14.00,,,"57,0448989","0,95836055","20,51090496","63,98046112","4,51355886"
10/01/2008 15.00,,,"51,88012434","0,6136124","18,75286859",,"8,4956007"
10/01/2008 16.00,,,"58,6830618","0,6334568","16,70207828","43,46763992","2,61946297"
10/01/2008 17.00,,,"67,67320725","2,03069875","13,91498077",,"4,27487516"
10/01/2008 18.00,,,"84,3498711",,"1,55844603","46,88644028","5,50381708"
10/01/2008 19.00,,,"71,24451147",,"1,7024117",,"4,62120485"
10/01/2008 20.00,,,"82,18055142",,"0,62182647","57,14284134","5,90342999"
10/01/2008 21.00,,,"122,22570591",,,,"7,41805601"
10/01/2008 22.00,,,"133,17709482",,,"71,79486084","9,69487095"
10/01/2008 23.00,,,"114,24168855",,,,"10,92381001"
11/01/2008 0.00,,,"105,52607505",,,"75,21366119","9,36001968"
11/01/2008 1.00,,,"97,40673855",,,,"7,65695715"
11/01/2008 2.00,,,"61,5980475",,,"81,07447052","6,93743896"
11/01/2008 3.00,,,"48,33818253",,,,"5,66301298"
11/01/2008 4.00,,,"38,47978629",,,"73,74845886","4,38576984"
11/01/2008 5.00,,,"26,58612924",,,,"4,07626009"
11/01/2008 6.00,,,"27,77102757",,,"58,6080513","3,42821693"
11/01/2008 7.00,,,"40,34013291",,,,"3,66083598"
11/01/2008 8.00,,,"86,59838088",,,"60,56166077","4,35739613"
11/01/2008 9.00,,,"118,31350806",,,,"4,71455622"
11/01/2008 10.00,,,"141,31941714",,,"65,93405151","9,26991653"
11/01/2008 11.00,,,"57,95526528",,"11,29519868",,"8,33142471"
11/01/2008 12.00,,,"44,081235",,"22,27040694","52,2588501","4,62921906"
11/01/2008 13.00,,,"24,31593153",,"40,74954318",,"2,9534471"
11/01/2008 14.00,,,"28,43880138",,"41,03059968","37,11843109","2,3851099"
11/01/2008 15.00,,,"21,6792774",,"51,4646334",,"5,47349501"
11/01/2008 16.00,,,"22,20787602",,"48,8107341","38,0952301","1,91705501"
11/01/2008 17.00,,,"34,00832952",,"33,49343934",,"4,67838478"
11/01/2008 18.00,,,"52,56067014",,"18,27567292","42,00244141","3,24671292"
11/01/2008 19.00,,,"50,96590191",,"13,35141196",,"3,75613689"
11/01/2008 20.00,,,"47,84406264",,"15,35536345","45,42124176","3,92161298"
11/01/2008 21.00,,,"61,6287078",,"4,47582035",,"3,4879961"
11/01/2008 22.00,,,"43,16447322",,"13,33238056","47,37483978","3,92681098"
11/01/2008 23.00,,,"35,57117718",,"13,89594937",,"3,06347609"
12/01/2008 0.00,,,"30,49960617",,"16,42248347","51,77045059","3,38338208"
12/01/2008 1.00,,,"22,83863175",,"20,65581828",,"2,87915611"
12/01/2008 2.00,,,,,"11,00434003","42,97924042","2,42712903"
12/01/2008 3.00,,,"28,65331062",,"22,4445933",,"2,93676996"
12/01/2008 4.00,,,"13,58801671","0,37023675","28,5691725","38,58362961","1,500332"
12/01/2008 5.00,,,"9,06931862","0,30877385",,,"1,102669"
12/01/2008 6.00,,,"7,55244448","0,261096","28,60313472","29,30401993","0,73251402"
