,,,ARPA Puglia,,
,,,Viale Pitagora,,
Parm,NO2,CO,O3,PM2.5,Benzene



09/01/2008 21.00,"105,49266849","1,56112845","13,8133217","12,23456001","1,90984499"
09/01/2008 22.00,"100,38251817","1,30417935","13,01212526","12,23456001","1,71877396"
09/01/2008 23.00,"106,26844932","1,52861795","10,08682643","12,23456001","1,88972104"
10/01/2008 0.00,"95,49180531","1,41788905","9,249694","12,23456001","1,64195597"
10/01/2008 1.00,,"1,74081365","6,52536086","33,25030136","1,96134603"
10/01/2008 2.00,,"1,9811096","7,48552442","33,25030136","2,4412961"
10/01/2008 3.00,,,"7,28929107","33,25030136","2,23269701"
10/01/2008 4.00,,"1,3510453","8,13573907","33,25030136","2,05655694"
10/01/2008 5.00,,"1,76977525","7,14023204","33,25030136","2,03296995"
10/01/2008 6.00,,"1,91236145","7,57676527","33,25030136","2,922544"
10/01/2008 7.00,,"1,4211263","7,83761906","33,25030136","2,58324695"
10/01/2008 8.00,,"1,90997405","7,62201488","33,25030136","1,63459897"
10/01/2008 9.00,,"2,81246185","8,0851646","33,25030136","3,45529199"
10/01/2008 10.00,,"3,5284139","8,76658093","33,25030136","4,49568796"
10/01/2008 11.00,,"2,73701265","9,57975538","33,25030136","5,12819195"
10/01/2008 12.00,,"1,0724371","21,5058744","33,25030136","2,68083811"
10/01/2008 13.00,,"0,94285625","35,50019256","33,25030136","1,22692299"
10/01/2008 14.00,,"0,6766163","46,50663978","33,25030136","0,83093202"
10/01/2008 15.00,,"0,50117805","50,71626774","33,25030136","0,25274199"
10/01/2008 16.00,,"0,3847233","62,01154098","33,25030136","0,20102499"
10/01/2008 17.00,,"0,4867007","42,10673706","33,25030136","0,070759"
10/01/2008 18.00,,"0,7612931","12,60221049","33,25030136","0,47930101"
10/01/2008 19.00,,"1,7561328","10,52868256","33,25030136","1,070907"
10/01/2008 20.00,,"3,16826955","9,98967015","33,25030136","3,60286999"
10/01/2008 21.00,,"3,45292445","9,12193052","33,25030136","5,38807487"
10/01/2008 22.00,,"3,6327373","10,55263662","33,25030136","6,69938993"
10/01/2008 23.00,,"2,50799935","8,39526262","33,25030136","5,80354118"
11/01/2008 0.00,,"1,63072875","7,79369969","33,25030136","3,0445869"
11/01/2008 1.00,,"1,7224447","7,22141568","27,07188988","2,52525401"
11/01/2008 2.00,,"1,6119159","7,4064107","27,07188988","2,49279594"
11/01/2008 3.00,,"1,3709725","7,03109972","27,07188988","2,27878809"
11/01/2008 4.00,,"1,24178955","6,24587396","27,07188988","1,76616299"
11/01/2008 5.00,,"1,3815916","6,14339478","27,07188988","1,89513099"
11/01/2008 6.00,,"1,93045785","7,45033007","27,07188988","2,01198101"
11/01/2008 7.00,,"1,8337693","7,45033007","27,07188988","2,91453695"
11/01/2008 8.00,,"2,95548505","8,09847481","27,07188988","3,15105009"
11/01/2008 9.00,,"2,9946207","8,70935332","27,07188988","4,49936724"
11/01/2008 10.00,,"1,399688","18,95721482","27,07188988","3,58058095"
11/01/2008 11.00,,"1,1145961","29,06932554","27,07188988","1,48117995"
11/01/2008 12.00,,"0,8193221","52,84835352","27,07188988","0,86879998"
11/01/2008 13.00,,"1,1136416","43,49618622","27,07188988","0,875292"
11/01/2008 14.00,,"1,0176695","44,77782348","27,07188988","1,82393897"
11/01/2008 15.00,,"0,81534425","53,81989668","27,07188988","1,79126406"
11/01/2008 16.00,,"0,90614595","42,8759784","27,07188988","0,88178301"
11/01/2008 17.00,,"1,4006425","24,22754118","27,07188988","1,48550701"
11/01/2008 18.00,,"1,2330001","20,5010361","27,07188988","1,78628802"
11/01/2008 19.00,,"1,53885295","10,58990285","27,07188988","1,878685"
11/01/2008 20.00,,"1,42192095","8,06786368","27,07188988","2,22447395"
11/01/2008 21.00,,"1,5118475","11,73180843","27,07188988","2,32293105"
11/01/2008 22.00,,"1,0304368","16,19295498","27,07188988","2,22014689"
11/01/2008 23.00,,"1,11495375","17,93243083","27,07188988","1,26630604"
12/01/2008 0.00,,"1,13766395","19,97400366","27,07188988","1,84839106"
12/01/2008 1.00,,"0,71949175","30,87799524","9,09347439","1,00036395"
12/01/2008 2.00,,"0,6834979","33,16284234","9,09347439","0,72403598"
12/01/2008 3.00,,,"33,6036645","9,09347439","0,505916"
12/01/2008 4.00,,"0,5140615","41,23099836","9,09347439","0,421525"
