, Brindisi,,,,
,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



11/01/2008 21.00,"0,381633","15,557584",,"0,411756","0,591761"
11/01/2008 22.00,"0,357368","21,417477","29,30402","0,506103","0,673625"
11/01/2008 23.00,"0,379427","25,826339",,"0,67543","0,316016"
12/01/2008 0.00,"0,398178","18,412912","40,04884","0,634619","1,652924"
12/01/2008 1.00,,"16,363571",,"0,546714","1,001306"
12/01/2008 2.00,"0,325803",,"24,908421","0,534831","0,669004"
12/01/2008 3.00,"0,339828","25,617376",,,"0,315797"
12/01/2008 4.00,"0,389454","13,957311","28,327221","0,383166","0,315356"
12/01/2008 5.00,"0,391611","11,104588",,"0,312219","0,814028"
12/01/2008 6.00,"0,38406","10,944951","19,53602","0,255511","0,418127"
12/01/2008 7.00,"0,406715","9,596467",,"0,208559","0,432652"
12/01/2008 8.00,"0,372192","16,379143","15,62881","0,195562","0,316677"
12/01/2008 9.00,"0,388375","29,321513",,"0,208599","0,39502"
12/01/2008 10.00,"0,391611","19,956078","14,16361","0,197081","0,414606"
12/01/2008 11.00,"0,387296","11,747041",,"0,233835","0,42517"
12/01/2008 12.00,"0,412109","8,371275","10,25641","0,227195","0,551268"
12/01/2008 13.00,"0,495948","5,430296",,"0,20704","0,434193"
12/01/2008 14.00,"0,417503","4,916339","5,372406","0,197601","0,384677"
12/01/2008 15.00,"0,57609","4,712573",,"0,186124","0,258579"
12/01/2008 16.00,"0,557749","5,596424","6,837607","0,187003","0,449377"
12/01/2008 17.00,"0,468207","10,878762",,"0,188963","0,447177"
12/01/2008 18.00,"0,452025","10,808677","8,302809","0,198281","0,367953"
12/01/2008 19.00,"0,374351","6,772296",,"0,214998","0,39348"
12/01/2008 20.00,"0,367877","7,48483","18,55921","0,224076","0,478866"
12/01/2008 21.00,"0,394848","5,896233",,"0,220676","0,521119"
12/01/2008 22.00,"0,354932","5,209659","13,18681","0,234515","0,557651"
12/01/2008 23.00,"0,381902","4,672341",,"0,220037","0,332521"
13/01/2008 0.00,"0,506737","4,725552","13,67521","0,227635","0,504614"
13/01/2008 1.00,"0,544188","3,896212",,"0,20716","0,437054"
13/01/2008 2.00,"0,391611","3,213531","6,837607","0,198721","0,370153"
13/01/2008 3.00,"1,055547","7,538041",,"0,197641","0,371693"
13/01/2008 4.00,"1,106406","5,741786","8,791209","0,181604","0,344625"
13/01/2008 5.00,"0,40132","2,545128",,"0,168207","0,321518"
13/01/2008 6.00,"0,716028","5,62368","6,349206","0,163008","0,32746"
13/01/2008 7.00,"0,535095","2,746297",,"0,161728","0,312936"
13/01/2008 8.00,"0,549119","2,423127","6,349206","0,165488","0,288508"
13/01/2008 9.00,"0,535095","2,921509",,"0,162129","0,341325"
13/01/2008 10.00,"0,54804","3,083744","4,395605","0,166168","0,302592"
13/01/2008 11.00,"0,620013","4,201213",,"0,20112","0,320197"
13/01/2008 12.00,"0,636504","3,597701","3,418803","0,212159","0,318217"
13/01/2008 13.00,"0,681814","3,679468",,"0,195882","0,270683"
13/01/2008 14.00,"0,690136","4,429637","1,953602","0,223277","0,275524"
13/01/2008 15.00,"0,706627","2,371213",,"0,194961","0,419228"
