NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
13/01/2008 16.00,"7,95060778","3,74621653"
13/01/2008 17.00,"8,15305805","2,71326162"
13/01/2008 18.00,"8,74797726","2,65452739"
13/01/2008 19.00,"7,22782612","2,97884377"
13/01/2008 20.00,"8,01453972","2,76305921"
13/01/2008 21.00,"8,09267807","8,1742617"
13/01/2008 22.00,"7,48355198","4,0603172"
13/01/2008 23.00,"7,73395109","2,96479646"
14/01/2008 0.00,"8,0749197","2,91117103"
14/01/2008 1.00,,"2,58685654"
14/01/2008 2.00,"7,57945013",
14/01/2008 3.00,"8,02697086","2,83583886"
14/01/2008 4.00,"7,87957287","2,12847377"
14/01/2008 5.00,"7,70553684","2,08378497"
14/01/2008 6.00,"8,13707542","1,93184343"
14/01/2008 7.00,"7,423172","2,15911714"
14/01/2008 8.00,"7,8671422","3,17930382"
14/01/2008 9.00,"7,2597909","5,53633225"
14/01/2008 10.00,"7,64693308","9,54302214"
14/01/2008 11.00,"8,09800625","7,58819665"
14/01/2008 12.00,"8,39635372","14,4664738"
14/01/2008 13.00,"9,14044666","9,54429934"
14/01/2008 14.00,"8,64320087","5,86703086"
14/01/2008 15.00,"9,26475811","3,22016478"
14/01/2008 16.00,"9,24167156","3,83942572"
14/01/2008 17.00,"9,05165291","3,99519886"
14/01/2008 18.00,"9,27718925","4,24290398"
14/01/2008 19.00,"9,28251553","4,20970622"
14/01/2008 20.00,"9,01613522","2,96352114"
14/01/2008 21.00,"8,25961113","2,7541207"
14/01/2008 22.00,"8,12819576","3,08098771"
14/01/2008 23.00,"8,05538464","3,42062483"
15/01/2008 0.00,"7,952384","2,86009812"
15/01/2008 1.00,"7,93817711","2,67878665"
15/01/2008 2.00,"8,27026653","2,61622271"
15/01/2008 3.00,"7,99855709","2,37107198"
15/01/2008 4.00,"7,98257399","2,23445119"
15/01/2008 5.00,"7,57945013","2,57408831"
15/01/2008 6.00,"8,31111145","5,6959351"
15/01/2008 7.00,"7,87424517","5,26819758"
15/01/2008 8.00,"8,15838623","6,42245254"
15/01/2008 9.00,"7,9843502","4,06414691"
15/01/2008 10.00,"7,57412195","6,447989"
15/01/2008 11.00,"8,36793995","23,85627156"
15/01/2008 12.00,"9,08361816","18,58424238"
15/01/2008 13.00,"8,89537525","16,45193702"
15/01/2008 14.00,"9,51870918","11,53104351"
15/01/2008 15.00,"9,25055122","10,200584"
15/01/2008 16.00,"9,46543217","10,07162452"
15/01/2008 17.00,"8,88116837","12,74275174"
15/01/2008 18.00,"9,28784466","13,36712335"
15/01/2008 19.00,"8,56506157","5,46610512"
15/01/2008 20.00,"8,46028519","5,29501124"
15/01/2008 21.00,"8,69114971","3,67982099"
15/01/2008 22.00,"8,08912659","3,87390069"
15/01/2008 23.00,"8,73554611","13,21901153"
16/01/2008 0.00,"8,46206093","9,1995553"
16/01/2008 1.00,,"4,68596413"
16/01/2008 2.00,"8,65918446",
16/01/2008 3.00,"8,30755997","4,77917144"
16/01/2008 4.00,"8,17792034","6,75314927"
16/01/2008 5.00,"7,86536598","4,7612963"
16/01/2008 6.00,"8,16904068","3,66322305"
16/01/2008 7.00,"8,04295254","3,88538984"
16/01/2008 8.00,"8,35373211","3,88283732"
16/01/2008 9.00,"8,32886982","9,39874003"
16/01/2008 10.00,"8,45140553","11,80428322"
16/01/2008 11.00,"8,51356125","9,35532843"
16/01/2008 12.00,"9,31625843","15,57986404"
16/01/2008 13.00,"9,58264065","13,29944685"
16/01/2008 14.00,"8,84742641","6,95105869"
16/01/2008 15.00,,"4,03050335"
16/01/2008 16.00,,
16/01/2008 17.00,"4,28164291","20,33733438"
16/01/2008 18.00,"4,85880423","11,91408847"
16/01/2008 19.00,"4,90852785","9,82647755"
16/01/2008 20.00,"4,32248783","8,01721137"
16/01/2008 21.00,"4,45212698","5,17243587"
16/01/2008 22.00,"3,99927807","5,37034341"
16/01/2008 23.00,"4,28164291","8,97993914"
17/01/2008 0.00,"4,30828094","5,17881999"
17/01/2008 1.00,"4,20705605","4,66681179"
17/01/2008 2.00,"4,75402689","4,4791162"
17/01/2008 3.00,"4,17153883","4,26333353"
17/01/2008 4.00,"4,1786418","11,76597665"
17/01/2008 5.00,"3,97974396","6,20411359"
17/01/2008 6.00,"4,02591705","3,57639797"
17/01/2008 7.00,"3,93712306","3,49340449"
17/01/2008 8.00,"4,12536621","4,40889095"
17/01/2008 9.00,"4,07919312","4,19310639"
17/01/2008 10.00,"3,86075997","10,84155732"
17/01/2008 11.00,"3,95310497","12,54229357"
17/01/2008 12.00,"4,2958498","33,05453085"
17/01/2008 13.00,"5,22108316","14,91336366"
17/01/2008 14.00,"5,16070318","10,08311367"
17/01/2008 15.00,"5,42175722","18,06202035"
17/01/2008 16.00,"5,47503281","12,27542857"
17/01/2008 17.00,"4,65280199","7,69544939"
17/01/2008 18.00,"4,73093987","9,58898813"
17/01/2008 19.00,"4,3029542","7,04043628"
17/01/2008 20.00,"4,475214","13,7603859"
17/01/2008 21.00,"4,29052305","22,9739697"
17/01/2008 22.00,"4,60840511","12,52952534"
17/01/2008 23.00,"4,08274508","16,93841441"
18/01/2008 0.00,"3,64055109","12,54739672"
18/01/2008 1.00,,"6,95105869"
18/01/2008 2.00,"3,85365605",
18/01/2008 3.00,"3,88384604","7,03149777"
18/01/2008 4.00,"3,39547992","5,49802757"
18/01/2008 5.00,"4,04900312","4,70511459"
18/01/2008 6.00,"3,7542069","4,29780661"
18/01/2008 7.00,"3,92646694","4,15607891"
18/01/2008 8.00,"3,59615397","5,39971146"
18/01/2008 9.00,"3,73822403","26,57719449"
18/01/2008 10.00,"4,12358999","20,14323399"
18/01/2008 11.00,"4,5604558","27,99447156"
18/01/2008 12.00,"5,01152897","35,88144813"
18/01/2008 13.00,"4,97423601","19,50228324"
18/01/2008 14.00,"5,02751207","13,00705481"
18/01/2008 15.00,"4,70963001","9,67964293"
18/01/2008 16.00,"4,8747859","9,13954388"
18/01/2008 17.00,"5,0843401","9,31574655"
18/01/2008 18.00,"4,86057901","11,58849302"
18/01/2008 19.00,"4,61373186","13,53694191"
18/01/2008 20.00,"4,6101799","19,98363114"
18/01/2008 21.00,"4,09695101","11,64340129"
18/01/2008 22.00,"3,74355197","7,10044771"
18/01/2008 23.00,"3,87851906","6,62418979"
19/01/2008 0.00,"3,59970593","5,93342452"
19/01/2008 1.00,"4,13779688","5,17371307"
19/01/2008 2.00,"3,471843","4,11521982"
19/01/2008 3.00,"3,0775969","11,12883493"
19/01/2008 4.00,"3,37416911","13,75655243"
19/01/2008 5.00,"3,42922091","13,02620903"
19/01/2008 6.00,"3,21789193","8,13723422"
19/01/2008 7.00,"3,38482499","4,56594128"
19/01/2008 8.00,"3,51979089","6,24369547"
19/01/2008 9.00,"2,93730307","5,32310021"
19/01/2008 10.00,"3,83944893","9,21615324"
19/01/2008 11.00,"4,26033306","9,69624087"
19/01/2008 12.00,"4,86590719","7,66991293"
19/01/2008 13.00,"5,03994322","8,21256638"
19/01/2008 14.00,"5,42175722","10,98200407"
19/01/2008 15.00,"4,98666716","8,84970435"
19/01/2008 16.00,"5,24239302","8,76671087"
19/01/2008 17.00,"4,55690384","7,02766994"
19/01/2008 18.00,"5,10209894","8,16149347"
19/01/2008 19.00,"4,27631521","9,27616467"
19/01/2008 20.00,"4,14312506","7,18599559"
19/01/2008 21.00,"4,16798687","9,04633468"
19/01/2008 22.00,"4,16443491","20,38200813"
19/01/2008 23.00,"3,9921751","15,19809063"
20/01/2008 0.00,"3,63522291","7,03022245"
20/01/2008 1.00,,"6,7186743"
20/01/2008 2.00,"3,29780602",
20/01/2008 3.00,"3,917588","4,37697038"
20/01/2008 4.00,"3,91936398","3,48829757"
20/01/2008 5.00,"3,62279201","6,03557222"
