NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
07/10/2008 8.00,"5,22108316",
07/10/2008 9.00,"4,84282112",
07/10/2008 10.00,"4,8410449",
07/10/2008 11.00,"4,91740799",
07/10/2008 12.00,"4,77178621",
07/10/2008 13.00,"5,07901192",
07/10/2008 14.00,"4,84992409",
07/10/2008 15.00,"5,06302977",
07/10/2008 16.00,"4,75225115",
07/10/2008 17.00,"4,70430183",
07/10/2008 18.00,"4,44680023",
07/10/2008 19.00,"4,92273521",
07/10/2008 20.00,"4,53026581",
07/10/2008 21.00,"4,20527983",
07/10/2008 22.00,"4,59419823",
07/10/2008 23.00,"4,42726517",
08/10/2008 0.00,"4,36155701",
08/10/2008 1.00,,
08/10/2008 2.00,"4,58354187",
08/10/2008 3.00,"3,87674308",
08/10/2008 4.00,"4,73626804",
08/10/2008 5.00,"4,43969584",
08/10/2008 6.00,"4,5711112",
08/10/2008 7.00,"4,6101799",
08/10/2008 8.00,"4,60840511",
08/10/2008 9.00,"4,79309607",
08/10/2008 10.00,"4,6385951",
08/10/2008 11.00,"4,97245979",
08/10/2008 12.00,"5,269032",
08/10/2008 13.00,"5,1056509",
08/10/2008 14.00,"4,40950584",
08/10/2008 15.00,"4,6101799",
08/10/2008 16.00,"4,7185092",
08/10/2008 17.00,"4,71495724",
08/10/2008 18.00,"4,28874588",
08/10/2008 19.00,"5,04349518",
08/10/2008 20.00,"4,2958498",
08/10/2008 21.00,"4,42726517",
08/10/2008 22.00,"4,70430183",
08/10/2008 23.00,"4,48231697",
09/10/2008 0.00,"4,37398911",
09/10/2008 1.00,"4,36688519",
09/10/2008 2.00,"3,64765501",
09/10/2008 3.00,"4,47876501",
09/10/2008 4.00,"3,79505205",
09/10/2008 5.00,"4,27098799",
09/10/2008 6.00,"4,26743603",
09/10/2008 7.00,"4,2567811",
09/10/2008 8.00,"4,56223202",
09/10/2008 9.00,"4,6101799",
09/10/2008 10.00,"5,01863194",
09/10/2008 11.00,"5,0896678",
09/10/2008 12.00,"4,71318102",
09/10/2008 13.00,"4,31360912",
09/10/2008 14.00,"4,36510897",
09/10/2008 15.00,"3,9886229",
09/10/2008 16.00,"4,48586893",
09/10/2008 17.00,"4,32426405",
09/10/2008 18.00,"4,6723361",
09/10/2008 19.00,"4,48054123",
09/10/2008 20.00,"4,33136702",
09/10/2008 21.00,"3,86963892",
09/10/2008 22.00,"3,83767295",
09/10/2008 23.00,"4,4539032",
10/10/2008 0.00,"4,19817686",
10/10/2008 1.00,,
10/10/2008 2.00,,
10/10/2008 3.00,,
10/10/2008 4.00,,
10/10/2008 5.00,,
10/10/2008 6.00,,
10/10/2008 7.00,,
10/10/2008 8.00,,
10/10/2008 9.00,,
10/10/2008 10.00,,
10/10/2008 11.00,,
10/10/2008 12.00,,
10/10/2008 13.00,,
10/10/2008 14.00,,
10/10/2008 15.00,,
10/10/2008 16.00,,
10/10/2008 17.00,,
10/10/2008 18.00,,
10/10/2008 19.00,,
10/10/2008 20.00,,
10/10/2008 21.00,,
10/10/2008 22.00,,
10/10/2008 23.00,,
11/10/2008 0.00,,
11/10/2008 1.00,,
11/10/2008 2.00,,
11/10/2008 3.00,,
11/10/2008 4.00,,
11/10/2008 5.00,,
11/10/2008 6.00,,
11/10/2008 7.00,,
11/10/2008 8.00,,
11/10/2008 9.00,,
11/10/2008 10.00,,
11/10/2008 11.00,,
11/10/2008 12.00,,
11/10/2008 13.00,,
11/10/2008 14.00,,
11/10/2008 15.00,,
11/10/2008 16.00,,
11/10/2008 17.00,,
11/10/2008 18.00,,
11/10/2008 19.00,,
11/10/2008 20.00,,
11/10/2008 21.00,,
11/10/2008 22.00,,
11/10/2008 23.00,,
12/10/2008 0.00,,
12/10/2008 1.00,,
12/10/2008 2.00,,
12/10/2008 3.00,,
12/10/2008 4.00,,
12/10/2008 5.00,,
12/10/2008 6.00,,
12/10/2008 7.00,,
12/10/2008 8.00,,
12/10/2008 9.00,,
12/10/2008 10.00,,
12/10/2008 11.00,,
12/10/2008 12.00,,
12/10/2008 13.00,,
12/10/2008 14.00,,
12/10/2008 15.00,,
12/10/2008 16.00,,
12/10/2008 17.00,,
12/10/2008 18.00,,
12/10/2008 19.00,,
12/10/2008 20.00,,
12/10/2008 21.00,,
12/10/2008 22.00,,
12/10/2008 23.00,,
13/10/2008 0.00,,
13/10/2008 1.00,,
13/10/2008 2.00,,
13/10/2008 3.00,,
13/10/2008 4.00,,
13/10/2008 5.00,,
13/10/2008 6.00,,
13/10/2008 7.00,,
13/10/2008 8.00,,
13/10/2008 9.00,,
13/10/2008 10.00,,
13/10/2008 11.00,,
13/10/2008 12.00,,
13/10/2008 13.00,,
13/10/2008 14.00,,
13/10/2008 15.00,,
13/10/2008 16.00,,
13/10/2008 17.00,,
13/10/2008 18.00,,
13/10/2008 19.00,,
13/10/2008 20.00,,
13/10/2008 21.00,,
13/10/2008 22.00,,
13/10/2008 23.00,,
14/10/2008 0.00,,
14/10/2008 1.00,"4,86057901",
14/10/2008 2.00,"4,70074987",
14/10/2008 3.00,"5,34894609",
14/10/2008 4.00,"4,69366884",
14/10/2008 5.00,"4,55690384",
14/10/2008 6.00,"5,19099903",
14/10/2008 7.00,"5,08078909",
14/10/2008 8.00,"5,14649582",
14/10/2008 9.00,,
14/10/2008 10.00,"5,65794897",
14/10/2008 11.00,"6,75823212",
14/10/2008 12.00,,
14/10/2008 13.00,,
14/10/2008 14.00,"4,6687851",
14/10/2008 15.00,"3,89272594",
14/10/2008 16.00,"4,32781601",
14/10/2008 17.00,"3,70803404",
14/10/2008 18.00,"3,77196598",
14/10/2008 19.00,"3,55353308",
14/10/2008 20.00,"3,82346606",
14/10/2008 21.00,"3,32622099",
14/10/2008 22.00,"4,02058887",
14/10/2008 23.00,"3,86431193",
15/10/2008 0.00,"3,63344693",
15/10/2008 1.00,"3,24452996",
15/10/2008 2.00,"3,64943004",
15/10/2008 3.00,"3,83589697",
15/10/2008 4.00,"3,70093107",
15/10/2008 5.00,"3,75953507",
15/10/2008 6.00,"4,01171017",
15/10/2008 7.00,"3,61924005",
15/10/2008 8.00,"3,5482049",
15/10/2008 9.00,"3,96198511",
15/10/2008 10.00,"5,23706579",
15/10/2008 11.00,"5,07190895",
15/10/2008 12.00,"4,63504314",
15/10/2008 13.00,"4,69187117",
15/10/2008 14.00,"4,98666716",
15/10/2008 15.00,"4,64214706",
15/10/2008 16.00,"4,32071304",
15/10/2008 17.00,"3,58549905",
15/10/2008 18.00,"3,95132995",
15/10/2008 19.00,"3,79682803",
15/10/2008 20.00,"3,6068089",
15/10/2008 21.00,"3,88029504",
15/10/2008 22.00,"3,18592596",
15/10/2008 23.00,"3,58905101",
16/10/2008 0.00,"3,52689505",
16/10/2008 1.00,,
16/10/2008 2.00,"3,23920202",
16/10/2008 3.00,"4,06853819",
16/10/2008 4.00,"3,13797688",
16/10/2008 5.00,"3,92824292",
16/10/2008 6.00,"3,63522291",
16/10/2008 7.00,"3,78972507",
16/10/2008 8.00,"3,828794",
16/10/2008 9.00,"3,61391306",
16/10/2008 10.00,"3,74000001",
16/10/2008 11.00,"3,8128109",
16/10/2008 12.00,"5,78936386",
16/10/2008 13.00,"5,45727396",
16/10/2008 14.00,"5,5212059",
16/10/2008 15.00,"4,75935507",
16/10/2008 16.00,"4,32071304",
16/10/2008 17.00,"3,89982891",
16/10/2008 18.00,"3,89272594",
16/10/2008 19.00,"3,96731305",
16/10/2008 20.00,"3,64765501",
16/10/2008 21.00,"3,86431193",
16/10/2008 22.00,"3,79860401",
16/10/2008 23.00,"3,55353308",
17/10/2008 0.00,"3,15751195",
17/10/2008 1.00,"3,64765501",
17/10/2008 2.00,"3,16106391",
17/10/2008 3.00,"3,27294397",
17/10/2008 4.00,"3,66186094",
17/10/2008 5.00,"3,66186094",
17/10/2008 6.00,"3,93712306",
17/10/2008 7.00,"3,50735998",
17/10/2008 8.00,"3,39015198",
17/10/2008 9.00,"3,66186094",
17/10/2008 10.00,"3,76841402",
17/10/2008 11.00,"3,86786294",
17/10/2008 12.00,"4,67411184",
17/10/2008 13.00,"3,94955397",
17/10/2008 14.00,"3,89094996",
17/10/2008 15.00,"3,95665693",
17/10/2008 16.00,"3,46473908",
17/10/2008 17.00,"3,96020889",
17/10/2008 18.00,"3,354635",
17/10/2008 19.00,"3,976192",
17/10/2008 20.00,"3,49670506",
17/10/2008 21.00,"3,471843",
17/10/2008 22.00,"3,37061691",
17/10/2008 23.00,"3,43810105",
18/10/2008 0.00,"3,32799602",
18/10/2008 1.00,,
18/10/2008 2.00,"3,63522291",
18/10/2008 3.00,"3,51623893",
18/10/2008 4.00,"3,41146302",
18/10/2008 5.00,"3,35108304",
18/10/2008 6.00,"3,80925894",
18/10/2008 7.00,"3,50203204",
18/10/2008 8.00,"3,64943004",
18/10/2008 9.00,"3,57484293",
18/10/2008 10.00,"3,96553707",
18/10/2008 11.00,"4,22659111",
18/10/2008 12.00,"4,11648703",
18/10/2008 13.00,"4,08274508",
18/10/2008 14.00,"3,77196598",
18/10/2008 15.00,"3,84477711",
18/10/2008 16.00,"3,75775909",
18/10/2008 17.00,"3,92824292",
18/10/2008 18.00,"3,61924005",
18/10/2008 19.00,"3,38482499",
18/10/2008 20.00,"3,2498579",
18/10/2008 21.00,"3,63167095",
18/10/2008 22.00,"3,72046494",
18/10/2008 23.00,"3,34930706",
19/10/2008 0.00,"3,32622099",
19/10/2008 1.00,"3,34753108",
19/10/2008 2.00,"3,2871511",
19/10/2008 3.00,"3,03320098",
19/10/2008 4.00,"3,29780602",
19/10/2008 5.00,"3,17349505",
19/10/2008 6.00,"3,53399801",
19/10/2008 7.00,"3,20368505",
19/10/2008 8.00,"3,4043591",
19/10/2008 9.00,"3,45941091",
19/10/2008 10.00,"2,83785391",
19/10/2008 11.00,"3,62811995",
19/10/2008 12.00,"3,28182292",
19/10/2008 13.00,"4,01171017",
19/10/2008 14.00,"3,53044701",
19/10/2008 15.00,"3,42566991",
19/10/2008 16.00,"3,4558599",
19/10/2008 17.00,"3,45408392",
19/10/2008 18.00,"3,78439689",
19/10/2008 19.00,"3,37416911",
19/10/2008 20.00,"3,59615397",
19/10/2008 21.00,"3,35641003",
19/10/2008 22.00,"3,44342804",
19/10/2008 23.00,"3,38660002",
20/10/2008 0.00,"2,9302001",
20/10/2008 1.00,,
20/10/2008 2.00,"3,13087392",
20/10/2008 3.00,"3,10068393",
20/10/2008 4.00,"3,39370394",
20/10/2008 5.00,"3,237427",
20/10/2008 6.00,"3,07049394",
20/10/2008 7.00,"3,32266903",
20/10/2008 8.00,"3,60148191",
20/10/2008 9.00,"2,95150995",
20/10/2008 10.00,"2,94263101",
20/10/2008 11.00,"2,46314406",
20/10/2008 12.00,"3,09890795",
20/10/2008 13.00,"2,34593606",
20/10/2008 14.00,"2,73307705",
20/10/2008 15.00,"3,38482499",
20/10/2008 16.00,"3,24630594",
20/10/2008 17.00,"3,5517571",
20/10/2008 18.00,"2,99057889",
20/10/2008 19.00,"3,237427",
20/10/2008 20.00,"2,85028505",
20/10/2008 21.00,"2,7828021",
20/10/2008 22.00,"2,87692308",
20/10/2008 23.00,"3,04918289",
21/10/2008 0.00,"3,16461492",
21/10/2008 1.00,"3,20190907",
21/10/2008 2.00,"3,04385591",
21/10/2008 3.00,"2,80411196",
21/10/2008 4.00,"3,36173797",
21/10/2008 5.00,"2,52707505",
21/10/2008 6.00,"2,97459698",
21/10/2008 7.00,"2,81121612",
21/10/2008 8.00,"3,17882299",
21/10/2008 9.00,"3,20190907",
21/10/2008 10.00,"3,35108304",
21/10/2008 11.00,"3,05095911",
21/10/2008 12.00,"3,01188993",
21/10/2008 13.00,"2,93730307",
21/10/2008 14.00,"3,24275398",
21/10/2008 15.00,"2,93552709",
21/10/2008 16.00,"2,68867993",
21/10/2008 17.00,"3,26939201",
21/10/2008 18.00,"3,14685702",
21/10/2008 19.00,"3,4008069",
21/10/2008 20.00,"3,03497601",
21/10/2008 21.00,"3,30313396",
21/10/2008 22.00,"3,03852797",
21/10/2008 23.00,"3,23032308",
22/10/2008 0.00,"3,15573597",
22/10/2008 1.00,,
22/10/2008 2.00,"3,50203204",
22/10/2008 3.00,"3,16106391",
22/10/2008 4.00,"3,53222203",
22/10/2008 5.00,"3,33154798",
22/10/2008 6.00,"3,51091194",
22/10/2008 7.00,"3,46829104",
22/10/2008 8.00,"3,63877511",
22/10/2008 9.00,"3,50735998",
22/10/2008 10.00,"3,64055109",
22/10/2008 11.00,"3,82169104",
22/10/2008 12.00,"3,66008592",
22/10/2008 13.00,"3,49492908",
22/10/2008 14.00,"4,65990496",
22/10/2008 15.00,"5,4821372",
22/10/2008 16.00,"4,71140623",
22/10/2008 17.00,"3,86786294",
22/10/2008 18.00,"3,64232707",
22/10/2008 19.00,"3,97264004",
22/10/2008 20.00,"3,6689651",
22/10/2008 21.00,"4,3065052",
22/10/2008 22.00,"3,40613508",
22/10/2008 23.00,"4,02769184",
23/10/2008 0.00,"3,99395108",
23/10/2008 1.00,"3,73467302",
23/10/2008 2.00,"3,30490994",
23/10/2008 3.00,"3,94955397",
23/10/2008 4.00,"3,54110193",
23/10/2008 5.00,"4,06676197",
23/10/2008 6.00,"3,48604894",
23/10/2008 7.00,"3,36173797",
23/10/2008 8.00,"3,62279201",
23/10/2008 9.00,"3,53932595",
23/10/2008 10.00,"3,43099689",
23/10/2008 11.00,"3,97264004",
23/10/2008 12.00,"4,44680023",
23/10/2008 13.00,"4,21593618",
23/10/2008 14.00,"4,0774169",
23/10/2008 15.00,"4,11115885",
23/10/2008 16.00,"3,89805293",
23/10/2008 17.00,"4,02946901",
23/10/2008 18.00,"3,69382691",
23/10/2008 19.00,"3,71336198",
23/10/2008 20.00,"3,93712306",
23/10/2008 21.00,"3,99927807",
23/10/2008 22.00,"3,15928793",
23/10/2008 23.00,"3,5482049",
24/10/2008 0.00,"3,50380802",
24/10/2008 1.00,,
24/10/2008 2.00,"3,67606902",
24/10/2008 3.00,"3,71513796",
24/10/2008 4.00,"3,2871511",
24/10/2008 5.00,"3,58017111",
24/10/2008 6.00,"3,73822403",
24/10/2008 7.00,"3,53754997",
24/10/2008 8.00,"3,70625806",
24/10/2008 9.00,"3,3457551",
24/10/2008 10.00,"3,59082603",
24/10/2008 11.00,"4,11293507",
24/10/2008 12.00,"4,02946901",
24/10/2008 13.00,"3,9300189",
24/10/2008 14.00,"4,23191786",
24/10/2008 15.00,"4,50007582",
24/10/2008 16.00,"3,86431193",
24/10/2008 17.00,"4,35267782",
24/10/2008 18.00,"3,02609706",
24/10/2008 19.00,"3,64587903",
24/10/2008 20.00,"3,9886229",
24/10/2008 21.00,"3,96198511",
24/10/2008 22.00,"3,57839489",
24/10/2008 23.00,"3,59970593",
25/10/2008 0.00,"3,58549905",
25/10/2008 1.00,"3,66186094",
25/10/2008 2.00,"3,57306695",
25/10/2008 3.00,"3,38304901",
25/10/2008 4.00,"3,75775909",
25/10/2008 5.00,"3,917588",
25/10/2008 6.00,"3,66186094",
25/10/2008 7.00,"3,6654129",
25/10/2008 8.00,"4,00460577",
25/10/2008 9.00,"4,37221289",
25/10/2008 10.00,"4,14845181",
25/10/2008 11.00,"4,61906004",
25/10/2008 12.00,"5,56027603",
25/10/2008 13.00,"6,1622982",
25/10/2008 14.00,"5,51587915",
25/10/2008 15.00,"4,56578398",
25/10/2008 16.00,"4,29407406",
25/10/2008 17.00,"4,59242201",
25/10/2008 18.00,"4,17153788",
25/10/2008 19.00,"3,72579288",
25/10/2008 20.00,"4,11293507",
25/10/2008 21.00,"4,02236509",
25/10/2008 22.00,"4,11293507",
25/10/2008 23.00,"3,56951594",
26/10/2008 0.00,"4,10227919",
26/10/2008 1.00,,
26/10/2008 2.00,"4,21238422",
26/10/2008 3.00,"4,01703691",
26/10/2008 4.00,"3,65830994",
26/10/2008 5.00,"3,69915509",
26/10/2008 6.00,"3,564188",
26/10/2008 7.00,"4,24612617",
26/10/2008 8.00,"4,00460577",
26/10/2008 9.00,"3,96020889",
26/10/2008 10.00,"4,22126293",
26/10/2008 11.00,"4,80019999",
26/10/2008 12.00,"5,21575499",
26/10/2008 13.00,"4,91563177",
26/10/2008 14.00,"4,75402689",
26/10/2008 15.00,"5,16602993",
26/10/2008 16.00,"4,4130578",
26/10/2008 17.00,"4,40062714",
26/10/2008 18.00,"4,13069296",
26/10/2008 19.00,"4,12536621",
26/10/2008 20.00,"4,12536621",
26/10/2008 21.00,"4,38286781",
26/10/2008 22.00,"4,61373186",
26/10/2008 23.00,"3,96731305",
27/10/2008 0.00,"4,61373186",
27/10/2008 1.00,"3,95132995",
27/10/2008 2.00,"3,84832907",
27/10/2008 3.00,"3,92291594",
27/10/2008 4.00,"4,0312438",
27/10/2008 5.00,"4,09695101",
27/10/2008 6.00,"3,96198511",
27/10/2008 7.00,"4,25322914",
27/10/2008 8.00,"3,97796798",
27/10/2008 9.00,"5,31520414",
27/10/2008 10.00,"7,04490995",
27/10/2008 11.00,"8,11576462",
27/10/2008 12.00,"7,47289705",
27/10/2008 13.00,"6,40026617",
27/10/2008 14.00,"5,6188798",
27/10/2008 15.00,"5,3542738",
27/10/2008 16.00,"4,88366604",
27/10/2008 17.00,"4,85347605",
27/10/2008 18.00,"4,31005716",
27/10/2008 19.00,"4,4130578",
27/10/2008 20.00,"4,42726517",
27/10/2008 21.00,"4,53204203",
27/10/2008 22.00,"4,20350504",
27/10/2008 23.00,"4,35622978",
28/10/2008 0.00,"4,505404",
28/10/2008 1.00,,
28/10/2008 2.00,"4,3029542",
28/10/2008 3.00,"4,02414083",
28/10/2008 4.00,"4,475214",
28/10/2008 5.00,"4,17508984",
28/10/2008 6.00,"4,05610704",
28/10/2008 7.00,"4,04012299",
28/10/2008 8.00,"4,14667606",
28/10/2008 9.00,"4,33136702",
28/10/2008 10.00,"5,2175312",
28/10/2008 11.00,"4,96002913",
28/10/2008 12.00,"5,77160501",
28/10/2008 13.00,"4,97245979",
28/10/2008 14.00,"4,35978222",
28/10/2008 15.00,"4,2567811",
28/10/2008 16.00,"4,22303915",
28/10/2008 17.00,"3,42744493",
28/10/2008 18.00,"2,48267794",
28/10/2008 19.00,"2,60876608",
28/10/2008 20.00,"2,11507106","2,4323606"
28/10/2008 21.00,"2,82719898","2,30850804"
28/10/2008 22.00,"2,49688506","2,29956953"
28/10/2008 23.00,"2,55548906","1,99185297"
29/10/2008 0.00,"2,61231709","3,12312399"
29/10/2008 1.00,"2,34593606","5,72274876"
29/10/2008 2.00,"2,83074999","1,10445737"
29/10/2008 3.00,"2,39565992","1,00486406"
29/10/2008 4.00,"1,82382703","1,32534884"
29/10/2008 5.00,"2,12217498","1,99313017"
29/10/2008 6.00,"2,18255496","6,73016721"
29/10/2008 7.00,"2,30686593","14,4026289"
29/10/2008 8.00,"1,85934496","5,60528031"
29/10/2008 9.00,"2,46136808","4,36675655"
29/10/2008 10.00,"2,179003","9,21743044"
29/10/2008 11.00,"2,271348","8,13084822"
29/10/2008 12.00,"2,23405504","4,62595271"
29/10/2008 13.00,"2,37079811","2,67495693"
29/10/2008 14.00,"3,23032308","14,37709244"
29/10/2008 15.00,"2,94795799","9,85201401"
29/10/2008 16.00,"3,36706591","13,30199937"
29/10/2008 17.00,"2,78457689","4,93239018"
29/10/2008 18.00,"2,47379899","2,68389545"
29/10/2008 19.00,"2,21096897","2,86009812"
29/10/2008 20.00,"2,57147193","10,04098303"
29/10/2008 21.00,"2,30508995","10,48275845"
29/10/2008 22.00,"2,28733206","7,0008544"
29/10/2008 23.00,"2,41697097","4,30163821"
30/10/2008 0.00,"2,48267794","2,60090008"
30/10/2008 1.00,,"3,8241031"
30/10/2008 2.00,"1,80962002",
30/10/2008 3.00,"2,13815808","1,33683987"
30/10/2008 4.00,"1,74746394","1,32662604"
30/10/2008 5.00,"2,03338099","1,40323541"
30/10/2008 6.00,"2,30686593","3,077158"
30/10/2008 7.00,"2,22695208","1,68796802"
30/10/2008 8.00,"2,56969595","1,73648841"
30/10/2008 9.00,"2,33705592","2,58174774"
30/10/2008 10.00,"2,296211","4,74214396"
30/10/2008 11.00,"2,27312398","8,59561511"
30/10/2008 12.00,"2,6407311","5,4175866"
30/10/2008 13.00,"2,55548906","4,28248587"
30/10/2008 14.00,"2,04225993","3,89432835"
30/10/2008 15.00,"2,51997209","3,18313542"
30/10/2008 16.00,"2,35303903","2,54089054"
30/10/2008 17.00,"2,560817","1,75180916"
30/10/2008 18.00,"2,27489996","3,48957477"
30/10/2008 19.00,"1,95346606","1,79649796"
30/10/2008 20.00,"2,4009881","0,76354304"
30/10/2008 21.00,"2,49510908","1,3496081"
30/10/2008 22.00,"2,29976296","1,51304254"
30/10/2008 23.00,"2,99413109","1,41344924"
31/10/2008 0.00,"2,71709394","1,4045126"
31/10/2008 1.00,"2,62297201","1,53219488"
31/10/2008 2.00,"2,5483861","1,26789181"
31/10/2008 3.00,"2,86449194","1,30875089"
31/10/2008 4.00,"2,78102589","1,17978953"
31/10/2008 5.00,"2,61231709","1,62923379"
31/10/2008 6.00,"2,53950596","2,18337827"
31/10/2008 7.00,"2,80766392","7,12726136"
31/10/2008 8.00,"2,9266479","2,64303636"
31/10/2008 9.00,"3,06339002","1,75053196"
31/10/2008 10.00,"2,69578409","2,25998764"
31/10/2008 11.00,"2,47735","3,13206251"
31/10/2008 12.00,"2,89468193","5,86319927"
31/10/2008 13.00,"2,82719898","8,13851141"
31/10/2008 14.00,"3,065166","12,69934202"
31/10/2008 15.00,"2,99235511","7,36985769"
31/10/2008 16.00,"2,99768305","8,84714995"
31/10/2008 17.00,"2,68335199","7,05575891"
31/10/2008 18.00,"2,92487192","4,68468693"
31/10/2008 19.00,"2,40631509","7,17450268"
31/10/2008 20.00,"2,22340012","7,79759521"
31/10/2008 21.00,"2,21451998","5,01538554"
31/10/2008 22.00,"2,21096897","3,66705464"
31/10/2008 23.00,"2,68512797","3,39508838"
01/11/2008 0.00,"2,32284904","1,58965191"
01/11/2008 1.00,,"1,45303112"
01/11/2008 2.00,"2,21451998",
01/11/2008 3.00,"2,27489996","1,26789181"
01/11/2008 4.00,"2,120399","0,77375876"
01/11/2008 5.00,"2,05646706","0,85036812"
01/11/2008 6.00,"2,01384592","1,08658222"
01/11/2008 7.00,"2,11862302","1,84501835"
01/11/2008 8.00,"2,12395096","5,31416358"
01/11/2008 9.00,"2,237607","4,12288114"
01/11/2008 10.00,"1,65511894","2,76816613"
01/11/2008 11.00,"1,99075997","1,82586601"
01/11/2008 12.00,"2,10796809","1,08402782"
01/11/2008 13.00,"2,33527994","0,60904711"
01/11/2008 14.00,"2,43117809","1,446647"
01/11/2008 15.00,"2,14171004","1,17978953"
01/11/2008 16.00,"2,31041789","1,03423211"
01/11/2008 17.00,"2,04225993","1,0240164"
01/11/2008 18.00,"2,4862299","1,43132626"
01/11/2008 19.00,"2,25003791","1,56539265"
01/11/2008 20.00,"2,48090196","1,50793563"
01/11/2008 21.00,"2,45426393","1,22575553"
01/11/2008 22.00,"2,30686593","0,69331779"
01/11/2008 23.00,"2,16657209","0,89761132"
02/11/2008 0.00,"2,08310604","0,57201962"
02/11/2008 1.00,"2,1949861","0,67544265"
02/11/2008 2.00,"2,09020901","0,57457402"
02/11/2008 3.00,"2,25536609","1,12233251"
02/11/2008 4.00,"2,05646706","0,74439258"
02/11/2008 5.00,"2,04758811","0,41879901"
02/11/2008 6.00,"2,3974359","0,35623507"
02/11/2008 7.00,"2,31219411","0,70991762"
02/11/2008 8.00,"2,09376097","0,80440213"
02/11/2008 9.00,"1,93215597","5,00772423"
02/11/2008 10.00,"2,00141501","5,39971146"
02/11/2008 11.00,"2,6407311","8,18830713"
02/11/2008 12.00,"2,53772998","6,83742183"
02/11/2008 13.00,"2,50931597","6,447989"
02/11/2008 14.00,"2,91954398","4,36420215"
02/11/2008 15.00,"2,55726504","3,01459406"
02/11/2008 16.00,"2,93907905","1,0725368"
02/11/2008 17.00,"2,34060788","1,4900586"
02/11/2008 18.00,"2,53062701","3,86623938"
02/11/2008 19.00,"2,53772998","1,80799087"
02/11/2008 20.00,"2,34771109","0,59372636"
02/11/2008 21.00,"2,22872806","0,80184773"
02/11/2008 22.00,"2,13105392","1,12488691"
02/11/2008 23.00,"2,52707505","2,43874283"
03/11/2008 0.00,"2,66737008","3,09631034"
03/11/2008 1.00,,"2,86009812"
03/11/2008 2.00,"1,99431205",
03/11/2008 3.00,"2,39565992","1,16319159"
03/11/2008 4.00,"2,15946794","0,95889994"
03/11/2008 5.00,"2,33705592","0,68821088"
03/11/2008 6.00,"2,39921188","0,42007621"
03/11/2008 7.00,"1,91084504","3,74621653"
03/11/2008 8.00,"2,54305792","3,53426357"
03/11/2008 9.00,,"5,18769455"
03/11/2008 10.00,,"4,93749897"
03/11/2008 11.00,"2,81476688","2,81540932"
03/11/2008 12.00,"2,47557497","3,89943715"
03/11/2008 13.00,"2,82364702","4,85450549"
03/11/2008 14.00,"2,90001011","7,06597274"
03/11/2008 15.00,"2,73485303","11,23737051"
03/11/2008 16.00,"2,69045591","10,66790716"
03/11/2008 17.00,"2,41519499","9,31063775"
03/11/2008 18.00,"2,4347291","8,17936862"
03/11/2008 19.00,"2,50931597","10,23377612"
03/11/2008 20.00,"2,6993351","7,32772329"
03/11/2008 21.00,"2,37967706","4,66298019"
03/11/2008 22.00,"2,65848994","6,13005674"
03/11/2008 23.00,"2,52707505","4,04627177"
04/11/2008 0.00,"2,30508995","3,06566697"
04/11/2008 1.00,"2,21807194","3,59682751"
04/11/2008 2.00,"2,40631509","3,0784352"
04/11/2008 3.00,"2,23938298","2,82306875"
04/11/2008 4.00,"2,443609","3,76281635"
04/11/2008 5.00,"2,48800611","4,30036101"
04/11/2008 6.00,"1,94281101","6,08153822"
04/11/2008 7.00,"2,63007593","6,50289163"
04/11/2008 8.00,"2,61409307","3,94284875"
04/11/2008 9.00,,"3,61330319"
04/11/2008 10.00,"2,53184891","9,47279688"
04/11/2008 11.00,"2,53772998","7,9840136"
04/11/2008 12.00,"2,62652397","5,77892858"
04/11/2008 13.00,"2,48090196","3,8675147"
04/11/2008 14.00,"2,43117809","6,76336498"
04/11/2008 15.00,,"6,32698239"
04/11/2008 16.00,"2,4347291","4,61701419"
04/11/2008 17.00,"2,29798698","3,94795566"
04/11/2008 18.00,"1,85046506","5,12391548"
04/11/2008 19.00,"2,11684704","5,3167161"
04/11/2008 20.00,"2,03870797","4,45868854"
04/11/2008 21.00,"2,09731197","3,67599128"
04/11/2008 22.00,"2,594558","3,81771898"
04/11/2008 23.00,"2,20741701","1,446647"
05/11/2008 0.00,"2,04936409","1,65221773"
05/11/2008 1.00,,
05/11/2008 2.00,"1,93925905",
05/11/2008 3.00,"2,43295407",
05/11/2008 4.00,"2,07600188",
05/11/2008 5.00,"2,32284904",
05/11/2008 6.00,"2,24648595",
05/11/2008 7.00,"1,94281101",
05/11/2008 8.00,"1,914397",
05/11/2008 9.00,,
05/11/2008 10.00,"1,93570805",
05/11/2008 11.00,,
05/11/2008 12.00,"1,94636297",
05/11/2008 13.00,"2,0777781",
05/11/2008 14.00,"2,41519499",
05/11/2008 15.00,"2,05646706",
05/11/2008 16.00,"1,55922103",
05/11/2008 17.00,,
05/11/2008 18.00,"1,78475797",
05/11/2008 19.00,"1,59473896",
05/11/2008 20.00,"1,95701802",
05/11/2008 21.00,"2,20919299",
05/11/2008 22.00,"2,20031309",
05/11/2008 23.00,"2,25714207",
06/11/2008 0.00,"2,11329508",
06/11/2008 1.00,"1,59829104",
06/11/2008 2.00,"1,88420701",
06/11/2008 3.00,"2,24115896",
06/11/2008 4.00,"2,10263991",
