,ARPA Puglia,,,,
,Baldassarre,,,,
Parm,SO2,NO2,,,PM10


13/01/2008 8.00,"7,41036177","4,16884713",,,
13/01/2008 9.00,"8,14261246","5,07795136",,,
13/01/2008 10.00,"8,07541656","6,09047673",,,
13/01/2008 11.00,"6,57218122","8,79735424",,,
13/01/2008 12.00,"4,41247702","8,95440269",,,
13/01/2008 13.00,"5,68650389","16,97415717",,,
13/01/2008 14.00,"6,23066616","12,33033684",,,
13/01/2008 15.00,"4,9811902","7,50520129",,,
13/01/2008 16.00,"5,98276281","4,9502672",,,
13/01/2008 17.00,"6,28752184","6,80294687",,,
13/01/2008 18.00,"8,02028275","21,24516141",,,
13/01/2008 19.00,"7,86694098","27,29347929",,,
13/01/2008 20.00,"8,37693119","30,23402778",,,
13/01/2008 21.00,"7,87038708","29,38876281",,,
13/01/2008 22.00,"8,30112171","28,19237157",,,
13/01/2008 23.00,"8,72841072","26,52994377",,,
14/01/2008 0.00,"8,28216934","19,24180236",,,
14/01/2008 1.00,,"10,76877767",,,
14/01/2008 2.00,"0,71274102",,,,
14/01/2008 3.00,"0,99293703","5,26053627",,,
14/01/2008 4.00,"0,60238099","5,52739374",,,
14/01/2008 5.00,"0,40845099","5,13540651",,,
14/01/2008 6.00,"0,37187999","5,48653466",,,
14/01/2008 7.00,"0,67334002","5,07284257",,,
14/01/2008 8.00,"0,51902598","7,77716755",,,
14/01/2008 9.00,"0,61488599","14,07193029",,,
14/01/2008 10.00,"0,53161103","13,70803015",,,
14/01/2008 11.00,"0,59084702","11,2641804",,,
14/01/2008 12.00,"0,975905","15,71393607",,,
14/01/2008 13.00,"1,25081897","27,31008852",,,
14/01/2008 14.00,"2,30595589","15,14574428",,,
14/01/2008 15.00,"2,712116","10,74195837",,,
14/01/2008 16.00,"2,3635211","8,85991818",,,
14/01/2008 17.00,"1,871526","8,85864098",,,
14/01/2008 18.00,"1,71260405","12,44780906",,,
14/01/2008 19.00,"1,69646096","19,66570452",,,
14/01/2008 20.00,"1,28949201","16,07910777",,,
14/01/2008 21.00,"1,21273899","26,44311681",,,
14/01/2008 22.00,"0,995983","19,14220341",,,
14/01/2008 23.00,"0,85145098","15,56837677",,,
15/01/2008 0.00,"0,71934301","12,68145935",,,
15/01/2008 1.00,"0,85180098","11,22332132",,,
15/01/2008 2.00,"0,80940902","11,19139887",,,
15/01/2008 3.00,"0,77971101","8,87268641",,,
15/01/2008 4.00,"0,69452298","8,72712898",,,
15/01/2008 5.00,"0,72346699","7,6022402",,,
15/01/2008 6.00,"0,67484897","7,47583511",,,
15/01/2008 7.00,"0,589095","5,73807138",,,
15/01/2008 8.00,"0,87837398","6,54502791",,,
15/01/2008 9.00,"0,97940803","6,51438266",,,
15/01/2008 10.00,"3,03020501","17,12738343",,,
15/01/2008 11.00,"1,11391497","39,21142005",,,
15/01/2008 12.00,"1,41144001","32,00882652",,,
15/01/2008 13.00,"1,56403005","18,0901112",,,
15/01/2008 14.00,"1,95717299","11,61786483",,,
15/01/2008 15.00,"2,0922451","11,23737051",,,
15/01/2008 16.00,"1,75545394","13,02492619",,,
15/01/2008 17.00,"1,97102499","17,95349606",,,
15/01/2008 18.00,"2,01398301","21,93718131",,,
15/01/2008 19.00,"2,01751304","22,16574162",,,
15/01/2008 20.00,"2,20233488","27,46587294",,,
15/01/2008 21.00,"2,26709509","29,57902596",,,
15/01/2008 22.00,"2,2726469","31,48660449",,,
15/01/2008 23.00,"1,82498395","26,36012709",,,
16/01/2008 0.00,"1,58717895","22,829697",,,
16/01/2008 1.00,,"16,681767",,,
16/01/2008 2.00,"0,58899802",,,,
16/01/2008 3.00,"0,341544","14,91463334",,,
16/01/2008 4.00,"0,47183001","11,14671759",,,
16/01/2008 5.00,"0,31231299","9,6643203",,,
16/01/2008 6.00,"0,31101701","7,19876381",,,
16/01/2008 7.00,"0,02664","6,4467118",,,
16/01/2008 8.00,"0,178141","7,00723851",,,
16/01/2008 9.00,"0,54672998","18,38633297",,,
16/01/2008 10.00,"1,19346201","20,66803299",,,
16/01/2008 11.00,"0,48405701","23,15783745",,,
16/01/2008 12.00,"0,32211101","16,77881344",,,
16/01/2008 13.00,"0,39174801","11,48890535",,,
16/01/2008 14.00,"0,354743","10,75600756",,,
16/01/2008 15.00,"0,49879399","9,89798",,,
16/01/2008 16.00,"0,56826901","7,96741565",,,
16/01/2008 17.00,"0,327941","9,63112253",,,
16/01/2008 18.00,"0,70835203","25,7025483",,,
16/01/2008 19.00,"0,425594","37,66390254",,,
16/01/2008 20.00,"0,57968599","42,04597419",,,
16/01/2008 21.00,"0,272798","33,59719935",,,
16/01/2008 22.00,"0,58770198","35,34261687",,,
16/01/2008 23.00,"0,21700799","33,54740928",,,
17/01/2008 0.00,"0,080244","29,53943091",,,
17/01/2008 1.00,,"31,39082397",,,
17/01/2008 2.00,,"20,42925885",,,
17/01/2008 3.00,,"13,66717107",,,
17/01/2008 4.00,,"7,89718852",,,
17/01/2008 5.00,,"6,15304067",,,
17/01/2008 6.00,,"6,5769466",,,
17/01/2008 7.00,,"8,81139778",,,
17/01/2008 8.00,,"9,37192826",,,
17/01/2008 9.00,,"10,77898397",,,
17/01/2008 10.00,,"11,47485428",,,
17/01/2008 11.00,,"10,40232313",,,
17/01/2008 12.00,,"11,27949926",,,
17/01/2008 13.00,,"10,2644289",,,
17/01/2008 14.00,,"11,41612382",,,
17/01/2008 15.00,,"17,65982305",,,
17/01/2008 16.00,,"9,36043535",,,
17/01/2008 17.00,,"15,10233457",,,
17/01/2008 18.00,,"19,52652933",,,
17/01/2008 19.00,,"18,69660768",,,
17/01/2008 20.00,,"17,46830151",,,
17/01/2008 21.00,,"20,03216094",,,
17/01/2008 22.00,,"18,30333572",,,
17/01/2008 23.00,,"15,0716912",,,
18/01/2008 0.00,,"14,2940952",,,
18/01/2008 1.00,,"8,81522938",,,
18/01/2008 2.00,,,,,
18/01/2008 3.00,,"5,48015054",,,
18/01/2008 4.00,,"5,92193349",,,
18/01/2008 5.00,,"4,84428978",,,
18/01/2008 6.00,,"5,48270494",,,
18/01/2008 7.00,,"6,08919953",,,
18/01/2008 8.00,,"15,59518478",,,
18/01/2008 9.00,0,"25,54678269",,,
18/01/2008 10.00,0,"18,3978334",,,
18/01/2008 11.00,0,"14,94017168",,,
18/01/2008 12.00,0,"12,45163125",,,
18/01/2008 13.00,0,"8,09892953",,,
18/01/2008 14.00,0,"9,17274164",,,
18/01/2008 15.00,0,"24,06056697",,,
18/01/2008 16.00,0,"22,36238136",,,
18/01/2008 17.00,0,"12,28564616",,,
18/01/2008 18.00,0,"19,24691868",,,
18/01/2008 19.00,0,"17,56917014",,,
18/01/2008 20.00,0,"14,15109594",,,
18/01/2008 21.00,0,"20,02450527",,,
18/01/2008 22.00,0,"17,39679153",,,
18/01/2008 23.00,0,"15,92588339",,,
19/01/2008 0.00,0,"14,96443846",,,
19/01/2008 1.00,0,"11,66382518",,,
19/01/2008 2.00,0,"13,64546621",,,
19/01/2008 3.00,"0,015142","9,40257163",,,
19/01/2008 4.00,"0,006883","7,92910909",,,
19/01/2008 5.00,"0,044049","6,88849286",,,
19/01/2008 6.00,"0,012632","7,1030021",,,
19/01/2008 7.00,"0,020648","6,77357881",,,
19/01/2008 8.00,"0,034414","11,63701717",,,
19/01/2008 9.00,"0,027126","9,3438374",,,
19/01/2008 10.00,"0,012632","8,71691327",,,
19/01/2008 11.00,"0,011012","9,96309834",,,
19/01/2008 12.00,"0,066641","8,04019343",,,
19/01/2008 13.00,"0,091176","8,59816762",,,
19/01/2008 14.00,"0,134415","7,50520129",,,
