, Brindisi,,
,Quartiere Bozzano,,
Parm,SO2,NO2,PM10



10/01/2008 16.00,"1,678934","4,921532","24,908421"
10/01/2008 17.00,"1,830239","40,923206",
10/01/2008 18.00,"2,355247","49,988816","27,83882"
10/01/2008 19.00,"3,709697","72,118839",
10/01/2008 20.00,"5,40686","63,741089","34,18803"
10/01/2008 21.00,"3,864647","56,295187",
10/01/2008 22.00,"4,619347","50,77534","35,653221"
10/01/2008 23.00,"4,23106","47,800629",
11/01/2008 0.00,"2,922184","52,175745","37,606831"
11/01/2008 1.00,"2,482854","23,466817",
11/01/2008 2.00,"2,355247","6,659381","36,630032"
11/01/2008 3.00,"2,31332","8,42319",
11/01/2008 4.00,"2,43728","8,524425","37,606831"
11/01/2008 5.00,"2,971403","38,493568",
11/01/2008 6.00,"3,534694","36,140529","38,58363"
11/01/2008 7.00,"4,90555","38,341717",
11/01/2008 8.00,"7,796744","46,33271","31,746031"
11/01/2008 9.00,"7,324601","59,873419",
11/01/2008 10.00,"3,443547","43,065982","34,67643"
11/01/2008 11.00,"2,852754","5,247296",
11/01/2008 12.00,,,"26,86202"
11/01/2008 13.00,"2,488227","14,054654",
11/01/2008 14.00,"1,965736","19,701687","26,86202"
11/01/2008 15.00,"1,817757","4,698298",
11/01/2008 16.00,"1,684394","8,270042","0,976801"
11/01/2008 17.00,"2,199578","37,001021",
11/01/2008 18.00,"3,412635","75,515377","25,39682"
11/01/2008 19.00,"3,005238","57,456782",
11/01/2008 20.00,"2,374959","40,031562","28,81562"
11/01/2008 21.00,"2,398709","43,522837",
11/01/2008 22.00,"2,276307","52,667643","33,211231"
11/01/2008 23.00,"2,122848","44,850546",
12/01/2008 0.00,"1,514493","16,706209","32,722832"
12/01/2008 1.00,,"2,255703",
12/01/2008 2.00,"1,597268",,"34,67643"
12/01/2008 3.00,"1,423315","2,648957",
12/01/2008 4.00,"1,352125","3,428977","33,211231"
12/01/2008 5.00,"0,372522","0,790404",
12/01/2008 6.00,"1,007002","3,919575","29,30402"
12/01/2008 7.00,"0,312462","8,058487",
12/01/2008 8.00,"1,48761","61,477584","1,465201"
12/01/2008 9.00,"0,584701","35,704457",
12/01/2008 10.00,"0,517988","5,168126","6,349206"
12/01/2008 11.00,"0,06859","0,988978",
12/01/2008 12.00,"0,021049","2,314105","3,907204"
12/01/2008 13.00,"0,391757","0,64634",
12/01/2008 14.00,"0,164094","6,110383","5,372406"
12/01/2008 15.00,"0,153569","0,476319",
12/01/2008 16.00,"0,059759","0,025957","1,465201"
12/01/2008 17.00,"0,120061","0,485405",
12/01/2008 18.00,"0,03508","1,418574","3,418803"
12/01/2008 19.00,"0,081231","3,609384",
12/01/2008 20.00,"0,419882","2,386788","6,837607"
12/01/2008 21.00,"0,097077","2,005212",
12/01/2008 22.00,"0,014033","0,356915","6,349206"
12/01/2008 23.00,"0,028186","0,289425",
13/01/2008 0.00,"0,195727","3,898809","4,884005"
13/01/2008 1.00,"0,263288","4,375126",
13/01/2008 2.00,"0,040524","6,774893","4,884005"
13/01/2008 3.00,"0,301937","6,048084",
13/01/2008 4.00,"0,084677","4,900766","3,907204"
13/01/2008 5.00,"0,192279","4,698298",
13/01/2008 6.00,"0,031694","4,835872","1,465201"
13/01/2008 7.00,"0,049295","2,624296",
13/01/2008 8.00,"0,615306","1,974063","6,837607"
13/01/2008 9.00,"0,169537","2,298532",
13/01/2008 10.00,"0,470386","4,338787","0,976801"
13/01/2008 11.00,"0,457564","5,82485",
13/01/2008 12.00,"0,344216","7,192806","6,349206"
13/01/2008 13.00,"0,172985","10,71523",
13/01/2008 14.00,"0,05994","2,254405","3,907204"
13/01/2008 15.00,"0,033387","6,578915",
13/01/2008 16.00,"0,766759","2,477636","4,884005"
13/01/2008 17.00,"1,348919","44,735043",
13/01/2008 18.00,"2,182877","66,584706","0,4884"
13/01/2008 19.00,"1,770132","63,303701",
13/01/2008 20.00,"0,989644","59,643711","28,327221"
13/01/2008 21.00,"1,416783","55,263376",
13/01/2008 22.00,"1,152406","54,498938","36,630032"
