,,,Provincia di Lecce,,,
,,,Galatina,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
08/01/2009 12.00,"0,1","15,6","34,8","0,2","52,1","19,4"
08/01/2009 13.00,"0,4","17,8","38,0","0,2","51,7","19,4"
08/01/2009 14.00,"0,4","14,3","32,1","0,2","56,5","19,4"
08/01/2009 15.00,"0,4","15,6","35,6","0,2","56,8","19,4"
08/01/2009 16.00,"0,3","13,9","30,0","0,2","58,4","19,4"
08/01/2009 17.00,"0,1","18,3","34,5","0,3","51,9","19,4"
08/01/2009 18.00,"0,1","25,2","49,3","0,4","38,4","19,4"
08/01/2009 19.00,"0,3","32,4","60,7","0,4","30,2","19,4"
08/01/2009 20.00,"0,6","38,9","72,5","0,5","18,4","19,4"
08/01/2009 21.00,"0,6","35,4","74,6","0,5","15,0","19,4"
08/01/2009 22.00,"0,5","34,4","72,2","0,5","18,4","19,4"
08/01/2009 23.00,"0,4","30,6","69,2","0,4","18,3","19,4"
09/01/2009 0.00,"0,3","23,9","62,7","0,4","19,0","19,4"
09/01/2009 1.00,"0,3","22,0","61,0","0,4","17,3",
09/01/2009 2.00,"0,3","22,6","61,9","0,5","15,9",
09/01/2009 3.00,"0,3","20,4","59,3","0,4","15,0",
09/01/2009 4.00,"0,2","19,6","58,5","0,4","13,9",
09/01/2009 5.00,"0,3","19,3","56,7","0,4","14,7","16,2"
09/01/2009 6.00,"0,3","15,4","51,3","0,3","20,2","16,2"
09/01/2009 7.00,"0,2","20,3","55,8","0,3","17,4","16,2"
09/01/2009 8.00,"0,3","31,3","73,7","0,4","11,4","16,2"
09/01/2009 9.00,"1,2","42,7","120,3","0,7","9,2","16,2"
09/01/2009 10.00,"0,3","33,5","79,3","0,3","25,7","16,2"
09/01/2009 11.00,"0,1","24,5","56,6","0,3","27,0","16,2"
09/01/2009 12.00,"0,2","20,6","50,1","0,3","32,5","16,2"
09/01/2009 13.00,"0,4","18,6","47,2","0,2","36,0","16,2"
09/01/2009 14.00,"0,9","21,0","52,5","0,3","34,2","16,2"
09/01/2009 15.00,"0,6","18,1","46,5","0,3","34,4","16,2"
09/01/2009 16.00,"0,7","22,6","54,5","0,3","28,3","16,2"
09/01/2009 17.00,"1,0","21,1","53,3","0,4","29,6","16,2"
09/01/2009 18.00,"0,6","20,0","51,1","0,3","32,0","16,2"
09/01/2009 19.00,"0,4","19,2","49,5","0,3","33,2","16,2"
09/01/2009 20.00,"0,4","23,7","56,9","0,5","34,3","16,2"
09/01/2009 21.00,"0,4","24,5","56,8","0,4","30,8","16,2"
09/01/2009 22.00,"0,2","18,6","48,8","0,4","35,0","16,2"
09/01/2009 23.00,"0,1","16,1","42,3","0,4","34,7","16,2"
10/01/2009 0.00,"0,1","15,0","41,3","0,3","33,8","16,2"
10/01/2009 1.00,"0,1","13,0","39,9","0,3","33,6",
10/01/2009 2.00,"0,1",,,"0,2","34,9",
10/01/2009 3.00,"0,1","13,3","38,2",,"35,3",
10/01/2009 4.00,,"18,5","44,6","0,2","28,8",
10/01/2009 5.00,"0,1","12,1","34,4","0,2",,"16,3"
10/01/2009 6.00,"0,1","16,8","42,3","0,2","39,5","16,3"
10/01/2009 7.00,"0,4","26,1","61,9","0,2","25,7","16,3"
10/01/2009 8.00,"0,1","15,6","31,5","0,2","36,0","16,3"
10/01/2009 9.00,"0,1","14,7","24,3","0,2","38,4","16,3"
10/01/2009 10.00,"0,1","13,6","21,3","0,2","46,1","16,3"
10/01/2009 11.00,"0,1","17,6","32,5","0,2","37,1","16,3"
10/01/2009 12.00,"0,1","17,1","37,9","0,3","33,8","16,3"
10/01/2009 13.00,"0,2","18,5","42,8","0,3","32,8","16,3"
10/01/2009 14.00,"0,5","23,1","55,6","0,4","30,2","16,3"
10/01/2009 15.00,"0,2","15,8","40,1","0,3","40,7","16,3"
10/01/2009 16.00,"0,2","14,0","41,6","0,2","35,8","16,3"
10/01/2009 17.00,"0,2","18,4","48,5","0,2","33,8","16,3"
10/01/2009 18.00,"0,2","24,3","57,3","0,3","29,3","16,3"
10/01/2009 19.00,"0,1","19,3","48,2","0,3","35,3","16,3"
10/01/2009 20.00,"0,5","40,5","76,8","0,7","15,6","16,3"
10/01/2009 21.00,"0,9","49,9","100,3","0,8","9,0","16,3"
10/01/2009 22.00,"0,6","32,9","71,2","0,7","11,8","16,3"
