Stat,LECCE Piazza_libertini,,,,,,  ,
,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,
17/01/2014 18.00,"33,3","41,8","1,2","9,8","0,7",,,
17/01/2014 19.00,"37,2","46,9","1,4",,"1,2",,,
17/01/2014 20.00,"33,1","41,3","1,4","21,0","1,5",,,
17/01/2014 21.00,"29,5","37,5","0,6",,"0,7",,,
17/01/2014 22.00,"20,9","25,8","0,5","18,1","0,4",,,
17/01/2014 23.00,"17,5","22,9","0,5",,"0,3",,,
18/01/2014 0.00,"17,0","23,3","0,6","21,0","0,2",,,
18/01/2014 1.00,"15,8","21,9","0,5",,"0,2",,,
18/01/2014 2.00,"10,3","16,0","0,5","22,5","0,1",,,
18/01/2014 3.00,"9,1","14,2",,,,,,
18/01/2014 4.00,,,"0,5","14,2",,,,
18/01/2014 5.00,"8,6","13,8","0,5",,,,,
18/01/2014 6.00,"14,1","20,2","0,5","16,1",,,,
18/01/2014 7.00,"33,3","47,9","0,5",,,,,
18/01/2014 8.00,"38,3","54,5","0,5","17,1",,,,
18/01/2014 9.00,"41,3","60,3","0,6",,"0,3",,,
18/01/2014 10.00,"32,6","49,2","0,6","16,1","0,5",,,
18/01/2014 11.00,"29,3","44,6","0,6",,"0,3",,,
18/01/2014 12.00,"29,9","44,9","0,6","15,1","0,5",,,
18/01/2014 13.00,"29,9","47,1","0,6",,"0,3",,,
18/01/2014 14.00,"26,7","41,3","0,6","21,0","0,4",,,
18/01/2014 15.00,"20,3","31,0","0,5",,"0,2",,,
18/01/2014 16.00,"19,4","30,6","0,5","20,0","0,2",,,
18/01/2014 17.00,"20,9","32,2","0,8",,"0,2",,,
18/01/2014 18.00,"27,0","40,0","1,4","13,2","1,5",,,
18/01/2014 19.00,"31,2","48,0","1,5",,"1,3",,,
18/01/2014 20.00,"31,1","47,5","1,2","18,6","1,3",,,
18/01/2014 21.00,"30,5","45,7","0,7",,"0,9",,,
18/01/2014 22.00,"25,9","39,4","0,6","24,9","0,4",,,
18/01/2014 23.00,"22,7","35,0","0,6",,"0,3",,,
19/01/2014 0.00,"19,1","31,5","0,5","28,8","0,3",,,
19/01/2014 1.00,"15,2","26,1","0,5",,"0,1",,,
19/01/2014 2.00,"10,3","19,4","0,5","23,9",,,,
19/01/2014 3.00,"7,7","17,1","0,5",,,,,
19/01/2014 4.00,"5,7","14,4","0,5","22,5",,,,
19/01/2014 5.00,"4,1","12,7","0,4",,,,,
19/01/2014 6.00,"4,5","13,6","0,4","17,6",,,,
19/01/2014 7.00,"11,4","25,5","0,5",,,,,
19/01/2014 8.00,"6,9","17,2","0,5","23,0",,,,
19/01/2014 9.00,"8,9","19,3","0,5",,,,,
19/01/2014 10.00,"12,8","25,0","0,5","24,4",,,,
19/01/2014 11.00,"13,2","25,5","0,5",,"0,1",,,
19/01/2014 12.00,"15,9","28,5","0,5","25,9","0,2",,,
19/01/2014 13.00,"19,0","32,1","0,5",,"0,2",,,
19/01/2014 14.00,"14,5","26,1","0,5","29,8","0,3",,,
19/01/2014 15.00,"9,2","19,0","0,5",,"0,4",,,
19/01/2014 16.00,"11,3","22,1","0,5","28,8","0,2",,,
19/01/2014 17.00,"11,2","22,1","0,5",,"0,2",,,
19/01/2014 18.00,"14,0","26,6","0,5","23,0","0,1",,,
19/01/2014 19.00,"19,9","34,2","0,5",,"0,2",,,
19/01/2014 20.00,"30,4","52,2","0,6","28,3","0,3",,,
19/01/2014 21.00,"20,6","35,8","0,5",,"0,3",,,
19/01/2014 22.00,"13,0","24,5","0,5","33,7","0,1",,,
19/01/2014 23.00,"12,8","24,4","0,5",,"0,3",,,
20/01/2014 0.00,"9,4","19,9","0,5","44,0","0,1",,,
20/01/2014 1.00,"6,9","17,3","0,5",,,,,
20/01/2014 2.00,"6,7","16,4","0,5","43,5",,,,
20/01/2014 3.00,"4,9","14,0",,,,,,
20/01/2014 4.00,,,"0,5","62,5",,,,
20/01/2014 5.00,"8,6","18,6","0,5",,,,,
20/01/2014 6.00,"17,5","29,1","0,5","79,6",,,,
20/01/2014 7.00,"36,2","53,5","0,5",,,,,
20/01/2014 8.00,"43,2","65,6","0,6","107,4","0,1",,,
20/01/2014 9.00,"41,1","68,0","0,7",,"0,4",,,
20/01/2014 10.00,"30,9","51,9","0,6","138,2","0,4",,,
20/01/2014 11.00,"29,2","50,4","0,6",,"0,5",,,
20/01/2014 12.00,"27,7","48,6","0,6","161,2","0,5",,,
20/01/2014 13.00,"32,3","55,8","0,6",,"0,6",,,
20/01/2014 14.00,"52,6","86,1","0,7","164,1","0,6",,,
20/01/2014 15.00,"30,5","46,0","0,6",,"0,3",,,
20/01/2014 16.00,"59,5","105,5","0,8","130,4","0,3",,,
20/01/2014 17.00,"37,0","65,2","0,7",,"0,8",,,
20/01/2014 18.00,"39,5","66,0","0,7","179,7","0,6",,,
20/01/2014 19.00,"39,9","65,8","0,7",,"0,7",,,
20/01/2014 20.00,"37,2","59,2","0,7","218,3","0,6",,,
20/01/2014 21.00,"39,9","62,2","0,7",,"0,6",,,
20/01/2014 22.00,"37,2","57,1","0,7","181,7","0,5",,,
20/01/2014 23.00,"35,4","52,4","0,6",,"0,5",,,
21/01/2014 0.00,"48,2","73,7","0,7","111,8","0,5",,,
21/01/2014 1.00,"24,2","37,1","0,6",,"0,6",,,
21/01/2014 2.00,"17,1","28,5","0,6","65,4","0,3",,,
21/01/2014 3.00,"11,8","20,8","0,6",,"0,2",,,
21/01/2014 4.00,"15,3","28,8","0,6","42,5","0,2",,,
21/01/2014 5.00,"15,1","26,0","0,5",,"0,4",,,
21/01/2014 6.00,"22,0","36,2","0,5","26,9","0,1",,,
21/01/2014 7.00,"41,4","72,0","0,6",,"0,1",,,
21/01/2014 8.00,"72,3","148,8","0,9","23,9","0,3",,,
21/01/2014 9.00,"67,9","143,3","1,0",,"0,9",,,
21/01/2014 10.00,"32,9","58,6","0,7","21,0","0,8",,,
21/01/2014 11.00,"34,8","60,7","0,7",,"0,4",,,
21/01/2014 12.00,"33,0","56,9","0,6","19,5","0,6",,,
21/01/2014 13.00,"44,6","79,3","0,7",,"0,4",,,
21/01/2014 14.00,"31,7","55,6","0,6","12,7","0,6",,,
21/01/2014 15.00,"26,0","46,4","0,6",,"0,2",,,
21/01/2014 16.00,"55,4","98,9","0,7","10,7","0,3",,,
21/01/2014 17.00,"73,4","136,4","1,3",,"1,1",,,
21/01/2014 18.00,"49,0","79,2","1,8","12,7","3,4",,,
21/01/2014 19.00,"30,9","50,2","1,2",,"1,1",,,
21/01/2014 20.00,"31,6","50,1","0,7","8,3","1,3",,,
21/01/2014 21.00,"27,2","44,5","0,6",,"0,4",,,
21/01/2014 22.00,"13,6","24,5","0,5","22,0","0,2",,,
21/01/2014 23.00,"20,9","34,9","0,6",,"0,2",,,
22/01/2014 0.00,"21,3","34,1","0,6","22,5","0,3",,,
22/01/2014 1.00,"9,4","19,2","0,5",,"0,2",,,
22/01/2014 2.00,"9,3","19,0","0,5","14,2","0,1",,,
22/01/2014 3.00,"8,0","17,3",,,"0,1",,,
22/01/2014 4.00,,,"0,5","13,7","0,1",,,
22/01/2014 5.00,"14,9","25,5","0,5",,"0,1",,,
22/01/2014 6.00,"43,6","69,5","0,6","17,1","0,1",,,
22/01/2014 7.00,"55,6","93,3","0,7",,"0,4",,,
22/01/2014 8.00,"76,7","145,4","0,8","17,1","0,4",,,
22/01/2014 9.00,"57,2","115,3","0,8",,"1,4",,,
22/01/2014 10.00,"26,9","46,2","0,6","13,7","0,4",,,
22/01/2014 11.00,"18,3","32,9","0,6",,"0,2",,,
22/01/2014 12.00,"23,6","42,3","0,6","19,0","0,4",,,
22/01/2014 13.00,"24,0","44,1","0,6",,"0,2",,,
22/01/2014 14.00,"19,3","34,8","0,6","11,7","0,3",,,
22/01/2014 15.00,"22,8","36,7","0,6",,"0,2",,,
22/01/2014 16.00,"31,8","47,6","0,6","15,1","0,3",,,
22/01/2014 17.00,"34,7","52,4","1,6",,"0,4",,,
22/01/2014 18.00,"39,5","58,4","3,7","12,2","3,7",,,
22/01/2014 19.00,"38,8","55,4","4,1",,"2,1",,,
22/01/2014 20.00,"73,8","124,5","4,1","23,0","5,3",,,
22/01/2014 21.00,"58,3","82,5","1,2",,"2,0",,,
22/01/2014 22.00,"53,7","73,7","0,8","22,0","1,4",,,
22/01/2014 23.00,"36,8","50,4","0,8",,"0,9",,,
23/01/2014 0.00,"18,9","27,9","0,6","23,9","0,6",,,
23/01/2014 1.00,"20,3","32,5","0,6",,"0,3",,,
23/01/2014 2.00,"39,2","58,1","0,7","22,0","0,7",,,
23/01/2014 3.00,"18,8","28,1","0,6",,"0,7",,,
23/01/2014 4.00,"19,3","30,7","0,6","19,0","0,5",,,
23/01/2014 5.00,"20,2","29,7","0,5",,"0,2",,,
23/01/2014 6.00,"56,7","91,4","0,7","12,7","0,3",,,
23/01/2014 7.00,"97,1","215,7","0,9",,"0,6",,,
23/01/2014 8.00,"109,0","282,5","1,3","28,3","1,0",,,
23/01/2014 9.00,"95,3","220,6","1,2",,"2,2",,,
23/01/2014 10.00,"57,2","91,4","0,8","23,9","1,4",,,
23/01/2014 11.00,"50,8","78,3","0,9",,"0,9",,,
23/01/2014 12.00,"39,1","59,6","0,7","15,1","0,7",,,
23/01/2014 13.00,"32,8","51,7","0,7",,"0,7",,,
23/01/2014 14.00,"55,2","91,2","0,8","19,0","1,0",,,
23/01/2014 15.00,"57,9","91,2","0,8",,"1,3",,,
23/01/2014 16.00,"78,2","112,8","0,9","16,1","1,1",,,
23/01/2014 17.00,"92,0","136,2","1,6",,"1,4",,,
23/01/2014 18.00,"69,9","102,1","2,8","29,8","2,7",,,
23/01/2014 19.00,"74,6","108,7","2,2",,"2,7",,,
23/01/2014 20.00,"77,4","123,5","2,9","34,2","2,2",,,
23/01/2014 21.00,"77,2","109,6","1,2",,"2,6",,,
23/01/2014 22.00,"67,5","87,6","1,0","48,4","1,9",,,
23/01/2014 23.00,"41,8","52,1","0,8",,"1,4",,,
24/01/2014 0.00,"34,1","42,5","0,8","40,5","1,1",,,
24/01/2014 1.00,"20,9","28,9","0,6",,"0,8",,,
24/01/2014 2.00,"10,2","17,7","0,6","25,4","0,2",,,
24/01/2014 3.00,"9,1","16,3",,,"0,2",,,
24/01/2014 4.00,,,"0,5","31,7","0,1",,,
24/01/2014 5.00,"7,4","15,8","0,5",,,,,
24/01/2014 6.00,"14,3","23,7","0,5","27,4",,,,
24/01/2014 7.00,"35,2","53,4","0,5",,,,,
24/01/2014 8.00,"61,0","90,6","0,7","26,9","0,1",,,
24/01/2014 9.00,"73,6","117,8","0,8",,"1,0",,,
24/01/2014 10.00,"32,0","50,4","0,6","21,0","1,1",,,
24/01/2014 11.00,"40,7","71,9","0,7",,"0,7",,,
24/01/2014 12.00,"38,5","62,3","0,6","13,2","0,8",,,
24/01/2014 13.00,"36,5","57,2","0,7",,"0,5",,,
24/01/2014 14.00,"45,5","82,2","0,7","16,1","0,4",,,
24/01/2014 15.00,"43,9","72,2","0,7",,"0,5",,,
24/01/2014 16.00,"47,6","74,8","0,7","16,1","0,5",,,
24/01/2014 17.00,"57,8","87,9","0,9",,"0,6",,,
24/01/2014 18.00,"49,3","70,3","2,4","11,2","1,0",,,
24/01/2014 19.00,"91,4","187,3","2,2",,"2,7",,,
24/01/2014 20.00,"114,5","247,0","1,9","21,0","1,9",,,
24/01/2014 21.00,"111,9","267,4","1,5",,"2,5",,,
24/01/2014 22.00,"70,0","126,4","1,0","24,4","2,0",,,
24/01/2014 23.00,"57,7","96,7","0,8",,"0,8",,,
25/01/2014 0.00,"73,9","139,0","1,0","16,6","0,9",,,
25/01/2014 1.00,"45,9","72,2","0,8",,"1,0",,,
25/01/2014 2.00,"57,9","105,1","0,9","19,0","1,1",,,
25/01/2014 3.00,"29,7","44,0","0,7",,"0,6",,,
25/01/2014 4.00,"10,7","20,2","0,6","12,2","0,2",,,
25/01/2014 5.00,"20,5","31,4","0,6",,"0,1",,,
25/01/2014 6.00,"26,5","40,1","0,6","9,8","0,1",,,
25/01/2014 7.00,"87,0","206,3","0,8",,"0,4",,,
25/01/2014 8.00,"98,5","243,0","1,1","14,7","1,0",,,
25/01/2014 9.00,"51,4","93,4","0,8",,"0,9",,,
25/01/2014 10.00,"30,8","62,9","0,8","15,6","0,9",,,
25/01/2014 11.00,"25,6","48,1","0,7",,"1,0",,,
25/01/2014 12.00,"27,0","51,7","0,7","8,8","0,7",,,
25/01/2014 13.00,"39,4","72,6","0,8",,"1,0",,,
25/01/2014 14.00,"28,8","48,3","0,7","10,3","1,0",,,
25/01/2014 15.00,"20,1","35,4","0,6",,"0,8",,,
25/01/2014 16.00,"20,5","35,4","0,6","6,8","0,4",,,
25/01/2014 17.00,"42,3","66,3","1,3",,"0,7",,,
25/01/2014 18.00,"45,8","60,8","3,4","4,4","4,3",,,
25/01/2014 19.00,"51,7","68,0","3,3",,"2,0",,,
25/01/2014 20.00,"53,9","75,9","0,9","17,1","2,0",,,
25/01/2014 21.00,"32,3","53,1","0,8",,"1,4",,,
25/01/2014 22.00,"19,7","31,8","0,7","23,9","0,8",,,
25/01/2014 23.00,"17,2","29,8","0,7",,"0,8",,,
26/01/2014 0.00,"17,2","31,9","0,7","13,2","1,2",,,
26/01/2014 1.00,"15,2","30,3","0,7",,"0,8",,,
26/01/2014 2.00,"11,6","23,6","0,7","15,1","0,6",,,
26/01/2014 3.00,"9,0","21,0",,,"0,7",,,
26/01/2014 4.00,,,"0,6","14,2","0,6",,,
26/01/2014 5.00,"7,1","17,6","0,6",,"0,4",,,
26/01/2014 6.00,"10,7","22,2","0,6","18,1","0,3",,,
26/01/2014 7.00,"14,9","27,1","0,6",,"0,1",,,
26/01/2014 8.00,"14,5","27,8","0,6","14,7","0,2",,,
26/01/2014 9.00,"10,0","23,1","0,6",,"0,4",,,
26/01/2014 10.00,"11,3","25,0","0,6","11,7","0,2",,,
26/01/2014 11.00,"14,7","30,0","0,6",,"0,3",,,
26/01/2014 12.00,"18,2","35,3","0,6","15,6","0,3",,,
26/01/2014 13.00,"13,0","28,4","0,6",,"0,3",,,
26/01/2014 14.00,"11,0","24,8","0,6","20,5","0,2",,,
26/01/2014 15.00,"8,1","19,9","0,6",,"0,1",,,
26/01/2014 16.00,"8,8","20,4","0,6","15,1","0,1",,,
26/01/2014 17.00,"14,7","27,2","1,2",,"0,3",,,
26/01/2014 18.00,"19,7","34,2","2,6","33,7","1,2",,,
26/01/2014 19.00,"25,7","39,7","2,3",,"1,2",,,
26/01/2014 20.00,"28,0","45,0","1,4","23,0","1,3",,,
26/01/2014 21.00,"25,2","40,8","0,7",,"0,7",,,
26/01/2014 22.00,"17,3","30,0","0,6","16,1","0,5",,,
26/01/2014 23.00,"12,1","24,0","0,6",,"0,2",,,
27/01/2014 0.00,"11,8","22,9","0,6","23,9","0,3",,,
27/01/2014 1.00,"8,2","19,5","0,6",,"0,1",,,
27/01/2014 2.00,"5,5","15,9","0,6","19,0","0,1",,,
27/01/2014 3.00,"8,0","18,8","0,6",,"0,2",,,
27/01/2014 4.00,"5,7","16,4","0,6","17,1","0,3",,,
27/01/2014 5.00,"14,4","26,0","0,6",,"0,2",,,
27/01/2014 6.00,"15,3","26,9","0,6","8,3","0,2",,,
27/01/2014 7.00,"36,5","53,3","0,7",,"0,3",,,
27/01/2014 8.00,"47,0","72,5","0,7","16,1","0,4",,,
27/01/2014 9.00,"38,4","68,7","0,8",,"0,7",,,
27/01/2014 10.00,"30,9","55,8","0,7","24,4","0,7",,,
27/01/2014 11.00,"23,2","41,7","0,7",,"0,8",,,
27/01/2014 12.00,"25,0","44,7","0,7","16,1","0,6",,,
27/01/2014 13.00,"33,1","55,7","0,7",,"0,4",,,
27/01/2014 14.00,"36,4","55,5","0,7","20,0","0,7",,,
27/01/2014 15.00,"22,6","38,5","0,6",,"0,6",,,
27/01/2014 16.00,"46,5","72,9","0,7","15,1","0,2",,,
27/01/2014 17.00,"80,9","113,4","0,9",,"0,6",,,
27/01/2014 18.00,"94,2","144,7","2,3","26,9","2,3",,,
27/01/2014 19.00,"67,5","96,7","2,1",,"4,1",,,
27/01/2014 20.00,"68,9","102,2","2,4","29,8","1,6",,,
27/01/2014 21.00,"70,5","96,8","1,1",,"2,1",,,
27/01/2014 22.00,"52,2","65,2","1,0","39,1","1,9",,,
27/01/2014 23.00,"39,5","51,6","1,0",,"1,5",,,
28/01/2014 0.00,"26,6","36,4","0,9","37,1","1,5",,,
28/01/2014 1.00,"13,6","22,4","0,7",,"0,9",,,
28/01/2014 2.00,"6,9","15,9","0,6","24,4","0,3",,,
28/01/2014 3.00,"6,7","15,3",,,"0,1",,,
28/01/2014 4.00,,,"0,6","14,7","0,2",,,
28/01/2014 5.00,"8,4","18,1","0,5",,,,,
28/01/2014 6.00,"13,8","24,4","0,5","12,7",,,,
28/01/2014 7.00,"22,0","35,6","0,6",,"0,1",,,
28/01/2014 8.00,"34,1","51,2","0,6","7,8","0,2",,,
28/01/2014 9.00,"68,6","99,0","0,8",,"0,3",,,
28/01/2014 10.00,"34,9","52,4","0,7","4,4","0,4",,,
28/01/2014 11.00,"47,3","71,9","0,7",,"0,5",,,
28/01/2014 12.00,"49,6","82,6","0,7","3,9","0,6",,,
28/01/2014 13.00,"34,6","59,2","0,7",,"0,6",,,
28/01/2014 14.00,"33,9","55,7","0,7","2,4","0,7",,,
28/01/2014 15.00,"28,6","43,5","0,7",,"0,2",,,
28/01/2014 16.00,"78,1","157,2","1,0","7,3","0,7",,,
28/01/2014 17.00,"77,5","148,7","1,0",,"0,7",,,
28/01/2014 18.00,"125,8","340,0","3,0","13,7","2,3",,,
28/01/2014 19.00,"101,8","208,2","2,8",,"4,1",,,
28/01/2014 20.00,"83,6","157,6","3,5","23,0","1,8",,,
28/01/2014 21.00,"80,2","151,0","1,4",,"2,8",,,
28/01/2014 22.00,"62,4","96,9","1,1","41,0","2,2",,,
28/01/2014 23.00,"40,3","60,7","1,0",,"1,4",,,
29/01/2014 0.00,"35,6","51,0","1,0","31,7","1,3",,,
29/01/2014 1.00,"32,7","47,9","1,0",,"1,4",,,
29/01/2014 2.00,"25,6","37,3","0,9","33,2","1,3",,,
29/01/2014 3.00,"22,1","31,7","0,8",,"0,8",,,
29/01/2014 4.00,"17,8","26,2","0,8","20,5","0,7",,,
29/01/2014 5.00,"25,3","35,1","0,7",,"0,8",,,
29/01/2014 6.00,"75,2","132,3","0,9","23,0","0,4",,,
29/01/2014 7.00,"89,2","269,2","1,2",,"1,0",,,
29/01/2014 8.00,"122,3","501,0","1,8","21,0","1,6",,,
29/01/2014 9.00,"120,7","386,1","1,9",,"2,8",,,
29/01/2014 10.00,"45,3","84,2","0,9","30,3","1,9",,,
29/01/2014 11.00,"21,2","38,2","0,7",,"0,9",,,
29/01/2014 12.00,"18,6","32,6","0,7","16,1","0,5",,,
29/01/2014 13.00,"21,6","39,0","0,7",,"0,6",,,
29/01/2014 14.00,"22,8","39,6","0,7","10,3","0,4",,,
29/01/2014 15.00,"27,6","49,9","0,7",,"0,3",,,
29/01/2014 16.00,"33,0","53,7","0,7","13,2","0,4",,,
29/01/2014 17.00,"124,5","308,7","1,5",,"0,7",,,
29/01/2014 18.00,"133,0","308,6","2,7","16,1","3,2",,,
29/01/2014 19.00,"107,6","178,9","1,8",,"4,2",,,
29/01/2014 20.00,"90,9","129,2","1,3","42,0","2,6",,,
29/01/2014 21.00,"81,6","109,2","1,2",,"2,2",,,
29/01/2014 22.00,"60,9","74,6","1,1","44,4","1,7",,,
29/01/2014 23.00,"54,8","66,6","1,1",,"1,7",,,
30/01/2014 0.00,"36,6","45,2","0,9","41,0","1,6",,,
30/01/2014 1.00,"20,9","27,6","0,8",,"1,1",,,
30/01/2014 2.00,"11,3","17,7","0,6","30,8","0,5",,,
30/01/2014 3.00,"7,1","14,5",,,"0,3",,,
30/01/2014 4.00,,,"0,5","22,5",,,,
30/01/2014 5.00,"6,4","15,0","0,5",,,,,
30/01/2014 6.00,"12,7","22,3","0,6","12,2",,,,
30/01/2014 7.00,"30,8","45,1","0,6",,,,,
30/01/2014 8.00,"25,2","38,2","0,6","16,1",,,,
30/01/2014 9.00,"27,9","43,7","0,6",,"0,3",,,
30/01/2014 10.00,"25,0","40,2","0,6","20,0","0,2",,,
30/01/2014 11.00,"24,3","42,8","0,6",,"0,2",,,
30/01/2014 12.00,"22,8","40,3","0,6","19,0","0,3",,,
30/01/2014 13.00,"30,8","49,7","0,7",,"0,2",,,
30/01/2014 14.00,"26,2","42,2","0,6","10,7","0,5",,,
30/01/2014 15.00,"21,9","36,3","0,6",,"0,2",,,
30/01/2014 16.00,"22,7","37,6","0,6","12,2","0,2",,,
30/01/2014 17.00,"26,6","42,4","0,7",,"0,3",,,
30/01/2014 18.00,"29,6","45,9","1,5","21,5","0,9",,,
30/01/2014 19.00,"29,9","45,5","1,5",,"1,1",,,
30/01/2014 20.00,"26,0","40,5","0,8","26,9","1,4",,,
30/01/2014 21.00,"18,9","31,2","0,6",,"0,3",,,
30/01/2014 22.00,"10,5","20,9","0,6","21,0","0,2",,,
30/01/2014 23.00,"7,3","17,2","0,6",,"0,1",,,
31/01/2014 0.00,"6,0","16,4","0,6","20,5","0,1",,,
31/01/2014 1.00,"5,4","15,2","0,6",,"0,1",,,
31/01/2014 2.00,"4,4","14,9","0,6","26,9","0,1",,,
31/01/2014 3.00,"3,4","13,8","0,6",,"0,1",,,
31/01/2014 4.00,"3,1","13,4","0,6","17,1","0,1",,,
31/01/2014 5.00,"2,6","12,9","0,6",,"0,1",,,
31/01/2014 6.00,"5,3","16,4","0,6","24,9",,,,
31/01/2014 7.00,"14,5","29,1","0,6",,"0,1",,,
31/01/2014 8.00,"18,2","32,8","0,6","19,0","0,1",,,
31/01/2014 9.00,"19,2","36,0","0,6",,"0,2",,,
31/01/2014 10.00,"14,4","29,4","0,6","16,1","0,2",,,
31/01/2014 11.00,"13,1","28,4","0,6",,"0,1",,,
31/01/2014 12.00,"11,9","26,6","0,6","19,0","0,4",,,
31/01/2014 13.00,"14,1","29,4","0,6",,"0,2",,,
31/01/2014 14.00,"15,1","30,2","0,6","24,4","0,2",,,
31/01/2014 15.00,"9,4","22,8","0,6",,"0,1",,,
31/01/2014 16.00,"12,4","26,0","0,6","19,5","0,1",,,
31/01/2014 17.00,"16,6","30,5","0,7",,"0,3",,,
31/01/2014 18.00,"16,9","31,1","1,1","10,7","0,5",,,
31/01/2014 19.00,"17,4","32,4","1,3",,"0,8",,,
31/01/2014 20.00,"17,5","31,7","0,7","21,5","0,6",,,
31/01/2014 21.00,"17,0","29,7","0,7",,"0,5",,,
31/01/2014 22.00,"11,0","23,3","0,6","28,8","0,4",,,
31/01/2014 23.00,"7,1","18,2","0,6",,"0,3",,,
01/02/2014 0.00,"7,9","19,8","0,6","30,3","0,2",,,
01/02/2014 1.00,"6,7","18,2","0,6",,"0,2",,,
01/02/2014 2.00,"5,1","16,0","0,6","30,3","0,1",,,
01/02/2014 3.00,"3,3","14,1",,,"0,1",,,
01/02/2014 4.00,,,"0,6","24,4","0,1",,,
01/02/2014 5.00,"5,3","15,8","0,6",,"0,1",,,
01/02/2014 6.00,"7,1","17,8","0,6","20,5","0,1",,,
01/02/2014 7.00,"15,9","29,9","0,6",,"0,1",,,
01/02/2014 8.00,"18,3","32,5","0,6","31,3","0,1",,,
01/02/2014 9.00,"21,8","37,7","0,7",,"0,3",,,
01/02/2014 10.00,"16,8","31,8","0,6","28,8","0,3",,,
01/02/2014 11.00,"16,6","31,6","0,7",,"0,4",,,
01/02/2014 12.00,"19,8","36,1","0,7","24,4","0,3",,,
01/02/2014 13.00,"21,0","38,2","0,7",,"0,4",,,
01/02/2014 14.00,"16,7","31,5","0,6","18,6","0,3",,,
01/02/2014 15.00,"11,1","23,5","0,6",,"0,2",,,
01/02/2014 16.00,"12,3","25,3","0,6","16,1","0,3",,,
01/02/2014 17.00,"12,2","25,2","0,6",,"0,3",,,
01/02/2014 18.00,"14,7","28,0","0,6","17,1","0,4",,,
01/02/2014 19.00,"20,7","35,8","0,6",,"0,4",,,
01/02/2014 20.00,"25,7","42,6","0,7","17,1","0,3",,,
01/02/2014 21.00,"37,1","57,6","0,7",,"0,6",,,
01/02/2014 22.00,"31,7","48,3","0,7","13,2","0,5",,,
01/02/2014 23.00,"27,6","43,7","0,7",,"0,4",,,
02/02/2014 0.00,"53,4","95,9","0,8","14,7","0,6",,,
02/02/2014 1.00,"70,2","166,0","1,3",,"1,3",,,
02/02/2014 2.00,"59,8","129,8","1,0","23,9","1,7",,,
02/02/2014 3.00,"36,7","74,6","0,9",,"1,2",,,
02/02/2014 4.00,"12,7","24,6","0,7","17,1","0,8",,,
02/02/2014 5.00,"6,5","16,5","0,6",,"0,3",,,
02/02/2014 6.00,"4,1","14,2","0,6","18,6","0,2",,,
02/02/2014 7.00,"9,5","20,3","0,6",,"0,1",,,
02/02/2014 8.00,"17,5","31,7","0,6","15,6","0,1",,,
02/02/2014 9.00,"10,7","22,7","0,6",,"0,2",,,
02/02/2014 10.00,"10,9","23,8","0,6","14,2","0,2",,,
02/02/2014 11.00,"13,4","27,6","0,6",,"0,2",,,
02/02/2014 12.00,"14,4","30,0","0,6","8,8","0,2",,,
02/02/2014 13.00,"15,8","31,1","0,7",,"0,3",,,
02/02/2014 14.00,"11,9","24,9","0,6","17,6","0,3",,,
02/02/2014 15.00,"9,8","22,0","0,6",,"0,2",,,
02/02/2014 16.00,"11,8","24,5","0,6","10,3","0,2",,,
02/02/2014 17.00,"23,2","37,9","0,9",,"0,3",,,
02/02/2014 18.00,"27,0","44,8","1,5","6,8","1,2",,,
02/02/2014 19.00,"35,7","55,5","1,5",,"1,1",,,
02/02/2014 20.00,"35,5","55,4","1,0","8,3","1,1",,,
02/02/2014 21.00,"33,8","50,9","0,8",,"0,5",,,
02/02/2014 22.00,"33,7","47,4","0,8","13,7","0,7",,,
02/02/2014 23.00,"17,8","30,1","0,7",,"0,5",,,
03/02/2014 0.00,"11,5","23,1","0,6","12,2","0,3",,,
03/02/2014 1.00,"7,2","18,0","0,6",,"0,2",,,
03/02/2014 2.00,"6,1","17,2","0,6","7,3","0,1",,,
03/02/2014 3.00,"6,5","17,4",,,"0,1",,,
03/02/2014 4.00,,,"0,6","13,7","0,1",,,
03/02/2014 5.00,"9,2","20,8","0,6",,"0,1",,,
03/02/2014 6.00,"16,0","28,0","0,6","8,8","0,1",,,
03/02/2014 7.00,"51,1","72,9","0,7",,"0,2",,,
03/02/2014 8.00,"73,0","124,6","0,9","10,3","0,4",,,
03/02/2014 9.00,"80,2","147,9","1,0",,"1,0",,,
03/02/2014 10.00,"57,1","94,5","0,9","14,2","1,1",,,
03/02/2014 11.00,"48,9","81,2","0,9",,"0,8",,,
03/02/2014 12.00,"57,0","100,2","0,8","12,7","0,9",,,
03/02/2014 13.00,"34,4","59,2","0,8",,"0,7",,,
03/02/2014 14.00,"31,8","53,0","0,7","12,2","0,6",,,
03/02/2014 15.00,"21,3","37,5","0,7",,"0,3",,,
03/02/2014 16.00,"20,5","36,1","0,7","15,6","0,3",,,
03/02/2014 17.00,"27,8","44,4","0,7",,"0,3",,,
03/02/2014 18.00,"47,9","68,6","1,3","12,2","0,6",,,
03/02/2014 19.00,"59,7","89,4","1,7",,"1,2",,,
03/02/2014 20.00,"61,8","86,9","0,9","8,3","1,1",,,
03/02/2014 21.00,"40,5","60,1","0,8",,"1,1",,,
