,ARPA Puglia,,,
,Molfetta ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
15/01/2009 1.00,"13,75862688","26,95549072","1,16430594",
15/01/2009 2.00,"12,37518144",,"2,21220962",
15/01/2009 3.00,"6,5849255","16,14293378","17,74722674",
15/01/2009 4.00,"8,40544195","14,85154795","21,56329665",
15/01/2009 5.00,"6,94975086","4,20900032","43,67507865",
15/01/2009 6.00,"5,28275057","9,54844578","40,92624795",
15/01/2009 7.00,"8,91294834","19,19940536","24,60247965",
15/01/2009 8.00,"16,41353589","27,75627456","20,60186625",
15/01/2009 9.00,"18,67835421","32,62849032","20,67412515",
15/01/2009 10.00,"12,2343066","27,4188448","28,04944065",
15/01/2009 11.00,"4,92695413","24,37142272","27,9113667",
15/01/2009 12.00,"9,10258528","39,77587136","16,08503862",
15/01/2009 13.00,"14,88019482","55,01030496","6,70941642",
15/01/2009 14.00,"14,17583079","43,61887664","17,32652313",
15/01/2009 15.00,"14,6977857","41,32164688","19,56428271",
15/01/2009 16.00,"6,68064656","45,03224616","19,34360778",
15/01/2009 17.00,"6,51810047","68,11750472","4,17173453",
15/01/2009 18.00,"14,75557164","48,5027556","2,47160351",
15/01/2009 19.00,"11,16149364","46,06795744","0,90981576",
15/01/2009 20.00,"7,66676027","38,44944048","2,06173475",
15/01/2009 21.00,"8,28082385","37,88358408","0,99782918",
15/01/2009 22.00,"10,78944453","37,51887008","0,63338657",
15/01/2009 23.00,"8,2699867","31,49155776","1,74426641",
16/01/2009 0.00,"6,58311931","25,56676688","3,41807141",
16/01/2009 1.00,,"20,3402384","4,10643419",
16/01/2009 2.00,"12,06091827","19,79772752","6,51712835",
16/01/2009 3.00,"11,57147685","14,43492889",,
16/01/2009 4.00,"10,6016148","11,93133506","18,1945596",
16/01/2009 5.00,"9,78347288","11,61465432","22,0350144",
16/01/2009 6.00,"14,23903734","10,68667659","24,78857325",
16/01/2009 7.00,"4,87096625","22,45707096","13,31647737",
16/01/2009 8.00,"13,80919212","25,8328408","11,43839634",
16/01/2009 9.00,"13,10301783","24,25071816","15,97795301",
16/01/2009 10.00,"9,81598128","19,86522112","25,33592145",
16/01/2009 11.00,"7,93044701","21,96387056","25,12062105",
16/01/2009 12.00,"12,71832741","19,56670056","31,28924085",
16/01/2009 13.00,"7,78957319","20,75166256","39,0881946",
16/01/2009 14.00,"4,8258145","20,45704248","44,05189425",
16/01/2009 15.00,"11,93810535","18,95282428","46,3722588",
16/01/2009 16.00,"7,83653113","16,94371189","48,0972954",
16/01/2009 17.00,"8,45420608","27,46295464","34,6977981",
16/01/2009 18.00,"6,61382254","33,391646","12,6861252",
16/01/2009 19.00,"7,81666403","33,8355168","9,58755305",
16/01/2009 20.00,"0,75854877","30,67130976","11,75486319",
16/01/2009 21.00,"9,01408797","27,9146264","15,49157201",
16/01/2009 22.00,"13,65748623","22,3973592","21,05836215",
16/01/2009 23.00,"6,50184677","14,64648404","30,92347755",
17/01/2009 0.00,"4,89444573","9,8560407","37,5642141",
17/01/2009 1.00,"13,14817263","8,68535942","40,21530975",
17/01/2009 2.00,"11,41074","7,09416817","42,45266235",
17/01/2009 3.00,"6,19662066","7,04225546","42,38132115",
17/01/2009 4.00,"0,42623182","5,9092119","44,1504672",
17/01/2009 5.00,"3,70063418","4,97863768","45,70558965",
17/01/2009 6.00,"7,84556107","6,29987174","43,64722845",
17/01/2009 7.00,"14,0385663","12,61661115","36,75226905",
17/01/2009 8.00,"15,41479104","18,78020892","29,57457825",
17/01/2009 9.00,"7,82930636","14,7905475","35,0894964",
17/01/2009 10.00,"12,19457241","15,1124155","39,9118104",
17/01/2009 11.00,"9,23442814","13,61338073","45,20105415",
17/01/2009 12.00,"7,03824918","12,84633222","51,21921105",
17/01/2009 13.00,"8,3982182","12,67891367","54,1037616",
17/01/2009 14.00,"4,38694035","13,96639329","53,8858677",
17/01/2009 15.00,"12,1963725","13,92226815","52,5823746",
17/01/2009 16.00,"11,89837116","17,28634994","48,09340515",
17/01/2009 17.00,"8,0388104","26,57781336","36,68870835",
17/01/2009 18.00,"10,74609999","44,51311904","10,54777248",
17/01/2009 19.00,"3,44236601","24,54793856","7,72633376",
17/01/2009 20.00,"8,30249612","31,08403408","7,32555422",
17/01/2009 21.00,"10,73526894","22,43240616","19,77043604",
17/01/2009 22.00,"7,20440664","17,24481938","26,09338305",
17/01/2009 23.00,"8,56257048","13,40182749","33,94682025",
18/01/2009 0.00,"11,92907439","12,41933864","35,852145",
18/01/2009 1.00,,"12,1350969","30,1517517",
18/01/2009 2.00,"4,85832392",,"22,13358735",
18/01/2009 3.00,"9,70400552","14,52448314",,
