,SIMAGE Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,PM10,NOX



07/01/2010 22.00,"0,10038299","15,46025036","22,20000076","20,14460256"
07/01/2010 23.00,"0,04365167","11,63931147","22,20000076","15,64670286"
08/01/2010 0.00,"0,15858488","7,9196149","22,20000076","11,93216678"
08/01/2010 1.00,,"6,66457427","27,10000038","10,65724135"
08/01/2010 2.00,"0,35200404",,"27,10000038",
08/01/2010 3.00,"0,00145634","4,99940391","27,10000038","9,31098112"
08/01/2010 4.00,"0,11571324","5,20446782","27,10000038","9,43289789"
08/01/2010 5.00,"0,21321812","5,10453141","27,10000038","9,36026674"
08/01/2010 6.00,"0,17511316","5,43938188","27,10000038","9,67024401"
08/01/2010 7.00,"0,06802306","6,6139579","27,10000038","10,81676907"
08/01/2010 8.00,"0,01689644","6,25963753","27,10000038","10,31613673"
08/01/2010 9.00,"0,1137901","7,15517053","27,10000038","11,16695187"
08/01/2010 10.00,"0,04145495","7,63538271","27,10000038","11,71297892"
08/01/2010 11.00,"0,0366476","7,07859493","27,10000038","10,74413793"
08/01/2010 12.00,"0,11810116","10,66071928","27,10000038","15,4015749"
08/01/2010 13.00,"0,23168786","6,52570189","27,10000038","10,00486313"
08/01/2010 14.00,"0,11617903","6,97736026","27,10000038","10,59628297"
08/01/2010 15.00,"0,06776068","6,70999766","27,10000038","9,7999407"
08/01/2010 16.00,"0,10155457","6,40629749","27,10000038","9,39917594"
08/01/2010 17.00,"0,02639318","6,92804022","27,10000038","10,26555477"
08/01/2010 18.00,"0,05916703","7,16165794","27,10000038","10,33040407"
08/01/2010 19.00,"0,17540504","7,46665827","27,10000038","10,91015115"
08/01/2010 20.00,"0,21450056","7,37580768","27,10000038","10,93349667"
08/01/2010 21.00,"0,26189886","7,26548719","27,10000038","10,77007803"
08/01/2010 22.00,"0,17686139","6,75542486","27,10000038","10,04766325"
08/01/2010 23.00,"0,12762842","5,48221259","27,10000038","8,51593519"
09/01/2010 0.00,"0,07988027","5,29921316","27,10000038","8,57818991"
09/01/2010 1.00,"0,10368112","4,79304175",50,"8,36418931"
09/01/2010 2.00,"0,04649419","4,65936045",50,"8,24875996"
09/01/2010 3.00,"0,26469459","4,62302098",50,"8,22411619"
09/01/2010 4.00,"0,19664204","4,64897829",50,"8,40309851"
09/01/2010 5.00,"0,04305673","4,59446717",50,"8,33825112"
09/01/2010 6.00,"0,09651432","4,18953042",50,"8,03086653"
09/01/2010 7.00,"0,11612106","5,74957329",50,"10,0723051"
09/01/2010 8.00,"0,10009823","6,62693655",50,"11,17603005"
09/01/2010 9.00,"0,16637408","8,63733954",50,"14,08125478"
09/01/2010 10.00,"0,03557059","6,97216918",50,"11,29275765"
09/01/2010 11.00,"0,05220464","6,12725447",50,"10,02561406"
09/01/2010 12.00,"0,07615093","6,27001969",50,"10,06971052"
09/01/2010 13.00,"0,026801","8,36738044",50,"12,55730856"
09/01/2010 14.00,"0,07999722","9,47446668",50,"12,9541824"
09/01/2010 15.00,"0,03149141","12,02607466",50,"14,97227546"
09/01/2010 16.00,"0,28701062","9,3498712",50,"12,31347694"
09/01/2010 17.00,"0,3020429","11,7275713",50,"15,26149987"
09/01/2010 18.00,"0,29965397","14,02869581",50,"17,95142766"
09/01/2010 19.00,"0,11696517","13,28111719",50,"16,92422287"
09/01/2010 20.00,"0,09357214","14,97095618",50,"19,06033986"
09/01/2010 21.00,"0,0744027","18,72310322",50,"23,58417584"
09/01/2010 22.00,"0,26379251","18,72829047",50,"23,52710264"
09/01/2010 23.00,"0,07014961","13,15652362",50,"17,70629779"
10/01/2010 0.00,"0,04713592","10,76065761",50,"15,44307678"
10/01/2010 1.00,,"6,98125501","24,10000038","11,56123113"
10/01/2010 2.00,"0,11198696",,"24,10000038",
10/01/2010 3.00,"0,05816426","6,72687297","24,10000038","11,72335343"
10/01/2010 4.00,"0,09375723","6,61525423","24,10000038","12,00220334"
10/01/2010 5.00,"0,16251152","6,58799867","24,10000038","11,98923424"
10/01/2010 6.00,"0,25366421","6,39331883","24,10000038","11,93994862"
10/01/2010 7.00,"0,03281452","11,81712556","24,10000038","17,50786087"
10/01/2010 8.00,"0,00781259","9,49653116","24,10000038","14,97487004"
10/01/2010 9.00,"0,02031356","7,56659469","24,10000038","13,77127751"
10/01/2010 10.00,"0,06719217","11,66267611","24,10000038","17,32628397"
10/01/2010 11.00,"0,14376007","8,52442447","24,10000038","13,3692145"
10/01/2010 12.00,"0,24914975","7,80410524","24,10000038","12,38740442"
