,Provincia di Taranto,,,
,Martina Franca,,,
Parm,NO2,CO,O3,Benzene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
,,,,,,,
17/01/2005 19.00,"41,39432","1,212933","32,070863","2,91545"
17/01/2005 20.00,"44,688312","1,299399","25,32872","3,389035"
17/01/2005 21.00,"42,398867","1,182682","19,354371","3,682163"
17/01/2005 22.00,"27,089177","0,703107","30,510911","3,462976"
17/01/2005 23.00,"18,852884","0,499223","40,274082","2,705065"
18/01/2005 0.00,"13,996248","0,433107","50,484115","2,570384"
18/01/2005 1.00,"10,102636","0,294637","59,480865","1,950675"
18/01/2005 2.00,,"0,292143","54,656139","2,036941"
18/01/2005 3.00,"25,733379",,"49,698722","2,297502"
18/01/2005 4.00,"13,549775","0,315967",,"2,06511"
18/01/2005 5.00,"11,831397","0,304112","50,65744","1,921627"
18/01/2005 6.00,"11,667863","0,305282","49,851739","1,99821"
18/01/2005 7.00,"20,584228","0,459171","40,49074","2,334473"
18/01/2005 8.00,"35,1308","0,943069","20,972517","2,344155"
18/01/2005 9.00,"65,451681","3,416137","12,939919","4,419829"
18/01/2005 10.00,"40,978995","1,300922","19,097089","4,517538"
