,SIMAGE Brindisi,,,,,,
09/02/2009 1.00,,"15,3","11,5","1,1","21,4",,
09/02/2009 2.00,"0,2","13,0","9,2",,"21,4",,
09/02/2009 3.00,"0,1","12,7","9,0","0,7","21,4",,
09/02/2009 4.00,"0,2",,,"0,6","21,4",,
09/02/2009 5.00,"0,1","10,2","7,2","0,5","21,4",,
09/02/2009 6.00,"0,2","10,8","7,2","0,4","21,4",,
09/02/2009 7.00,"0,2","11,1","7,6","0,4","21,4",,
09/02/2009 8.00,"0,3","14,9","11,4","0,4","21,4",,
09/02/2009 9.00,"0,2","14,0","10,5","0,4","21,4",,
09/02/2009 10.00,"0,2","12,7","9,1","0,4","21,4",,
09/02/2009 11.00,"0,3","14,3","10,8","0,3","21,4",,
09/02/2009 12.00,"0,3","12,3","9,0","0,4","21,4",,
09/02/2009 13.00,"0,2","12,4","9,5","0,4","21,4",,
09/02/2009 14.00,"0,3","10,6","7,7","0,4","21,4",,
09/02/2009 15.00,"0,5","9,8","7,0","0,4","21,4",,
09/02/2009 16.00,"0,2","10,2","7,3","0,5","21,4",,
09/02/2009 17.00,"0,4","10,5","7,7","0,4","21,4",,
09/02/2009 18.00,"0,3","10,7","7,8","0,5","21,4",,
09/02/2009 19.00,"0,2","10,6","7,8","0,4","21,4",,
09/02/2009 20.00,"0,4","12,4","9,4","0,6","21,4",,
09/02/2009 21.00,"0,4","14,5","11,4","0,7","21,4",,
09/02/2009 22.00,"0,4","14,5","11,2","0,8","21,4",,
09/02/2009 23.00,"0,2","13,8","10,3","0,7","21,4",,
10/02/2009 0.00,"0,0","11,8","8,2","0,6","21,4",,
10/02/2009 1.00,"0,1","11,0","7,4","0,6","36,9",,
10/02/2009 2.00,"0,1","10,3","6,6","0,5","36,9",,
10/02/2009 3.00,"0,0","10,1","6,5","0,5","36,9",,
10/02/2009 4.00,"0,1","9,6","5,9","0,5","36,9",,
10/02/2009 5.00,"0,1","9,9","6,2","0,4","36,9",,
10/02/2009 6.00,"0,1","10,8","7,0","0,4","36,9",,
10/02/2009 7.00,"0,1","18,3","14,3","0,6","36,9",,
10/02/2009 8.00,"0,1","26,8","22,8","0,7","36,9",,
10/02/2009 9.00,"0,1","26,3","22,6","0,8","36,9",,
10/02/2009 10.00,"0,4","27,5","23,6","0,9","36,9",,
10/02/2009 11.00,"0,3","22,3","19,1","0,8","36,9",,
10/02/2009 12.00,"0,3","18,3","15,4","0,8","36,9",,
10/02/2009 13.00,"0,4","16,5","13,6","0,7","36,9",,
10/02/2009 14.00,"0,2","15,3","12,5","0,7","36,9",,
10/02/2009 15.00,"0,3","14,2","11,4","0,7","36,9",,
10/02/2009 16.00,"0,3","14,7","11,8","0,7","36,9",,
10/02/2009 17.00,"0,3","14,9","12,1","0,8","36,9",,
10/02/2009 18.00,"0,2","18,2","15,2","0,8","36,9",,
10/02/2009 19.00,"0,1","18,9","15,9","0,8","36,9",,
10/02/2009 20.00,"0,2","20,4","17,1","0,8","36,9",,
10/02/2009 21.00,"0,1","20,3","17,0","0,8","36,9",,
10/02/2009 22.00,"0,3","18,7","15,4","0,8","36,9",,
10/02/2009 23.00,"0,2","15,4","11,8","0,6","36,9",,
11/02/2009 0.00,"0,1","12,6","9,0","0,4","36,9",,
11/02/2009 1.00,,"10,8","7,2","0,3","66,4",,
11/02/2009 2.00,"0,6","10,1","6,4",,"66,4",,
11/02/2009 3.00,"0,5","9,7","5,9","0,3","66,4",,
11/02/2009 4.00,"0,6",,,"0,3","66,4",,
11/02/2009 5.00,"0,5","8,7","5,9","0,2","66,4",,
11/02/2009 6.00,"0,6","8,9","6,0","0,3","66,4",,
11/02/2009 7.00,"0,6","11,0","7,9","0,4","66,4",,
11/02/2009 8.00,"0,8","20,3","17,0","1,0","66,4",,
11/02/2009 9.00,"0,7","25,3","21,9","0,9","66,4",,
11/02/2009 10.00,"0,8","26,8","23,6","0,9","66,4",,
11/02/2009 11.00,"1,1",,,"1,0","66,4",,
11/02/2009 12.00,"1,2","23,9","20,2","0,8","66,4",,
11/02/2009 13.00,"1,2","23,0","18,9","0,9","66,4",,
11/02/2009 14.00,"1,1","23,5","18,9","1,2","66,4",,
11/02/2009 15.00,"1,0","19,5","14,9","0,8","66,4",,
11/02/2009 16.00,"0,5","22,8","17,8","1,0","66,4",,
11/02/2009 17.00,"0,9","20,3","15,6","1,1","66,4",,
11/02/2009 18.00,"1,0","24,5","19,8","1,3","66,4",,
11/02/2009 19.00,"1,2","30,5","25,8","1,8","66,4",,
11/02/2009 20.00,"1,0","33,3","28,6","1,9","66,4",,
11/02/2009 21.00,"0,9","31,3","26,5","1,9","66,4",,
11/02/2009 22.00,"1,1","33,7","28,8","1,9","66,4",,
11/02/2009 23.00,"0,7","27,5","22,7","1,7","66,4",,
12/02/2009 0.00,"0,4","22,0","17,3","1,4","66,4",,
12/02/2009 1.00,"0,3","18,3","13,6","1,0","25,9",,
12/02/2009 2.00,"0,2","16,7","11,7","0,9","25,9",,
12/02/2009 3.00,"0,3","15,3","10,4","0,8","25,9",,
12/02/2009 4.00,"0,2","13,5","8,3","0,6","25,9",,
12/02/2009 5.00,"0,1","13,2","7,8","0,5","25,9",,
12/02/2009 6.00,"0,4","14,6","9,1","0,4","25,9",,
12/02/2009 7.00,"0,3","18,6","12,9","0,5","25,9",,
12/02/2009 8.00,"0,2","21,0","15,3","0,5","25,9",,
12/02/2009 9.00,"0,3","21,5","15,8","0,6","25,9",,
12/02/2009 10.00,"0,3","18,2","13,0","0,5","25,9",,
12/02/2009 11.00,"0,2","15,4","10,7","0,5","25,9",,
12/02/2009 12.00,"0,3","13,1","8,5","0,5","25,9",,
12/02/2009 13.00,"0,4","13,4","8,6","0,5","25,9",,
12/02/2009 14.00,"0,3","13,2","7,8","0,4","25,9",,
12/02/2009 15.00,"0,3","15,4","9,9","0,4","25,9",,
12/02/2009 16.00,"0,3","13,9","8,7","0,5","25,9",,
12/02/2009 17.00,"0,4","13,3","8,5","0,5","25,9",,
12/02/2009 18.00,"0,2","15,3","10,3","0,5","25,9",,
12/02/2009 19.00,"0,3","17,9","12,5","0,8","25,9",,
12/02/2009 20.00,"0,2","19,0","13,4","0,9","25,9",,
12/02/2009 21.00,"0,2","20,8","15,2","1,1","25,9",,
12/02/2009 22.00,"0,2","21,8","16,2","1,2","25,9",,
12/02/2009 23.00,"0,5","18,8","13,2","1,0","25,9",,
13/02/2009 0.00,"1,2","16,2","10,6","0,8","25,9",,
13/02/2009 1.00,,"14,3","8,6","0,6","15,8",,
13/02/2009 2.00,"0,7","13,0","7,1",,"15,8",,
13/02/2009 3.00,"0,6","12,6","6,5","0,4","15,8",,
13/02/2009 4.00,"0,6",,,"0,3","15,8",,
13/02/2009 5.00,"0,5","11,7","6,2","0,3","15,8",,
13/02/2009 6.00,"0,5","13,0","7,4","0,3","15,8",,
13/02/2009 7.00,"0,7","17,0","11,4","0,4","15,8",,
13/02/2009 8.00,"0,7","21,0","14,8","0,6","15,8",,
13/02/2009 9.00,"1,4","22,7","16,8","0,5","15,8",,
13/02/2009 10.00,"1,1","14,8","9,7","0,7","15,8",,
13/02/2009 11.00,"0,8","12,6","8,6","0,5","15,8",,
13/02/2009 12.00,"0,7","13,8","8,6","0,5","15,8",,
13/02/2009 13.00,"0,6","13,8","8,4","0,4","15,8",,
13/02/2009 14.00,"0,8","12,0","6,6","0,4","15,8",,
13/02/2009 15.00,"1,3","11,3","6,5","0,5","15,8",,
13/02/2009 16.00,"0,8","10,5","5,9","0,4","15,8",,
13/02/2009 17.00,"0,7","12,0","7,4","0,4","15,8",,
13/02/2009 18.00,"0,6","12,7","7,5","0,5","15,8",,
13/02/2009 19.00,"0,7","13,4","8,0","0,5","15,8",,
13/02/2009 20.00,"0,6","13,6","8,5","0,4","15,8",,
13/02/2009 21.00,"0,8","13,2","7,9","0,4","15,8",,
13/02/2009 22.00,"1,0","12,4","6,9","0,4","15,8",,
13/02/2009 23.00,"0,6","11,6","6,1","0,4","15,8",,
14/02/2009 0.00,"0,7","10,8","5,2","0,4","15,8",,
14/02/2009 1.00,"0,6","11,2","5,3","0,3","34,7",,
14/02/2009 2.00,"0,4","10,7","4,7","0,3","34,7",,
14/02/2009 3.00,"0,6","10,5","4,3","0,3","34,7",,
14/02/2009 4.00,"0,5","11,2","4,8","0,3","34,7",,
14/02/2009 5.00,"0,8","11,1","4,8","0,3","34,7",,
14/02/2009 6.00,"0,8","10,6","4,4","0,3","34,7",,
14/02/2009 7.00,"0,6","11,2","5,2","0,3","34,7",,
14/02/2009 8.00,"0,7","12,8","6,3","0,4","34,7",,
14/02/2009 9.00,"1,0","14,2","7,6","0,4","34,7",,
14/02/2009 10.00,"0,9","13,5","7,3","0,4","34,7",,
14/02/2009 11.00,"1,4","13,4","7,8","0,5","34,7",,
14/02/2009 12.00,"2,4","13,2","8,0","0,5","34,7",,
14/02/2009 13.00,"1,3","12,5","7,6","0,5","34,7",,
14/02/2009 14.00,"1,2","15,4","9,9","0,6","34,7",,
14/02/2009 15.00,"1,2","15,5","10,0","0,7","34,7",,
14/02/2009 16.00,"1,3","14,6","9,0","0,6","34,7",,
14/02/2009 17.00,"1,2","15,8","10,2","0,7","34,7",,
14/02/2009 18.00,"1,0","21,1","15,3","1,0","34,7",,
14/02/2009 19.00,"1,1","26,2","20,4","1,2","34,7",,
14/02/2009 20.00,"1,3","26,1","20,5","1,3","34,7",,
14/02/2009 21.00,"1,3","24,7","19,1","1,3","34,7",,
14/02/2009 22.00,"1,5","22,7","17,0","1,1","34,7",,
14/02/2009 23.00,"0,7","19,6","14,0","0,8","34,7",,
15/02/2009 0.00,"0,1","16,9","11,3","0,6","34,7",,
15/02/2009 1.00,,"14,1","8,4","0,4","31,9",,
15/02/2009 2.00,"0,3","15,2","8,9",,"31,9",,
15/02/2009 3.00,"0,3","14,3","7,7","0,4","31,9",,
15/02/2009 4.00,"0,3",,,"0,3","31,9",,
15/02/2009 5.00,"0,2","11,7","6,1","0,3","31,9",,
15/02/2009 6.00,"0,2","10,8","5,0","0,3","31,9",,
15/02/2009 7.00,"0,2","10,3","4,6","0,3","31,9",,
15/02/2009 8.00,"0,2","10,2","4,5","0,3","31,9",,
15/02/2009 9.00,"0,2","10,6","4,9","0,5","31,9",,
15/02/2009 10.00,"0,2","10,6","4,9","0,4","31,9",,
15/02/2009 11.00,"0,6","10,3","5,1","0,5","31,9",,
15/02/2009 12.00,"0,4","10,2","5,6","0,5","31,9",,
15/02/2009 13.00,"0,2","10,5","5,7","0,5","31,9",,
15/02/2009 14.00,"0,1","10,3","5,2","0,5","31,9",,
15/02/2009 15.00,"0,1","11,3","5,9","0,5","31,9",,
15/02/2009 16.00,"0,2","11,7","6,2","0,5","31,9",,
15/02/2009 17.00,"0,1","11,7","6,2","0,5","31,9",,
15/02/2009 18.00,"0,2","11,7","6,1","0,5","31,9",,
15/02/2009 19.00,"0,3","13,4","7,8","0,5","31,9",,
15/02/2009 20.00,"0,4","12,1","6,6","0,6","31,9",,
15/02/2009 21.00,"0,2","16,0","10,5","0,7","31,9",,
15/02/2009 22.00,"0,3","22,0","16,4","1,1","31,9",,
15/02/2009 23.00,"0,5","23,0","17,4","1,4","31,9",,
16/02/2009 0.00,"0,7","24,3","18,3","1,3","31,9",,
16/02/2009 1.00,"0,8","20,7","14,3","1,1","30,5",,
16/02/2009 2.00,"0,6","16,7","10,3","0,8","30,5",,
16/02/2009 3.00,"0,7","14,4","8,1","0,5","30,5",,
16/02/2009 4.00,"0,7","13,9","7,7","0,4","30,5",,
16/02/2009 5.00,"0,7","13,5","7,1","0,4","30,5",,
16/02/2009 6.00,"0,7","13,0","6,6","0,3","30,5",,
16/02/2009 7.00,"0,8","14,3","7,9","0,3","30,5",,
16/02/2009 8.00,"0,9","16,0","9,5","0,4","30,5",,
16/02/2009 9.00,"0,9","17,5","11,0","0,4","30,5",,
16/02/2009 10.00,"0,6","18,2","11,8","0,5","30,5",,
16/02/2009 11.00,"1,2","15,8","10,3","0,4","30,5",,
16/02/2009 12.00,"1,0","13,3","8,2","0,4","30,5",,
16/02/2009 13.00,"1,3","11,7","7,0","0,5","30,5",,
16/02/2009 14.00,"1,1","11,3","6,7","0,5","30,5",,
16/02/2009 15.00,"1,3","11,2","6,5","0,5","30,5",,
16/02/2009 16.00,"1,1","11,4","6,7","0,5","30,5",,
16/02/2009 17.00,"0,9","11,8","7,0","0,5","30,5",,
16/02/2009 18.00,"0,6","12,8","7,5","0,5","30,5",,
16/02/2009 19.00,"0,7","16,0","10,5","0,6","30,5",,
16/02/2009 20.00,"0,8","19,6","14,0","0,8","30,5",,
16/02/2009 21.00,"0,9","19,9","14,4","1,1","30,5",,
16/02/2009 22.00,"0,9","21,3","15,7","1,1","30,5",,
16/02/2009 23.00,"1,1","20,9","14,9","1,1","30,5",,
17/02/2009 0.00,"1,0","19,7","13,6","1,0","30,5",,
17/02/2009 1.00,,"18,4","12,3","1,0","72,1",,
17/02/2009 2.00,"0,8","16,2","10,1",,"72,1",,
17/02/2009 3.00,"0,6","14,9","8,5","0,8","72,1",,
17/02/2009 4.00,"0,7",,,"0,6","72,1",,
17/02/2009 5.00,"0,7","12,3","7,0","0,5","72,1",,
17/02/2009 6.00,"0,3","12,2","6,9","0,5","72,1",,
17/02/2009 7.00,"0,3","14,9","9,3","0,5","72,1",,
17/02/2009 8.00,"0,4","25,3","19,7","0,7","72,1",,
17/02/2009 9.00,"0,8","23,8","13,7","0,9","72,1",,
17/02/2009 10.00,"1,6","18,3","8,2","0,8","72,1",,
17/02/2009 11.00,"1,5","14,7","6,1","0,7","72,1",,
17/02/2009 12.00,"1,6","14,6","6,1","0,9","72,1",,
17/02/2009 13.00,"1,8","14,6","6,1","0,9","72,1",,
17/02/2009 14.00,"2,0","15,8","6,6","1,0","72,1",,
17/02/2009 15.00,"1,7","16,3","6,2","1,0","72,1",,
17/02/2009 16.00,"1,5","17,3","7,0","1,0","72,1",,
17/02/2009 17.00,"1,2","19,7","8,6","1,1","72,1",,
17/02/2009 18.00,"1,3","22,2","10,7","1,5","72,1",,
17/02/2009 19.00,"1,5","27,0","15,0","1,9","72,1",,
17/02/2009 20.00,"1,8","32,2","20,0","2,2","72,1",,
17/02/2009 21.00,"1,7","34,2","21,7","2,2","72,1",,
17/02/2009 22.00,"1,5","32,5","19,6","2,1","72,1",,
17/02/2009 23.00,"1,4","28,4","15,4","1,9","72,1",,
18/02/2009 0.00,"1,0","24,9","12,5","1,5","72,1",,
18/02/2009 1.00,"0,9","22,3","10,0","1,1","42,9",,
18/02/2009 2.00,"1,1","20,0","8,0","0,9","42,9",,
18/02/2009 3.00,"1,0","18,9","6,9","0,6","42,9",,
18/02/2009 4.00,"0,8","17,6","5,7","0,5","42,9",,
18/02/2009 5.00,"0,6","17,7","5,6","0,4","42,9",,
18/02/2009 6.00,"0,9","19,4","6,6","0,4","42,9",,
18/02/2009 7.00,"1,0","24,8","11,5","0,6","42,9",,
18/02/2009 8.00,"1,0","32,8","18,8","0,9","42,9",,
18/02/2009 9.00,"1,1","50,2","35,4","1,1","42,9",,
18/02/2009 10.00,"1,0","35,7","22,4","1,0","42,9",,
18/02/2009 11.00,"1,2","28,5","14,8","1,2","42,9",,
18/02/2009 12.00,"1,4","29,3","15,3","1,6","42,9",,
18/02/2009 13.00,"1,3","30,4","15,8","1,3","42,9",,
18/02/2009 14.00,"1,3","28,7","13,2","0,8","42,9",,
18/02/2009 15.00,"1,4","22,8","8,8","0,6","42,9",,
18/02/2009 16.00,"1,2","18,1","7,7","0,5","42,9",,
18/02/2009 17.00,"1,1","14,9","7,2","0,5","42,9",,
18/02/2009 18.00,"1,0","14,6","7,2","0,5","42,9",,
18/02/2009 19.00,"1,1","15,2","8,1","0,6","42,9",,
18/02/2009 20.00,"1,1","15,4","8,7","0,7","42,9",,
18/02/2009 21.00,"1,0","14,7","8,2","0,7","42,9",,
18/02/2009 22.00,"0,9","14,2","7,9","0,7","42,9",,
18/02/2009 23.00,"1,1","14,3","8,6","0,9","42,9",,
19/02/2009 0.00,"1,1","13,3","7,7","0,8","42,9",,
19/02/2009 1.00,,"11,7","6,3","0,7","22,0",,
19/02/2009 2.00,"0,3","10,5","5,2",,"22,0",,
19/02/2009 3.00,"0,3","9,7","4,5","0,6","22,0",,
19/02/2009 4.00,"0,2",,,"0,5","22,0",,
19/02/2009 5.00,"0,2",,,"0,5","22,0",,
19/02/2009 6.00,"0,2",,,"0,5","22,0",,
19/02/2009 7.00,"0,2",,,"0,5","22,0",,
19/02/2009 8.00,"0,2",,,"0,5","22,0",,
19/02/2009 9.00,"0,2",,,"0,6","22,0",,
19/02/2009 10.00,"0,3",,,"0,6","22,0",,
19/02/2009 11.00,"0,7",,,"0,5","22,0",,
19/02/2009 12.00,"0,4",,,"0,5","22,0",,
19/02/2009 13.00,"0,5",,,"0,5","22,0",,
19/02/2009 14.00,"0,6",,,"0,5","22,0",,
19/02/2009 15.00,"0,7",,,"0,5","22,0",,
19/02/2009 16.00,"1,0",,,"0,5","22,0",,
19/02/2009 17.00,"0,8",,,"0,5","22,0",,
19/02/2009 18.00,"0,8",,,"0,6","22,0",,
19/02/2009 19.00,"0,7",,,"0,6","22,0",,
19/02/2009 20.00,"1,0",,,"0,5","22,0",,
19/02/2009 21.00,"1,0",,,"0,5","22,0",,
19/02/2009 22.00,"0,9",,,"0,5","22,0",,
19/02/2009 23.00,"0,7",,,"0,5","22,0",,
20/02/2009 0.00,"0,8",,,"0,4","22,0",,
20/02/2009 1.00,"0,9",,,"0,4","18,2",,
20/02/2009 2.00,"0,8",,,"0,4","18,2",,
20/02/2009 3.00,"0,8",,,"0,3","18,2",,
20/02/2009 4.00,"0,8",,,"0,3","18,2",,
20/02/2009 5.00,"0,9",,,"0,3","18,2",,
20/02/2009 6.00,"0,8",,,"0,3","18,2",,
20/02/2009 7.00,"0,7",,,"0,3","18,2",,
20/02/2009 8.00,"0,8",,,"0,4","18,2",,
20/02/2009 9.00,"0,8",,,"0,4","18,2",,
20/02/2009 10.00,"1,8",,,"0,4","18,2",,
20/02/2009 11.00,"2,0",,,"0,5","18,2",,
20/02/2009 12.00,"2,7",,,"0,5","18,2",,
20/02/2009 13.00,"2,2",,,"0,5","18,2",,
20/02/2009 14.00,"2,3",,,"0,5","18,2",,
20/02/2009 15.00,"2,9",,,"0,5","18,2",,
20/02/2009 16.00,"1,2",,,"0,5","18,2",,
20/02/2009 17.00,"1,0",,,"0,4","18,2",,
20/02/2009 18.00,"0,9",,,"0,4","18,2",,
20/02/2009 19.00,"0,8",,,"0,5","18,2",,
20/02/2009 20.00,"0,7",,,"0,5","18,2",,
20/02/2009 21.00,"1,2",,,"0,5","18,2",,
20/02/2009 22.00,"0,7",,,"0,5","18,2",,
20/02/2009 23.00,"0,4",,,"0,4","18,2",,
21/02/2009 0.00,"0,3",,,"0,4","18,2",,
21/02/2009 1.00,,,,"0,3","27,8",,
21/02/2009 2.00,"0,5",,,,"27,8",,
21/02/2009 3.00,"0,6",,,"0,3","27,8",,
21/02/2009 4.00,"0,5",,,"0,3","27,8",,
21/02/2009 5.00,"0,4",,,"0,3","27,8",,
21/02/2009 6.00,"0,4",,,"0,3","27,8",,
21/02/2009 7.00,"0,6",,,"0,3","27,8",,
21/02/2009 8.00,"0,8",,,"0,3","27,8",,
21/02/2009 9.00,"0,8",,,"0,3","27,8",,
21/02/2009 10.00,"1,1",,,"0,4","27,8",,
21/02/2009 11.00,"1,3",,,"0,4","27,8",,
21/02/2009 12.00,"1,7",,,"0,5","27,8",,
21/02/2009 13.00,"1,9",,,"0,5","27,8",,
21/02/2009 14.00,"1,4",,,"0,5","27,8",,
21/02/2009 15.00,"2,5",,,"0,4","27,8",,
21/02/2009 16.00,"1,4",,,"0,5","27,8",,
21/02/2009 17.00,"1,1",,,"0,4","27,8",,
21/02/2009 18.00,"0,7",,,"0,5","27,8",,
21/02/2009 19.00,"0,7",,,"0,5","27,8",,
21/02/2009 20.00,"1,0",,,"0,4","27,8",,
21/02/2009 21.00,"0,7",,,"0,5","27,8",,
21/02/2009 22.00,"0,8",,,"0,7","27,8",,
21/02/2009 23.00,"0,8",,,"1,5","27,8",,
22/02/2009 0.00,"0,6",,,"1,5","27,8",,
22/02/2009 1.00,"0,5",,,"1,1","21,9",,
22/02/2009 2.00,"0,6",,,"0,6","21,9",,
22/02/2009 3.00,"0,4",,,"0,4","21,9",,
22/02/2009 4.00,"0,4",,,"0,4","21,9",,
22/02/2009 5.00,"0,3",,,"0,5","21,9",,
22/02/2009 6.00,"0,4",,,"0,4","21,9",,
22/02/2009 7.00,"0,6",,,"0,4","21,9",,
22/02/2009 8.00,"0,3",,,"0,4","21,9",,
22/02/2009 9.00,"0,3",,,"0,5","21,9",,
22/02/2009 10.00,"0,3",,,"0,6","21,9",,
22/02/2009 11.00,"0,4",,,"0,7","21,9",,
22/02/2009 12.00,"0,3",,,"0,6","21,9",,
22/02/2009 13.00,"0,3",,,"0,5","21,9",,
22/02/2009 14.00,"0,3",,,"0,5","21,9",,
22/02/2009 15.00,"0,2",,,"0,5","21,9",,
22/02/2009 16.00,"0,5",,,"0,5","21,9",,
22/02/2009 17.00,"0,7",,,"0,5","21,9",,
22/02/2009 18.00,"0,6",,,"0,5","21,9",,
22/02/2009 19.00,"0,6",,,"0,5","21,9",,
22/02/2009 20.00,"0,5",,,"0,5","21,9",,
22/02/2009 21.00,"0,5",,,"0,4","21,9",,
22/02/2009 22.00,"0,6",,,"0,5","21,9",,
22/02/2009 23.00,"0,6",,,"0,5","21,9",,
23/02/2009 0.00,"0,9",,,"0,4","21,9",,
23/02/2009 1.00,,,,"0,4","73,6",,
23/02/2009 2.00,"1,2",,,,"73,6",,
23/02/2009 3.00,"0,9",,,"0,4","73,6",,
23/02/2009 4.00,"0,8",,,"0,3","73,6",,
23/02/2009 5.00,"0,8",,,"0,3","73,6",,
23/02/2009 6.00,"0,9",,,"0,4","73,6",,
23/02/2009 7.00,"0,7",,,"0,5","73,6",,
23/02/2009 8.00,"0,7",,,"0,5","73,6",,
23/02/2009 9.00,"1,4",,,"0,5","73,6",,
23/02/2009 10.00,"2,0","13,0","9,8","0,5","73,6",,
23/02/2009 11.00,"2,4","9,7","6,9","0,5","73,6",,
23/02/2009 12.00,"2,7","9,3","6,5","0,5","73,6",,
23/02/2009 13.00,"3,1","10,4","7,7","0,5","73,6",,
23/02/2009 14.00,"2,3","9,4","6,6","0,5","73,6",,
23/02/2009 15.00,"1,6","9,1","6,1","0,5","73,6",,
23/02/2009 16.00,"1,9","9,7","6,7","0,5","73,6",,
23/02/2009 17.00,"1,8","10,7","7,7","0,5","73,6",,
23/02/2009 18.00,"1,3","11,7","8,5","0,5","73,6",,
23/02/2009 19.00,"1,3","18,2","14,6","0,9","73,6",,
23/02/2009 20.00,"1,1","37,1","32,7","1,6","73,6",,
23/02/2009 21.00,"1,7","87,1","81,4","2,1","73,6",,
23/02/2009 22.00,"1,6","102,8","96,6","2,7","73,6",,
23/02/2009 23.00,"1,4","83,9","77,9","3,1","73,6",,
24/02/2009 0.00,"0,7","74,7","68,9","3,1","73,6",,
24/02/2009 1.00,"0,5","57,6","52,0","2,5","72,0",,
24/02/2009 2.00,"0,6","44,2","38,7","2,2","72,0",,
24/02/2009 3.00,"0,5","35,4","29,8","1,6","72,0",,
24/02/2009 4.00,"0,4","30,3","24,6","1,3","72,0",,
24/02/2009 5.00,"0,4","30,1","24,6","1,2","72,0",,
24/02/2009 6.00,"0,4","35,1","29,7","1,0","72,0",,
24/02/2009 7.00,"0,4","46,8","41,4","0,9","72,0",,
24/02/2009 8.00,"0,7","70,7","63,7","1,1","72,0",,
24/02/2009 9.00,"1,2","87,2","80,5","1,4","72,0",,
24/02/2009 10.00,"0,7","57,5","52,5","0,8","72,0",,
24/02/2009 11.00,"0,7","25,1","21,2","0,6","72,0",,
24/02/2009 12.00,"1,0","15,0","11,4","0,6","72,0",,
24/02/2009 13.00,"0,7","12,9","9,3","0,5","72,0",,
24/02/2009 14.00,"0,8","12,1","8,4","0,5","72,0",,
24/02/2009 15.00,"0,8","11,3","7,6","0,5","72,0",,
24/02/2009 16.00,"0,6","11,7","8,0","0,5","72,0",,
24/02/2009 17.00,"0,2","12,0","8,3","0,5","72,0",,
24/02/2009 18.00,"0,3","13,9","10,0","0,6","72,0",,
24/02/2009 19.00,"0,3","20,3","15,9","0,9","72,0",,
24/02/2009 20.00,"0,3","29,4","24,7","1,1","72,0",,
24/02/2009 21.00,"0,4","60,6","55,4","1,3","72,0",,
24/02/2009 22.00,"0,7","67,9","62,6","1,7","72,0",,
24/02/2009 23.00,"0,6","50,4","45,3","1,7","72,0",,
25/02/2009 0.00,"0,2","37,3","31,8","1,5","72,0",,
25/02/2009 1.00,,"29,5","24,1","1,2","34,3",,
25/02/2009 2.00,"1,0","26,3","21,0",,"34,3",,
25/02/2009 3.00,"1,0","24,1","18,7","0,9","34,3",,
25/02/2009 4.00,"1,0",,,"0,8","34,3",,
25/02/2009 5.00,"0,8","20,9","16,4","0,7","34,3",,
25/02/2009 6.00,"0,9","18,6","14,0","0,5","34,3",,
25/02/2009 7.00,"0,7","17,4","12,5","0,5","34,3",,
25/02/2009 8.00,"0,9","13,9","8,9","0,4","34,3",,
25/02/2009 9.00,"0,7","12,7","7,8","0,4","34,3",,
25/02/2009 10.00,"1,8","11,6","7,4","0,5","34,3",,
25/02/2009 11.00,"3,4","11,2","7,6","0,5","34,3",,
25/02/2009 12.00,"3,3","11,1","7,7","0,5","34,3",,
25/02/2009 13.00,"3,3","10,8","7,3","0,5","34,3",,
25/02/2009 14.00,"3,5","10,8","7,1","0,5","34,3",,
25/02/2009 15.00,"3,6","10,4","6,7","0,5","34,3",,
25/02/2009 16.00,"3,3","10,6","7,0","0,6","34,3",,
25/02/2009 17.00,"2,4","9,7","6,3","0,5","34,3",,
25/02/2009 18.00,"1,3","9,8","6,5","0,5","34,3",,
25/02/2009 19.00,"1,5","9,7","6,2","0,5","34,3",,
25/02/2009 20.00,"1,6","9,3","5,7","0,5","34,3",,
25/02/2009 21.00,"1,4","9,7","6,0","0,5","34,3",,
25/02/2009 22.00,"1,6","9,1","5,4","0,4","34,3",,
25/02/2009 23.00,"2,3","9,0","5,2","0,4","34,3",,
26/02/2009 0.00,"2,4","9,2","5,3","0,4","34,3",,
26/02/2009 1.00,"2,3","9,6","5,4","0,4","46,5",,
26/02/2009 2.00,"2,1","9,8","5,4","0,4","46,5",,
26/02/2009 3.00,"2,2","9,6","5,1","0,4","46,5",,
26/02/2009 4.00,"2,4","9,3","4,8","0,4","46,5",,
26/02/2009 5.00,"3,5","9,3","4,9","0,3","46,5",,
26/02/2009 6.00,"3,1","9,2","4,9","0,3","46,5",,
26/02/2009 7.00,"2,9","9,5","5,1","0,4","46,5",,
26/02/2009 8.00,"3,5","11,4","6,7","0,4","46,5",,
26/02/2009 9.00,"4,9","13,2","8,6","0,6","46,5",,
26/02/2009 10.00,"5,6","10,7","6,5","0,5","46,5",,
26/02/2009 11.00,"6,0","10,2","6,3","0,5","46,5",,
26/02/2009 12.00,"6,1","10,2","6,4","0,5","46,5",,
26/02/2009 13.00,"4,9","10,4","6,6","0,5","46,5",,
26/02/2009 14.00,"4,9","10,1","6,4","0,5","46,5",,
26/02/2009 15.00,"4,1","10,0","6,3","0,5","46,5",,
26/02/2009 16.00,"3,5","10,7","6,9","0,5","46,5",,
26/02/2009 17.00,"3,2","12,0","7,9","0,5","46,5",,
26/02/2009 18.00,"2,6","12,6","8,1","0,5","46,5",,
26/02/2009 19.00,"2,3","15,8","11,1","0,6","46,5",,
26/02/2009 20.00,"2,3","26,8","21,7","0,9","46,5",,
