Stat,LECCE-Via Garigliano,,,,,,,,  ,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
10/01/2014 4.00,"4,4","29,1","32,2",,"39,8","4,9","29,4",,,
10/01/2014 5.00,"4,7","26,5","28,7","0,9","39,8","3,1","29,4",,,
10/01/2014 6.00,"5,0","44,5","53,2","0,9","39,8","2,4","29,4",,,
10/01/2014 7.00,"5,2","66,0","106,0","1,1","39,8","2,1","29,4",,,
10/01/2014 8.00,"6,0","78,8","149,5","1,4","39,8","2,6","29,4",,,
10/01/2014 9.00,"5,5","70,7","119,1","1,2","39,8","4,2","29,4",,,
10/01/2014 10.00,"5,0","55,3","82,8","1,1","39,8","2,9","29,4",,,
10/01/2014 11.00,"5,2","43,0","63,1","1,0","39,8","3,0","29,4",,,
10/01/2014 12.00,"4,7","30,1","40,0","0,9","39,8","2,5","29,4",,,
10/01/2014 13.00,"5,1","35,7","50,1","0,9","39,8","2,1","29,4",,,
10/01/2014 14.00,"5,2","25,0","31,1","0,8","39,8","2,1","29,4",,,
10/01/2014 15.00,"4,8","29,6","34,7","0,8","39,8","1,5","29,4",,,
10/01/2014 16.00,"5,3","49,1","58,1","1,0","39,8","1,7","29,4",,,
10/01/2014 17.00,,"55,4","69,1","1,1","39,8","2,6","29,4",,,
10/01/2014 18.00,"2,4","69,8","90,3","1,2","39,8","3,3","29,4",,,
10/01/2014 19.00,"2,1","76,9","107,6","1,3","39,8","3,8","29,4",,,
10/01/2014 20.00,"1,9","65,3","79,6","1,1","39,8","3,9","29,4",,,
10/01/2014 21.00,"1,6","62,4","70,0","1,1","39,8","3,2","29,4",,,
10/01/2014 22.00,"2,4","73,9","131,7","1,4","39,8","2,9","29,4",,,
10/01/2014 23.00,"2,8","70,0","150,2","1,5","39,8","4,2","29,4",,,
11/01/2014 0.00,"2,5","63,3","154,9","1,7","39,8","5,0","29,4",,,
11/01/2014 1.00,"2,1","52,0","88,8","1,6","46,1","5,8","32,8",,,
11/01/2014 2.00,"1,8","38,8","51,5","1,6","46,1","6,0","32,8",,,
11/01/2014 3.00,"1,7","36,3","45,0","1,3","46,1","5,3","32,8",,,
11/01/2014 4.00,"1,5","27,3","31,5","1,3","46,1","5,3","32,8",,,
11/01/2014 5.00,"1,7","36,6","52,5","1,3","46,1","4,6","32,8",,,
11/01/2014 6.00,"1,9","42,4","68,2","1,2","46,1","4,6","32,8",,,
11/01/2014 7.00,"2,0","46,0","78,8","1,2","46,1","4,4","32,8",,,
11/01/2014 8.00,"3,0","64,9","157,8","1,7","46,1","5,8","32,8",,,
11/01/2014 9.00,"2,0","45,4","75,8","1,2","46,1","6,1","32,8",,,
11/01/2014 10.00,"2,0","19,8","26,3","0,9","46,1","4,1","32,8",,,
11/01/2014 11.00,"1,6","17,3","20,9","0,9","46,1","2,9","32,8",,,
11/01/2014 12.00,"1,5","19,1","22,4","0,8","46,1","2,1","32,8",,,
11/01/2014 13.00,"1,7","15,8","19,1","0,7","46,1","1,5","32,8",,,
11/01/2014 14.00,"1,8","11,9","13,9","0,7","46,1","1,1","32,8",,,
11/01/2014 15.00,"1,7","13,8","15,8","0,7","46,1","0,9","32,8",,,
11/01/2014 16.00,"1,5","15,9","18,1","0,8","46,1","1,0","32,8",,,
11/01/2014 17.00,"1,6","43,2","48,6","1,0","46,1","1,8","32,8",,,
11/01/2014 18.00,"1,8","59,6","73,6","1,2","46,1","3,0","32,8",,,
11/01/2014 19.00,"2,1","72,6","94,6","1,2","46,1","3,7","32,8",,,
11/01/2014 20.00,"2,3","80,6","130,0","1,4","46,1","4,0","32,8",,,
11/01/2014 21.00,"3,8","91,5","236,9","2,2","46,1","5,3","32,8",,,
11/01/2014 22.00,"3,5","89,0","205,0","1,9","46,1","8,0","32,8",,,
11/01/2014 23.00,"2,3","82,3","134,6","1,5","46,1","6,2","32,8",,,
12/01/2014 0.00,"2,0","65,1","82,7","1,1","46,1","4,6","32,8",,,
12/01/2014 1.00,"1,9","60,0","75,7","1,2","37,4","3,3","23,5",,,
12/01/2014 2.00,"1,6",,,"1,2","37,4","3,4","23,5",,,
12/01/2014 3.00,,"64,2","80,0","1,2","37,4","3,4","23,5",,,
12/01/2014 4.00,,"65,1","119,6",,"37,4","3,7","23,5",,,
12/01/2014 5.00,,"53,3","68,3","1,1","37,4","3,3","23,5",,,
12/01/2014 6.00,,"45,0","54,5","1,1","37,4","2,7","23,5",,,
12/01/2014 7.00,,"57,0","129,7","1,5","37,4","2,8","23,5",,,
12/01/2014 8.00,,"61,2","194,7","2,0","37,4","3,6","23,5",,,
12/01/2014 9.00,,"54,4","136,6","1,4","37,4","5,2","23,5",,,
12/01/2014 10.00,,"31,0","41,1","0,9","37,4","3,1","23,5",,,
12/01/2014 11.00,,"18,1","22,9","0,7","37,4","1,5","23,5",,,
12/01/2014 12.00,,"14,7","17,9","0,8","37,4","0,9","23,5",,,
