,BAT,,,,
,Andria,,,,
Parm,O3,NO2,CO,Benzene,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
12/01/2010 4.00,"46,8356973",,,,"9,76801014"
12/01/2010 5.00,"45,15349335",,"0,33706363",,
12/01/2010 6.00,"35,1088878",,"0,400061",,"8,30280876"
12/01/2010 7.00,"19,19006859",,"0,56843496",,
12/01/2010 8.00,"21,4284945",,"0,64979739",,"9,76801014"
12/01/2010 9.00,"21,3042858",,"0,80197785",,
12/01/2010 10.00,"29,78281635",,"0,76007163",,"16,60560989"
12/01/2010 11.00,"40,61586585","30,9698112","0,57984846",,
12/01/2010 12.00,"51,7000659","23,55247488","0,50093486",,"26,37360954"
12/01/2010 13.00,"55,55183235","24,1027676","0,49856408",,
12/01/2010 14.00,"64,81206375","21,39281352","0,47636734",,"14,65200996"
12/01/2010 15.00,"65,75035215","20,45704248","0,44575813",,
12/01/2010 16.00,"62,5763271","24,34027624","0,49560265",,"9,76801014"
12/01/2010 17.00,"46,8518967","38,56366336","0,59955793",,
12/01/2010 18.00,"29,9596731","51,60987032","0,82855965",,"7,32600689"
12/01/2010 19.00,"21,4271379","59,71508688","0,86339548",,
12/01/2010 20.00,"17,8359384","65,59314848","0,88997612",,"13,18680954"
12/01/2010 21.00,"22,22368155","64,09800272","0,96201739",,
12/01/2010 22.00,"28,0574007","56,55736152","0,86959561",,"15,14041042"
12/01/2010 23.00,"35,7933723","43,82003816","0,60789234",,
13/01/2010 0.00,"44,0342784",,"0,64813843",,"24,42000961"
13/01/2010 1.00,"53,0109804",,"0,42008502",,
13/01/2010 2.00,"59,7478959",,"0,36297323",,"15,14041042"
13/01/2010 3.00,"58,0130439",,"0,37561231",,
13/01/2010 4.00,"56,9046219",,"0,36486868",,"12,21000957"
13/01/2010 5.00,"54,9551079",,"0,37162335",,
13/01/2010 6.00,"28,4813382",,"0,55259562",,"6,83760691"
13/01/2010 7.00,"6,85571975",,"1,00301491",,
13/01/2010 8.00,"7,70897127",,"1,42278538",,"6,83760691"
13/01/2010 9.00,"8,83629191","74,55366","1,19492885",,
13/01/2010 10.00,"14,93056005","77,60624448","1,58424739",,"25,88521957"
13/01/2010 11.00,"27,4066716","56,54049768","0,96782375",,
13/01/2010 12.00,"42,0429093","43,8589856","0,73289801",,"43,46763992"
13/01/2010 13.00,"39,19829865","50,99986584","0,78523097",,
13/01/2010 14.00,"41,37193095","52,4340188","0,90324664",,"26,37360954"
13/01/2010 15.00,"47,92658325","39,63960312","0,65173246",,
13/01/2010 16.00,"33,0905064","53,4502468","0,8112594",,"19,04759979"
13/01/2010 17.00,"14,645694","77,56341568","1,32708412",,
13/01/2010 18.00,"10,54243386",,"1,48451756",,"23,93161964"
13/01/2010 19.00,,,"1,27558064",,
13/01/2010 20.00,"11,62285803","84,1851688","1,21052937",,"31,74603081"
13/01/2010 21.00,"13,15655019","81,91260384","1,20484184",,
13/01/2010 22.00,"15,26537492","81,32724504","1,14784887",,"40,53723145"
13/01/2010 23.00,"27,83868885","59,39190152","0,88282768",,
14/01/2010 0.00,"29,73150495","48,23930112","0,59248755",,"25,39682007"
14/01/2010 1.00,"23,1242046",,"0,55014679",,
14/01/2010 2.00,,,"0,48572811",,"20,51280975"
14/01/2010 3.00,"38,50838775",,"0,39626893",,
14/01/2010 4.00,"43,2080292",,,,"19,04759979"
14/01/2010 5.00,"40,7306382",,"0,45231475",,
14/01/2010 6.00,"34,44193935","22,8840588","0,49663018",,"15,62880993"
14/01/2010 7.00,"26,099787","35,88225544","0,50764875",,
14/01/2010 8.00,"16,20908972","53,78769568","0,73617632",,"14,16361046"
14/01/2010 9.00,"16,70051807","55,91881088","0,97264219",,
14/01/2010 10.00,"30,6522573","41,74605352","0,74079671",,"19,04759979"
14/01/2010 11.00,"37,624104","37,08019992","0,67985439",,
14/01/2010 12.00,,,"0,6155196",,"23,93161964"
14/01/2010 13.00,"51,967356","31,40069952","0,6162652",,
14/01/2010 14.00,"66,87904335","24,39868784","0,52242095",,"28,32722092"
14/01/2010 15.00,"71,38965855","19,01382282","0,46424202",,
14/01/2010 16.00,"53,70358455","38,51823424","0,59434339",,"22,95482063"
14/01/2010 17.00,"33,3227244","60,16803968","0,94546857",,
14/01/2010 18.00,"12,10078223",,"2,04817369",,"17,58241081"
14/01/2010 19.00,"13,08230028","92,63951656","1,55608468",,
14/01/2010 20.00,"9,47758067","92,37734312","1,55889",,"26,86202049"
14/01/2010 21.00,"10,11617019","84,4174768","1,54032572",,
14/01/2010 22.00,"10,4631366","79,49985104","1,37515202",,"41,02563095"
14/01/2010 23.00,"20,0001144","56,05377896","0,93646312",,
