"NetC","SIMAGE Brindisi","","",""
"Stat","S. Pancrazio S.","","",""
Parm,SO2,NOX,NO2,PM10
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,
16/01/2011 19.00,"0,6","14,9","8,2",27
16/01/2011 20.00,"0,5","15,3","8,3",27
16/01/2011 21.00,"0,5","16,9","9,5",27
16/01/2011 22.00,"0,5","19,3","10,9",27
16/01/2011 23.00,"0,5","21,2","11,9",27
17/01/2011 0.00,"0,4","17,8","9,4",27
17/01/2011 1.00,"0,5","16,5","8,3","34,6"
17/01/2011 2.00,"0,5","16,5","7,9","34,6"
17/01/2011 3.00,"0,4","16,2","7,5","34,6"
17/01/2011 4.00,"0,4","16,3","7,5","34,6"
17/01/2011 5.00,"0,3","15,8","6,8","34,6"
17/01/2011 6.00,"0,5","15,6","6,5","34,6"
17/01/2011 7.00,"0,5",16,"6,7","34,6"
17/01/2011 8.00,"0,3","18,2","8,1","34,6"
17/01/2011 9.00,"0,5","18,3","8,2","34,6"
17/01/2011 10.00,"0,4","19,6","9,3","34,6"
17/01/2011 11.00,"0,6","18,7","9,2","34,6"
17/01/2011 12.00,"0,6","19,4","10,2","34,6"
17/01/2011 13.00,"0,6",15,"7,3","34,6"
17/01/2011 14.00,"0,5","13,9","7,2","34,6"
17/01/2011 15.00,"0,5","12,5","6,7","34,6"
17/01/2011 16.00,"0,4","12,5","7,5","34,6"
17/01/2011 17.00,"0,6",16,"11,1","34,6"
17/01/2011 18.00,"0,6","15,5","10,2","34,6"
17/01/2011 19.00,"0,7","19,7","12,5","34,6"
17/01/2011 20.00,"0,7","20,3","11,7","34,6"
17/01/2011 21.00,"0,6","23,4","14,9","34,6"
17/01/2011 22.00,"0,8","29,3","19,6","34,6"
17/01/2011 23.00,"0,7","29,9","20,3","34,6"
18/01/2011 0.00,"0,6","24,7","15,1","34,6"
18/01/2011 1.00,,"21,3","12,1",52
18/01/2011 2.00,"0,4",,,52
18/01/2011 3.00,"0,4","21,2","11,6",52
18/01/2011 4.00,"0,3","25,1","14,5",52
18/01/2011 5.00,"0,5","24,2","13,3",52
18/01/2011 6.00,"0,3","25,5","13,8",52
18/01/2011 7.00,"0,3","24,3","13,5",52
18/01/2011 8.00,"0,6",40,"24,3",52
18/01/2011 9.00,"0,6",57,"27,9",52
18/01/2011 10.00,"0,5","46,1","24,4",52
18/01/2011 11.00,"0,7","46,2","25,5",52
18/01/2011 12.00,"0,7","41,2","25,6",52
18/01/2011 13.00,"0,5","22,9","13,2",52
18/01/2011 14.00,"0,3","18,5","10,6",52
18/01/2011 15.00,"0,3","19,6","12,4",52
18/01/2011 16.00,"0,4","17,9","11,8",52
18/01/2011 17.00,"0,2","20,2","13,6",52
18/01/2011 18.00,"0,5","22,2","15,2",52
18/01/2011 19.00,"0,7","26,1","17,2",52
18/01/2011 20.00,"0,8","28,2","18,6",52
18/01/2011 21.00,"0,8","35,8","23,1",52
18/01/2011 22.00,"0,9","34,3","21,9",52
18/01/2011 23.00,"0,7","21,7","11,8",52
19/01/2011 0.00,"0,4","19,7","10,5",52
19/01/2011 1.00,"0,4",18,"8,7","49,6"
19/01/2011 2.00,"0,3","16,4","7,1","49,6"
19/01/2011 3.00,"0,5","15,4","5,4","49,6"
19/01/2011 4.00,"0,3","17,1","6,2","49,6"
19/01/2011 5.00,"0,4","16,2","5,7","49,6"
19/01/2011 6.00,"0,4","17,8","6,1","49,6"
19/01/2011 7.00,"0,3","17,1","6,3","49,6"
19/01/2011 8.00,"0,4","25,1","13,1","49,6"
19/01/2011 9.00,"0,6",38,"22,7","49,6"
19/01/2011 10.00,"0,4","35,2","21,1","49,6"
19/01/2011 11.00,"0,4","28,8","17,3","49,6"
19/01/2011 12.00,"0,4","23,3",14,"49,6"
19/01/2011 13.00,"0,3","18,1","9,8","49,6"
19/01/2011 14.00,"0,3","16,8","9,1","49,6"
19/01/2011 15.00,"0,5","14,3","8,8","49,6"
19/01/2011 16.00,"0,4","13,6","8,2","49,6"
19/01/2011 17.00,"0,4","18,4","11,8","49,6"
19/01/2011 18.00,"0,6","26,1","19,1","49,6"
19/01/2011 19.00,"0,7","41,4","32,9","49,6"
19/01/2011 20.00,"0,8","32,8","23,2","49,6"
19/01/2011 21.00,"0,6","35,2","25,4","49,6"
19/01/2011 22.00,"0,6","36,2","26,1","49,6"
19/01/2011 23.00,"0,6","31,4","22,9","49,6"
20/01/2011 0.00,"0,4","28,2","19,2","49,6"
20/01/2011 1.00,,"25,1","17,1","48,4"
20/01/2011 2.00,"0,6",,,"48,4"
20/01/2011 3.00,"0,4","17,5",9,"48,4"
20/01/2011 4.00,"0,4","15,8","7,3","48,4"
20/01/2011 5.00,"0,4","16,1","7,3","48,4"
20/01/2011 6.00,"0,4","17,1","7,9","48,4"
20/01/2011 7.00,"0,4","19,3","10,1","48,4"
20/01/2011 8.00,"0,7","30,2","18,5","48,4"
20/01/2011 9.00,"0,6","31,4","19,8","48,4"
20/01/2011 10.00,"0,2","39,9","25,4","48,4"
20/01/2011 11.00,"0,2","34,9","22,3","48,4"
20/01/2011 12.00,"0,3","26,3","16,6","48,4"
20/01/2011 13.00,"0,1","20,5","13,1","48,4"
20/01/2011 14.00,"0,1",21,"13,8","48,4"
20/01/2011 15.00,"0,1","21,3","13,9","48,4"
20/01/2011 16.00,"0,1","19,2","12,3","48,4"
20/01/2011 17.00,"0,2","29,4","20,7","48,4"
20/01/2011 18.00,"0,4",32,"23,5","48,4"
20/01/2011 19.00,"0,6","35,1","23,6","48,4"
20/01/2011 20.00,"0,7","33,2","21,6","48,4"
20/01/2011 21.00,"0,9",34,"22,5","48,4"
20/01/2011 22.00,"0,8","32,7","21,6","48,4"
20/01/2011 23.00,"0,6",28,"18,7","48,4"
21/01/2011 0.00,"0,6","22,4","13,7","48,4"
21/01/2011 1.00,"0,8","19,2","10,9","30,4"
21/01/2011 2.00,"0,6","17,1","8,4","30,4"
21/01/2011 3.00,"0,3","15,6","7,2","30,4"
21/01/2011 4.00,"0,6","16,3","7,6","30,4"
21/01/2011 5.00,"0,5","17,6","8,8","30,4"
21/01/2011 6.00,"0,3",17,"7,9","30,4"
21/01/2011 7.00,"0,5","17,1","7,6","30,4"
21/01/2011 8.00,"0,3","20,3","8,8","30,4"
21/01/2011 9.00,"0,3","24,5","11,2","30,4"
21/01/2011 10.00,"0,5",28,14,"30,4"
21/01/2011 11.00,"0,5","21,5","10,4","30,4"
21/01/2011 12.00,"0,4","21,2","11,2","30,4"
21/01/2011 13.00,"0,3","19,4","10,7","30,4"
21/01/2011 14.00,"0,3","23,9","13,4","30,4"
21/01/2011 15.00,"0,3","18,1","9,9","30,4"
21/01/2011 16.00,"0,4","20,9",13,"30,4"
21/01/2011 17.00,"0,2","20,5","12,8","30,4"
21/01/2011 18.00,"0,3","17,2","9,5","30,4"
21/01/2011 19.00,"0,2","20,4","11,2","30,4"
21/01/2011 20.00,"0,1","20,8","11,8","30,4"
21/01/2011 21.00,"0,1","19,5","10,8","30,4"
21/01/2011 22.00,"0,2","19,6","10,9","30,4"
21/01/2011 23.00,"0,3","21,3","11,9","30,4"
22/01/2011 0.00,"0,2",21,"10,6","30,4"
22/01/2011 1.00,,"17,6","8,8","25,3"
22/01/2011 2.00,"0,2",,,"25,3"
22/01/2011 3.00,"0,2","17,1",8,"25,3"
22/01/2011 4.00,"0,3","17,7","7,4","25,3"
22/01/2011 5.00,"0,3","16,8","6,2","25,3"
22/01/2011 6.00,"0,2","19,3","6,9","25,3"
