, Brindisi,
,S. Pietro  Vernotico,
Parm,SO2,NO2
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
12/01/2008 22.00,"0,115916","13,194166"
12/01/2008 23.00,"0,138568","6,318041"
13/01/2008 0.00,"0,159776","5,660021"
13/01/2008 1.00,"0,142545","5,697659"
13/01/2008 2.00,"0,177006","5,888445"
13/01/2008 3.00,"0,081455","5,168126"
13/01/2008 4.00,"0,109891","5,074679"
13/01/2008 5.00,"0,064224","4,847553"
13/01/2008 6.00,"0,131579","5,47702"
13/01/2008 7.00,"0,075189","5,448468"
13/01/2008 8.00,"0,125314","5,839125"
13/01/2008 9.00,"0,10495","6,288191"
13/01/2008 10.00,"0,166283","7,798914"
13/01/2008 11.00,"0,156883","9,578298"
13/01/2008 12.00,"0,277981","12,40765"
13/01/2008 13.00,"0,338589","10,188286"
13/01/2008 14.00,"0,245929","7,701572"
13/01/2008 15.00,"0,162908","7,852127"
13/01/2008 16.00,"0,325816","12,972229"
13/01/2008 17.00,"0,445829","16,274017"
13/01/2008 18.00,"0,649103","23,226707"
13/01/2008 19.00,"0,537043","31,906882"
13/01/2008 20.00,"0,346421","21,901576"
13/01/2008 21.00,"0,180139","18,074159"
13/01/2008 22.00,"0,092419","12,516673"
13/01/2008 23.00,"0,036028","8,745064"
14/01/2008 0.00,"0,084587","7,170744"
14/01/2008 1.00,,"6,957892"
14/01/2008 2.00,"0,12844",
14/01/2008 3.00,"0,154055","7,266785"
14/01/2008 4.00,"0,212683","6,699615"
14/01/2008 5.00,"0,208083","5,94036"
14/01/2008 6.00,"0,181656","9,120148"
14/01/2008 7.00,"0,158566","22,157268"
14/01/2008 8.00,"0,154867","24,120949"
14/01/2008 9.00,"0,390551","26,895798"
14/01/2008 10.00,"0,322363","28,333831"
14/01/2008 11.00,"0,306307","21,616039"
14/01/2008 12.00,"0,349963","11,003357"
14/01/2008 13.00,"0,507626","11,196733"
14/01/2008 14.00,"0,759185","10,201267"
14/01/2008 15.00,"0,387304","11,406995"
14/01/2008 16.00,"0,383155","14,555627"
14/01/2008 17.00,"0,543163","32,015905"
14/01/2008 18.00,"1,356558","53,726699"
14/01/2008 19.00,"3,319238","85,249426"
14/01/2008 20.00,"4,318617","106,121773"
14/01/2008 21.00,"4,264499","104,085379"
14/01/2008 22.00,"4,320421","97,786867"
14/01/2008 23.00,"2,204406","51,337312"
15/01/2008 0.00,"1,800326","41,261932"
15/01/2008 1.00,"1,589265","34,427337"
15/01/2008 2.00,"1,168317","29,758902"
15/01/2008 3.00,"0,502124","20,081966"
15/01/2008 4.00,"0,335351","19,448595"
15/01/2008 5.00,"0,299814","31,117762"
15/01/2008 6.00,"0,487693","46,13027"
15/01/2008 7.00,"0,530266","67,171346"
15/01/2008 8.00,"0,702542","82,555052"
15/01/2008 9.00,"0,83495","42,305427"
15/01/2008 10.00,"0,73384","45,716243"
15/01/2008 11.00,"0,562285","18,599798"
15/01/2008 12.00,"0,696588","10,273955"
15/01/2008 13.00,"0,696679","9,756105"
15/01/2008 14.00,"0,932543","9,823594"
15/01/2008 15.00,"0,716432","10,305102"
15/01/2008 16.00,"0,798511","13,565358"
15/01/2008 17.00,"0,540818","15,443376"
15/01/2008 18.00,"0,721754","23,510946"
15/01/2008 19.00,"0,662855","17,51608"
15/01/2008 20.00,"0,59656","20,963225"
15/01/2008 21.00,"0,591239","19,374621"
15/01/2008 22.00,"0,437272","16,824314"
15/01/2008 23.00,"0,44079","14,7594"
16/01/2008 0.00,"0,297558","19,860038"
16/01/2008 1.00,,"15,874264"
16/01/2008 2.00,"0,701926",
16/01/2008 3.00,"0,724761","8,733381"
16/01/2008 4.00,"0,560974","9,194125"
16/01/2008 5.00,"0,524042","15,885952"
16/01/2008 6.00,"0,631525","18,684164"
16/01/2008 7.00,"0,884661","32,457173"
16/01/2008 8.00,"0,888004","26,154707"
16/01/2008 9.00,"1,036969","23,024226"
16/01/2008 10.00,"1,0154","25,766647"
16/01/2008 11.00,"0,965484","12,145483"
16/01/2008 12.00,"1,040855","9,988423"
16/01/2008 13.00,"0,921202","9,504319"
16/01/2008 14.00,"0,924063","9,553637"
16/01/2008 15.00,"0,942981","10,680187"
16/01/2008 16.00,"1,314444","15,46025"
16/01/2008 17.00,"1,570681","22,605021"
16/01/2008 18.00,"1,95632","14,227514"
16/01/2008 19.00,"1,65021",
16/01/2008 20.00,"1,5508",
16/01/2008 21.00,"1,252719",
16/01/2008 22.00,"1,21392",
16/01/2008 23.00,"1,310408",
17/01/2008 0.00,"1,283446",
17/01/2008 1.00,"1,204882",
17/01/2008 2.00,"0,997325",
17/01/2008 3.00,"0,953284",
17/01/2008 4.00,"0,999012",
17/01/2008 5.00,"1,00332",
17/01/2008 6.00,"0,9694",
17/01/2008 7.00,"1,025612",
17/01/2008 8.00,"0,984553",
17/01/2008 9.00,"0,993017",
17/01/2008 10.00,"0,911712",
17/01/2008 11.00,"0,882251",
17/01/2008 12.00,"0,776635",
17/01/2008 13.00,"0,942047",
17/01/2008 14.00,"0,757746",
17/01/2008 15.00,"0,900024",
17/01/2008 16.00,"0,958977",
17/01/2008 17.00,"1,233801",
17/01/2008 18.00,"1,158611",
17/01/2008 19.00,"1,040012",
17/01/2008 20.00,"1,391201",
17/01/2008 21.00,"1,038054",
17/01/2008 22.00,"1,053779",
17/01/2008 23.00,"1,007779",
18/01/2008 0.00,"0,750125",
18/01/2008 1.00,,
18/01/2008 2.00,"0,343319",
18/01/2008 3.00,"0,191418",
18/01/2008 4.00,"0,25752",
18/01/2008 5.00,"0,25285",
18/01/2008 6.00,"0,296916",
18/01/2008 7.00,"0,522583",
18/01/2008 8.00,"0,198304",
18/01/2008 9.00,"0,37595",
18/01/2008 10.00,"0,324459",
18/01/2008 11.00,"0,374573",
18/01/2008 12.00,"0,246502",
18/01/2008 13.00,"0,461092",
18/01/2008 14.00,"0,187706",
18/01/2008 15.00,"0,396368",
18/01/2008 16.00,,
