NetC,Provincia di TARANTO,,,,
Stat,GROTTAGLIE,,,,
Parm,SO2,NOX,NO2,CO,O3
PtId,1,2,4,5,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
,,,,,
,,,,,
15/01/2007 11.00,0,"9,8596","8,456934","0,152139","67,34765"
15/01/2007 12.00,0,"11,141013","9,365446","0,17532","73,006289"
15/01/2007 13.00,0,"8,573002","7,538041","0,185605","78,725735"
15/01/2007 14.00,0,"7,929703","6,865743","0,169545","83,351676"
15/01/2007 15.00,0,"7,854479","6,92804","0,175557","85,29966"
15/01/2007 16.00,0,"19,895582","16,005348","0,434976","84,895072"
15/01/2007 17.00,0,"19,981183","17,98072","0,546925","77,261585"
15/01/2007 18.00,0,"13,444438","12,784039","0,316065","66,498856"
15/01/2007 19.00,0,"8,718265","8,672383","0,233945","72,853489"
15/01/2007 20.00,0,"8,668979","8,542594","0,20214","72,198515"
15/01/2007 21.00,0,"8,336953","7,839149","0,194703","72,137685"
15/01/2007 22.00,0,"6,850619","6,798255","0,178643","73,58771"
15/01/2007 23.00,0,"6,640509","6,559446","0,191855","73,067111"
16/01/2007 0.00,0,"6,518595","5,848211","0,202456","73,171814"
16/01/2007 1.00,0,"5,57699","5,367999","0,183231","69,74548"
16/01/2007 2.00,0,"5,649621","5,02017","0,168278","68,659046"
16/01/2007 3.00,0,"5,740409","5,344638","0,188136","63,509667"
16/01/2007 4.00,0,"6,041308","5,689871","0,20665","60,379035"
16/01/2007 5.00,0,"11,353716","10,754168","0,222948","44,655104"
16/01/2007 6.00,0,"20,546656","19,361638","0,273422","33,408567"
16/01/2007 7.00,0,"40,447441","35,102234","0,289879","24,752265"
16/01/2007 8.00,0,"63,769637","34,83748","0,595422","24,592425"
16/01/2007 9.00,0,"44,916817","30,660906","0,460372","29,685182"
16/01/2007 10.00,0,"73,429517","33,578543","0,54107","25,859949"
16/01/2007 11.00,0,"83,807891","46,559836","0,540359","28,262029"
16/01/2007 12.00,"0,274523","48,605409","33,217728","0,495975","46,772854"
16/01/2007 13.00,"0,191443","27,545132","21,817219","0,306888","66,955772"
16/01/2007 14.00,0,"20,624477","17,126713","0,246839","79,570298"
16/01/2007 15.00,0,"12,933431","11,265527","0,158072","88,510949"
16/01/2007 16.00,0,"13,434064","12,402463","0,131886","86,561535"
16/01/2007 17.00,,,,"0,126188","75,464963"
16/01/2007 18.00,"2,746503",,,"0,242409","51,057857"
16/01/2007 19.00,"1,704928",,,"0,276745","46,617246"
16/01/2007 20.00,"0,325092",,,"0,267094","59,469416"
