, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NO2,NOX,PM10



21/01/2009 10.00,"1,3","41,4","59,4","10,7"
21/01/2009 11.00,"1,4","33,4","49,5",
21/01/2009 12.00,"1,2","34,7","49,2","21,5"
21/01/2009 13.00,"1,3","34,9","55,2",
21/01/2009 14.00,"2,1","39,9","60,1","25,4"
21/01/2009 15.00,"1,5","33,3","53,9",
21/01/2009 16.00,"1,9","29,9","41,5","19,5"
21/01/2009 17.00,"1,2","32,4","44,2",
21/01/2009 18.00,"1,1","38,7","55,7","85,5"
21/01/2009 19.00,"1,1","46,8","66,0",
21/01/2009 20.00,"0,6","40,5","55,5","132,4"
21/01/2009 21.00,"1,0","41,1","59,1",
21/01/2009 22.00,"1,4","36,2","48,1","160,2"
21/01/2009 23.00,"0,6","27,6","35,5",
22/01/2009 0.00,"0,0","14,1","18,2","149,9"
22/01/2009 1.00,,"11,6","15,0",
22/01/2009 2.00,"0,2",,,"125,0"
22/01/2009 3.00,"0,0","5,9","7,9",
22/01/2009 4.00,"0,0","5,1","6,7","83,0"
22/01/2009 5.00,"0,1","8,8","10,9",
22/01/2009 6.00,"0,0","12,2","14,7","62,0"
22/01/2009 7.00,"0,1","24,8","34,4",
22/01/2009 8.00,"0,3","38,7","54,8","57,1"
22/01/2009 9.00,"0,5","63,1","101,7",
22/01/2009 10.00,"0,4","52,9","75,3","48,4"
22/01/2009 11.00,"0,3","56,6","88,2",
22/01/2009 12.00,"0,4","50,8","74,2","34,7"
22/01/2009 13.00,"0,5","46,6","67,9",
