,Provincia di TARANTO,Provincia di TARANTO
Stazione,TA V. Machiavelli,TA V. Machiavelli
,IPA TOT,IPA TOT 2
Unit,ng/m3,ng/m3
16/09/2013 18.00.00,,8
16/09/2013 19.00.00,,7
16/09/2013 20.00.00,,6
16/09/2013 21.00.00,,4
16/09/2013 22.00.00,,2
16/09/2013 23.00.00,,3
17/09/2013 00.00.00,,1
17/09/2013 01.00.00,,1
17/09/2013 02.00.00,,1
17/09/2013 03.00.00,,1
17/09/2013 04.00.00,,2
17/09/2013 05.00.00,,7
17/09/2013 06.00.00,,21
17/09/2013 07.00.00,,15
17/09/2013 08.00.00,,6
17/09/2013 09.00.00,,6
17/09/2013 10.00.00,,4
17/09/2013 11.00.00,,7
17/09/2013 12.00.00,,6
17/09/2013 13.00.00,,3
17/09/2013 14.00.00,,3
17/09/2013 15.00.00,,7
17/09/2013 16.00.00,,2
17/09/2013 17.00.00,,2
17/09/2013 18.00.00,,2
17/09/2013 19.00.00,,4
17/09/2013 20.00.00,,9
17/09/2013 21.00.00,,6
17/09/2013 22.00.00,,2
17/09/2013 23.00.00,,1
18/09/2013 00.00.00,,2
18/09/2013 01.00.00,,1
18/09/2013 02.00.00,,1
18/09/2013 03.00.00,,2
18/09/2013 04.00.00,,2
18/09/2013 05.00.00,,4
18/09/2013 06.00.00,,13
18/09/2013 07.00.00,,20
18/09/2013 08.00.00,,15
18/09/2013 09.00.00,,12
18/09/2013 10.00.00,,10
18/09/2013 11.00.00,,4
18/09/2013 12.00.00,,3
18/09/2013 13.00.00,,2
18/09/2013 14.00.00,,2
18/09/2013 15.00.00,,2
18/09/2013 16.00.00,,2
18/09/2013 17.00.00,,3
18/09/2013 18.00.00,,4
18/09/2013 19.00.00,,4
18/09/2013 20.00.00,,3
18/09/2013 21.00.00,,3
18/09/2013 22.00.00,,3
18/09/2013 23.00.00,,2
19/09/2013 00.00.00,,1
19/09/2013 01.00.00,,3
19/09/2013 02.00.00,,1
19/09/2013 03.00.00,,1
19/09/2013 04.00.00,,2
19/09/2013 05.00.00,,5
19/09/2013 06.00.00,,22
19/09/2013 07.00.00,,31
19/09/2013 08.00.00,,15
19/09/2013 09.00.00,,11
19/09/2013 10.00.00,,3
19/09/2013 11.00.00,,2
19/09/2013 12.00.00,,3
19/09/2013 13.00.00,,3
19/09/2013 14.00.00,,3
19/09/2013 15.00.00,,4
19/09/2013 16.00.00,,4
19/09/2013 17.00.00,,5
19/09/2013 18.00.00,,19
19/09/2013 19.00.00,,8
19/09/2013 20.00.00,,5
19/09/2013 21.00.00,,3
19/09/2013 22.00.00,,4
19/09/2013 23.00.00,,3
20/09/2013 00.00.00,,2
20/09/2013 01.00.00,,2
20/09/2013 02.00.00,,1
20/09/2013 03.00.00,,2
20/09/2013 04.00.00,,1
20/09/2013 05.00.00,,7
20/09/2013 06.00.00,,12
20/09/2013 07.00.00,,23
20/09/2013 08.00.00,,13
20/09/2013 09.00.00,,15
20/09/2013 10.00.00,,5
20/09/2013 11.00.00,,3
20/09/2013 12.00.00,,4
20/09/2013 13.00.00,,8
20/09/2013 14.00.00,,5
20/09/2013 15.00.00,,4
20/09/2013 16.00.00,,6
20/09/2013 17.00.00,,8
20/09/2013 18.00.00,,9
20/09/2013 19.00.00,,7
20/09/2013 20.00.00,,7
20/09/2013 21.00.00,,8
20/09/2013 22.00.00,,7
20/09/2013 23.00.00,,5
21/09/2013 00.00.00,,4
21/09/2013 01.00.00,,3
21/09/2013 02.00.00,,1
21/09/2013 03.00.00,,1
21/09/2013 04.00.00,,2
21/09/2013 05.00.00,,4
21/09/2013 06.00.00,,17
21/09/2013 07.00.00,,19
21/09/2013 08.00.00,,21
21/09/2013 09.00.00,,14
21/09/2013 10.00.00,,7
21/09/2013 11.00.00,,5
21/09/2013 12.00.00,,7
21/09/2013 13.00.00,,5
21/09/2013 14.00.00,,3
21/09/2013 15.00.00,,3
21/09/2013 16.00.00,,2
21/09/2013 17.00.00,,2
21/09/2013 18.00.00,,5
21/09/2013 19.00.00,,5
21/09/2013 20.00.00,,3
21/09/2013 21.00.00,,6
21/09/2013 22.00.00,,3
21/09/2013 23.00.00,,2
22/09/2013 00.00.00,,2
22/09/2013 01.00.00,,2
22/09/2013 02.00.00,,1
22/09/2013 03.00.00,,2
22/09/2013 04.00.00,,1
22/09/2013 05.00.00,,2
22/09/2013 06.00.00,,2
22/09/2013 07.00.00,,3
22/09/2013 08.00.00,,3
22/09/2013 09.00.00,,5
22/09/2013 10.00.00,,5
22/09/2013 11.00.00,,3
22/09/2013 12.00.00,,5
22/09/2013 13.00.00,,4
22/09/2013 14.00.00,,3
22/09/2013 15.00.00,,1
22/09/2013 16.00.00,,2
22/09/2013 17.00.00,,2
22/09/2013 18.00.00,,2
22/09/2013 19.00.00,,3
22/09/2013 20.00.00,,5
22/09/2013 21.00.00,,4
22/09/2013 22.00.00,,4
22/09/2013 23.00.00,,8
23/09/2013 00.00.00,,4
23/09/2013 01.00.00,,5
23/09/2013 02.00.00,,3
23/09/2013 03.00.00,,2
23/09/2013 04.00.00,,3
23/09/2013 05.00.00,,2
23/09/2013 06.00.00,,11
23/09/2013 07.00.00,,10
23/09/2013 08.00.00,,15
23/09/2013 09.00.00,,9
23/09/2013 10.00.00,,4
23/09/2013 11.00.00,,5
23/09/2013 12.00.00,,11
23/09/2013 13.00.00,,6
23/09/2013 14.00.00,,4
23/09/2013 15.00.00,,5
23/09/2013 16.00.00,,3
23/09/2013 17.00.00,,4
23/09/2013 18.00.00,,5
23/09/2013 19.00.00,,4
23/09/2013 20.00.00,,4
23/09/2013 21.00.00,,3
23/09/2013 22.00.00,,4
23/09/2013 23.00.00,,5
24/09/2013 00.00.00,,2
24/09/2013 01.00.00,,1
24/09/2013 02.00.00,,2
24/09/2013 03.00.00,,3
24/09/2013 04.00.00,,2
24/09/2013 05.00.00,,9
24/09/2013 06.00.00,,20
24/09/2013 07.00.00,,34
24/09/2013 08.00.00,,27
24/09/2013 09.00.00,,11
24/09/2013 10.00.00,,10
24/09/2013 11.00.00,,7
24/09/2013 12.00.00,,3
24/09/2013 13.00.00,,2
24/09/2013 14.00.00,,3
24/09/2013 15.00.00,,2
24/09/2013 16.00.00,,2
24/09/2013 17.00.00,,2
24/09/2013 18.00.00,,4
24/09/2013 19.00.00,,2
24/09/2013 20.00.00,,8
24/09/2013 21.00.00,,5
24/09/2013 22.00.00,,5
24/09/2013 23.00.00,,3
25/09/2013 00.00.00,,3
25/09/2013 01.00.00,,2
25/09/2013 02.00.00,,7
25/09/2013 03.00.00,,3
25/09/2013 04.00.00,,3
25/09/2013 05.00.00,,9
25/09/2013 06.00.00,,41
25/09/2013 07.00.00,,75
25/09/2013 08.00.00,,33
25/09/2013 09.00.00,,11
25/09/2013 10.00.00,,13
25/09/2013 11.00.00,,8
25/09/2013 12.00.00,,7
25/09/2013 13.00.00,,4
25/09/2013 14.00.00,,3
25/09/2013 15.00.00,,3
25/09/2013 16.00.00,,3
25/09/2013 17.00.00,,3
25/09/2013 18.00.00,,4
25/09/2013 19.00.00,,4
25/09/2013 20.00.00,,4
25/09/2013 21.00.00,,4
25/09/2013 22.00.00,,3
25/09/2013 23.00.00,,3
26/09/2013 00.00.00,,2
26/09/2013 01.00.00,,1
26/09/2013 02.00.00,,1
26/09/2013 03.00.00,,2
26/09/2013 04.00.00,,2
26/09/2013 05.00.00,,20
26/09/2013 06.00.00,,21
26/09/2013 07.00.00,,
26/09/2013 08.00.00,,19
26/09/2013 09.00.00,,8
26/09/2013 10.00.00,,3
26/09/2013 11.00.00,,2
26/09/2013 12.00.00,,3
26/09/2013 13.00.00,,1
26/09/2013 14.00.00,,3
26/09/2013 15.00.00,,5
26/09/2013 16.00.00,,3
26/09/2013 17.00.00,,3
26/09/2013 18.00.00,,4
26/09/2013 19.00.00,,6
26/09/2013 20.00.00,,5
26/09/2013 21.00.00,,4
26/09/2013 22.00.00,,3
26/09/2013 23.00.00,,7
27/09/2013 00.00.00,,6
27/09/2013 01.00.00,,5
27/09/2013 02.00.00,,2
27/09/2013 03.00.00,,1
27/09/2013 04.00.00,,2
27/09/2013 05.00.00,,11
27/09/2013 06.00.00,,17
27/09/2013 07.00.00,,25
27/09/2013 08.00.00,,20
27/09/2013 09.00.00,,14
27/09/2013 10.00.00,,11
27/09/2013 11.00.00,,7
27/09/2013 12.00.00,,5
27/09/2013 13.00.00,,2
27/09/2013 14.00.00,,3
27/09/2013 15.00.00,,3
27/09/2013 16.00.00,,2
27/09/2013 17.00.00,,3
27/09/2013 18.00.00,,3
27/09/2013 19.00.00,,2
27/09/2013 20.00.00,,6
27/09/2013 21.00.00,,4
27/09/2013 22.00.00,,2
27/09/2013 23.00.00,,2
28/09/2013 00.00.00,,1
28/09/2013 01.00.00,,1
28/09/2013 02.00.00,,1
28/09/2013 03.00.00,,2
28/09/2013 04.00.00,,4
28/09/2013 05.00.00,,4
28/09/2013 06.00.00,,7
28/09/2013 07.00.00,,19
28/09/2013 08.00.00,,17
28/09/2013 09.00.00,,9
28/09/2013 10.00.00,,12
28/09/2013 11.00.00,,4
28/09/2013 12.00.00,,4
28/09/2013 13.00.00,,4
28/09/2013 14.00.00,,3
28/09/2013 15.00.00,,3
28/09/2013 16.00.00,,2
28/09/2013 17.00.00,,3
28/09/2013 18.00.00,,4
28/09/2013 19.00.00,,5
28/09/2013 20.00.00,,4
28/09/2013 21.00.00,,6
28/09/2013 22.00.00,,5
28/09/2013 23.00.00,,4
29/09/2013 00.00.00,,2
29/09/2013 01.00.00,,2
29/09/2013 02.00.00,,3
29/09/2013 03.00.00,,2
29/09/2013 04.00.00,,2
29/09/2013 05.00.00,,2
29/09/2013 06.00.00,,4
29/09/2013 07.00.00,,5
29/09/2013 08.00.00,,4
29/09/2013 09.00.00,,3
29/09/2013 10.00.00,,3
29/09/2013 11.00.00,,6
29/09/2013 12.00.00,,3
29/09/2013 13.00.00,,3
29/09/2013 14.00.00,,1
29/09/2013 15.00.00,,1
29/09/2013 16.00.00,,1
29/09/2013 17.00.00,,2
29/09/2013 18.00.00,,3
29/09/2013 19.00.00,,4
29/09/2013 20.00.00,,4
29/09/2013 21.00.00,,2
29/09/2013 22.00.00,,2
29/09/2013 23.00.00,,2
30/09/2013 00.00.00,,2
30/09/2013 01.00.00,,2
30/09/2013 02.00.00,,1
30/09/2013 03.00.00,,1
30/09/2013 04.00.00,,1
30/09/2013 05.00.00,,2
30/09/2013 06.00.00,,10
