,Provincia di TARANTO,,,,,,,
,MARTINA FRANCA,,,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene,Toluene,Xylene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
06/01/2006 19.00,"43,394176","11,348407","26,011938","0,865413","26,359197","3,231026","11,260376","9,378421"
06/01/2006 20.00,"28,681281","4,919677","21,152705","0,795603","31,030888","3,145199","9,972084","6,859167"
06/01/2006 21.00,"32,963892","6,844915","22,484316","0,78254","25,610374","3,271078","9,35337","8,130755"
06/01/2006 22.00,"35,485208","8,073144","23,122886","0,764281","21,484374","3,385953","10,851359","8,187575"
06/01/2006 23.00,"22,240516","4,285262","15,680888","0,640245","28,023405","3,206818","8,636035","6,725787"
07/01/2006 0.00,"16,91255","2,222991","13,51344","0,591214","32,542102","2,936576","7,695509","7,139084"
07/01/2006 1.00,"13,771275","2,009826","10,697053","0,51739","34,852211","2,747759","6,153915","5,206578"
07/01/2006 2.00,"10,954247","1,346652","8,895616","0,446716","38,79403","2,156658","6,051143","4,590521"
07/01/2006 3.00,"7,55358","0,740997","6,421871","0,384305","46,221357","2,762723","4,787762","3,60184"
07/01/2006 4.00,"3,390291","0,069363","4,010424","0,363054","52,507163","2,832264","5,176016","1,733931"
07/01/2006 5.00,"2,913005","0,06598","3,535405","0,374623","50,953995","2,702425","3,156892","0,898367"
07/01/2006 6.00,"7,366815","0,845887","6,377743","0,416965","44,959319","2,975308","5,561154","1,579618"
07/01/2006 7.00,"16,510486","2,576571","12,568591","0,486224","38,867169","2,748198","5,630708","2,744744"
07/01/2006 8.00,"32,880894","8,831058","19,353856","0,576732","35,496775","2,984111","7,153615","4,88898"
07/01/2006 9.00,"29,817428","7,716179","17,998888","0,664092","31,343705","2,800135","7,076794","5,371658"
07/01/2006 10.00,"47,412189","14,855461","24,651779","0,808432","26,181801","2,118807","6,171562","5,695238"
07/01/2006 11.00,"47,50557","15,589682","23,618668","0,844084","34,04651","3,411041","12,477033","11,60519"
07/01/2006 12.00,"42,67823","14,25826","20,830837","0,827793","43,425105","3,258755","10,889771","9,573406"
07/01/2006 13.00,"53,341968","18,101976","25,604413","0,937033","41,900388","3,502589","12,674281","12,877375"
07/01/2006 14.00,"62,949942","20,972905","30,814059","0,919718","45,686477","3,258755","11,051718","9,582975"
07/01/2006 15.00,"34,948242","9,44348","20,483006","0,665588","56,031929","3,315532","10,502549","9,665515"
07/01/2006 16.00,"40,836534","11,213065","23,660197","0,698564","48,020966","3,088863","10,304274","7,783849"
07/01/2006 17.00,"60,866988","19,318361","31,268311","0,97599","33,615892","3,314651","12,189476","9,542303"
07/01/2006 18.00,"120,545993","49,394702","44,841466","1,842506","17,649533","4,175114","16,046062","14,45281"
07/01/2006 19.00,"157,621297","69,398229","51,250357","2,219175","12,291305","5,635479","21,290589","21,509956"
07/01/2006 20.00,"167,882966","77,899391","48,475508","2,483143","11,68466","5,042179","24,539863","22,215134"
07/01/2006 21.00,"141,725581","65,490247","41,339811","2,232241","10,861348","5,70018","21,366376","20,28322"
07/01/2006 22.00,"114,006651","45,752304","43,886231","1,618281","10,367104","5,53865","19,255887","19,118084"
07/01/2006 23.00,"57,764635","14,43082","35,66293","1,001726","13,167409","3,907512","13,75287","12,930615"
08/01/2006 0.00,"45,536745","10,575273","29,342278","0,956156","20,869616","3,712093","12,236198","10,12367"
08/01/2006 1.00,"38,16216","9,045912","24,309128","0,886505","20,161411","3,433488","9,953398","8,807222"
08/01/2006 2.00,,,,"1,15921","10,008267","3,691846","11,282171","9,846743"
08/01/2006 3.00,"62,055449","14,365827","40,056418",,"8,822061","3,618785","13,071876","11,062101"
08/01/2006 4.00,"55,098065","18,602733","26,593395","0,890942",,"3,249511","11,946566","7,655854"
08/01/2006 5.00,"45,990712","17,575816","19,055355","0,793543","5,74822","3,17777","10,85862","8,669057"
08/01/2006 6.00,"375,398823","141,455809","158,618025","2,438484","21,638747","3,089303","11,872854","7,074487"
08/01/2006 7.00,"377,808516","148,593388","150,07805","2,106816","21,187817","4,413227","8,528073","11,429351"
08/01/2006 8.00,"53,609132","21,725744","20,311672","0,605084","6,021752","2,75392","8,752305","7,151045"
08/01/2006 9.00,"81,592649","37,52183","24,078102","0,906951","6,914113","3,006557","12,122009","8,49082"
08/01/2006 10.00,"83,348746","33,554624","31,922447","1,122753","11,779445","3,530317","13,501651","12,372567"
08/01/2006 11.00,"35,640845","6,687581","25,404533","0,699947","33,447989","3,429526","11,664196","9,812052"
08/01/2006 12.00,"29,970485","7,482715","18,510246","0,695667","45,400774","2,929094","9,553725","8,831147"
08/01/2006 13.00,"32,899037","8,702482","19,569301","0,713974","44,982344","2,955501","9,34195","8,125373"
08/01/2006 14.00,"43,676906","13,520647","22,961935","0,758989","42,102142","3,033406","11,10985","8,675637"
08/01/2006 15.00,"25,161308","6,51502","15,182507","0,585271","50,168603","3,052331","9,471714","7,978834"
08/01/2006 16.00,"22,479153","4,845239","15,060506","0,540493","50,207887","2,821701","7,582354","6,070852"
08/01/2006 17.00,"33,633111","7,903966","21,529081","0,636308","43,936963","3,102067","9,403199","9,331767"
08/01/2006 18.00,"48,117734","12,953898","28,275419","0,85425","31,21369","3,026803","11,100504","9,98072"
08/01/2006 19.00,"45,925857","11,806883","27,841931","0,857578","31,771591","3,215622","12,287068","10,883273"
08/01/2006 20.00,"50,037268","12,46498","30,946447","0,866929","25,214965","3,298807","12,664934","9,420886"
08/01/2006 21.00,"66,527006","21,143769","34,131435","1,092162","22,185817","3,624507","13,497502","10,545934"
08/01/2006 22.00,"55,54941","16,166582","30,782912","0,998962","21,179699","3,679962","14,05496","12,825946"
08/01/2006 23.00,"51,461345","14,792861","28,799767","0,877232","18,789696","3,451533","10,833714","8,977086"
09/01/2006 0.00,"47,809061","13,280413","27,465554","0,899264","19,052401","3,6069","12,696074","10,481334"
09/01/2006 1.00,"34,800406","8,370895","21,980753","0,757166","25,453288","3,253472","11,423361","9,845547"
09/01/2006 2.00,"19,441635","2,586722","15,48621","0,49318","36,539442","2,875838","8,295536","6,566091"
09/01/2006 3.00,"9,239648","0,95416","7,792422","0,376681","51,587707","2,476636","6,004428","3,532459"
09/01/2006 4.00,"3,916864","0,153951","4,513999","0,323424","54,633136","2,492921","6,076057","3,356015"
09/01/2006 5.00,"4,129568","0,174252","4,495829","0,298223","51,980403","2,183946","3,126787","2,461237"
09/01/2006 6.00,"10,5029","1,3162","8,768424","0,331587","42,849608","1,800589","3,792215","1,076006"
09/01/2006 7.00,"23,249556","5,792633","14,377825","0,506812","30,287491","2,589751","4,997461","2,61256"
09/01/2006 8.00,"71,65784","28,134176","28,540193","1,006016","15,909499","3,073458","14,324871","14,884649"
09/01/2006 9.00,"282,537961","150,489956","51,831814","2,802721","12,803152","4,304954","19,160392","19,788582"
