, Brindisi,,,,
,Torchiarolo,,,,
Parm,SO2,NOX,NO2,CO,PM10
,,,,
,,,,,
,,,,
,,,,,
,,,,,
07/01/2007 12.00,"2,32507862","41,02719888","30,39875416","0,56312434","111,24440002"
07/01/2007 13.00,"2,20459768","45,19696496","32,43771096","0,73177653","111,24440002"
07/01/2007 14.00,"2,43408475","42,24632832","28,92565376","0,73628618","111,24440002"
07/01/2007 15.00,"2,33846539","38,24906288","24,57390352","0,73430408","111,24440002"
07/01/2007 16.00,"2,36332596","45,01538232","30,13268024","0,9632753","111,24440002"
07/01/2007 17.00,"3,12063501","96,6557108","71,13766168","1,63403667","111,24440002"
07/01/2007 18.00,"3,75555116","114,68365288","76,37975384","2,40068034","111,24440002"
07/01/2007 19.00,"5,45184716","201,1993776","78,96900336","3,10660786","111,24440002"
07/01/2007 20.00,"6,57442396","319,0971216","86,32276568","4,11874994","111,24440002"
07/01/2007 21.00,"6,81347388","266,4828968","87,76858184","3,83200827","111,24440002"
07/01/2007 22.00,"5,80755308","180,08359376","82,14491184","2,87405438","111,24440002"
07/01/2007 23.00,"4,00224993","115,027354","73,74767552","1,93409821","111,24440002"
08/01/2007 0.00,"3,0690009","89,6313096","63,74238984","1,40510283","111,24440002"
08/01/2007 1.00,,"88,27468824","51,18936416","1,56671899","123,53330231"
08/01/2007 2.00,,,,"1,32495701","123,53330231"
08/01/2007 3.00,,"66,00952472","46,32363008",,"123,53330231"
08/01/2007 4.00,,"55,46899376","38,68566808","1,14052514","123,53330231"
08/01/2007 5.00,,"46,95696096","31,79395968","1,03154373","123,53330231"
08/01/2007 6.00,,"49,4938408","30,82704216","0,91182256","123,53330231"
08/01/2007 7.00,,"70,06384424","39,64478464","1,11481045","123,53330231"
08/01/2007 8.00,,"90,89196768","46,4521356","1,39168952","123,53330231"
08/01/2007 9.00,,"107,35317872","54,37693584","1,77516611","123,53330231"
08/01/2007 10.00,,"88,40956072","58,48729608","1,38594179","123,53330231"
08/01/2007 11.00,,"70,10407272","55,1102452","1,05026093","123,53330231"
08/01/2007 12.00,,"51,40169176","41,62923032","0,92312997","123,53330231"
08/01/2007 13.00,,"53,33548856","41,6733784","0,9914603","123,53330231"
