NetC,Provincia di TARANTO,,,
Stat,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO,NO2
PtId,1,2,3,4
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver
,,,,,,,
,,,,,,,,,
15/01/2007 21.00,"0,963055","27,844743","6,786549","17,451184"
15/01/2007 22.00,"0,751046","27,010785","6,363605","17,265589"
15/01/2007 23.00,"0,766229","21,105649","5,519412","12,651652"
16/01/2007 0.00,"0,603267","20,879995","5,11254","13,050105"
16/01/2007 1.00,,"20,199075","4,523802","13,272035"
16/01/2007 2.00,"0,82471",,,
16/01/2007 3.00,"0,689176","43,719694","6,000721","34,54284"
16/01/2007 4.00,"0,553642","29,875801","4,65407","22,755572"
16/01/2007 5.00,"0,69609","31,551478","4,899377","24,056037"
16/01/2007 6.00,"0,701903","39,477291","10,143874","23,940534"
16/01/2007 7.00,"0,939073","67,883649","21,859399","34,391011"
16/01/2007 8.00,"0,869072","98,736062","36,681029","42,523473"
16/01/2007 9.00,"1,027246","71,548894","24,654199","33,770623"
16/01/2007 10.00,"0,912455","35,677175","9,603353","20,967105"
16/01/2007 11.00,"1,033488","28,206589","7,243328","17,112443"
16/01/2007 12.00,"2,752602","34,496915","10,615031","18,233807"
16/01/2007 13.00,"3,390685","30,388104","10,644636","14,076717"
16/01/2007 14.00,"4,474041","30,347893","12,025124","11,918354"
16/01/2007 15.00,"3,736098","32,873111","13,554478","12,098763"
16/01/2007 16.00,"3,208707","39,143973","14,802164","16,459613"
16/01/2007 17.00,"2,79054","98,531153","34,12222","46,244471"
16/01/2007 18.00,"2,986468","141,314464","56,683704","54,440527"
16/01/2007 19.00,"2,437477","112,504754","39,691536","51,682545"
16/01/2007 20.00,"1,663248","90,413373","28,601951","46,591002"
16/01/2007 21.00,"1,258114","78,490295","23,006413","43,245097"
16/01/2007 22.00,"1,269985","58,415729","17,758527","31,208619"
16/01/2007 23.00,"0,895812","22,940883","8,040153","10,620479"
17/01/2007 0.00,"0,829544","19,538919","7,819377","7,554912"
17/01/2007 1.00,"0,833032","18,580457","7,902275","6,468594"
17/01/2007 2.00,"0,724543","18,701077","8,45633","5,739189"
17/01/2007 3.00,"0,650627","18,05259","8,385276","5,199276"
17/01/2007 4.00,"0,739718","24,130205","8,974858","10,376487"
17/01/2007 5.00,"0,69762","23,149693","8,194951","10,591927"
17/01/2007 6.00,"0,750182","38,789889","9,909563","23,612186"
17/01/2007 7.00,"1,045175","61,856601","22,673975","27,226746"
17/01/2007 8.00,"1,140324","119,155646","48,908325","44,356066"
17/01/2007 9.00,"1,908312","141,538818","63,343374","44,446906"
17/01/2007 10.00,"1,528938","109,72794","44,07661","42,17564"
17/01/2007 11.00,"0,852306","41,093335","13,439443","20,501171"
17/01/2007 12.00,"0,785671","33,555313","11,212222","16,375248"
17/01/2007 13.00,"0,837744","29,034063","11,911776","10,777523"
17/01/2007 14.00,"1,106304","34,135049","13,940201","12,769758"
17/01/2007 15.00,"1,05313","32,084546","13,891992","10,791804"
17/01/2007 16.00,"1,064572","34,240115","14,342844","12,257097"
17/01/2007 17.00,"1,167921","56,590877","20,338495","25,424016"
17/01/2007 18.00,"1,311777","96,716685","32,08955","47,547538"
17/01/2007 19.00,"1,315877","88,07106","27,921863","45,322985"
17/01/2007 20.00,"0,973767","56,374287","16,910953","30,466247"
17/01/2007 21.00,"0,861852","59,822942","16,226637","34,967268"
17/01/2007 22.00,"0,955471","58,531155","13,304094","38,158721"
17/01/2007 23.00,"0,759665","44,04135","10,693693","27,664134"
18/01/2007 0.00,"0,849125","35,635644","8,254163","22,995681"
18/01/2007 1.00,,"30,551523","8,256701","18,335035"
18/01/2007 2.00,"0,430159",,,
18/01/2007 3.00,"0,314801","14,026782","4,456978","7,197999"
