, Brindisi,,
,Mesagne,,
Parm,SO2,NOX,NO2



11/01/2007 10.00,"1,30914647","36,86261432","26,61674168"
11/01/2007 11.00,"1,53815046","45,456366","32,29624208"
11/01/2007 12.00,"0,97178621","27,73189656","17,52775714"
11/01/2007 13.00,"0,51649769","23,15229328","13,87035162"
11/01/2007 14.00,"0,55230219","25,38178088","16,20522674"
11/01/2007 15.00,"0,75767212","29,06001","19,70686928"
11/01/2007 16.00,"0,82668065","30,96137928","20,5115536"
11/01/2007 17.00,"0,92877423","32,79527408","22,20918016"
11/01/2007 18.00,"1,18968253","45,12172776","32,49092192"
11/01/2007 19.00,"1,43759154","63,69829912","45,4631536"
11/01/2007 20.00,"1,21142498","59,3352872","37,58376336"
11/01/2007 21.00,"1,40781479","60,62705352","41,39822248"
11/01/2007 22.00,"1,33407924","56,97868984","40,07439192"
11/01/2007 23.00,"1,07364487","49,9516692","36,86215544"
12/01/2007 0.00,"1,28374181","35,5876736","27,7277284"
12/01/2007 1.00,,"34,90677216","26,76859272"
12/01/2007 2.00,"0,48916785",,
12/01/2007 3.00,"0,29810914","22,08228072","17,27337128"
12/01/2007 4.00,"0,57991171","19,65044616","14,99950807"
12/01/2007 5.00,"0,71319261","20,9007412","16,20912149"
12/01/2007 6.00,"0,71780063","21,40007912","16,39341534"
12/01/2007 7.00,"0,70787573","23,38574848","18,37786867"
12/01/2007 8.00,"0,69192409","38,87159096","28,82573264"
12/01/2007 9.00,"0,98258981","53,13444176","32,589562"
12/01/2007 10.00,"0,95387684","63,01869784","36,54028936"
12/01/2007 11.00,"0,86207022","68,42705752","41,17107688"
12/01/2007 12.00,"0,42890755","32,3997004","21,1085756"
12/01/2007 13.00,"0,26514309","21,01876896","11,30575734"
12/01/2007 14.00,"0,30697026","19,15112736","9,97025402"
12/01/2007 15.00,"0,27152375","17,77633435","9,7677866"
12/01/2007 16.00,"0,28995585","21,72171576","12,395974"
12/01/2007 17.00,"0,29810914","23,08483792","13,67567369"
12/01/2007 18.00,"0,25061016","22,47915456","13,18767775"
12/01/2007 19.00,"0,29350112","19,45071864","10,81256458"
12/01/2007 20.00,"0,44415034","19,47666448","10,13378546"
12/01/2007 21.00,"0,60897858","21,62055184","12,0001269"
12/01/2007 22.00,"0,46577278","17,8230273","8,20514724"
12/01/2007 23.00,"0,43706084","16,095455","6,9981265"
13/01/2007 0.00,"0,1697912","14,62598358","5,89363675"
13/01/2007 1.00,"0,20417394","13,88022327","5,22523406"
13/01/2007 2.00,"0,06734879","13,27712876","4,57889202"
13/01/2007 3.00,"0,11449386","11,80376642","3,92606256"
13/01/2007 4.00,"0,20807312","11,44191086","3,97927543"
13/01/2007 5.00,"0,20382002","11,7674518","4,8228919"
13/01/2007 6.00,"0,29952684","11,35501237","4,58538134"
13/01/2007 7.00,"0,37538284","20,28337552","13,1305644"
13/01/2007 8.00,"0,42784478","28,33759904","19,5472364"
13/01/2007 9.00,"0,34135402","31,68507128","21,35128488"
13/01/2007 10.00,"0,53666683","17,99292954","11,80414499"
13/01/2007 11.00,"0,46541886","18,22119748","10,1234033"
13/01/2007 12.00,"0,8758943","18,1018753","9,57829784"
13/01/2007 13.00,"0,84505479","19,9669204","10,51924849"
13/01/2007 14.00,"0,94607849","18,15375359","9,55234053"
13/01/2007 15.00,"0,78479551","16,23293354","7,6496577"
