, Brindisi,,
,S. Pietro  Vernotico,,
Parm,SO2,NOX,NO2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
16/01/2007 1.00,,"19,19003656","9,66006261"
16/01/2007 2.00,"0,28405522",,
16/01/2007 3.00,"0,39870977","22,31833624","12,24671181"
16/01/2007 4.00,"0,31647108","23,93825912","14,13771805"
16/01/2007 5.00,"0,35428924","22,80989232","13,49397442"
16/01/2007 6.00,"0,25560159","24,32345064","14,81391214"
16/01/2007 7.00,"0,42032","32,02489104","22,15206872"
16/01/2007 8.00,"0,51612547","52,43149496","36,81802648"
16/01/2007 9.00,"0,65491241","44,85066352","32,43511064"
16/01/2007 10.00,"0,56871149","33,2323764","22,6880788"
16/01/2007 11.00,"0,8283943","45,42523864","30,71543872"
16/01/2007 12.00,"0,63570331","28,46210848","16,65429245"
16/01/2007 13.00,"0,79778057","32,1869904","20,17930536"
16/01/2007 14.00,"0,80138176","33,41135872","21,71988024"
16/01/2007 15.00,"0,61973539","30,47630488","17,56020761"
16/01/2007 16.00,"0,47278499","25,8992828","18,98396885"
16/01/2007 17.00,"0,63870448","27,66316016","22,07679328"
16/01/2007 18.00,"0,80114175","33,78096744","25,44218096"
16/01/2007 19.00,"0,8214309","46,71050416","35,44228512"
16/01/2007 20.00,"0,83823988","48,94133016","38,08864608"
16/01/2007 21.00,"0,63354218","45,81559256","35,35142688"
16/01/2007 22.00,"0,7318688","34,87044416","25,11381408"
16/01/2007 23.00,"0,65347132","30,978224","21,57192968"
17/01/2007 0.00,"0,52645107","27,51660536","16,88011686"
17/01/2007 1.00,"0,54049787","22,65425552","12,02218947"
17/01/2007 2.00,"0,42152108","21,46751536","10,52573973"
17/01/2007 3.00,"0,37097719","20,21593928","9,4666791"
17/01/2007 4.00,"0,57375377","22,72817344","11,17077587"
17/01/2007 5.00,"0,44913364","20,05770216","8,79697816"
17/01/2007 6.00,"0,43892906","22,89159208","11,25384845"
17/01/2007 7.00,"0,47122492","36,37233928","22,1832152"
17/01/2007 8.00,"0,52957224","73,05077064","47,70977272"
17/01/2007 9.00,"0,72514541","97,96049784","58,65342976"
17/01/2007 10.00,"0,83031541","67,63979152","43,16332352"
17/01/2007 11.00,"0,60364747","32,1571632","20,05600048"
17/01/2007 12.00,"0,5918818","25,25727144","14,03388498"
17/01/2007 13.00,"0,60568859","28,08337952","15,97940234"
17/01/2007 14.00,"0,50736198","24,59193368","15,94954646"
17/01/2007 15.00,"0,63966452","24,42851504","14,904757"
17/01/2007 16.00,"0,61313201","24,4505604","15,44078238"
17/01/2007 17.00,"0,50063859","26,2313016","17,02678446"
17/01/2007 18.00,"0,57243269","35,75629288","25,89643392"
17/01/2007 19.00,"0,83211652","39,74059496","29,06194112"
17/01/2007 20.00,"1,00547942","56,62978808","43,40343248"
17/01/2007 21.00,"0,93896762","47,34861504","35,1424644"
17/01/2007 22.00,"0,68084489","43,45251352","31,40978152"
17/01/2007 23.00,"0,74039227","37,31006056","26,13912408"
18/01/2007 0.00,"0,50375976","28,65793552","18,12867198"
18/01/2007 1.00,,"26,28059296","16,04689211"
18/01/2007 2.00,"0,24069848",,
18/01/2007 3.00,"0,2971013","31,20649768","20,85808448"
18/01/2007 4.00,"0,25003962","28,1767616","17,51867514"
18/01/2007 5.00,"0,23135835","24,55690584","13,80286184"
18/01/2007 6.00,"0,26333181","26,29615664","15,32267622"
18/01/2007 7.00,"0,31254851","28,41151696","16,97615853"
18/01/2007 8.00,"0,31039349","55,2705664","40,04324544"
18/01/2007 9.00,"0,3811655","52,75311248","38,31057192"
18/01/2007 10.00,"0,40128379","42,93763104","30,21315632"
18/01/2007 11.00,"0,36931033","45,88564824","30,13918104"
18/01/2007 12.00,"0,28919819","47,49908944","32,40526432"
18/01/2007 13.00,"0,36859233","42,22688328","27,0787956"
18/01/2007 14.00,"0,30177136","37,80161664","27,06451296"
18/01/2007 15.00,"0,25075762","27,68262432","19,41875"
18/01/2007 16.00,"0,2144731","31,4334712","21,66796944"
18/01/2007 17.00,"0,25003962","27,95368856","18,32854672"
18/01/2007 18.00,"0,3254817","53,9087444","39,28917176"
18/01/2007 19.00,"1,20851941","90,13972952","60,53405384"
18/01/2007 20.00,"1,03464292","83,19700896","57,38929184"
18/01/2007 21.00,"0,90603106","67,6022016","53,81236048"
18/01/2007 22.00,"0,61934893","59,47924168","47,81489448"
18/01/2007 23.00,"0,41206094","44,28909","33,88612744"
19/01/2007 0.00,"0,28057606","29,95880296","19,74191624"
19/01/2007 1.00,"0,25470968","24,45834224","14,1610846"
19/01/2007 2.00,"0,26836088","22,3792908","11,75222846"
19/01/2007 3.00,"0,18860774","21,67502472","10,94105481"
19/01/2007 4.00,"0,19040376","21,04341464","9,86382827"
19/01/2007 5.00,"0,19255878","20,4040036","9,12274281"
