,Provincia di TARANTO,,,,,,,,,
,TA V. Machiavelli,,,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,CH4,NMHC,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug-C/m3,ug-C/m3,ug/m3,ug/m3 293K,ug/m3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,
,,,,,,,
04/01/2009 22.00,"2,88971","40,840433","35,848507","0,973611","39,289649","1000,18656","43,082938","24,352051","2,40368","13,55569"
04/01/2009 23.00,"3,041419","46,950479","37,61491","1,131656","42,016834","1027,019922","37,746996","24,352051","2,589282","13,55569"
05/01/2009 0.00,"3,362899","40,232149","34,855645","0,943619","43,14345","1015,407425","34,992626","24,352051","4,902448","13,55569"
05/01/2009 1.00,"3,108244","33,388014","32,310504","0,72496","40,286273","999,95771","39,993017","35,136871","3,241687","18,370501"
05/01/2009 2.00,"3,146171","33,655157","33,965303","1,13659","37,358689","1084,458666","37,763594","35,136871","1,951114","18,370501"
05/01/2009 3.00,"3,101019","26,471239","27,512283","0,94212","38,676226","1105,88205","38,853376","35,136871","3,56967","18,370501"
05/01/2009 4.00,"3,236474","27,49844","27,630388","0,805699","33,787877","1093,689352","50,076807","35,136871","2,005524","18,370501"
05/01/2009 5.00,"3,041419","42,619874","40,729806","0,875981","22,950879","1067,085797","56,695254","35,136871","1,966369","18,370501"
05/01/2009 6.00,"3,426111","59,452014","46,243173","0,812606","22,37945","1085,6083","66,526556","35,136871","2,682337","18,370501"
05/01/2009 7.00,"4,379716","220,375396","75,825578","1,34641","12,537751","1140,752322","145,200201","35,136871","2,641657","18,370501"
05/01/2009 8.00,"6,138826","466,949591","90,343565","2,344803","10,824792","1148,377229","173,119225","35,136871","5,529429","18,370501"
05/01/2009 9.00,"4,134091","182,007043","69,90469","1,303634","13,050962","1071,637916","103,808344","35,136871","7,564447","18,370501"
05/01/2009 10.00,"3,503772","118,025961","65,157059","1,035133","17,664427","1189,037899","101,525765","35,136871","4,611078","18,370501"
05/01/2009 11.00,"4,085326","206,092944","93,758279","1,188916","19,652271","1066,571273","148,575845","35,136871","3,981555","18,370501"
05/01/2009 12.00,"5,035318","123,560166","76,405719","1,181892","29,167619","1053,124146","171,863227","35,136871","5,528921","18,370501"
05/01/2009 13.00,"7,29471","70,071643","48,873949","1,152572","46,155003","997,805167","74,935817","35,136871","4,83075","18,370501"
05/01/2009 14.00,"5,349574","43,35785","33,230692","0,887465","59,258781","971,520543","40,853534","35,136871","2,997099","18,370501"
05/01/2009 15.00,"4,76802","49,820678","40,675293","0,81967","54,871438","1008,51022","35,932898","35,136871","1,898739","18,370501"
05/01/2009 16.00,"4,55671","34,895089","30,340341","0,669515","60,704978","973,394829","41,278815","35,136871","1,659744","18,370501"
05/01/2009 17.00,"3,910138","48,510708","43,568266","0,774919","47,454945","962,244397","47,030083","35,136871","1,5016","18,370501"
05/01/2009 18.00,"3,624779","39,792467","34,623319","0,777998","49,124581","969,168578","53,24981","35,136871","2,175363","18,370501"
05/01/2009 19.00,"3,373736","41,58489","36,383238","0,837309","48,072438","996,708529","52,67502","35,136871","2,397577","18,370501"
05/01/2009 20.00,"3,104631","41,612117","37,917329","0,774051","52,104992","1012,360596","43,514862","35,136871","2,87811","18,370501"
05/01/2009 21.00,"3,359287","54,011208","49,443725","0,855304","47,387255","1345,936955","49,495373","35,136871","2,29842","18,370501"
05/01/2009 22.00,"3,198547","48,087928","42,559817","0,842123","49,70822","1180,875021","45,973505","35,136871","2,641657","18,370501"
05/01/2009 23.00,"3,290657","56,974789","49,986238","0,884939","41,555074","1140,160398","50,980544","35,136871","2,416392","18,370501"
06/01/2009 0.00,"3,252729","52,92305","49,336005","0,910984","41,957245","1032,747515","47,265969","35,136871","2,983878","18,370501"
06/01/2009 1.00,,"53,467758","50,312004","1,00088","37,901667","1041,296077","47,986957","38,404411","3,24423","18,669781"
06/01/2009 2.00,"3,185905",,,"0,684353","58,847135","1181,375787","42,684234","38,404411","3,406441","18,669781"
06/01/2009 3.00,"3,290657","47,322706","45,132185","1,005221","32,195429","1178,727801","45,970193","38,404411","2,368084","18,669781"
06/01/2009 4.00,"3,079347","27,685204","28,634933","0,769868",,"1163,601085","49,654857","38,404411","3,580857","18,669781"
06/01/2009 5.00,"2,936667","39,251639","40,223641","0,808304","34,161601","1131,253189","41,627675","38,404411","2,164176","18,669781"
06/01/2009 6.00,"2,996267","32,822519","33,75116","0,727011","39,91255","1094,908491","43,79728","38,404411","2,875567","18,669781"
06/01/2009 7.00,"3,00891","53,231723","48,5404","0,866787","27,890698","1115,212627","65,227446","38,404411","3,300673","18,669781"
06/01/2009 8.00,"3,294268","112,749873","68,227824","0,996539","18,206076","1057,905116","54,904424","38,404411","2,265876","18,669781"
06/01/2009 9.00,"3,660901","161,756053","77,521903","0,981108","16,914252","1090,648385","71,629925","38,404411","2,501311","18,669781"
06/01/2009 10.00,"3,577821","140,874785","71,796975","1,251781","22,64351","1124,800405","88,720888","38,404411","3,683065","18,669781"
06/01/2009 11.00,"3,413469","105,097745","68,850794","1,011021","30,575909","1071,018956","151,718885","38,404411","5,225346","18,669781"
06/01/2009 12.00,"3,236474","48,076244","36,528587","0,705584","51,777291","998,439679","93,810994","38,404411","4,394965","18,669781"
06/01/2009 13.00,"3,023359","45,678137","40,018579","0,718922","48,473255","1034,009839","58,595731","38,404411","2,709796","18,669781"
06/01/2009 14.00,"3,073928","28,241615","26,785475","0,732182","60,277069","1011,803006","54,50572","38,404411","2,170786","18,669781"
06/01/2009 15.00,"3,068511","10,776563","11,200629","0,614071","78,43305","984,119441","40,076081","38,404411","1,948063","18,669781"
06/01/2009 16.00,"3,131722","14,226515","14,279188","0,62954","74,380204","978,973005","41,225662","38,404411","1,330744","18,669781"
06/01/2009 17.00,"3,220219","20,829404","21,618639","0,652666","64,89731","951,971026","48,156415","38,404411","1,417189","18,669781"
06/01/2009 18.00,"3,090183","39,817112","39,511116","0,848003","47,157054","971,843002","58,96119","38,404411","1,666863","18,669781"
06/01/2009 19.00,"3,111856","47,335671","43,464426","0,945553","38,720914","1025,138279","68,466899","38,404411","2,393001","18,669781"
06/01/2009 20.00,"2,952922","52,291419","48,0498","0,961221","32,623338","1015,653382","66,815617","38,404411","3,257959","18,669781"
06/01/2009 21.00,"3,055867","44,261842","41,572137","1,016665","38,760176","1031,710691","76,188399","38,404411","3,456274","18,669781"
06/01/2009 22.00,"2,922218","51,201963","47,55532","0,999301","37,16232","1013,40041","65,147713","38,404411","4,182413","18,669781"
06/01/2009 23.00,"2,891515","65,722876","58,430181","1,013113","29,462818","1001,046991","61,506231","38,404411","3,797986","18,669781"
07/01/2009 0.00,"3,090183","47,217622","46,214625","0,896265","35,684986","983,445212","54,479143","38,404411","3,868159","18,669781"
07/01/2009 1.00,"2,976401","44,866206","42,095183","0,843701","39,426406","978,621176","53,728248","26,086821","3,023541","17,37443"
07/01/2009 2.00,"3,093795","21,199051","22,018381","0,76091","54,814582","972,706843","47,810867","26,086821","2,739289","17,37443"
07/01/2009 3.00,"2,895127","16,327613","16,162393","0,709609","61,472753","966,513774","44,54151","26,086821","2,222145","17,37443"
07/01/2009 4.00,"2,914994","13,052753","13,970289","0,668687","61,5337","964,0618","43,252378","26,086821","1,976539","17,37443"
07/01/2009 5.00,"2,853588","9,374532","10,280443","0,654244","67,189828","961,79555","43,116158","26,086821","1,763986","17,37443"
07/01/2009 6.00,"3,229251","16,90736","17,401861","0,693627","60,639982","974,198914","43,554729","26,086821","1,645506","17,37443"
07/01/2009 7.00,"2,770509","30,379021","29,564222","0,769039","50,417761","988,891079","49,11662","26,086821","1,860093","17,37443"
07/01/2009 8.00,"2,974595","36,430712","35,082771","0,772669","46,494891","1011,190984","48,309237","26,086821","2,409273","17,37443"
07/01/2009 9.00,"3,079347","74,592891","57,996695","0,955932","32,921229","1022,371741","82,032683","26,086821","2,30503","17,37443"
07/01/2009 10.00,"3,283432","77,175146","59,388019","0,985923","29,804063","1008,506272","77,035649","26,086821","3,875278","17,37443"
07/01/2009 11.00,"3,283432","96,432653","64,463997","1,148625","26,199417","1023,920218","112,573151","26,086821","3,393729","17,37443"
07/01/2009 12.00,"3,664677","116,113961","52,816227",,"44,246745","992,632712","129,032862","26,086821","5,028048","17,37443"
07/01/2009 13.00,"2,828303","36,764031","30,889352",,"58,844422","950,755357","33,012416","26,086821","4,114782","17,37443"
07/01/2009 14.00,"3,005298","34,997533","29,444818","0,761423","61,650149","947,436073","28,188132","26,086821","2,119428","17,37443"
07/01/2009 15.00,"2,754255","42,582267","36,908866","0,737824","51,01221","953,801707","25,576648","26,086821","2,022813","17,37443"
07/01/2009 16.00,"2,629635","38,8353","34,758285","0,767027","53,614826","955,453004","26,66974","26,086821","1,863652","17,37443"
07/01/2009 17.00,"2,853588","52,461301","48,352205","0,846779","36,225269","960,991943","31,553844","26,086821","1,904332","17,37443"
07/01/2009 18.00,"2,981818","102,438936","78,102022","1,160149","20,134337","980,265595","59,781863","26,086821","2,372661","17,37443"
