, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NOX,NO2,PM10



10/01/2007 12.00,"1,12552712","41,98046472","26,66347096","21,0012207"
10/01/2007 13.00,"1,93912305","52,50541288","29,29944976",
10/01/2007 14.00,"4,36564031","64,98880352","37,91213024","16,60560989"
10/01/2007 15.00,"2,39292066","49,39397704","33,50586888",
10/01/2007 16.00,"0,02036644","39,48379424","28,50904808","30,28083038"
10/01/2007 17.00,"0,01566587","39,92473968","27,04244848",
10/01/2007 18.00,"2,40023187","141,816386","70,55620336","41,02563095"
10/01/2007 19.00,"4,93310393","178,53760792","83,99048896",
10/01/2007 20.00,"3,64325504","178,95912744","91,38706096","52,2588501"
10/01/2007 21.00,"1,35843029","137,80225672","74,97158496",
10/01/2007 22.00,"2,11980632","134,24205536","63,611284","52,7472496"
10/01/2007 23.00,"0,34883303","88,74417984","52,98433064",
11/01/2007 0.00,"0,35997325","85,54974408","45,92388824","62,02685165"
11/01/2007 1.00,"0,58312949","76,32304392","43,44754232",
11/01/2007 2.00,"0,39252437","57,21992688","39,29567256","61,05006027"
11/01/2007 3.00,"0,08773049","40,64068808","35,47991328",
11/01/2007 4.00,"0,01827752","41,56024536","35,85370928","69,35285187"
11/01/2007 5.00,"0,01462141","37,6407792","35,15026536",
11/01/2007 6.00,"0,03916569","47,401826","36,99324216","51,77045059"
11/01/2007 7.00,"1,51770368","137,87745568","62,0746096",
11/01/2007 8.00,"0,51437216","110,67600528","69,75411936","45,90964127"
11/01/2007 9.00,"1,70604598","150,0833004","73,45045512",
11/01/2007 10.00,"1,89717282","157,46050384","69,41798976","39,56044006"
11/01/2007 11.00,"0,61289505","80,45522008","44,22108016",
11/01/2007 12.00,"0,25866581","43,25018568","29,09178744","36,14162064"
11/01/2007 13.00,"0,55545286","44,61200768","27,53564888",
11/01/2007 14.00,"1,2614746","36,98062296","24,47266312","24,42000961"
11/01/2007 15.00,"0,54727109","33,47879496","24,29096576",
11/01/2007 16.00,"0,23064035","27,48677816","20,3649032","30,76922989"
11/01/2007 17.00,"0,06214277","36,6887944","25,9976552",
11/01/2007 18.00,"1,16225506","85,59251552","58,2939164","34,67642975"
11/01/2007 19.00,"1,06390709","73,22199024","49,96287352",
11/01/2007 20.00,"1,45991265","95,06823456","59,5217072","45,42124176"
11/01/2007 21.00,"3,18545452","178,6167456","87,16249696",
11/01/2007 22.00,"1,6724504","107,27404104","60,60412864","47,86323166"
11/01/2007 23.00,"1,555651","116,47609552","59,38411968",
12/01/2007 0.00,"2,52973868","144,4622116","64,6314316","53,72404099"
12/01/2007 1.00,,"147,10801808","64,77418152",
12/01/2007 2.00,"1,17809178",,,"56,16604996"
12/01/2007 3.00,"0,65027895","71,65652112","45,10624056",
12/01/2007 4.00,"0,08936786","29,43741968","27,1735352","44,93283081"
12/01/2007 5.00,"0,20616014","37,05844136","31,15150856",
12/01/2007 6.00,"0,95644579","54,95669248","35,20607664","39,07204056"
12/01/2007 7.00,"1,34382312","111,66951872","60,02267032",
12/01/2007 8.00,"1,659684","131,03463712","63,71512472","48,35165024"
12/01/2007 9.00,"2,83883956","170,37445776","70,01109216",
12/01/2007 10.00,"2,88115897","182,69572992","70,70285376","49,81684113"
