NetC,Provincia di TARANTO,,,,
Stat,Talsano,,,,
Parm,SO2,NOX,NO,NO2,PM10
PtId,1,2,3,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver,Aver
11/01/2007 7.00,"0,023467","11,580688","5,801091","2,687893",
11/01/2007 8.00,"0,126363","14,908724","7,462413","3,469211","39,56044"
11/01/2007 9.00,"0,718465","61,458431","40,187217","0,800788",
11/01/2007 10.00,"0,492816","40,134848","21,778194","6,787871","38,09523"
11/01/2007 11.00,"1,491085","34,969026","10,289367","19,205906",
11/01/2007 12.00,"2,924403","55,815294","18,167093","27,979499","39,072041"
11/01/2007 13.00,"0,238285","37,223158","12,873542","17,496613",
11/01/2007 14.00,"1,828654","32,136437","7,434499","20,751662","28,327221"
11/01/2007 15.00,"2,083185","33,114347","6,35853","23,381158",
11/01/2007 16.00,"0,888152","31,203897","4,749655","23,937934","35,164822"
11/01/2007 17.00,"0,252727","22,6724","4,215053","16,220799",
11/01/2007 18.00,"0,335765","19,066825","5,559168","10,550395","31,746031"
11/01/2007 19.00,"1,31237","42,08681","24,848769","4,377723",
11/01/2007 20.00,"4,512967","101,10176","67,665014","1,153808","118,192902"
11/01/2007 21.00,"2,635573","55,871066","32,24434","6,503637",
11/01/2007 22.00,"1,547045","43,897398","27,503146","1,75083","110,378502"
11/01/2007 23.00,"0,472959","22,981091","10,057593","7,565296",
12/01/2007 0.00,"0,503647","29,848556","17,490385","3,033126","122,099998"
12/01/2007 1.00,,"23,872103","11,221531","6,671063",
12/01/2007 2.00,"0,830386","22,549191","12,733129","3,027937","102,0756"
12/01/2007 3.00,"0,247311","19,319726","11,056585","2,369914",
12/01/2007 4.00,"0,335765","17,013714","8,162807","4,50102","80,586082"
12/01/2007 5.00,"0,305077","15,798448","6,616526","5,657424",
12/01/2007 6.00,"0,258142","11,000939","5,235194","2,97602","58,608051"
12/01/2007 7.00,"0,079429","12,666254","6,254487","3,078553",
12/01/2007 8.00,"0,265363","14,09941","7,250097","2,985106","53,235641"
12/01/2007 9.00,"0,321323","22,63219","12,195995","3,935148",
12/01/2007 10.00,"1,229332","32,909419","13,090083","12,847634","44,444431"
12/01/2007 11.00,"3,760204","40,172476","10,485605","24,111869",
12/01/2007 12.00,"3,523725","34,00796","7,09699","23,14235","40,04884"
12/01/2007 13.00,"2,852195","25,271534","5,711428","16,525801",
12/01/2007 14.00,"0,86649","14,478129","4,480662","7,613318","30,76923"
12/01/2007 15.00,"0,503647","14,958008","4,457823","8,128574",
12/01/2007 16.00,"0,249116","13,185045","3,939295","7,149977","23,44322"
12/01/2007 17.00,"0,19857","16,148631","3,983281","10,048126",
12/01/2007 18.00,"0,290635","18,711454","4,022192","12,553015","21,48962"
12/01/2007 19.00,"0,162467","15,922957","3,722748","10,222037",
12/01/2007 20.00,"0,05235","16,306863","3,727823","10,598417","24,908421"
12/01/2007 21.00,"0,050545","15,66486","3,415691","10,434883",
12/01/2007 22.00,"1,702291","35,349016","4,505193","28,461019","28,327221"
12/01/2007 23.00,"1,964044","45,574373","10,894169","28,890625",
13/01/2007 0.00,"3,819775","29,455582","5,22758","21,455105","34,67643"
13/01/2007 1.00,"2,561559","49,401757","13,593385","28,579122",
13/01/2007 2.00,"0,857464","15,247234","4,008657","9,107169","31,746031"
13/01/2007 3.00,"0,368258","15,134398","4,074636","8,89302",
13/01/2007 4.00,"0,29244","15,546835","4,100859","9,265507","17,094"
13/01/2007 5.00,"0,980216","18,9488","4,298795","12,36612",
13/01/2007 6.00,"0,976606","23,896748","4,694672","16,710095","14,16361"
13/01/2007 7.00,"2,61391","45,256619","8,905497","31,623945",
13/01/2007 8.00,"3,368478","49,048976","11,338264","31,686237","31,25762"
13/01/2007 9.00,"3,787281","44,850663","12,168078","26,211818",
13/01/2007 10.00,"2,839559","33,572176","7,802459","21,623839","36,141621"
13/01/2007 11.00,"3,778256","31,897779","6,355994","22,16765",
13/01/2007 12.00,"2,583222","28,939381","6,323003","19,257816","28,81562"
13/01/2007 13.00,"0,277999","18,81521","5,136225","10,947543",
13/01/2007 14.00,"0,29244","14,891862","4,086479","8,632146","25,88522"
13/01/2007 15.00,"0,310492","14,278393","4,054335","8,067573",
13/01/2007 16.00,"0,391726","16,755615","4,071253","10,52055","23,93162"
13/01/2007 17.00,"0,277999","13,331603","5,189515","5,378381",
13/01/2007 18.00,"0,182324","13,738852","5,598078","5,159043","25,88522"
13/01/2007 19.00,"0,124558","15,283548","4,99327","7,632786",
13/01/2007 20.00,0,"12,391295","5,454278","4,03119","33,211231"
13/01/2007 21.00,"0,101091","14,458674","6,766248","4,086999",
13/01/2007 22.00,"0,211206","17,802274","9,133885","3,800171","42,490841"
13/01/2007 23.00,"0,223843","23,249556","11,29935","5,92868",
14/01/2007 0.00,"0,29244","33,945705","20,525433","2,47634","60,073261"
14/01/2007 1.00,,"21,463633","10,664088","5,116212",
14/01/2007 2.00,"0,267168","16,39376","7,315227","5,181105","49,816841"
14/01/2007 3.00,"0,162467","15,552025","7,5986","3,904",
14/01/2007 4.00,"0,169687","12,412047","5,993953","3,223915","35,164822"
14/01/2007 5.00,"0,169687","14,025483","6,55393","3,979275",
14/01/2007 6.00,"0,019857","10,526246","5,458507","2,158361","27,83882"
14/01/2007 7.00,"0,043324","10,995751","5,083778","3,203149",
14/01/2007 8.00,0,"14,146102","7,090222","3,277128","23,44322"
14/01/2007 9.00,"0,162467","17,62848","8,07991","5,243404",
14/01/2007 10.00,"0,263558","23,315712","8,16619","10,80219","41,025631"
14/01/2007 11.00,"1,644526","32,105289","8,368358","19,287663",
14/01/2007 12.00,"0,234674","17,435229","6,107303","8,076659","61,53846"
14/01/2007 13.00,"0,157051","19,476663","5,201356","11,509528",
14/01/2007 14.00,"0,223843","18,599913","4,807175","11,236975","43,46764"
14/01/2007 15.00,"0,225648","15,395088","5,199667","7,427722",
14/01/2007 16.00,"0,227453","13,585809","4,635459","6,482871","46,398041"
14/01/2007 17.00,"0,119143","11,323885","4,884995","3,83651",
14/01/2007 18.00,"0,184129","14,004732","8,030003","1,700213","59,096451"
14/01/2007 19.00,"0,965775","38,116772","22,367774","3,823531",
14/01/2007 20.00,"0,184129","19,841109","11,653776","1,974063","68,37606"
14/01/2007 21.00,"0,216622","16,081188","7,49371","4,594467",
14/01/2007 22.00,"0,167882","18,240651","6,222344","8,706125","59,096451"
14/01/2007 23.00,"0,045129","12,605296","5,913595","3,540596",
15/01/2007 0.00,"0,113727","20,444193","9,693016","5,586042","60,073261"
15/01/2007 1.00,"0,137194","26,715074","13,538404","5,961126",
15/01/2007 2.00,"0,046935","14,59356","7,468334","3,144745","60,561661"
15/01/2007 3.00,0,"9,750655","4,933212","2,188211",
15/01/2007 4.00,"0,050545","11,284975","5,415367","2,983808","54,21244"
15/01/2007 5.00,"0,001805","11,522323","5,61838","2,909831",
15/01/2007 6.00,"0,005416","13,340681","6,465959","3,428977","43,46764"
15/01/2007 7.00,"0,00361","17,324987","6,560698","7,27068",
15/01/2007 8.00,"0,28883","43,863668","23,568087","7,732722","42,97924"
15/01/2007 9.00,"2,052497","98,292496","54,352439","14,965757",
15/01/2007 10.00,"2,276341","83,491418","38,231535","24,889288","40,04884"
15/01/2007 11.00,"0,243701","25,329907","5,548171","16,83469",
15/01/2007 12.00,"0,106506","14,590965","4,326711","7,962446","27,83882"
15/01/2007 13.00,"0,018052","14,341946","4,056872","8,127275",
15/01/2007 14.00,"0,19857","17,601243","3,948599","11,554955","24,42001"
15/01/2007 15.00,"0,415193","22,092662","4,223513","15,627668",
15/01/2007 16.00,"0,14261","15,723223","3,973976","9,636699","23,44322"
15/01/2007 17.00,"0,160662","21,856607","4,087324","15,600419",
15/01/2007 18.00,"0,209401","18,899514","4,236201","12,412849","28,327221"
15/01/2007 19.00,"0,604738","25,310444","4,3597","18,638737",
15/01/2007 20.00,"0,315908","25,820163","5,122691","17,978116","33,699631"
15/01/2007 21.00,"0,185934","19,878719","6,95065","9,227872",
15/01/2007 22.00,"0,095675","22,437645","10,956764","5,641849","36,630032"
15/01/2007 23.00,"0,277999","46,648287","28,045367","3,649616",
16/01/2007 0.00,"0,312297","56,934579","36,028","1,766403","52,74725"
16/01/2007 1.00,,"41,435734","24,358137","4,093488",
16/01/2007 2.00,"0,393531","38,054516","21,807798","4,620424","43,956032"
16/01/2007 3.00,"0,287025","36,075349","22,628311","1,401702",
16/01/2007 4.00,"0,256337","36,93265","22,586847","2,320596","33,699631"
16/01/2007 5.00,"0,220232","32,563136","20,040735","1,849468",
16/01/2007 6.00,"0,064986","25,460899","15,69034","1,42117","36,630032"
16/01/2007 7.00,0,"17,725752","9,827512","2,665829",
16/01/2007 8.00,"0,014441","16,491032","8,91903","2,81768","43,46764"
16/01/2007 9.00,"0,169687","32,177927","17,849894","4,81251",
16/01/2007 10.00,"1,014515","51,452243","24,983245","13,155231","52,25885"
16/01/2007 11.00,"0,501842","33,114347","13,160301","12,944968",
16/01/2007 12.00,"0,268973","20,291156","6,371219","10,529634","47,37484"
16/01/2007 13.00,"0,079429","18,14727","5,428055","9,831381",
16/01/2007 14.00,"0,115532","18,568785","5,439052","10,236308","33,699631"
16/01/2007 15.00,"0,061376","12,354981","4,374927","5,650935",
16/01/2007 16.00,"0,083039","15,169416","5,008496","7,495212","33,699631"
16/01/2007 17.00,"0,09748","12,508022","4,357163","5,83134",
