,Regione Puglia,,,,,,
,ARNESANO,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


11/01/2007 23.00,"1,59395834","17,37590228",,,,"65,2009201",
12/01/2007 0.00,"1,45380659","16,81003441",,,,"65,2009201",
12/01/2007 1.00,,"16,17667485",,,,"33,11993027",
12/01/2007 2.00,"1,2733735",,,,,"33,11993027",
12/01/2007 3.00,"1,27463458","8,25576553",,,,"33,11993027",
12/01/2007 4.00,"1,2166249","7,0435537",,,,"33,11993027",
12/01/2007 5.00,"1,05977807","7,29533925",,,,"33,11993027",
12/01/2007 6.00,"1,16192555","9,0656371",,,,"33,11993027",
12/01/2007 7.00,"1,02178804","9,07601926",,,,"33,11993027",
12/01/2007 8.00,"1,71254359","10,35312246",,,,"33,11993027",
12/01/2007 9.00,"1,44771679","15,09035102",,,,"33,11993027",
12/01/2007 10.00,"2,33740771","15,90801399",,,,"33,11993027",
12/01/2007 11.00,"2,15864962","19,03458522",,,,"33,11993027",
12/01/2007 12.00,"2,1788269","27,608324",,,,"33,11993027",
12/01/2007 13.00,"1,63940095","13,2032529",,,,"33,11993027",
12/01/2007 14.00,"1,48633736","7,28236059",,,,"33,11993027",
12/01/2007 15.00,"1,31026009","7,43031689",,,,"33,11993027",
12/01/2007 16.00,"1,46883988","8,25706186",,,,"33,11993027",
12/01/2007 17.00,"1,45449509","11,2499537",,,,"33,11993027",
12/01/2007 18.00,"1,26344249","12,0870751",,,,"33,11993027",
12/01/2007 19.00,"1,51786436","10,3206739",,,,"33,11993027",
12/01/2007 20.00,"1,50131269","9,0656371",,,,"33,11993027",
12/01/2007 21.00,"1,56610067","9,79763674",,,,"33,11993027",
12/01/2007 22.00,"1,43479072","7,45497786",,,,"33,11993027",
12/01/2007 23.00,"1,34099891","5,67170135",,,,"33,11993027",
13/01/2007 0.00,"1,32444724","5,54450938",,,,"33,11993027",
13/01/2007 1.00,"1,401845","4,65157287",,,,"39,03229141",
13/01/2007 2.00,"1,4581207","4,15578554",,,,"39,03229141",
13/01/2007 3.00,"1,23822089","3,74436138",,,,"39,03229141",
13/01/2007 4.00,"1,16823095","3,99355234",,,,"39,03229141",
13/01/2007 5.00,"1,23885143","3,67427702",,,,"39,03229141",
13/01/2007 6.00,"1,24657555","3,98576476",,,,"39,03229141",
13/01/2007 7.00,"1,40216027","5,35242412",,,,"39,03229141",
13/01/2007 8.00,"1,37205301","8,97867934",,,,"39,03229141",
13/01/2007 9.00,"1,06245787","7,37970242",,,,"39,03229141",
13/01/2007 10.00,"1,13575814","5,57565777",,,,"39,03229141",
13/01/2007 11.00,"1,56972628","4,69440358",,,,"39,03229141",
13/01/2007 12.00,"1,92424638","3,85727645",,,,"39,03229141",
13/01/2007 13.00,"1,62269164","4,47895751",,,,"39,03229141",
13/01/2007 14.00,"1,63940095","4,17395718",,,,"39,03229141",
13/01/2007 15.00,"1,59825821","3,80795641",,,,"39,03229141",
13/01/2007 16.00,"1,53804164","4,65416937",,,,"39,03229141",
13/01/2007 17.00,"2,07352672","10,02476322",,,,"39,03229141",
13/01/2007 18.00,"1,69599191","19,82499264",,,,"39,03229141",
13/01/2007 19.00,"1,51234714","23,19684288",,,,"39,03229141",
13/01/2007 20.00,"1,95482757","24,63359616",,,,"39,03229141",
13/01/2007 21.00,"1,85914414","23,78608304",,,,"39,03229141",
13/01/2007 22.00,"1,52684956","16,5193129",,,,"39,03229141",
13/01/2007 23.00,"1,57082972","19,7159704",,,,"39,03229141",
