NetC,Provincia di TARANTO,,,,
Stat,TA V.Archimede,,,,
Parm,SO2,NOX,NO2,CO,PM10
PtId,1,2,4,6,8
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver,Aver
13/01/2007 2.00,"0,614248","22,525844","16,42327","0,008837",
13/01/2007 3.00,"0,43826","16,527348","10,760657","0,000766",
13/01/2007 4.00,"0,336324","16,994259","11,168183","0,001973",
13/01/2007 5.00,"0,281498","22,668518","16,664677","0,126532",
13/01/2007 6.00,"0,255654","21,326142","15,166924","0,024871",
13/01/2007 7.00,"0,264813","36,579847","27,1995","0,458561",
13/01/2007 8.00,"0,514507","58,510412","40,419623","0,308024",
13/01/2007 9.00,"0,48239","56,002057","37,525369","0,336588",
13/01/2007 10.00,"0,602297","69,896543","40,714241","0,83086",
13/01/2007 11.00,"0,551079","72,388034","43,729198","0,367596",
13/01/2007 12.00,"0,581283","64,563381","38,411813","0,238496",
13/01/2007 13.00,"0,651979","82,434407","47,21139","0,247616",
13/01/2007 14.00,"0,540885","83,2398","50,984301","0,505794",
13/01/2007 15.00,"0,565099","62,34684","42,545536","0,254388",
13/01/2007 16.00,"0,420194","55,427503","41,701903","0,130631",
13/01/2007 17.00,"0,298247","47,608014","36,458512","0,094225",
13/01/2007 18.00,"0,350031","31,663024","25,273447","0,042831",
13/01/2007 19.00,"0,342503","44,25146","37,418929","0,070142",
13/01/2007 20.00,"0,427439","63,083533","48,742863","0,153343",
13/01/2007 21.00,"0,65132","87,13724","54,531366","0,272025",
13/01/2007 22.00,"0,917012","163,992068","61,15572","0,48178",
13/01/2007 23.00,"0,571121","86,866155","50,423608","0,283143",
14/01/2007 0.00,"0,57134","90,160472","47,394389","0,247616",
14/01/2007 1.00,"1,079292","198,474586","54,59108","0,557207",
14/01/2007 2.00,"0,665341","97,235485","51,262038","0,312975",
14/01/2007 3.00,,"88,215015","50,304221","0,192572",
14/01/2007 4.00,"0,314086","80,302181","39,547464","0,168897",
14/01/2007 5.00,"0,309365","52,056664","36,960793","0,037538",
14/01/2007 6.00,"1,073008","32,796593","25,514856","0,134321",
14/01/2007 7.00,"0,28888","47,537998","34,568806",0,
14/01/2007 8.00,"0,207785","52,374422","34,792051",0,
14/01/2007 9.00,"0,288313","67,056171","40,104236",0,
14/01/2007 10.00,"0,308232","69,052224","36,967277","0,008009",
14/01/2007 11.00,"0,264145","45,242335","28,80755","0,04561",
14/01/2007 12.00,"0,321544","44,718352","29,958764","0,015231",
14/01/2007 13.00,"0,256688","47,648242","33,229412","0,089963",
14/01/2007 14.00,"0,396124","36,216701","26,803638","0,032245",
14/01/2007 15.00,"0,30795","35,984546","27,529148","0,024139",
14/01/2007 16.00,"0,305684","52,190256","41,296982","0,000433",
14/01/2007 17.00,"0,333533","65,067901","53,326961","0,001275",
14/01/2007 18.00,"0,280006","42,409764","35,858908","0,019285",
14/01/2007 19.00,"0,324565","71,057321","56,953199","0,086305",
14/01/2007 20.00,"0,399901","66,012107","49,978456","0,030683",
14/01/2007 21.00,"0,297848","49,377112","39,988715","0,090915",
14/01/2007 22.00,"0,259426","37,799014","30,838723","0,028211",
14/01/2007 23.00,"0,331739","35,496871","28,575242","0,130057",
15/01/2007 0.00,"0,303607","56,653133","41,666875","0,148434",
15/01/2007 1.00,"0,321261","45,740392","31,94191","0,059897",
15/01/2007 2.00,"0,300964","43,753424","33,242395","0,021495",
15/01/2007 3.00,"0,311726","22,544009","16,38953","0,000312",
15/01/2007 4.00,"0,251779","18,824289","12,803507","0,00009",
15/01/2007 5.00,"0,283687","32,223319","24,675143",0,
15/01/2007 6.00,"0,293317","48,108672","35,341044",0,
15/01/2007 7.00,"0,341936","70,454256","43,979689","0,14007",
15/01/2007 8.00,"0,398673","83,076399","48,565068","0,153008",
15/01/2007 9.00,"1,011173","151,923692","58,546986","0,539563",
15/01/2007 10.00,"0,366197","68,519156","45,857711","0,087503",
15/01/2007 11.00,"0,312009","29,196182","20,015772",0,
15/01/2007 12.00,"0,258198","26,660601","17,726334",0,
15/01/2007 13.00,"0,314746","26,459574","17,774354",0,
15/01/2007 14.00,"0,25244","27,502342","19,056646",0,
15/01/2007 15.00,"0,290957","28,81229","20,74648",0,
15/01/2007 16.00,"0,311159","27,418041","19,580983",0,
15/01/2007 17.00,"0,260936","34,35556","25,710836","0,009819",
15/01/2007 18.00,"0,238751","34,779663","27,313703","0,001864",
15/01/2007 19.00,"0,242904","32,281691","24,836056","0,008835",
15/01/2007 20.00,"0,350526","34,102621","26,845168","0,153258",
15/01/2007 21.00,"0,241583","32,765445","26,153406","0,011375",
15/01/2007 22.00,"0,274247","36,042921","28,676482","0,055533",
15/01/2007 23.00,"0,202216","35,858755","28,361078","0,158445",
16/01/2007 0.00,"0,262635","38,723754","30,851706","0,185662",
16/01/2007 1.00,"0,405753","62,943443","52,365224","0,17198",
16/01/2007 2.00,"0,331739","64,991383","49,71888","0,028066",
16/01/2007 3.00,,"30,28694","23,930151","0,002584",
16/01/2007 4.00,"0,355285","37,823642","30,808877","0,044584",
16/01/2007 5.00,"0,373113","48,010108","38,171701","0,000505",
16/01/2007 6.00,"0,317895","50,362804","35,047725","0,000009",
16/01/2007 7.00,"0,438901","99,37677","33,023048","0,000343",
16/01/2007 8.00,"0,984606","237,612074","41,79016","0,07487",
16/01/2007 9.00,"1,284832","282,189205","46,771401","0,339017",
16/01/2007 10.00,"1,204214","226,47754","57,942181","0,565583",
16/01/2007 11.00,"0,966148","147,092475","54,071932","0,640723",
16/01/2007 12.00,"0,658981","103,85783","55,955155","0,164001",
16/01/2007 13.00,"0,536556","74,336094","43,351501","0,172982",
16/01/2007 14.00,"0,336511","60,983735","39,300853","0,098584",
16/01/2007 15.00,"0,397566",,,"0,000507",
16/01/2007 16.00,"0,390467",,,0,
16/01/2007 17.00,"0,416498",,,"0,00682",
16/01/2007 18.00,"0,460672",,,"0,014772",
16/01/2007 19.00,"0,483863",,,"0,064922",
16/01/2007 20.00,"0,657246",,,"0,111263",
16/01/2007 21.00,"0,682331",,,"0,200546",
16/01/2007 22.00,"0,964886",,,"0,550977",
16/01/2007 23.00,"0,809015",,,"0,25025",
17/01/2007 0.00,"0,457043",,,"0,024649",
17/01/2007 1.00,"0,275141",,,"0,000109",
17/01/2007 2.00,"0,256525",,,0,
17/01/2007 3.00,"0,262362",,,"0,011388",
17/01/2007 4.00,"0,187739",,,0,
17/01/2007 5.00,"0,290917",,,0,
17/01/2007 6.00,"0,369484",,,"0,003384",
17/01/2007 7.00,"0,313636",,,"0,001256",
17/01/2007 8.00,"0,417602",,,"0,006598",
17/01/2007 9.00,"0,599347",,,"0,049277",
17/01/2007 10.00,"0,617647",,,"0,052734",
17/01/2007 11.00,"0,558958",,,"0,384232",
17/01/2007 12.00,"0,504531",,,"0,052492",
17/01/2007 13.00,"0,521568",,,"0,012632",
17/01/2007 14.00,"0,415867",,,"0,018811",
17/01/2007 15.00,"0,340771",,,"0,004475",
17/01/2007 16.00,"0,40009",,,"0,000227",
17/01/2007 17.00,"0,424228",,,"0,000334",
17/01/2007 18.00,"0,263151",,,"0,001564",
17/01/2007 19.00,"0,312531",,,"0,054762",
17/01/2007 20.00,"0,759477",,,"0,274731",
17/01/2007 21.00,"0,655668",,,"0,298527",
17/01/2007 22.00,"0,703629",,,"0,305961",
17/01/2007 23.00,"0,574893",,,"0,188814",
18/01/2007 0.00,"0,49254",,,"0,232589",
18/01/2007 1.00,"0,561957",,,"0,194161",
18/01/2007 2.00,"0,366486",,,"0,056349",
18/01/2007 3.00,,,,"0,005303",
18/01/2007 4.00,"0,297805",,,"0,012881",
18/01/2007 5.00,"0,229122",,,"0,007743",
18/01/2007 6.00,"0,242486",,,"0,043285",
18/01/2007 7.00,"0,367308",,,"0,130703",
18/01/2007 8.00,"0,573042",,,"0,425002",
18/01/2007 9.00,"1,185136",,,"1,13942",
18/01/2007 10.00,"1,641742",,,"1,395164",
18/01/2007 11.00,"1,236673",,,"0,815799",
