NetC,Provincia di TARANTO,,,,
Stat,MANDURIA,,,,
Parm,NOX,NO2,CO,O3,Benzene
PtId,1,3,5,6,7
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
15/01/2007 22.00,"84,806567","58,147244","1,489018","38,993093",
15/01/2007 23.00,"50,17474","40,714241","1,083669","42,196924",
16/01/2007 0.00,"32,592964","26,289675","0,879293","44,570694",
16/01/2007 1.00,"18,266591","17,243527","0,617032","47,209858",
16/01/2007 2.00,,,"0,500518","49,677075",
16/01/2007 3.00,"10,980187","12,246711",,"50,224124",
16/01/2007 4.00,"9,068445","11,286287","0,428325",,
16/01/2007 5.00,"8,648226","10,33106","0,420833","48,152316",
16/01/2007 6.00,"11,914008","12,672424","0,422997","44,126548",
16/01/2007 7.00,"40,94548","33,290406","0,640114","35,067511",
16/01/2007 8.00,"121,261906","56,31205","1,331013","31,072863",
16/01/2007 9.00,"108,458179","56,937638","1,458138","33,92328",
16/01/2007 10.00,"157,561664","67,686617","2,347839","34,236076",
16/01/2007 11.00,"147,214397","66,837798","1,727703","35,05127",
16/01/2007 12.00,"108,912146","56,184863","1,138371","43,924794",
16/01/2007 13.00,"73,102679","45,817465","0,717954","57,478126",
16/01/2007 14.00,"62,726849","41,376137","0,640615","65,326577",
16/01/2007 15.00,"45,033545","33,864063","0,453051","71,690922",
