Stat,Arnesano,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
08/01/2014 12.00,"1,6","12,4","20,2","28,3",,,
08/01/2014 13.00,"1,6","19,9","30,0","28,3",,,
08/01/2014 14.00,"2,1","19,7","30,6","28,3",,,
08/01/2014 15.00,"1,8","15,2","23,3","28,3",,,
08/01/2014 16.00,"1,3","10,0","15,0","28,3",,,
08/01/2014 17.00,"1,8","10,1","14,3","28,3",,,
08/01/2014 18.00,"1,4","9,8","12,1","28,3",,,
08/01/2014 19.00,"2,5","11,9","13,7","28,3",,,
08/01/2014 20.00,"1,7","13,5","15,0","28,3",,,
08/01/2014 21.00,"1,5","18,7","21,5","28,3",,,
08/01/2014 22.00,"1,9","15,3","17,1","28,3",,,
08/01/2014 23.00,"1,5","12,7","14,5","28,3",,,
09/01/2014 0.00,"1,8","12,6","15,5","28,3",,,
09/01/2014 1.00,"1,6","10,1","13,7","49,7",,,
09/01/2014 2.00,"1,5","8,9","13,1","49,7",,,
09/01/2014 3.00,"1,4","8,1","12,8","49,7",,,
09/01/2014 4.00,"1,4","7,6","12,5","49,7",,,
09/01/2014 5.00,"2,0","7,4","12,5","49,7",,,
09/01/2014 6.00,"1,4","7,2","12,2","49,7",,,
09/01/2014 7.00,"1,7","8,9","13,5","49,7",,,
09/01/2014 8.00,"1,3","9,3","13,4","49,7",,,
09/01/2014 9.00,"1,4","10,0","14,1","49,7",,,
09/01/2014 10.00,"1,6","10,5","15,3","49,7",,,
09/01/2014 11.00,"1,4","13,7","20,6","49,7",,,
09/01/2014 12.00,"1,5","14,6","20,9","49,7",,,
09/01/2014 13.00,"1,6","13,5","19,2","49,7",,,
09/01/2014 14.00,"1,5","10,3","15,8","49,7",,,
09/01/2014 15.00,"1,6","8,2","13,2","49,7",,,
09/01/2014 16.00,"1,3","9,1","12,8","49,7",,,
09/01/2014 17.00,"1,5","10,2","13,0","49,7",,,
09/01/2014 18.00,"1,5","16,2","18,6","49,7",,,
09/01/2014 19.00,"1,6","23,7","27,8","49,7",,,
09/01/2014 20.00,"2,3","31,3","45,4","49,7",,,
09/01/2014 21.00,"3,1","34,2","56,9","49,7",,,
09/01/2014 22.00,"3,2","25,2","46,3","49,7",,,
09/01/2014 23.00,"3,2","17,2","39,5","49,7",,,
10/01/2014 0.00,"3,7","19,8","54,7","49,7",,,
10/01/2014 1.00,,"18,5","70,5","64,1",,,
10/01/2014 2.00,"1,5",,,"64,1",,,
10/01/2014 3.00,"0,7","16,1","54,3","64,1",,,
10/01/2014 4.00,"0,5","13,8","26,2","64,1",,,
10/01/2014 5.00,"0,4","13,4","21,7","64,1",,,
10/01/2014 6.00,"0,3","13,2","23,5","64,1",,,
10/01/2014 7.00,"0,2","12,4","23,5","64,1",,,
10/01/2014 8.00,"0,2","12,2","26,0","64,1",,,
10/01/2014 9.00,"0,6","20,4","63,4","64,1",,,
10/01/2014 10.00,"0,9","26,0","86,3","64,1",,,
10/01/2014 11.00,"0,5","31,5","76,2","64,1",,,
10/01/2014 12.00,"0,3","23,4","33,0","64,1",,,
10/01/2014 13.00,"0,2","18,5","23,1","64,1",,,
10/01/2014 14.00,"0,1","17,4","21,6","64,1",,,
10/01/2014 15.00,"0,1","15,7","19,3","64,1",,,
10/01/2014 16.00,"0,1","16,9","20,7","64,1",,,
10/01/2014 17.00,"0,2","27,1","31,7","64,1",,,
10/01/2014 18.00,"0,2","23,8","27,2","64,1",,,
10/01/2014 19.00,"0,2","25,2","27,8","64,1",,,
10/01/2014 20.00,"0,3","31,2","41,7","64,1",,,
10/01/2014 21.00,"0,3","22,4","30,0","64,1",,,
10/01/2014 22.00,"0,2","23,0","43,3","64,1",,,
10/01/2014 23.00,"0,4","19,8","66,4","64,1",,,
11/01/2014 0.00,"0,5","19,1","55,4","64,1",,,
11/01/2014 1.00,"0,3","17,7","47,0","63,4",,,
11/01/2014 2.00,"0,3","15,2","43,3","63,4",,,
11/01/2014 3.00,"0,2","15,6","34,3","63,4",,,
11/01/2014 4.00,"0,3","14,5","32,5","63,4",,,
11/01/2014 5.00,"0,2","13,8","30,9","63,4",,,
11/01/2014 6.00,"0,2","14,9","28,1","63,4",,,
11/01/2014 7.00,"0,3","12,6","25,1","63,4",,,
11/01/2014 8.00,"0,4","12,5","43,3","63,4",,,
11/01/2014 9.00,"0,3","12,9","39,8","63,4",,,
11/01/2014 10.00,"0,2","16,8","40,4","63,4",,,
11/01/2014 11.00,"0,2","24,7","46,7","63,4",,,
11/01/2014 12.00,"0,2","22,0","33,3","63,4",,,
11/01/2014 13.00,"0,2","21,8","27,4","63,4",,,
11/01/2014 14.00,"0,1","18,4","22,6","63,4",,,
11/01/2014 15.00,"0,3","14,8","18,4","63,4",,,
11/01/2014 16.00,"0,1","11,2","14,4","63,4",,,
11/01/2014 17.00,,"12,8","15,3","63,4",,,
11/01/2014 18.00,"0,1","14,0","16,2","63,4",,,
11/01/2014 19.00,"0,1","19,0","28,6","63,4",,,
11/01/2014 20.00,"0,2","28,1","51,8","63,4",,,
11/01/2014 21.00,"0,2","25,6","48,2","63,4",,,
11/01/2014 22.00,"0,2","25,1","58,9","63,4",,,
11/01/2014 23.00,"0,4","26,8","81,9","63,4",,,
12/01/2014 0.00,"0,2","23,9","94,9","63,4",,,
12/01/2014 1.00,,"16,5","70,8","55,1",,,
12/01/2014 2.00,"1,0",,,"55,1",,,
12/01/2014 3.00,"1,3","20,1","78,8","55,1",,,
12/01/2014 4.00,"1,0","18,6","70,9","55,1",,,
12/01/2014 5.00,"1,3","16,4","69,8","55,1",,,
12/01/2014 6.00,"1,1","17,1","65,5","55,1",,,
12/01/2014 7.00,"1,2","15,7","67,5","55,1",,,
12/01/2014 8.00,"1,1","14,7","63,2","55,1",,,
12/01/2014 9.00,"0,7","15,3","52,2","55,1",,,
12/01/2014 10.00,"1,0","16,8","41,1","55,1",,,
12/01/2014 11.00,"0,8","25,2","39,3","55,1",,,
12/01/2014 12.00,"0,5","20,2","27,3","55,1",,,
