Stat,MOLFETTA VERDI,,,
12/03/2014 17.00,"2,0","16,8","30,9",
12/03/2014 18.00,"2,2","15,7","29,5",
12/03/2014 19.00,"1,8","17,3","31,3",
12/03/2014 20.00,"2,4","24,9","39,5",
12/03/2014 21.00,"2,0","42,6","58,4",
12/03/2014 22.00,"2,4","58,4","82,7",
12/03/2014 23.00,"3,2","67,7","115,9",
13/03/2014 0.00,"4,0","65,9","109,4",
13/03/2014 1.00,,"56,2","79,4",
13/03/2014 2.00,"2,1","45,0","60,7",
13/03/2014 3.00,"2,3","30,4","45,0",
13/03/2014 4.00,"2,6","17,3","31,4",
13/03/2014 5.00,"2,4","11,5","25,2",
13/03/2014 6.00,"2,2","7,8","21,3",
13/03/2014 7.00,"2,2","6,6","19,9",
13/03/2014 8.00,"2,4","8,3","21,6",
13/03/2014 9.00,"2,2","15,1","28,8",
13/03/2014 10.00,"1,8","29,7","44,2",
13/03/2014 11.00,"2,3","44,7","61,0",
13/03/2014 12.00,"1,8","43,2","58,2",
13/03/2014 13.00,"1,9","33,0","47,3",
13/03/2014 14.00,"1,8","26,3","40,4",
13/03/2014 15.00,"1,7","22,1","36,1",
13/03/2014 16.00,"1,9","18,3","32,5",
13/03/2014 17.00,"2,3","16,0","29,9",
13/03/2014 18.00,"2,2","16,4","30,4",
13/03/2014 19.00,"2,4","16,9","31,0",
13/03/2014 20.00,"2,0","18,7","32,8",
13/03/2014 21.00,"1,9","23,8","38,4",
13/03/2014 22.00,"2,1","42,3","57,7",
13/03/2014 23.00,"2,7","59,1","89,8",
14/03/2014 0.00,"2,8","63,0","99,9",
14/03/2014 1.00,"2,7","55,0","77,8",
14/03/2014 2.00,"2,4","42,4","59,1",
14/03/2014 3.00,"1,8","32,7","47,6",
14/03/2014 4.00,"1,8","27,8","42,6",
14/03/2014 5.00,"2,5","21,6","36,0",
14/03/2014 6.00,"2,0","17,6","32,0",
14/03/2014 7.00,"2,2","15,6","29,8",
14/03/2014 8.00,"2,3","16,5","30,7",
14/03/2014 9.00,"1,8","20,5","34,7",
14/03/2014 10.00,"2,1","32,6","48,3",
14/03/2014 11.00,"2,2","34,8","50,7",
14/03/2014 12.00,"2,2","29,3","44,4",
14/03/2014 13.00,"2,1","21,7","36,3",
14/03/2014 14.00,"2,6","17,9","32,1",
14/03/2014 15.00,"2,7","15,8","29,8",
14/03/2014 16.00,"1,7","14,8","29,0",
14/03/2014 17.00,"2,4","14,0","28,0",
14/03/2014 18.00,"2,4","12,6","26,5",
14/03/2014 19.00,"2,4","13,1","27,5",
14/03/2014 20.00,"2,5","17,0","31,2",
14/03/2014 21.00,"2,3","26,6","41,3",
14/03/2014 22.00,"2,6","38,2","53,5",
14/03/2014 23.00,"2,3","51,6","73,0",
15/03/2014 0.00,"2,8","53,7","89,7",
15/03/2014 1.00,,"53,2","99,0",
15/03/2014 2.00,"3,8","51,0","90,5",
15/03/2014 3.00,"3,0","45,4","69,1",
15/03/2014 4.00,"2,5","37,9","54,7",
15/03/2014 5.00,"2,6","27,7","42,7",
15/03/2014 6.00,"2,8","21,1","35,5",
15/03/2014 7.00,"2,7","17,3","31,5",
15/03/2014 8.00,"2,8","17,0","31,3",
15/03/2014 9.00,"2,8","18,4","32,9",
15/03/2014 10.00,"3,0","20,4","34,8",
15/03/2014 11.00,"2,7","29,9","44,9",
15/03/2014 12.00,"2,4","30,5","45,2",
15/03/2014 13.00,"2,8","23,7","38,2",
15/03/2014 14.00,"2,4","19,7","33,9",
15/03/2014 15.00,"2,7","17,0","31,2",
15/03/2014 16.00,"2,7","15,6","29,7",
15/03/2014 17.00,"2,6","13,5","27,4",
15/03/2014 18.00,"3,0","14,2","28,3",
15/03/2014 19.00,"3,3","15,0","29,7",
15/03/2014 20.00,"2,9","17,1","31,5",
15/03/2014 21.00,"2,1","27,1","42,0",
15/03/2014 22.00,"4,0","50,7","81,5",
15/03/2014 23.00,"5,9","54,7","117,4",
16/03/2014 0.00,"6,2","52,7","125,5",
16/03/2014 1.00,"5,9","49,1","110,0",
16/03/2014 2.00,"5,6","47,3","98,3",
16/03/2014 3.00,"4,8","46,4","92,6",
16/03/2014 4.00,"5,1","45,1","95,2",
16/03/2014 5.00,"4,9","45,1","90,6",
16/03/2014 6.00,"3,7","43,2","67,9",
16/03/2014 7.00,"3,6","36,7","52,4",
16/03/2014 8.00,"3,2","29,8","44,9",
16/03/2014 9.00,"4,3","28,9","43,9",
16/03/2014 10.00,"2,9","29,7","45,1",
16/03/2014 11.00,"3,1","33,8","49,3",
16/03/2014 12.00,"3,0","31,2","45,9",
16/03/2014 13.00,"2,8","25,6","40,6",
16/03/2014 14.00,"2,7","20,9","35,5",
16/03/2014 15.00,"2,8","17,9","31,9",
16/03/2014 16.00,"2,7","15,9","30,1",
16/03/2014 17.00,"2,9","12,8","26,9",
16/03/2014 18.00,"3,0","11,4","25,6",
16/03/2014 19.00,"2,9","12,8","27,4",
16/03/2014 20.00,"2,9","16,0","30,7",
16/03/2014 21.00,"3,1","25,6","40,9",
16/03/2014 22.00,"3,0","35,8","51,7",
16/03/2014 23.00,"2,9","50,9","70,3",
17/03/2014 0.00,"3,3","54,9","76,8",
17/03/2014 1.00,,"48,5","65,0",
17/03/2014 2.00,"2,8","37,8","52,9",
17/03/2014 3.00,"2,9","25,5","40,0",
17/03/2014 4.00,"2,8","19,2","33,2",
17/03/2014 5.00,"2,8","13,4","27,6",
17/03/2014 6.00,"2,8","10,5","24,5",
17/03/2014 7.00,"2,8","9,8","23,6",
17/03/2014 8.00,"2,8","14,9","28,9",
17/03/2014 9.00,"2,8","29,4","46,2",
17/03/2014 10.00,"4,2","49,3","90,3",
17/03/2014 11.00,"4,2","54,5","88,3",
17/03/2014 12.00,"3,4","53,3","74,9",
17/03/2014 13.00,"2,7","44,9","60,9",
17/03/2014 14.00,"2,7","36,9","51,7",
17/03/2014 15.00,"2,8","28,5","43,1",
17/03/2014 16.00,"2,8","22,8","37,2",
17/03/2014 17.00,"2,7","19,2","33,2",
17/03/2014 18.00,"2,9","17,6","32,0",
17/03/2014 19.00,"2,2","21,6","36,0",
17/03/2014 20.00,"2,8","49,8","69,8",
17/03/2014 21.00,"3,9","68,5","119,4",
17/03/2014 22.00,"7,1","81,1","208,6",
17/03/2014 23.00,"8,0","80,5","211,0",
18/03/2014 0.00,"6,6","74,8","177,6",
18/03/2014 1.00,"5,3","68,3","145,9",
18/03/2014 2.00,"4,5","62,4","109,8",
18/03/2014 3.00,"3,8","56,1","88,2",
18/03/2014 4.00,"3,3","50,2","75,2",
18/03/2014 5.00,"2,9","43,9","64,4",
18/03/2014 6.00,"3,1","40,8","62,3",
18/03/2014 7.00,"3,0","40,2","63,9",
18/03/2014 8.00,"2,8","38,5","56,1",
18/03/2014 9.00,"2,8","38,0","54,6",
18/03/2014 10.00,"3,3","43,6","70,9",
18/03/2014 11.00,"4,7","51,6","111,4",
18/03/2014 12.00,"4,4","56,8","106,9",
18/03/2014 13.00,"3,3","57,3","93,7",
18/03/2014 14.00,"3,4","57,1","87,4",
18/03/2014 15.00,"2,7","52,2","71,4",
18/03/2014 16.00,"2,8","39,3","54,2",
18/03/2014 17.00,"2,7","27,0","41,5",
18/03/2014 18.00,"2,9","22,3","37,1",
18/03/2014 19.00,"3,0","22,6","37,4",
18/03/2014 20.00,"3,3","22,4","37,4",
18/03/2014 21.00,"1,7","27,9","43,1",
18/03/2014 22.00,"3,4","43,6","60,3",
18/03/2014 23.00,"4,1","62,0","101,7",
19/03/2014 0.00,"4,8","66,5","124,4",
19/03/2014 1.00,,"59,0","97,7",
19/03/2014 2.00,"3,1","50,0","70,2",
19/03/2014 3.00,"2,8","36,5","51,6",
19/03/2014 4.00,"3,1","26,4","41,3",
19/03/2014 5.00,"3,4","20,1","34,9",
19/03/2014 6.00,"3,0","17,2","31,8",
19/03/2014 7.00,"3,1","22,6","37,6",
19/03/2014 8.00,"2,9","22,4","36,9",
19/03/2014 9.00,"3,5","28,2","44,0",
19/03/2014 10.00,"2,9","40,2","62,5",
19/03/2014 11.00,"4,1","48,7","83,9",
19/03/2014 12.00,"3,9","52,0","77,3",
19/03/2014 13.00,"2,9","39,9","55,2",
19/03/2014 14.00,"2,5","31,0","45,9",
19/03/2014 15.00,"3,0","28,3","42,6",
19/03/2014 16.00,"2,9","24,0","38,2",
19/03/2014 17.00,"2,8","16,3","30,1",
19/03/2014 18.00,"2,8","13,9","28,2",
19/03/2014 19.00,"2,9","14,0","28,3",
19/03/2014 20.00,"2,1","19,5","34,3",
19/03/2014 21.00,"2,4","28,0","43,4",
19/03/2014 22.00,"2,5","36,4","52,2",
19/03/2014 23.00,"2,4","33,6","48,8",
20/03/2014 0.00,"2,7","29,1","44,1",
20/03/2014 1.00,"2,6","24,6","39,7",
20/03/2014 2.00,"2,7","25,0","40,1",
20/03/2014 3.00,"2,7","21,8","36,6",
20/03/2014 4.00,"2,7","18,9","33,6",
20/03/2014 5.00,"2,5","14,2","28,9",
20/03/2014 6.00,"2,7","11,6","25,7",
20/03/2014 7.00,"2,6","10,9","24,9",
20/03/2014 8.00,"2,5","11,9","26,0",
20/03/2014 9.00,"2,6","18,2","32,7",
20/03/2014 10.00,"2,6","30,0","45,6",
20/03/2014 11.00,"2,7","36,3","51,8",
20/03/2014 12.00,"2,6","30,2","45,1",
20/03/2014 13.00,"1,2","25,5","40,2",
20/03/2014 14.00,"1,6","21,1","35,2",
20/03/2014 15.00,"2,3","16,2","30,0",
20/03/2014 16.00,"2,4","13,4","27,2",
20/03/2014 17.00,"2,3","11,5","25,1",
20/03/2014 18.00,"2,3","11,2","25,5",
20/03/2014 19.00,"2,4","11,7","26,2",
20/03/2014 20.00,"2,1","16,1","31,0",
20/03/2014 21.00,"2,4","27,2","42,9",
20/03/2014 22.00,"2,9","41,8","60,3",
20/03/2014 23.00,"2,9","50,1","81,1",
21/03/2014 0.00,"3,8","52,7","91,3",
21/03/2014 1.00,,"51,3","85,9",
21/03/2014 2.00,"2,8","47,4","74,5",
21/03/2014 3.00,"2,8","41,0","60,4",
21/03/2014 4.00,"2,8","38,1","58,3",
21/03/2014 5.00,"2,8","28,4","43,4",
21/03/2014 6.00,"2,7","16,8","30,8",
21/03/2014 7.00,"2,6","12,1","25,8",
21/03/2014 8.00,"2,7","11,9","25,8",
21/03/2014 9.00,"2,7","18,1","32,9",
21/03/2014 10.00,"2,7","29,9","46,4",
21/03/2014 11.00,"2,7","37,9","58,0",
21/03/2014 12.00,"2,2","41,3","57,8",
21/03/2014 13.00,"2,8","36,7","51,9",
21/03/2014 14.00,"2,4","32,2","47,2",
21/03/2014 15.00,"2,7","21,6","36,0",
21/03/2014 16.00,"2,8","15,6","29,7",
21/03/2014 17.00,"2,5","12,0","26,2",
21/03/2014 18.00,"2,7","12,6","26,7",
21/03/2014 19.00,"2,4","15,0","29,4",
21/03/2014 20.00,"2,9","19,2","34,3",
21/03/2014 21.00,"2,9","33,3","49,5",
21/03/2014 22.00,"2,9","36,5","52,4",
21/03/2014 23.00,"3,0","35,0","50,7",
22/03/2014 0.00,"2,8","31,5","46,8",
22/03/2014 1.00,"2,8","29,7","44,6",
22/03/2014 2.00,"2,8","31,0","46,1",
22/03/2014 3.00,"2,7","33,3","48,6",
22/03/2014 4.00,"2,9","33,2","48,3",
22/03/2014 5.00,"2,8","27,2","42,1",
22/03/2014 6.00,"2,8","22,2","36,6",
22/03/2014 7.00,"2,8","16,1","30,0",
22/03/2014 8.00,"2,8","14,2","28,0",
22/03/2014 9.00,"2,9","15,6","29,6",
22/03/2014 10.00,"2,8","24,0","39,0",
22/03/2014 11.00,"2,9","32,3","48,1",
22/03/2014 12.00,"2,2","30,4","45,1",
22/03/2014 13.00,"2,7","25,3","39,6",
22/03/2014 14.00,"2,1","22,3","36,7",
22/03/2014 15.00,"3,0","21,9","36,0",
22/03/2014 16.00,"3,2","21,1","35,1",
22/03/2014 17.00,"4,0","19,3","33,0",
22/03/2014 18.00,"4,0","19,4","33,9",
22/03/2014 19.00,"3,2","21,6","36,2",
22/03/2014 20.00,"3,2","27,1","42,1",
22/03/2014 21.00,"2,3","28,6","43,3",
22/03/2014 22.00,"1,3","31,6","46,9",
22/03/2014 23.00,"2,6","34,9","51,2",
23/03/2014 0.00,"3,1","32,8","48,3",
23/03/2014 1.00,,"27,0","41,6",
23/03/2014 2.00,"2,9","22,6","37,1",
23/03/2014 3.00,"3,1","19,2","33,7",
23/03/2014 4.00,"3,5","18,4","33,1",
23/03/2014 5.00,"3,7","18,8","33,3",
23/03/2014 6.00,"3,0","15,0","29,2",
23/03/2014 7.00,"3,3","11,8","26,0",
23/03/2014 8.00,"4,0","9,9","24,0",
23/03/2014 9.00,"4,4","10,2","24,2",
23/03/2014 10.00,"4,0","13,0","27,1",
23/03/2014 11.00,"3,6","14,4","28,3",
23/03/2014 12.00,"3,3","14,3","28,4",
23/03/2014 13.00,"3,2","15,7","30,0",
23/03/2014 14.00,"3,8","16,3","30,8",
23/03/2014 15.00,"4,3","18,8","33,4",
23/03/2014 16.00,"3,6","21,4","36,1",
23/03/2014 17.00,"4,6","16,9","31,1",
23/03/2014 18.00,"4,6","15,0","29,1",
23/03/2014 19.00,"4,2","14,4","28,7",
23/03/2014 20.00,"4,3","15,0","29,3",
23/03/2014 21.00,"4,5","15,6","29,9",
23/03/2014 22.00,"4,1","18,1","32,4",
23/03/2014 23.00,"3,7","19,6","33,7",
24/03/2014 0.00,"4,1","20,8","34,9",
24/03/2014 1.00,"4,1","18,2","32,3",
24/03/2014 2.00,"4,4","16,6","30,6",
24/03/2014 3.00,"4,4","13,8","27,7",
24/03/2014 4.00,"4,1","12,0","25,7",
24/03/2014 5.00,"4,0","10,7","24,8",
24/03/2014 6.00,"4,2","8,4","21,6",
24/03/2014 7.00,"3,9","5,7","19,3",
24/03/2014 8.00,"3,5","5,7","19,4",
24/03/2014 9.00,"4,0","7,1","20,8",
24/03/2014 10.00,"3,8","26,2","40,4",
24/03/2014 11.00,"4,3","33,4","48,4",
24/03/2014 12.00,"4,2","35,1","50,6",
24/03/2014 13.00,"4,3","30,6","45,5",
24/03/2014 14.00,"4,2","27,1","42,1",
24/03/2014 15.00,"3,8","22,7","37,3",
24/03/2014 16.00,"4,0","22,0","36,1",
24/03/2014 17.00,"4,0","18,1","32,0",
24/03/2014 18.00,"4,1","15,0","28,8",
24/03/2014 19.00,"3,8","16,1","30,4",
24/03/2014 20.00,"3,6","20,9","35,5",
24/03/2014 21.00,"3,7","26,0","40,6",
24/03/2014 22.00,"2,5","33,4","49,4",
24/03/2014 23.00,"4,4","38,9","55,3",
25/03/2014 0.00,"4,4","34,0","49,2",
25/03/2014 1.00,,"23,9","38,2",
25/03/2014 2.00,"4,4","14,9","28,7",
25/03/2014 3.00,"4,5","8,5","22,2",
25/03/2014 4.00,"4,4","5,3","18,9",
25/03/2014 5.00,"4,0","4,1","17,2",
25/03/2014 6.00,"4,2","3,8","17,2",
25/03/2014 7.00,"4,4","5,0","18,2",
25/03/2014 8.00,"4,3","6,9","20,4",
25/03/2014 9.00,"3,9","12,6","26,4",
25/03/2014 10.00,"3,7","23,4","38,1",
25/03/2014 11.00,"3,8","34,1","50,5",
25/03/2014 12.00,"3,5","30,7","45,2",
25/03/2014 13.00,"4,5","23,0","37,3",
25/03/2014 14.00,"1,4","18,5","32,7",
25/03/2014 15.00,"3,9","16,9","31,0",
25/03/2014 16.00,"3,6","14,4","28,4",
25/03/2014 17.00,"3,9","11,3","25,2",
25/03/2014 18.00,"4,3","11,6","25,4",
25/03/2014 19.00,"4,4","14,3","28,3",
25/03/2014 20.00,"3,3","20,4","34,3",
25/03/2014 21.00,"4,1","33,1","49,2",
25/03/2014 22.00,"3,5","46,0","63,8",
25/03/2014 23.00,"4,3","50,3","70,0",
26/03/2014 0.00,"4,4","48,1","64,6",
26/03/2014 1.00,"4,4","40,3","55,3",
26/03/2014 2.00,"4,3","32,7","47,5",
26/03/2014 3.00,"4,5","28,1","42,7",
26/03/2014 4.00,"4,3","26,7","41,5",
26/03/2014 5.00,"4,2","23,0","37,6",
26/03/2014 6.00,"4,1","19,5","33,9",
26/03/2014 7.00,"4,6","16,7","30,9",
26/03/2014 8.00,"4,2","16,9","31,5",
26/03/2014 9.00,"4,3","21,1","36,3",
26/03/2014 10.00,"4,7","31,5","49,6",
26/03/2014 11.00,"4,3","36,7","54,2",
26/03/2014 12.00,"2,5","34,9","51,4",
26/03/2014 13.00,"3,3","29,8","45,1",
26/03/2014 14.00,"4,2","24,5","39,0",
26/03/2014 15.00,"4,0","19,4","33,4",
26/03/2014 16.00,"4,6","17,1","31,1",
26/03/2014 17.00,"3,6","15,1","29,3",
26/03/2014 18.00,"3,4","13,7","28,0",
26/03/2014 19.00,"3,1","14,2","28,3",
26/03/2014 20.00,"2,0","14,7","29,1",
26/03/2014 21.00,"0,2","19,7","34,2",
26/03/2014 22.00,"1,5","25,3","40,2",
26/03/2014 23.00,"3,7","32,5","47,4",
27/03/2014 0.00,"3,9","32,9","48,0",
27/03/2014 1.00,,"31,4","46,4",
27/03/2014 2.00,"4,0","26,6","41,5",
27/03/2014 3.00,"4,1","25,1","40,2",
27/03/2014 4.00,"4,4","23,6","38,5",
27/03/2014 5.00,"4,1","20,4","35,2",
27/03/2014 6.00,"4,3","15,6","30,3",
27/03/2014 7.00,"4,3","12,8","27,3",
27/03/2014 8.00,"4,5","11,7","26,1",
27/03/2014 9.00,"4,0","12,0","26,1",
27/03/2014 10.00,"4,7","17,6","32,3",
27/03/2014 11.00,"4,4","30,2","45,6",
27/03/2014 12.00,,"10,6","22,3",
27/03/2014 13.00,,"9,7","49,6",
27/03/2014 14.00,,"27,7","39,2",
27/03/2014 15.00,"4,7","31,7","45,1",
27/03/2014 16.00,"4,8","31,1","43,9",
27/03/2014 17.00,"3,9","24,2","37,1",
27/03/2014 18.00,"3,7","21,8","35,0",
27/03/2014 19.00,"3,8","20,2","33,2",
27/03/2014 20.00,"4,4","20,0","32,8",
27/03/2014 21.00,"3,6","25,9","39,7",
27/03/2014 22.00,"4,5","43,2","66,6",
27/03/2014 23.00,"5,3","54,9","102,9",
28/03/2014 0.00,"5,4","57,8","117,9",
28/03/2014 1.00,"4,5","53,9","88,8",
28/03/2014 2.00,"3,8","46,9","64,0",
28/03/2014 3.00,"3,5","31,3","45,4",
28/03/2014 4.00,"3,4","21,1","34,9",
28/03/2014 5.00,"3,5","16,2","30,0",
28/03/2014 6.00,"3,5","12,8","26,1",
28/03/2014 7.00,"3,4","11,4","24,7",
28/03/2014 8.00,"3,7","13,5","26,5",
28/03/2014 9.00,"3,4","18,0","31,5",
28/03/2014 10.00,"3,5","28,0","43,2",
28/03/2014 11.00,"3,6","40,0","57,4",
28/03/2014 12.00,"3,4","37,1","52,5",
28/03/2014 13.00,"3,4","30,4","44,8",
28/03/2014 14.00,"3,3","22,1","35,6",
28/03/2014 15.00,"3,4","15,6","28,8",
28/03/2014 16.00,"3,4","13,0","25,8",
28/03/2014 17.00,"3,5","8,3","21,0",
28/03/2014 18.00,"3,4","7,1","19,6",
28/03/2014 19.00,"3,3","8,7","21,1",
28/03/2014 20.00,"3,3","12,5","25,3",
28/03/2014 21.00,"3,3","16,6","29,5",
28/03/2014 22.00,"2,7","21,6","34,7",
28/03/2014 23.00,"2,6","22,8","36,2",
29/03/2014 0.00,"2,9","32,6","46,8",
29/03/2014 1.00,,"29,1","43,1",
29/03/2014 2.00,"3,2","22,4","35,9",
29/03/2014 3.00,"2,2","16,7","30,3",
29/03/2014 4.00,"2,7","14,1","27,4",
29/03/2014 5.00,"2,0","11,2","24,4",
29/03/2014 6.00,"2,3","8,0","20,9",
29/03/2014 7.00,"2,4","6,4","19,1",
29/03/2014 8.00,"2,9","7,7","20,9",
29/03/2014 9.00,"2,2","11,3","24,5",
29/03/2014 10.00,"2,0","21,5","35,6",
29/03/2014 11.00,"2,8","30,9","45,5",
29/03/2014 12.00,"2,5","31,8","46,2",
29/03/2014 13.00,"1,8","28,3","41,9",
29/03/2014 14.00,"1,9","25,7","39,4",
29/03/2014 15.00,"2,4","22,9","36,4",
29/03/2014 16.00,"2,7","21,5","34,9",
29/03/2014 17.00,"2,9","16,0","29,2",
29/03/2014 18.00,"3,2","14,2","27,5",
29/03/2014 19.00,"2,6","14,2","27,6",
29/03/2014 20.00,"2,3","15,8","29,6",
29/03/2014 21.00,"2,3","19,5","33,6",
29/03/2014 22.00,"2,5","34,4","50,8",
29/03/2014 23.00,"3,4","50,3","80,1",
30/03/2014 0.00,"3,4","53,2","93,3",
30/03/2014 1.00,"3,4","51,5","86,5",
30/03/2014 2.00,"3,3","45,4","65,8",
30/03/2014 3.00,"3,0","37,1","53,0",
30/03/2014 4.00,"2,9","34,6","49,7",
30/03/2014 5.00,"2,3","33,8","49,0",
30/03/2014 6.00,"3,0","30,7","45,8",
30/03/2014 7.00,"3,2","26,8","41,6",
30/03/2014 8.00,"3,0","25,0","39,4",
30/03/2014 9.00,"2,7","27,7","42,7",
30/03/2014 10.00,"2,9","29,6","44,7",
30/03/2014 11.00,"3,0","26,6","40,9",
30/03/2014 12.00,"2,3","22,0","36,3",
30/03/2014 13.00,"2,0","18,4","32,1",
30/03/2014 14.00,"2,4","15,3","29,0",
30/03/2014 15.00,"2,9","13,7","27,3",
30/03/2014 16.00,"2,7","10,7","23,9",
30/03/2014 17.00,"3,2","8,6","22,0",
30/03/2014 18.00,"2,8","8,7","21,9",
30/03/2014 19.00,"3,3","11,2","24,9",
30/03/2014 20.00,"3,4","13,3","27,2",
30/03/2014 21.00,"3,1","15,8","29,9",
30/03/2014 22.00,"3,1","25,6","40,3",
30/03/2014 23.00,"3,4","39,0","55,7",
31/03/2014 0.00,"3,5","43,3","62,9",
31/03/2014 1.00,,"44,2","65,8",
31/03/2014 2.00,"3,5","42,3","64,6",
31/03/2014 3.00,"3,5","36,9","54,4",
31/03/2014 4.00,"3,3","28,2","43,2",
31/03/2014 5.00,"3,4","19,4","33,9",
31/03/2014 6.00,"3,3","16,4","30,8",
31/03/2014 7.00,"3,4","16,3","30,3",
31/03/2014 8.00,"3,5","23,5","38,9",
31/03/2014 9.00,"3,4","30,8","56,4",
31/03/2014 10.00,"3,7","43,0","87,6",
31/03/2014 11.00,"3,3","49,2","80,0",
31/03/2014 12.00,"3,3","45,5","63,0",
31/03/2014 13.00,"3,4","37,8","53,1",
31/03/2014 14.00,"2,9","30,5","45,3",
31/03/2014 15.00,"3,3","25,2","39,4",
31/03/2014 16.00,"3,3","19,1","32,6",
31/03/2014 17.00,"3,4","16,0","29,6",
31/03/2014 18.00,"3,1","14,5","28,4",
31/03/2014 19.00,"3,2","15,3","29,2",
31/03/2014 20.00,"3,1","18,6","33,2",
31/03/2014 21.00,"3,2","27,2","41,9",
31/03/2014 22.00,"3,3","46,8","65,2",
31/03/2014 23.00,"3,4","54,3","77,1",
01/04/2014 0.00,"3,3","51,5","70,3",
01/04/2014 1.00,"3,3","45,5","62,0",
01/04/2014 2.00,"3,3","38,4","53,3",
01/04/2014 3.00,"3,1","31,6","46,1",
01/04/2014 4.00,"3,4","27,9","42,4",
01/04/2014 5.00,"3,4","18,9","33,0",
01/04/2014 6.00,"2,9","12,3","26,1",
01/04/2014 7.00,"3,3","10,4","24,1",
01/04/2014 8.00,"3,2","13,5","27,0",
01/04/2014 9.00,"3,3","30,7","47,4",
01/04/2014 10.00,"3,3","46,4","66,4",
01/04/2014 11.00,"3,2","44,6","61,1",
01/04/2014 12.00,"3,4","34,3","49,0",
01/04/2014 13.00,"2,8","29,9","44,6",
01/04/2014 14.00,"3,3","26,2","40,7",
01/04/2014 15.00,"3,4","22,9","37,0",
01/04/2014 16.00,"3,5","17,7","31,5",
01/04/2014 17.00,"3,4","14,9","28,4",
01/04/2014 18.00,"3,4","13,9","27,6",
01/04/2014 19.00,"3,3","14,7","28,5",
01/04/2014 20.00,"3,1","17,4","31,9",
01/04/2014 21.00,"3,3","25,1","39,6",
01/04/2014 22.00,"3,4","47,4","70,0",
01/04/2014 23.00,"3,7","58,8","94,7",
02/04/2014 0.00,"3,4","55,2","77,8",
02/04/2014 1.00,,"43,4","59,0",
02/04/2014 2.00,"3,4","29,5","44,1",
02/04/2014 3.00,"3,3","22,3","36,4",
02/04/2014 4.00,"3,4","15,7","29,6",
02/04/2014 5.00,"3,4","10,5","24,4",
02/04/2014 6.00,"3,3","9,9","23,5",
02/04/2014 7.00,"3,3","10,4","23,9",
02/04/2014 8.00,"3,3","14,7","28,4",
02/04/2014 9.00,"3,1","27,4","41,9",
02/04/2014 10.00,"3,2","38,2","54,0",
02/04/2014 11.00,"3,3","41,2","56,3",
02/04/2014 12.00,,"31,3","46,0",
02/04/2014 13.00,,,,
02/04/2014 14.00,,,,
02/04/2014 15.00,,,,
02/04/2014 16.00,,,,
02/04/2014 17.00,,,,
02/04/2014 18.00,,,,
02/04/2014 19.00,,,,
02/04/2014 20.00,,,,
02/04/2014 21.00,,,,
02/04/2014 22.00,,,,
02/04/2014 23.00,,,,
03/04/2014 0.00,,,,
03/04/2014 1.00,,,,
03/04/2014 2.00,,,,
03/04/2014 3.00,,,,
03/04/2014 4.00,,,,
03/04/2014 5.00,,,,
03/04/2014 6.00,,,,
03/04/2014 7.00,,,,
03/04/2014 8.00,,,,
03/04/2014 9.00,,,,
03/04/2014 10.00,,,,
03/04/2014 11.00,,,,
03/04/2014 12.00,,,,
03/04/2014 13.00,,,,
03/04/2014 14.00,,,,
03/04/2014 15.00,,,,
03/04/2014 16.00,,,,
03/04/2014 17.00,,,,
03/04/2014 18.00,,,,
03/04/2014 19.00,,,,
03/04/2014 20.00,,,,
03/04/2014 21.00,,,,
03/04/2014 22.00,,,,
03/04/2014 23.00,,,,
04/04/2014 0.00,,,,
04/04/2014 1.00,,,,
04/04/2014 2.00,,,,
04/04/2014 3.00,,,,
04/04/2014 4.00,,,,
04/04/2014 5.00,,,,
04/04/2014 6.00,,,,
04/04/2014 7.00,,,,
04/04/2014 8.00,,,,
04/04/2014 9.00,,,,
04/04/2014 10.00,,,,
04/04/2014 11.00,,,,
04/04/2014 12.00,,,,
04/04/2014 13.00,,,,
04/04/2014 14.00,,,,
04/04/2014 15.00,,,,
04/04/2014 16.00,,,,
04/04/2014 17.00,,,,
04/04/2014 18.00,,,,
04/04/2014 19.00,,,,
04/04/2014 20.00,,,,
04/04/2014 21.00,,,,
04/04/2014 22.00,,,,
04/04/2014 23.00,,,,
05/04/2014 0.00,,,,
05/04/2014 1.00,,,,
05/04/2014 2.00,,,,
05/04/2014 3.00,,,,
05/04/2014 4.00,,,,
05/04/2014 5.00,,,,
05/04/2014 6.00,,,,
05/04/2014 7.00,,,,
05/04/2014 8.00,,,,
05/04/2014 9.00,,,,
05/04/2014 10.00,,,,
05/04/2014 11.00,,,,
05/04/2014 12.00,,,,
05/04/2014 13.00,,,,
05/04/2014 14.00,,,,
05/04/2014 15.00,,,,
05/04/2014 16.00,,,,
05/04/2014 17.00,,,,
05/04/2014 18.00,,,,
05/04/2014 19.00,,,,
05/04/2014 20.00,,,,
05/04/2014 21.00,,,,
05/04/2014 22.00,,,,
05/04/2014 23.00,,,,
06/04/2014 0.00,,,,
06/04/2014 1.00,,,,
06/04/2014 2.00,,,,
06/04/2014 3.00,,,,
06/04/2014 4.00,,,,
06/04/2014 5.00,,,,
06/04/2014 6.00,,,,
06/04/2014 7.00,,,,
06/04/2014 8.00,,,,
06/04/2014 9.00,,,,
06/04/2014 10.00,,,,
06/04/2014 11.00,,,,
06/04/2014 12.00,,,,
06/04/2014 13.00,,,,
06/04/2014 14.00,,,,
06/04/2014 15.00,,,,
06/04/2014 16.00,,,,
06/04/2014 17.00,,,,
