,TARANTO,,,
,TA V.Archimede,,,
Parm,SO2,NO2,CO,PM10



14/01/2010 4.00,,,,
14/01/2010 5.00,,,,
14/01/2010 6.00,,,,
14/01/2010 7.00,,,,
14/01/2010 8.00,,,,
14/01/2010 9.00,,,,
14/01/2010 10.00,,,,
14/01/2010 11.00,,,,
14/01/2010 12.00,,,,
14/01/2010 13.00,,,,
14/01/2010 14.00,,,,
14/01/2010 15.00,,,,
14/01/2010 16.00,,,,
14/01/2010 17.00,,,,
14/01/2010 18.00,,,,
14/01/2010 19.00,,,,
14/01/2010 20.00,,,,
14/01/2010 21.00,,,,
14/01/2010 22.00,,,,
14/01/2010 23.00,,,,
15/01/2010 0.00,,,,
15/01/2010 1.00,,,,
15/01/2010 2.00,,,,
15/01/2010 3.00,,,,
15/01/2010 4.00,,,,
15/01/2010 5.00,,,,
15/01/2010 6.00,,,,
15/01/2010 7.00,,,,
15/01/2010 8.00,,,,
15/01/2010 9.00,,,,
15/01/2010 10.00,,,,
15/01/2010 11.00,,,,
15/01/2010 12.00,,,,
15/01/2010 13.00,,,,
15/01/2010 14.00,,,,
15/01/2010 15.00,,,,
15/01/2010 16.00,,,,
15/01/2010 17.00,,,,
15/01/2010 18.00,,,,
15/01/2010 19.00,,,,
15/01/2010 20.00,,,,
15/01/2010 21.00,,,,
15/01/2010 22.00,,,,
15/01/2010 23.00,,,,
16/01/2010 0.00,,,,
16/01/2010 1.00,,,,
16/01/2010 2.00,,,,
16/01/2010 3.00,,,,
16/01/2010 4.00,,,,
16/01/2010 5.00,,,,
16/01/2010 6.00,,,,
16/01/2010 7.00,,,,
16/01/2010 8.00,,,,
16/01/2010 9.00,,,,
16/01/2010 10.00,,,,
16/01/2010 11.00,,,,
16/01/2010 12.00,,,,
16/01/2010 13.00,,,,
16/01/2010 14.00,,,,
16/01/2010 15.00,,,,
16/01/2010 16.00,,,,
16/01/2010 17.00,,,,
16/01/2010 18.00,,,,
16/01/2010 19.00,,,,
16/01/2010 20.00,,,,
16/01/2010 21.00,,,,
16/01/2010 22.00,,,,
16/01/2010 23.00,,,,
17/01/2010 0.00,,,,
17/01/2010 1.00,,,,
17/01/2010 2.00,,,,
17/01/2010 3.00,,,,
17/01/2010 4.00,,,,
17/01/2010 5.00,,,,
17/01/2010 6.00,,,,
17/01/2010 7.00,,,,
17/01/2010 8.00,,,,
17/01/2010 9.00,,,,
17/01/2010 10.00,,,,
17/01/2010 11.00,,,,
17/01/2010 12.00,,,,
17/01/2010 13.00,,,,
17/01/2010 14.00,,,,
17/01/2010 15.00,,,,
17/01/2010 16.00,,,,
17/01/2010 17.00,,,,
17/01/2010 18.00,,,,
17/01/2010 19.00,,,,
17/01/2010 20.00,,,,
17/01/2010 21.00,,,,
17/01/2010 22.00,,,,
17/01/2010 23.00,,,,
18/01/2010 0.00,,,,
18/01/2010 1.00,,,,
18/01/2010 2.00,,,,
18/01/2010 3.00,,,,
18/01/2010 4.00,,,,
18/01/2010 5.00,,,,
18/01/2010 6.00,,,,
18/01/2010 7.00,,,,
18/01/2010 8.00,,,,
