,Provincia di TARANTO,,,,,
,TA V. Machiavelli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,
,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,
08/01/2006 13.00,"4,295023","35,832943","0,490095","45,358781","14,26909","3,609841"
08/01/2006 14.00,"3,987365","33,394224","0,459644","53,019022","13,30045","2,527753"
08/01/2006 15.00,"2,403157","39,190532","0,326994","48,89304","13,51542","2,237908"
08/01/2006 16.00,"1,493332","31,534385","0,38944","45,278899","13,89647","1,862635"
08/01/2006 17.00,"1,196321","37,429311","0,456516","37,198892","15,62299","1,996371"
08/01/2006 18.00,"1,211426","61,468219","0,925443","12,734181","20,165421","2,190618"
08/01/2006 19.00,"1,09287","52,387288","0,769244","19,240619","18,78688","3,451698"
08/01/2006 20.00,"1,332474","59,067454","0,75819","11,982559","21,54863","3,265587"
08/01/2006 21.00,"2,040059","65,646357","1,291625","5,658847","23,98329","3,34593"
08/01/2006 22.00,"1,808213","60,549614","1,17345","0,434671","24,645081","5,228397"
08/01/2006 23.00,"1,693978","69,299867","1,223924","0,016249","26,97773","4,626333"
09/01/2006 0.00,"0,905738","49,189335","0,603348","13,166056","18,36031","5,308231"
09/01/2006 1.00,"0,945958","32,663538","0,406375","33,070197","12,84353",
09/01/2006 2.00,"0,868578","20,698451","0,261753","52,65206","8,33249","2,07468"
09/01/2006 3.00,"0,930114","33,12299","0,300881","40,130543","8,20182","1,478718"
09/01/2006 4.00,"1,009961","57,927919","0,366622","20,965753","11,53852","1,493973"
09/01/2006 5.00,"0,747041","37,23465","0,318359","31,675454","10,28578",
09/01/2006 6.00,"1,075923","49,432044","0,438662","18,747725","14,48238","1,537195"
09/01/2006 7.00,"1,587297","68,148666","1,144417","3,417788","14,16118","2,015694"
09/01/2006 8.00,"2,11214","74,471881","1,499359","0,289782","21,267071","3,992742"
09/01/2006 9.00,"1,902849","71,737261","1,013936","3,761732","22,32675","4,656843"
09/01/2006 10.00,"1,088422","46,121645","0,574267","34,240303","15,84733","4,094951"
09/01/2006 11.00,"0,833418","31,915963","0,443501","47,932949","10,94503","2,612673"
09/01/2006 12.00,"1,056109","26,406498","0,411506","58,914844","8,951273","2,207907"
09/01/2006 13.00,"0,991182","26,981455","0,380137","64,362433","9,312089","1,960267"
09/01/2006 14.00,"0,94796","25,343539","0,316273","68,374678","8,392345","1,773648"
09/01/2006 15.00,"1,008859","26,266329","0,290704","70,435652","8,734614","1,523974"
09/01/2006 16.00,"0,866186","30,339653","0,306175","67,163952","7,567415","1,440072"
09/01/2006 17.00,"1,063832","46,445635","0,427357","49,207175","8,820603","1,423291"
09/01/2006 18.00,"1,547838","77,682838","0,868397","15,015783","14,21261","1,785343"
09/01/2006 19.00,"1,120272","60,331572","0,659995","27,565713","17,66144","3,38661"
09/01/2006 20.00,"1,110046","56,553461","0,803658","32,131788","18,46316","2,829294"
09/01/2006 21.00,"1,336535","68,615886","0,870065","17,187783","17,4473","3,287961"
09/01/2006 22.00,"1,116905","61,129755","0,607603","28,945556","14,94183","3,548313"
09/01/2006 23.00,"1,194991","39,304733","0,380346","57,246566","10,63564","2,698101"
10/01/2006 0.00,"0,841006","20,655622","0,276939","75,01256","8,780981","1,711102"
10/01/2006 1.00,,"25,418816","0,321863","69,92379","10,42151","1,402443"
10/01/2006 2.00,"1,339896",,"0,247947","69,781629","8,930197","1,241248"
10/01/2006 3.00,"1,307799","15,04882",,"68,472189","10,92564","1,090732"
10/01/2006 4.00,"1,339271","12,85153","0,257419","72,400462","8,801214","1,215315"
10/01/2006 5.00,"1,424461","17,443393","0,307059","70,460028","8,095599","1,245316"
10/01/2006 6.00,"1,328166","27,993782","0,388611","59,89387","10,1079","1,024119"
10/01/2006 7.00,"1,58665","48,988172","0,500572","45,261285","11,04957","1,284471"
10/01/2006 8.00,"2,760155","90,775754","1,352961","0,767784","20,53616","1,712119"
10/01/2006 9.00,"2,377534","79,268591","0,872273","9,482498","20,3351","4,833293"
10/01/2006 10.00,"1,938962","59,264712","0,544747","33,702573","12,92615","3,812224"
10/01/2006 11.00,"2,123761","45,565694","0,650118","53,563376","13,34935","2,403171"
10/01/2006 12.00,"2,05963","36,635027","0,497944","63,424043","12,96998","1,960267"
10/01/2006 13.00,"1,926775","31,103499","0,344435","73,191266","8,866127","1,710085"
10/01/2006 14.00,"1,765553","24,405321","0,26812","84,070555","6,826207","1,515838"
10/01/2006 15.00,"1,49624","34,586989","0,312566","70,06057","9,518631","1,191415"
10/01/2006 16.00,"1,763595","47,442418","0,400291","57,957462","8,255774","1,298709"
10/01/2006 17.00,"1,88065","70,564004","0,676439","31,912418","16,18866","1,531602"
10/01/2006 18.00,"1,604786","48,652023","0,481007","52,249888","14,08362","2,422494"
10/01/2006 19.00,"1,631327","44,160084","0,410635","58,51808","11,44579","1,733985"
10/01/2006 20.00,"1,493943","47,838506","0,486088","51,811347","14,13951","1,572282"
10/01/2006 21.00,"1,988571","65,511387","0,543204","27,984144","16,00489","1,704492"
10/01/2006 22.00,"1,55613","42,335273","0,379601","51,30743","16,657391","1,936876"
10/01/2006 23.00,"1,822861","34,951685","0,361204","51,785411","17,261","1,523974"
11/01/2006 0.00,"1,635698","32,148289","0,351986","53,935761","14,57427","1,346508"
11/01/2006 1.00,"1,59427","25,638159","0,290374","65,753128","10,9543","1,275318"
11/01/2006 2.00,"1,641282","28,654416","0,314401","65,822169","8,494351","0,956641"
11/01/2006 3.00,"1,616974","17,002118","0,269641","75,647649","9,49081","0,900757"
11/01/2006 4.00,"1,711129","21,757507","0,27765","65,778859","14,34412","0,867857"
11/01/2006 5.00,"1,592431","18,848989","0,2769","58,718498","15,61456","0,996101"
11/01/2006 6.00,"1,610175","22,508981","0,262342","62,971758","10,62384","1,054629"
11/01/2006 7.00,"1,814679","39,564327","0,38957","53,759723","12,6842","0,974439"
11/01/2006 8.00,"2,129935","54,018721","0,422274","32,913113","15,60529","1,279386"
11/01/2006 9.00,"2,076516","46,910287","0,405588","40,576044","15,27398","1,387696"
11/01/2006 10.00,"2,13112","53,117807","0,502741","35,657912","20,58758","1,512787"
11/01/2006 11.00,"1,938766","55,193302","0,481633","41,674255","14,79345","1,742629"
11/01/2006 12.00,"2,477259","49,94601","0,872913","50,102252","14,27499","1,856533"
11/01/2006 13.00,"2,019781","49,887598","0,405588","52,229557","13,15966","1,34244"
11/01/2006 14.00,"2,07504","57,009033","0,471914","43,668856","12,38661","1,509736"
11/01/2006 15.00,"2,148957","50,670216","0,622503","49,689247","13,69583","1,840261"
11/01/2006 16.00,"2,030951","51,36846","0,384523","45,72169","13,2153","1,340406"
11/01/2006 17.00,"1,789052","45,93687","0,349941","50,433997","10,63985","1,407019"
11/01/2006 18.00,"1,587603","45,83823","0,408425","50,175368","14,30871","1,356169"
11/01/2006 19.00,"1,906734","60,158956","0,544622","40,288986","11,8732","1,554484"
11/01/2006 20.00,"2,107072","73,739893","0,729291","25,705157","11,5655","1,831108"
11/01/2006 21.00,"2,066233","63,394558","0,595222","42,332342","13,9892","2,504362"
11/01/2006 22.00,"1,617104","39,886191","0,370048","49,567372","16,074011","2,092477"
11/01/2006 23.00,"1,362496","34,455903","0,350734","51,88562","16,91704","1,549399"
12/01/2006 0.00,"1,497687","23,423989","0,269224","65,097727","11,18361","1,184805"
12/01/2006 1.00,,"14,863226","0,219835","75,203503","10,21665","0,998491"
12/01/2006 2.00,"1,234585",,"0,213952","84,471055","9,267408","0,867043"
12/01/2006 3.00,"1,294398","11,622436",,"81,769605","8,489293","0,820261"
12/01/2006 4.00,"1,280892","13,836612","0,245568","73,91573","10,63564","0,789802"
12/01/2006 5.00,"1,277908","18,74906","0,269566","66,394975","13,44798","0,911842"
12/01/2006 6.00,"1,390505","24,608931","0,323529","60,534366","14,72348","1,013237"
12/01/2006 7.00,"1,762338","65,019486","0,637459","17,06456","19,06086",
12/01/2006 8.00,"1,866107","48,738982","0,543473","36,387784","21,104361","2,14943"
12/01/2006 9.00,"2,049673","60,357538","0,714544","17,946088","25,2841","2,454529"
12/01/2006 10.00,"2,026354","43,456643","0,503032","46,173975","24,45118","2,897433"
12/01/2006 11.00,"2,235639","25,434379","0,409962","72,476299","15,00758","2,391475"
12/01/2006 12.00,"2,065201","26,923043","0,377201","74,194671","11,92547","1,960267"
12/01/2006 13.00,"2,021093","26,326021","0,37645","76,675431","11,69785","1,687711"
12/01/2006 14.00,"2,090088","23,614766","0,306752","80,642988","10,94672","1,746189"
12/01/2006 15.00,"1,951618","24,672524","0,293981","80,510279","10,62974","1,454818"
12/01/2006 16.00,"1,868738","25,728999","0,319857","81,011305","10,04552","1,409562"
12/01/2006 17.00,"1,911405","35,71744","0,394103","66,252776","11,14989","1,390747"
12/01/2006 18.00,"1,832091","46,535191","0,485251","55,191019","13,98162","1,608894"
12/01/2006 19.00,"2,084169","35,516261","0,405831","70,361178","13,23217","1,884501"
12/01/2006 20.00,"1,900808","39,934223","0,479535","62,560108","14,19828","1,693813"
12/01/2006 21.00,"1,987658","38,98547","0,490469","66,993497","15,61709","2,008066"
12/01/2006 22.00,"1,933762","20,662103","0,328787","87,165741","13,65874","1,999422"
12/01/2006 23.00,"2,125066","19,597846","0,299156","83,546188","14,80863","1,519906"
13/01/2006 0.00,"1,907889","23,200743","0,317979","74,682151","16,074011","1,391764"
13/01/2006 1.00,"1,997876","16,297374","0,301411","78,181194","15,89445","1,367865"
13/01/2006 2.00,"1,876806","15,863889","0,287762","73,386258","15,56904","1,292098"
13/01/2006 3.00,"1,657101","20,294809","0,28121","68,637394","14,78671","1,280911"
13/01/2006 4.00,"1,62058","19,468079","0,280459","72,056529","12,90844","1,30176"
13/01/2006 5.00,"1,889831","35,456547","0,381708","47,648601","13,47496","1,230061"
13/01/2006 6.00,"1,960647","51,115387","0,539591","32,37418","15,46872","1,610928"
13/01/2006 7.00,"1,955918","55,617708","0,544141","29,739067","14,94941","1,988743"
13/01/2006 8.00,"4,510141","105,733734","1,660174","0,048748","27,45657","1,976031"
13/01/2006 9.00,"3,521805","76,044906","1,131435","17,485692","27,41864","5,271112"
13/01/2006 10.00,"2,320466","44,553346","0,555284","47,479343","13,46147","6,467103"
13/01/2006 11.00,"2,352535","33,230692","0,434962","60,82414","9,176361","2,517075"
13/01/2006 12.00,"2,11806","29,927618","0,425196","67,594712","9,075198",
13/01/2006 13.00,"2,405597","31,843288","0,431998","66,882454","10,5741","1,821447"
13/01/2006 14.00,"2,050153","23,151432","0,340307","76,521055","9,672905","1,812294"
