,ARPA Puglia,
,Capitaneria di Porto,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,
,,,,
16/01/2008 5.00,"3,18592596","16,10336703"
16/01/2008 6.00,"3,34753108","30,00292812"
16/01/2008 7.00,"3,80339003","43,54678647"
16/01/2008 8.00,"4,78244114","57,68840781"
16/01/2008 9.00,"5,61355209","67,70386755"
16/01/2008 10.00,"4,4201622","76,98641445"
16/01/2008 11.00,"3,69915509","69,20285526"
16/01/2008 12.00,"3,69737911","38,51042778"
16/01/2008 13.00,"3,51979089","34,68505689"
16/01/2008 14.00,"3,28182292","25,10501103"
16/01/2008 15.00,"3,3422029","25,39995183"
16/01/2008 16.00,"3,42389393","34,32369798"
16/01/2008 17.00,"3,58017111","48,58333326"
16/01/2008 18.00,"5,21042824","68,64871266"
16/01/2008 19.00,"5,62420702","69,12112581"
16/01/2008 20.00,"4,21415901","58,99843026"
16/01/2008 21.00,"3,55708504","48,1415616"
16/01/2008 22.00,"4,04900312","51,36044166"
16/01/2008 23.00,"3,67784405","45,48575889"
17/01/2008 0.00,"3,48427391","35,42816475"
17/01/2008 1.00,"3,33154798","32,77873863"
17/01/2008 2.00,"3,3084619","18,94940091"
17/01/2008 3.00,"3,26051307","12,90363179"
17/01/2008 4.00,"3,32444501","24,12184995"
17/01/2008 5.00,"3,182374","17,62279556"
17/01/2008 6.00,"3,15395999","18,81534204"
17/01/2008 7.00,"3,02964902","20,99999187"
17/01/2008 8.00,"3,58017111","51,63879204"
17/01/2008 9.00,"4,47876501","70,59714651"
17/01/2008 10.00,"4,55335188","71,05169016"
17/01/2008 11.00,"4,45035124","62,5799295"
17/01/2008 12.00,"3,94067407","49,58820108"
17/01/2008 13.00,"3,32266903","36,64498365"
17/01/2008 14.00,"3,51268792","46,47401748"
17/01/2008 15.00,"3,22144389","30,16508913"
17/01/2008 16.00,"3,3422029","39,61871298"
17/01/2008 17.00,"3,38127303","44,91372798"
17/01/2008 18.00,"3,1912539","45,64536174"
17/01/2008 19.00,"3,79682803","57,30664005"
17/01/2008 20.00,"4,66168118","59,58833067"
17/01/2008 21.00,"4,508955","55,93403673"
17/01/2008 22.00,"3,98507094","49,46435604"
17/01/2008 23.00,"3,67962003","48,08281797"
18/01/2008 0.00,"3,95488095","46,07947773"
18/01/2008 1.00,,"36,96292908"
18/01/2008 2.00,"2,99413109",
18/01/2008 3.00,"3,35108304",
18/01/2008 4.00,"3,33687592",
18/01/2008 5.00,"3,21789193",
18/01/2008 6.00,"3,52689505",
18/01/2008 7.00,"3,82524204",
18/01/2008 8.00,"3,90693307",
18/01/2008 9.00,"4,0934",
18/01/2008 10.00,"4,46633387",
18/01/2008 11.00,"3,76663804",
18/01/2008 12.00,"3,60148096",
18/01/2008 13.00,"3,35641003",
18/01/2008 14.00,"3,38660002",
18/01/2008 15.00,"3,17527103",
18/01/2008 16.00,"3,20013309",
18/01/2008 17.00,"3,30135798",
18/01/2008 18.00,"3,42566991",
18/01/2008 19.00,"3,45230794",
18/01/2008 20.00,"3,57129192",
18/01/2008 21.00,"3,86075997",
18/01/2008 22.00,"3,93534708",
18/01/2008 23.00,"3,75598311",
19/01/2008 0.00,"3,43810105",
19/01/2008 1.00,"3,53044605",
19/01/2008 2.00,"3,57129192",
19/01/2008 3.00,"3,34753108",
19/01/2008 4.00,"3,36351395",
19/01/2008 5.00,"3,43454909",
19/01/2008 6.00,"3,46118689",
19/01/2008 7.00,"3,66363692",
19/01/2008 8.00,"4,50007582",
19/01/2008 9.00,"4,67411184",
19/01/2008 10.00,"4,34024715",
19/01/2008 11.00,"3,42389393",
19/01/2008 12.00,"3,26406503",
19/01/2008 13.00,"3,15751195",
19/01/2008 14.00,"3,21789193",
19/01/2008 15.00,"3,08647704",
19/01/2008 16.00,"3,1362009",
19/01/2008 17.00,"3,33687592",
19/01/2008 18.00,"3,50913596",
19/01/2008 19.00,"3,60148096",
19/01/2008 20.00,"4,14489985",
19/01/2008 21.00,"4,72206116",
19/01/2008 22.00,"5,86039877",
19/01/2008 23.00,"4,26565981",
20/01/2008 0.00,"3,9886229",
20/01/2008 1.00,,
20/01/2008 2.00,"3,53754997",
20/01/2008 3.00,"4,00105381",
20/01/2008 4.00,"3,86608696",
20/01/2008 5.00,"3,34930706",
20/01/2008 6.00,"3,29070306",
20/01/2008 7.00,"3,4896009",
20/01/2008 8.00,"3,37416911",
20/01/2008 9.00,"3,887398",
20/01/2008 10.00,"3,53399801",
20/01/2008 11.00,"3,33509994",
20/01/2008 12.00,"3,20190907",
20/01/2008 13.00,"3,30490994",
20/01/2008 14.00,"3,22677112",
20/01/2008 15.00,"3,11844301",
20/01/2008 16.00,"3,05095911",
20/01/2008 17.00,"3,16461492",
20/01/2008 18.00,"3,21966791",
20/01/2008 19.00,"3,413239",
20/01/2008 20.00,"3,64410305",
20/01/2008 21.00,"3,74710393",
20/01/2008 22.00,"4,30472898",
20/01/2008 23.00,"3,88562202",
21/01/2008 0.00,"4,04012299",
21/01/2008 1.00,"3,75243092",
21/01/2008 2.00,"3,66718888",
21/01/2008 3.00,"3,25163293",
21/01/2008 4.00,"3,37949705",
21/01/2008 5.00,"3,32622004",
21/01/2008 6.00,"3,26584101",
21/01/2008 7.00,"3,35285902",
21/01/2008 8.00,"3,36884093",
21/01/2008 9.00,"3,76308703",
21/01/2008 10.00,"3,58194709",
21/01/2008 11.00,"3,68494797",
21/01/2008 12.00,"3,80393195",
21/01/2008 13.00,"3,69027495",
21/01/2008 14.00,"3,45053196",
21/01/2008 15.00,"3,38660002",
21/01/2008 16.00,"3,46118689",
21/01/2008 17.00,"3,85010505",
21/01/2008 18.00,"3,66008496",
21/01/2008 19.00,"3,38127303",
21/01/2008 20.00,"3,4008069",
21/01/2008 21.00,"3,42211795",
21/01/2008 22.00,"3,57661891",
21/01/2008 23.00,"3,37239289",
22/01/2008 0.00,"3,39015198",
22/01/2008 1.00,,
22/01/2008 2.00,"3,26051307",
22/01/2008 3.00,"3,41501403",
22/01/2008 4.00,"3,354635",
22/01/2008 5.00,"3,56773996",
22/01/2008 6.00,"3,53577399",
22/01/2008 7.00,"3,57484293",
22/01/2008 8.00,"3,6103611",
22/01/2008 9.00,"4,22126293",
22/01/2008 10.00,"3,65475798",
22/01/2008 11.00,"3,66363692",
22/01/2008 12.00,"3,84300089",
22/01/2008 13.00,"3,7240169","16,15699434"
22/01/2008 14.00,"3,57661891","22,32662355"
22/01/2008 15.00,"4,21593618","24,78324717"
22/01/2008 16.00,"3,19302893","33,26650074"
22/01/2008 17.00,"3,12377","30,84179769"
22/01/2008 18.00,"3,05273509","27,76974849"
22/01/2008 19.00,"3,34930706","34,11302598"
22/01/2008 20.00,"3,57839489","43,87567932"
22/01/2008 21.00,"4,0383482","46,37953485"
22/01/2008 22.00,"3,87319112","48,27689955"
22/01/2008 23.00,"3,47894597","39,55231368"
23/01/2008 0.00,"3,2498579","28,84355496"
23/01/2008 1.00,"3,05095911","15,01167977"
23/01/2008 2.00,"2,89468193","16,22849115"
23/01/2008 3.00,"3,00656199","16,76859584"
23/01/2008 4.00,"3,04740691","13,28157547"
23/01/2008 5.00,"2,87337089","11,33312657"
23/01/2008 6.00,"3,11666703","12,78232986"
23/01/2008 7.00,"3,00123501","18,53317699"
23/01/2008 8.00,"3,05983901","33,48482841"
23/01/2008 9.00,"3,30135798","36,04105098"
23/01/2008 10.00,"3,44520402","34,79103243"
23/01/2008 11.00,"3,36706591","24,2993223"
23/01/2008 12.00,"3,35818601","22,17979269"
23/01/2008 13.00,"3,33687592","18,28801686"
23/01/2008 14.00,"3,42922091","18,53189415"
23/01/2008 15.00,"3,30313396","13,12452514"
23/01/2008 16.00,"3,34042692","15,65775625"
23/01/2008 17.00,"3,28004789","14,93890012"
23/01/2008 18.00,"3,41856599","15,78033349"
23/01/2008 19.00,"3,39015198","21,43412667"
23/01/2008 20.00,"3,46651506","22,45686399"
23/01/2008 21.00,"3,46473908","29,44748763"
23/01/2008 22.00,"3,48427391","26,5401576"
23/01/2008 23.00,"3,52156711","32,06117475"
24/01/2008 0.00,"3,41501403","15,41004548"
24/01/2008 1.00,,"19,79850312"
24/01/2008 2.00,"3,35108304",
24/01/2008 3.00,"3,3084619","10,91305789"
24/01/2008 4.00,"3,27294397","7,54733757"
24/01/2008 5.00,"3,41679001","8,54964911"
24/01/2008 6.00,"3,48249793","13,60205649"
24/01/2008 7.00,"3,89627695","40,29034284"
24/01/2008 8.00,"3,60858488","35,84569032"
24/01/2008 9.00,"3,58727503","32,1965127"
24/01/2008 10.00,"3,52689505","22,11976998"
24/01/2008 11.00,"3,75065494","14,92996349"
24/01/2008 12.00,"3,86253595","14,5915998"
24/01/2008 13.00,"3,83412194","13,56119741"
24/01/2008 14.00,"3,62456799","10,44190125"
24/01/2008 15.00,"3,60858488","7,81930195"
24/01/2008 16.00,"3,64055109","10,22483949"
24/01/2008 17.00,"3,53399801","18,33143786"
24/01/2008 18.00,"3,57839489","35,28005481"
24/01/2008 19.00,"3,64055109","39,91367259"
24/01/2008 20.00,"3,71336198","33,90619122"
24/01/2008 21.00,"4,15910721","49,25878155"
24/01/2008 22.00,"5,2565999","67,84941933"
24/01/2008 23.00,"4,53204203","58,23873198"
25/01/2008 0.00,"3,89805293","40,49973576"
25/01/2008 1.00,"3,70981002","26,92448352"
25/01/2008 2.00,"3,82524204","33,06348441"
25/01/2008 3.00,"3,63344693","28,07746128"
25/01/2008 4.00,"3,61924005","16,31787251"
25/01/2008 5.00,"3,56241202","12,09667526"
25/01/2008 6.00,"3,64587903","25,42421673"
25/01/2008 7.00,"3,94245005","35,95294494"
25/01/2008 8.00,"4,91030407","51,9120261"
25/01/2008 9.00,"5,77160501","64,27811511"
25/01/2008 10.00,"4,656353","63,37924164"
25/01/2008 11.00,"4,13069296","58,69327563"
25/01/2008 12.00,"3,75598311","34,09899372"
25/01/2008 13.00,"3,85898399","25,76001285"
25/01/2008 14.00,"3,79327607","22,53219804"
25/01/2008 15.00,"3,62989593","21,05999577"
25/01/2008 16.00,"3,4629631","22,58454627"
25/01/2008 17.00,"3,58017111","25,80470541"
25/01/2008 18.00,"3,35818601","34,71060087"
