Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
14/01/2014 3.00,"4,4","23,6","46,2","34,0"
14/01/2014 4.00,"4,0","20,6","32,8","34,0"
14/01/2014 5.00,"4,4","15,2","21,2","34,0"
14/01/2014 6.00,"4,1","15,4","21,6","34,0"
14/01/2014 7.00,"4,4","22,1","29,1","34,0"
14/01/2014 8.00,"4,4","33,7","42,4","34,0"
14/01/2014 9.00,"4,4","43,3","57,1","34,0"
14/01/2014 10.00,"4,5","37,5","53,5","34,0"
14/01/2014 11.00,"4,5","26,0","34,6","34,0"
14/01/2014 12.00,"4,5","21,2","28,1","34,0"
14/01/2014 13.00,"3,5","19,4","25,3","34,0"
14/01/2014 14.00,"3,1","16,0","20,6","34,0"
14/01/2014 15.00,"3,7","13,6","17,7","34,0"
14/01/2014 16.00,"3,7","15,4","20,2","34,0"
14/01/2014 17.00,"3,6","20,4","24,9","34,0"
14/01/2014 18.00,"3,4","34,0","39,1","34,0"
14/01/2014 19.00,"4,2","36,0","41,8","34,0"
14/01/2014 20.00,"3,7","34,9","42,0","34,0"
14/01/2014 21.00,"3,9","35,2","42,1","34,0"
14/01/2014 22.00,"3,7","33,1","39,0","34,0"
14/01/2014 23.00,"3,6","24,3","29,2","34,0"
15/01/2014 0.00,"3,8","18,2","22,6","34,0"
15/01/2014 1.00,"4,4","8,1","12,3","20,6"
15/01/2014 2.00,"3,4","6,3","10,9","20,6"
15/01/2014 3.00,"3,5","6,7","11,5","20,6"
15/01/2014 4.00,"3,3","5,8","11,1","20,6"
15/01/2014 5.00,"3,7","7,1","12,4","20,6"
15/01/2014 6.00,"3,7","8,1","13,7","20,6"
15/01/2014 7.00,"4,2","11,1","16,9","20,6"
15/01/2014 8.00,"4,1","31,1","37,3","20,6"
15/01/2014 9.00,"4,1","61,5","85,3","20,6"
15/01/2014 10.00,"3,9","45,6","57,1","20,6"
15/01/2014 11.00,"4,3","30,2","37,9","20,6"
15/01/2014 12.00,"3,8","23,5","30,8","20,6"
15/01/2014 13.00,"3,6","17,8","24,1","20,6"
15/01/2014 14.00,"3,1","14,8","20,2","20,6"
15/01/2014 15.00,"3,3","10,5","14,3","20,6"
15/01/2014 16.00,"3,0","17,7","23,4","20,6"
15/01/2014 17.00,"3,1","27,3","33,4","20,6"
15/01/2014 18.00,"3,2","36,2","42,4","20,6"
15/01/2014 19.00,"3,3","41,5","49,6","20,6"
15/01/2014 20.00,"4,0","46,7","54,5","20,6"
15/01/2014 21.00,"4,2","39,1","47,2","20,6"
15/01/2014 22.00,"3,2","33,0","41,3","20,6"
15/01/2014 23.00,"3,5","16,6","20,9","20,6"
16/01/2014 0.00,"3,7","12,5","16,7","20,6"
16/01/2014 1.00,,"10,9","15,2","43,8"
16/01/2014 2.00,"4,0",,,"43,8"
16/01/2014 3.00,"4,4","12,8","17,9","43,8"
16/01/2014 4.00,"4,4","11,6","16,8","43,8"
16/01/2014 5.00,"3,9","10,8","16,1","43,8"
16/01/2014 6.00,"4,2","11,3","16,5","43,8"
16/01/2014 7.00,"4,1","16,2","22,1","43,8"
16/01/2014 8.00,"4,1","31,2","38,7","43,8"
16/01/2014 9.00,"4,4","28,0","39,3","43,8"
16/01/2014 10.00,"3,8","17,3","26,3","43,8"
16/01/2014 11.00,"4,3","13,0","21,0","43,8"
16/01/2014 12.00,"4,5","13,9","21,8","43,8"
16/01/2014 13.00,"4,6","15,2","23,8","43,8"
16/01/2014 14.00,"3,9","13,3","17,8","43,8"
16/01/2014 15.00,"3,8","15,7","20,0","43,8"
16/01/2014 16.00,"4,1","13,0","17,0","43,8"
16/01/2014 17.00,"4,3","19,0","23,9","43,8"
16/01/2014 18.00,"4,4","45,7","55,2","43,8"
16/01/2014 19.00,"4,1","75,8","103,1","43,8"
16/01/2014 20.00,"5,5","91,3","193,5","43,8"
16/01/2014 21.00,"6,4","71,2","215,0","43,8"
16/01/2014 22.00,"6,5","80,2","208,0","43,8"
16/01/2014 23.00,"6,0","63,1","95,6","43,8"
17/01/2014 0.00,"5,9","48,1","58,5","43,8"
17/01/2014 1.00,"5,1","29,3","35,4","29,1"
17/01/2014 2.00,"4,7","24,0","29,9","29,1"
17/01/2014 3.00,"5,0","22,9","29,3","29,1"
17/01/2014 4.00,"4,5","17,7","24,0","29,1"
17/01/2014 5.00,"4,9","16,0","23,1","29,1"
17/01/2014 6.00,"4,9","12,7","19,5","29,1"
17/01/2014 7.00,"4,9","18,3","25,8","29,1"
17/01/2014 8.00,"4,7","25,1","33,2","29,1"
17/01/2014 9.00,"4,7","33,3","45,8","29,1"
17/01/2014 10.00,"4,5","29,1","41,1","29,1"
17/01/2014 11.00,"4,5","16,6","23,8","29,1"
17/01/2014 12.00,"3,7","11,0","16,6","29,1"
17/01/2014 13.00,"3,8","11,5","16,6","29,1"
17/01/2014 14.00,"3,5","11,9","16,5","29,1"
17/01/2014 15.00,"4,1","10,2","14,3","29,1"
17/01/2014 16.00,"3,5","11,3","15,2","29,1"
17/01/2014 17.00,"4,1","14,5","18,3","29,1"
17/01/2014 18.00,"3,7","16,7","20,8","29,1"
17/01/2014 19.00,"4,2","16,4","20,1","29,1"
17/01/2014 20.00,"3,7","17,0","21,0","29,1"
17/01/2014 21.00,"3,7","16,8","20,4","29,1"
17/01/2014 22.00,"3,9","15,7","19,4","29,1"
17/01/2014 23.00,"4,9","11,4","15,3","29,1"
18/01/2014 0.00,"4,1","7,6","11,3","29,1"
18/01/2014 1.00,,"6,1","10,3","23,4"
18/01/2014 2.00,"4,1",,,"23,4"
18/01/2014 3.00,"4,5","5,3","10,1","23,4"
18/01/2014 4.00,"4,2","5,9","11,0","23,4"
18/01/2014 5.00,"4,2","6,0","11,4","23,4"
18/01/2014 6.00,"4,2","6,0","11,4","23,4"
18/01/2014 7.00,"4,0","8,0","13,5","23,4"
18/01/2014 8.00,"4,0","9,9","14,7","23,4"
18/01/2014 9.00,"4,0","15,1","20,1","23,4"
18/01/2014 10.00,"4,1","12,9","17,6","23,4"
18/01/2014 11.00,"3,8","12,7","17,1","23,4"
18/01/2014 12.00,"3,9","12,6","16,3","23,4"
18/01/2014 13.00,"4,1","12,8","17,0","23,4"
18/01/2014 14.00,"3,9","12,5","16,8","23,4"
18/01/2014 15.00,"3,6","10,4","14,4","23,4"
18/01/2014 16.00,"4,6","9,8","13,2","23,4"
18/01/2014 17.00,"5,0","10,1","13,2","23,4"
18/01/2014 18.00,"4,4","12,5","16,2","23,4"
18/01/2014 19.00,"4,3","14,5","18,2","23,4"
18/01/2014 20.00,"3,7","15,7","19,4","23,4"
18/01/2014 21.00,"4,0","14,2","18,0","23,4"
18/01/2014 22.00,"4,1","11,7","15,7","23,4"
18/01/2014 23.00,"3,5","9,6","13,5","23,4"
