Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
15/11/2014 5.00,"3,3","7,6","17,1","154,9"
15/11/2014 6.00,"3,0","9,7","19,9","154,9"
15/11/2014 7.00,"3,6","16,0","28,0","154,9"
15/11/2014 8.00,"3,4","27,1","48,5","154,9"
15/11/2014 9.00,"4,3","35,8","84,0","154,9"
15/11/2014 10.00,"4,0","46,6","99,6","154,9"
15/11/2014 11.00,"3,6","21,6","34,8","154,9"
15/11/2014 12.00,"2,6","12,0","21,2","154,9"
15/11/2014 13.00,"3,2","10,8","18,0","154,9"
15/11/2014 14.00,"2,5","10,3","16,9","154,9"
15/11/2014 15.00,"2,8","9,2","15,9","154,9"
15/11/2014 16.00,"3,1","8,0","14,6","154,9"
15/11/2014 17.00,"2,2","12,0","18,8","154,9"
15/11/2014 18.00,"3,3","23,1","30,6","154,9"
15/11/2014 19.00,"3,1","28,9","37,1","154,9"
15/11/2014 20.00,"2,6","24,8","33,2","154,9"
15/11/2014 21.00,"1,6","21,3","29,4","154,9"
15/11/2014 22.00,"2,1","16,1","24,2","154,9"
15/11/2014 23.00,"2,2","12,6","20,3","154,9"
16/11/2014 0.00,"2,9","10,5","17,9","154,9"
16/11/2014 1.00,,"8,8","16,4","42,6"
16/11/2014 2.00,"2,3",,,"42,6"
16/11/2014 3.00,"2,2","6,0","14,5","42,6"
16/11/2014 4.00,"3,2","3,9","12,3","42,6"
16/11/2014 5.00,"2,9","3,6","12,1","42,6"
16/11/2014 6.00,"2,6","4,9","13,6","42,6"
16/11/2014 7.00,"1,3","8,3","17,0","42,6"
16/11/2014 8.00,"1,9","13,1","22,1","42,6"
16/11/2014 9.00,"1,8","10,3","19,7","42,6"
16/11/2014 10.00,"1,9","11,1","20,9","42,6"
16/11/2014 11.00,"2,4","8,9","18,4","42,6"
16/11/2014 12.00,"2,1","7,5","16,4","42,6"
16/11/2014 13.00,"1,8","9,9","19,8","42,6"
16/11/2014 14.00,"2,5","10,3","20,7","42,6"
16/11/2014 15.00,"1,5","7,1","16,7","42,6"
16/11/2014 16.00,"1,0","5,8","14,6","42,6"
16/11/2014 17.00,"1,4","12,7","21,6","42,6"
16/11/2014 18.00,"2,0","24,4","33,8","42,6"
16/11/2014 19.00,"2,2","25,9","34,8","42,6"
16/11/2014 20.00,"1,8","21,3","29,7","42,6"
16/11/2014 21.00,"1,8","24,2","32,7","42,6"
16/11/2014 22.00,"2,1","21,8","29,6","42,6"
16/11/2014 23.00,"2,4","25,0","33,1","42,6"
17/11/2014 0.00,"1,8","20,6","28,9","42,6"
17/11/2014 1.00,"2,1","10,7","19,2","25,3"
17/11/2014 2.00,"1,7","5,0","13,6","25,3"
17/11/2014 3.00,"1,6","4,9","13,3","25,3"
17/11/2014 4.00,"1,7","3,5","11,7","25,3"
17/11/2014 5.00,"2,0","3,8","12,2","25,3"
17/11/2014 6.00,"2,1","5,4","13,7","25,3"
17/11/2014 7.00,"2,4","32,7","47,2","25,3"
17/11/2014 8.00,"2,9","39,4","59,6","25,3"
17/11/2014 9.00,"3,2","49,2","87,5","25,3"
17/11/2014 10.00,"2,8","43,5","70,8","25,3"
17/11/2014 11.00,"2,7","25,8","38,0","25,3"
17/11/2014 12.00,"3,2","20,9","30,2","25,3"
17/11/2014 13.00,"1,8","19,1","28,0","25,3"
17/11/2014 14.00,"2,9","17,9","26,0","25,3"
17/11/2014 15.00,"2,9","12,5","19,8","25,3"
17/11/2014 16.00,"2,1","16,1","23,9","25,3"
17/11/2014 17.00,"2,1","15,8","23,1","25,3"
17/11/2014 18.00,"2,9","28,0","35,9","25,3"
17/11/2014 19.00,"2,6","38,8","47,4","25,3"
17/11/2014 20.00,"3,1","34,7","44,5","25,3"
17/11/2014 21.00,"3,2","30,2","38,9","25,3"
17/11/2014 22.00,"3,1","24,3","32,6","25,3"
17/11/2014 23.00,"3,3","12,9","20,2","25,3"
18/11/2014 0.00,"2,3","9,4","16,3","25,3"
18/11/2014 1.00,,"7,3","14,7","23,2"
18/11/2014 2.00,"2,8",,,"23,2"
18/11/2014 3.00,"2,8",,,"23,2"
18/11/2014 4.00,"2,7",,,"23,2"
18/11/2014 5.00,"2,6",,,"23,2"
18/11/2014 6.00,"3,1",,,"23,2"
18/11/2014 7.00,"2,6",,,"23,2"
18/11/2014 8.00,"2,9",,,"23,2"
18/11/2014 9.00,"3,0",,,"23,2"
18/11/2014 10.00,"2,7",,,"23,2"
18/11/2014 11.00,"2,2",,,"23,2"
18/11/2014 12.00,"2,2",,,"23,2"
18/11/2014 13.00,"1,8",,,"23,2"
18/11/2014 14.00,"2,0",,,"23,2"
18/11/2014 15.00,"2,0",,,"23,2"
18/11/2014 16.00,"1,8",,,"23,2"
18/11/2014 17.00,"2,7",,,"23,2"
18/11/2014 18.00,"2,2",,,"23,2"
18/11/2014 19.00,"2,2",,,"23,2"
18/11/2014 20.00,"2,7",,,"23,2"
18/11/2014 21.00,"2,0",,,"23,2"
18/11/2014 22.00,"2,4",,,"23,2"
18/11/2014 23.00,"1,6",,,"23,2"
19/11/2014 0.00,"1,5",,,"23,2"
19/11/2014 1.00,"1,3",,,"37,4"
19/11/2014 2.00,"2,0",,,"37,4"
19/11/2014 3.00,"3,0",,,"37,4"
19/11/2014 4.00,"2,9",,,"37,4"
19/11/2014 5.00,"2,5",,,"37,4"
19/11/2014 6.00,"2,2",,,"37,4"
19/11/2014 7.00,"2,7",,,"37,4"
19/11/2014 8.00,"4,1",,,"37,4"
19/11/2014 9.00,"3,5",,,"37,4"
19/11/2014 10.00,,,,"37,4"
19/11/2014 11.00,,,,"37,4"
19/11/2014 12.00,,,,"37,4"
19/11/2014 13.00,"2,5",,,"37,4"
19/11/2014 14.00,"2,9","26,1","28,7","37,4"
19/11/2014 15.00,"2,9","17,2","20,4","37,4"
19/11/2014 16.00,"2,9","8,2","9,9","37,4"
19/11/2014 17.00,"3,6","14,2","17,9","37,4"
19/11/2014 18.00,,,,"37,4"
19/11/2014 19.00,"3,1","48,6","55,3","37,4"
19/11/2014 20.00,"3,5","57,6","74,4","37,4"
19/11/2014 21.00,"3,9","52,4","71,1","37,4"
19/11/2014 22.00,"3,9","37,8","46,5","37,4"
19/11/2014 23.00,"3,7","17,3","19,1","37,4"
20/11/2014 0.00,"3,6","8,9","10,9","37,4"
20/11/2014 1.00,,"8,3","10,9","13,0"
20/11/2014 2.00,"3,4",,,"13,0"
20/11/2014 3.00,"3,6","5,4","8,6","13,0"
20/11/2014 4.00,"3,5","4,9","7,9","13,0"
20/11/2014 5.00,"3,8","5,4","8,5","13,0"
20/11/2014 6.00,"3,7","6,7","10,0","13,0"
20/11/2014 7.00,"4,1","11,0","14,9","13,0"
20/11/2014 8.00,"4,0","20,6","25,7","13,0"
20/11/2014 9.00,"3,9","22,6","30,5","13,0"
20/11/2014 10.00,"4,3","13,2","20,5","13,0"
20/11/2014 11.00,"3,9","8,2","12,1","13,0"
20/11/2014 12.00,"3,6","8,5","11,7","13,0"
20/11/2014 13.00,"3,7","8,0","10,2","13,0"
20/11/2014 14.00,"3,7","6,3","7,3","13,0"
20/11/2014 15.00,"3,3","5,9","7,4","13,0"
20/11/2014 16.00,"4,1","6,9","9,1","13,0"
20/11/2014 17.00,"3,8","8,9","11,8","13,0"
20/11/2014 18.00,"3,8","13,2","16,2","13,0"
20/11/2014 19.00,"4,1","13,5","16,7","13,0"
20/11/2014 20.00,"4,8","17,8","21,4","13,0"
20/11/2014 21.00,"4,6","18,6","21,6","13,0"
20/11/2014 22.00,"4,3","20,7","23,7","13,0"
20/11/2014 23.00,"4,7","13,0","14,9","13,0"
21/11/2014 0.00,"4,4","13,1","15,4","13,0"
21/11/2014 1.00,"4,6","14,1","17,2","23,2"
21/11/2014 2.00,"4,3","11,5","14,8","23,2"
21/11/2014 3.00,"4,7","9,6","13,4","23,2"
21/11/2014 4.00,"4,7","9,5","13,8","23,2"
21/11/2014 5.00,"5,1","9,0","13,9","23,2"
21/11/2014 6.00,"5,1","8,3","13,2","23,2"
21/11/2014 7.00,"5,5","14,7","20,2","23,2"
21/11/2014 8.00,"4,7","17,7","24,2","23,2"
21/11/2014 9.00,"4,5","21,1","31,5","23,2"
21/11/2014 10.00,"4,8","15,1","21,9","23,2"
21/11/2014 11.00,"3,9","12,4","17,4","23,2"
21/11/2014 12.00,"3,2","10,5","14,6","23,2"
21/11/2014 13.00,"4,0","11,2","14,0","23,2"
21/11/2014 14.00,"3,5","9,6","10,7","23,2"
21/11/2014 15.00,"4,1","8,5","9,6","23,2"
21/11/2014 16.00,"4,0","7,6","9,4","23,2"
21/11/2014 17.00,"3,4","9,9","12,8","23,2"
21/11/2014 18.00,"4,3","15,5","18,6","23,2"
21/11/2014 19.00,"4,2","22,9","26,5","23,2"
21/11/2014 20.00,"5,0","31,2","34,7","23,2"
21/11/2014 21.00,"4,3","47,8","60,1","23,2"
21/11/2014 22.00,"5,2","43,5","51,9","23,2"
21/11/2014 23.00,"5,2","28,1","32,3","23,2"
22/11/2014 0.00,"4,9","15,8","19,0","23,2"
22/11/2014 1.00,,"10,2","13,5","36,3"
22/11/2014 2.00,"5,0",,,"36,3"
22/11/2014 3.00,"4,9","8,5","12,9","36,3"
22/11/2014 4.00,"5,0","7,8","11,8","36,3"
22/11/2014 5.00,"5,0","7,2","11,4","36,3"
22/11/2014 6.00,"3,8","9,7","14,2","36,3"
22/11/2014 7.00,"3,9","15,6","21,4","36,3"
22/11/2014 8.00,"4,0","31,1","39,1","36,3"
22/11/2014 9.00,"4,6","16,4","24,1","36,3"
22/11/2014 10.00,"4,4","17,5","25,6","36,3"
22/11/2014 11.00,"4,8","10,0","13,9","36,3"
22/11/2014 12.00,"3,1","8,8","11,2","36,3"
22/11/2014 13.00,"3,8","12,3","17,0","36,3"
22/11/2014 14.00,"3,8","10,0","12,0","36,3"
22/11/2014 15.00,"3,7","7,1","7,7","36,3"
22/11/2014 16.00,"3,0","6,6","7,5","36,3"
22/11/2014 17.00,"3,3","8,6","10,0","36,3"
22/11/2014 18.00,"2,5","20,6","22,3","36,3"
22/11/2014 19.00,"3,0","25,1","27,3","36,3"
22/11/2014 20.00,"2,9","26,6","30,2","36,3"
22/11/2014 21.00,"3,8","27,3","31,9","36,3"
22/11/2014 22.00,"4,5","23,8","27,6","36,3"
22/11/2014 23.00,"4,5","19,9","23,3","36,3"
23/11/2014 0.00,"4,5","19,4","23,0","36,3"
23/11/2014 1.00,"4,1","16,7","20,6","30,3"
23/11/2014 2.00,"4,3","14,6","18,8","30,3"
23/11/2014 3.00,"4,0","15,4","20,3","30,3"
23/11/2014 4.00,"4,4","11,2","14,6","30,3"
23/11/2014 5.00,"4,5","10,6","14,0","30,3"
23/11/2014 6.00,"4,4","9,3","13,0","30,3"
23/11/2014 7.00,"4,3","13,5","17,3","30,3"
23/11/2014 8.00,"4,8","15,9","19,1","30,3"
23/11/2014 9.00,"3,9","13,5","16,8","30,3"
23/11/2014 10.00,"3,7","9,0","12,4","30,3"
23/11/2014 11.00,"3,7","7,4","10,0","30,3"
23/11/2014 12.00,"2,9","6,8","8,5","30,3"
23/11/2014 13.00,"3,1","7,2","8,2","30,3"
23/11/2014 14.00,"3,5","6,7","7,5","30,3"
23/11/2014 15.00,"3,2","6,0","6,5","30,3"
23/11/2014 16.00,"3,2","5,6","6,8","30,3"
23/11/2014 17.00,"3,0","6,9","8,3","30,3"
23/11/2014 18.00,"3,3","10,4","12,5","30,3"
23/11/2014 19.00,"4,0","14,8","16,7","30,3"
23/11/2014 20.00,"2,5","17,1","19,1","30,3"
23/11/2014 21.00,"3,1","18,7","21,2","30,3"
23/11/2014 22.00,"3,4","31,9","35,6","30,3"
23/11/2014 23.00,"3,5","19,6","21,9","30,3"
24/11/2014 0.00,"3,5","12,8","14,6","30,3"
24/11/2014 1.00,,"9,4","11,2","40,0"
24/11/2014 2.00,"3,0",,,"40,0"
24/11/2014 3.00,"3,7","6,8","9,2","40,0"
24/11/2014 4.00,"3,5","6,7","9,4","40,0"
24/11/2014 5.00,"4,0","6,4","9,2","40,0"
24/11/2014 6.00,"4,0","8,0","11,0","40,0"
24/11/2014 7.00,"3,2","14,8","18,9","40,0"
24/11/2014 8.00,"2,7","21,1","31,0","40,0"
24/11/2014 9.00,"4,2","40,7","109,9","40,0"
24/11/2014 10.00,"3,9","34,4","70,5","40,0"
24/11/2014 11.00,"3,2","7,8","10,9","40,0"
24/11/2014 12.00,"2,6","7,8","10,0","40,0"
24/11/2014 13.00,"2,6","10,4","12,8","40,0"
24/11/2014 14.00,"3,0","9,0","9,7","40,0"
24/11/2014 15.00,"2,8","10,1","10,9","40,0"
24/11/2014 16.00,"2,5","8,2","9,3","40,0"
24/11/2014 17.00,"2,6","12,5","15,0","40,0"
24/11/2014 18.00,"2,1","28,8","31,2","40,0"
24/11/2014 19.00,"3,0","33,3","37,0","40,0"
24/11/2014 20.00,"3,4","37,9","45,8","40,0"
24/11/2014 21.00,"3,7","40,1","48,2","40,0"
24/11/2014 22.00,"3,7","33,6","39,2","40,0"
24/11/2014 23.00,"3,5","22,4","24,8","40,0"
25/11/2014 0.00,"2,5","16,1","17,5","40,0"
25/11/2014 1.00,"2,3","9,9","11,3","79,9"
25/11/2014 2.00,"3,1","9,0","10,9","79,9"
25/11/2014 3.00,"3,6","8,2","10,4","79,9"
25/11/2014 4.00,"3,5","6,8","8,4","79,9"
25/11/2014 5.00,"3,3","5,7","7,2","79,9"
25/11/2014 6.00,"3,3","6,9","8,3","79,9"
25/11/2014 7.00,"2,9","9,5","11,8","79,9"
25/11/2014 8.00,"3,8","21,4","24,2","79,9"
25/11/2014 9.00,"3,9","39,1","54,7","79,9"
25/11/2014 10.00,"3,9","28,7","37,2","79,9"
25/11/2014 11.00,"4,0","15,3","18,9","79,9"
25/11/2014 12.00,"3,0","10,3","12,8","79,9"
25/11/2014 13.00,"1,7","8,9","11,3","79,9"
25/11/2014 14.00,"2,2","8,0","10,2","79,9"
25/11/2014 15.00,"1,6","9,8","11,8","79,9"
25/11/2014 16.00,"2,6","9,6","10,8","79,9"
25/11/2014 17.00,"3,1","18,1","20,5","79,9"
25/11/2014 18.00,"2,7","36,4","40,5","79,9"
25/11/2014 19.00,"2,9","67,9","116,0","79,9"
25/11/2014 20.00,"4,0","62,5","162,0","79,9"
25/11/2014 21.00,"4,2","55,7","153,0","79,9"
25/11/2014 22.00,"4,4","50,7","157,7","79,9"
25/11/2014 23.00,"4,3","49,3","82,4","79,9"
26/11/2014 0.00,"3,6","39,0","55,1","79,9"
26/11/2014 1.00,,"33,2","42,5","70,0"
26/11/2014 2.00,"3,4",,,"70,0"
26/11/2014 3.00,"4,0","11,8","15,3","70,0"
26/11/2014 4.00,"3,5","9,0","12,4","70,0"
26/11/2014 5.00,"3,6","13,6","17,5","70,0"
26/11/2014 6.00,"4,1","14,8","19,8","70,0"
26/11/2014 7.00,"4,6","21,4","40,3","70,0"
26/11/2014 8.00,"4,3","31,2","67,9","70,0"
26/11/2014 9.00,"4,7","48,2","149,6","70,0"
26/11/2014 10.00,"4,3","48,2","101,1","70,0"
26/11/2014 11.00,"3,7","26,3","49,6","70,0"
26/11/2014 12.00,"3,3","12,2","16,6","70,0"
26/11/2014 13.00,"3,3","15,2","18,0","70,0"
26/11/2014 14.00,"3,3","15,2","17,7","70,0"
26/11/2014 15.00,"3,2","15,4","16,7","70,0"
26/11/2014 16.00,"3,0","15,5","16,5","70,0"
26/11/2014 17.00,"2,9","17,5","19,6","70,0"
26/11/2014 18.00,"3,1","26,6","28,9","70,0"
26/11/2014 19.00,"2,9","32,4","36,1","70,0"
26/11/2014 20.00,"3,3","38,3","42,5","70,0"
26/11/2014 21.00,"3,8","63,4","81,6","70,0"
26/11/2014 22.00,"3,4","47,7","55,8","70,0"
26/11/2014 23.00,"3,2","28,0","31,0","70,0"
27/11/2014 0.00,"3,5","22,1","24,1","70,0"
27/11/2014 1.00,"2,5","18,2","20,3","61,4"
27/11/2014 2.00,"3,2","17,2","20,1","61,4"
27/11/2014 3.00,"3,8","14,6","17,4","61,4"
27/11/2014 4.00,"3,0","9,9","12,3","61,4"
27/11/2014 5.00,"3,0","8,7","10,9","61,4"
27/11/2014 6.00,"3,5","12,7","15,4","61,4"
27/11/2014 7.00,"3,3","22,0","30,4","61,4"
27/11/2014 8.00,"3,1","33,0","60,7","61,4"
27/11/2014 9.00,"3,8","45,2","97,6","61,4"
27/11/2014 10.00,"3,4","44,9","97,0","61,4"
27/11/2014 11.00,"3,1","23,6","32,9","61,4"
27/11/2014 12.00,"3,0","15,4","19,8","61,4"
27/11/2014 13.00,"2,6","8,6","11,0","61,4"
27/11/2014 14.00,"2,3","7,5","9,0","61,4"
27/11/2014 15.00,"2,6","12,8","14,7","61,4"
27/11/2014 16.00,"3,6","12,1","13,6","61,4"
27/11/2014 17.00,"3,0","14,0","16,1","61,4"
27/11/2014 18.00,"2,2","31,0","35,2","61,4"
27/11/2014 19.00,"3,1","42,9","50,2","61,4"
27/11/2014 20.00,"2,9","46,2","71,1","61,4"
27/11/2014 21.00,"3,6","36,1","53,9","61,4"
27/11/2014 22.00,"2,9","36,4","49,3","61,4"
27/11/2014 23.00,"3,0","32,8","38,5","61,4"
28/11/2014 0.00,"3,5","21,7","24,8","61,4"
28/11/2014 1.00,,"17,3","20,3","31,0"
28/11/2014 2.00,"2,6",,,"31,0"
28/11/2014 3.00,"3,1","9,0","11,8","31,0"
28/11/2014 4.00,"3,3","8,5","11,4","31,0"
28/11/2014 5.00,"3,4","9,4","12,9","31,0"
28/11/2014 6.00,"3,3","8,7","11,7","31,0"
28/11/2014 7.00,"2,7","14,6","18,7","31,0"
28/11/2014 8.00,"3,1","17,7","22,9","31,0"
28/11/2014 9.00,"2,9","19,3","26,5","31,0"
28/11/2014 10.00,"3,5","16,0","23,4","31,0"
28/11/2014 11.00,"3,0","15,6","21,4","31,0"
28/11/2014 12.00,"2,6","10,9","13,7","31,0"
28/11/2014 13.00,"2,7","11,2","14,1","31,0"
28/11/2014 14.00,"2,5","9,5","11,4","31,0"
28/11/2014 15.00,"1,9","10,2","12,2","31,0"
28/11/2014 16.00,"2,2","8,9","10,7","31,0"
28/11/2014 17.00,"2,2","13,0","15,6","31,0"
28/11/2014 18.00,"2,2","16,0","18,6","31,0"
28/11/2014 19.00,"2,4","15,7","18,5","31,0"
28/11/2014 20.00,"2,7","12,6","15,0","31,0"
28/11/2014 21.00,"2,2","14,1","16,4","31,0"
28/11/2014 22.00,"2,2","12,6","14,7","31,0"
28/11/2014 23.00,"2,3","6,9","8,6","31,0"
29/11/2014 0.00,"2,0","4,8","6,2","31,0"
29/11/2014 1.00,"2,3","3,7","5,1","39,7"
29/11/2014 2.00,"2,1","3,3","5,4","39,7"
29/11/2014 3.00,"2,3","2,8","5,2","39,7"
29/11/2014 4.00,"1,7","2,6","4,9","39,7"
29/11/2014 5.00,"1,7","2,6","4,9","39,7"
29/11/2014 6.00,"1,9","2,6","4,9","39,7"
29/11/2014 7.00,"1,9","4,1","6,5","39,7"
29/11/2014 8.00,"1,6","5,6","7,8","39,7"
29/11/2014 9.00,"1,4","8,1","10,6","39,7"
29/11/2014 10.00,"1,5","8,7","11,1","39,7"
29/11/2014 11.00,"1,9","7,8","10,6","39,7"
29/11/2014 12.00,"1,8","7,0","9,7","39,7"
29/11/2014 13.00,"1,6","8,3","11,1","39,7"
29/11/2014 14.00,"1,6","9,0","11,5","39,7"
29/11/2014 15.00,"1,7","7,3","9,4","39,7"
29/11/2014 16.00,"1,6","7,1","10,3","39,7"
29/11/2014 17.00,"1,4","7,9","10,4","39,7"
29/11/2014 18.00,"1,3","10,0","12,6","39,7"
29/11/2014 19.00,"2,1","12,3","14,9","39,7"
29/11/2014 20.00,"1,8","11,4","14,0","39,7"
29/11/2014 21.00,"1,5","11,7","14,0","39,7"
29/11/2014 22.00,"2,3","10,7","12,6","39,7"
29/11/2014 23.00,"1,8","8,1","10,8","39,7"
30/11/2014 0.00,"1,3","5,1","7,5","39,7"
30/11/2014 1.00,,"4,0","6,6","42,8"
30/11/2014 2.00,"1,0",,,"42,8"
30/11/2014 3.00,"1,4","3,7","6,4","42,8"
30/11/2014 4.00,"1,9","3,7","6,4","42,8"
30/11/2014 5.00,"1,6","2,7","5,7","42,8"
30/11/2014 6.00,"1,3","3,3","6,5","42,8"
30/11/2014 7.00,"1,3","5,7","9,2","42,8"
30/11/2014 8.00,"0,9","6,1","9,6","42,8"
30/11/2014 9.00,"1,5","7,5","11,5","42,8"
30/11/2014 10.00,"1,1","7,8","11,5","42,8"
30/11/2014 11.00,"1,3","7,6","10,7","42,8"
30/11/2014 12.00,"1,3","8,2","12,1","42,8"
30/11/2014 13.00,"0,8","12,9","17,0","42,8"
30/11/2014 14.00,"1,2","8,1","12,0","42,8"
30/11/2014 15.00,"0,8","5,2","9,0","42,8"
30/11/2014 16.00,"0,8","6,1","10,3","42,8"
30/11/2014 17.00,"1,1","7,7","11,4","42,8"
30/11/2014 18.00,"1,0","9,7","13,2","42,8"
30/11/2014 19.00,"1,2","16,8","20,5","42,8"
30/11/2014 20.00,"1,1","13,3","17,0","42,8"
30/11/2014 21.00,"1,3","13,0","16,5","42,8"
30/11/2014 22.00,"1,2","9,9","13,1","42,8"
30/11/2014 23.00,"1,2","7,5","10,4","42,8"
01/12/2014 0.00,"0,9","4,7","7,4","42,8"
01/12/2014 1.00,"1,0","3,8","6,2","35,9"
01/12/2014 2.00,"0,7","3,0","5,8","35,9"
01/12/2014 3.00,"0,7","2,9","6,1","35,9"
01/12/2014 4.00,"0,5","3,0","6,3","35,9"
01/12/2014 5.00,"0,5","2,5","5,6","35,9"
01/12/2014 6.00,"0,5","2,7","5,7","35,9"
01/12/2014 7.00,"0,8","5,0","7,9","35,9"
01/12/2014 8.00,"0,7","8,0","10,9","35,9"
01/12/2014 9.00,"0,8","13,6","19,7","35,9"
01/12/2014 10.00,"0,4","12,9","17,6","35,9"
01/12/2014 11.00,"0,7","9,8","14,2","35,9"
01/12/2014 12.00,"0,5","11,7","17,4","35,9"
01/12/2014 13.00,"0,5","8,8","12,9","35,9"
01/12/2014 14.00,"0,9","10,0","13,8","35,9"
01/12/2014 15.00,"0,7","8,7","12,0","35,9"
01/12/2014 16.00,"0,9","7,2","10,6","35,9"
01/12/2014 17.00,"0,8","7,5","10,7","35,9"
01/12/2014 18.00,"1,1","9,2","12,5","35,9"
01/12/2014 19.00,"0,9","9,7","12,5","35,9"
01/12/2014 20.00,"0,7","11,8","14,5","35,9"
01/12/2014 21.00,"0,7","10,7","13,2","35,9"
01/12/2014 22.00,"0,8","9,0","11,2","35,9"
01/12/2014 23.00,"1,4","6,3","8,2","35,9"
02/12/2014 0.00,"0,9","4,1","6,2","35,9"
02/12/2014 1.00,,"3,2","5,7","95,7"
02/12/2014 2.00,"1,1",,,"95,7"
02/12/2014 3.00,"0,6","2,7","5,6","95,7"
02/12/2014 4.00,"0,1","2,9","5,6","95,7"
02/12/2014 5.00,"0,4","3,6","7,3","95,7"
02/12/2014 6.00,"0,3","3,9","7,0","95,7"
02/12/2014 7.00,"1,0","7,9","11,1","95,7"
02/12/2014 8.00,"1,4","11,2","14,2","95,7"
02/12/2014 9.00,"1,3","12,1","16,1","95,7"
02/12/2014 10.00,"1,3","9,9","14,1","95,7"
02/12/2014 11.00,"1,4","9,1","12,5","95,7"
02/12/2014 12.00,"1,1","7,3","10,5","95,7"
02/12/2014 13.00,"0,5","6,6","9,2","95,7"
02/12/2014 14.00,"0,6","6,7","9,3","95,7"
02/12/2014 15.00,"0,5","5,8","8,1","95,7"
02/12/2014 16.00,"0,7","6,1","8,4","95,7"
02/12/2014 17.00,"1,1","13,7","16,8","95,7"
02/12/2014 18.00,"1,3","25,6","29,1","95,7"
02/12/2014 19.00,"1,6","34,7","39,1","95,7"
02/12/2014 20.00,"1,8","32,4","36,1","95,7"
02/12/2014 21.00,"1,8","27,5","32,1","95,7"
02/12/2014 22.00,"1,8","23,9","28,1","95,7"
02/12/2014 23.00,"1,2","17,8","20,5","95,7"
03/12/2014 0.00,"1,8","15,0","17,5","95,7"
03/12/2014 1.00,"1,9","16,7","20,0","53,3"
03/12/2014 2.00,"1,9","17,3","22,4","53,3"
03/12/2014 3.00,"2,1","9,6","13,4","53,3"
03/12/2014 4.00,"2,1","6,4","10,2","53,3"
03/12/2014 5.00,"2,1","5,6","9,6","53,3"
03/12/2014 6.00,"1,5","6,3","10,2","53,3"
03/12/2014 7.00,"1,6","11,4","16,1","53,3"
03/12/2014 8.00,"2,4","15,8","20,6","53,3"
03/12/2014 9.00,"1,5","19,1","25,5","53,3"
03/12/2014 10.00,"1,4","16,4","22,6","53,3"
03/12/2014 11.00,"1,5","12,4","16,6","53,3"
03/12/2014 12.00,"1,0","11,7","16,1","53,3"
03/12/2014 13.00,"1,2","11,0","14,6","53,3"
03/12/2014 14.00,"0,6","12,9","16,1","53,3"
03/12/2014 15.00,"1,1","9,3","11,8","53,3"
03/12/2014 16.00,"1,2","8,8","11,5","53,3"
03/12/2014 17.00,"1,3","15,1","18,1","53,3"
03/12/2014 18.00,"1,3","29,9","34,9","53,3"
03/12/2014 19.00,"1,8","31,0","35,6","53,3"
03/12/2014 20.00,"2,1","28,7","34,0","53,3"
03/12/2014 21.00,"1,5","28,5","33,8","53,3"
03/12/2014 22.00,"1,6","27,1","30,9","53,3"
03/12/2014 23.00,"0,5","23,2","26,1","53,3"
04/12/2014 0.00,"0,9","17,7","20,0","53,3"
04/12/2014 1.00,,"12,3","14,7","43,4"
04/12/2014 2.00,"2,0",,,"43,4"
04/12/2014 3.00,"2,2","6,6","10,4","43,4"
04/12/2014 4.00,"2,0","5,6","9,0","43,4"
04/12/2014 5.00,"2,1","6,0","9,4","43,4"
04/12/2014 6.00,"2,4","8,1","11,9","43,4"
04/12/2014 7.00,"2,6","20,2","30,6","43,4"
04/12/2014 8.00,"2,5","29,6","56,1","43,4"
04/12/2014 9.00,"2,3","41,8","92,2","43,4"
04/12/2014 10.00,"2,5","18,6","25,4","43,4"
04/12/2014 11.00,"2,2","11,4","15,7","43,4"
04/12/2014 12.00,"1,5","8,1","11,0","43,4"
04/12/2014 13.00,"1,5","7,6","9,8","43,4"
04/12/2014 14.00,"1,6","7,4","9,1","43,4"
04/12/2014 15.00,"1,2","6,9","8,5","43,4"
04/12/2014 16.00,"1,7","8,4","10,9","43,4"
04/12/2014 17.00,"1,8","14,4","17,2","43,4"
04/12/2014 18.00,"2,4","28,7","31,7","43,4"
04/12/2014 19.00,"2,6","34,9","38,8","43,4"
04/12/2014 20.00,"2,5","37,1","42,7","43,4"
04/12/2014 21.00,"2,5","31,2","36,3","43,4"
04/12/2014 22.00,"2,7","30,1","35,2","43,4"
04/12/2014 23.00,"2,8","18,7","21,7","43,4"
05/12/2014 0.00,"2,2","12,0","14,3","43,4"
05/12/2014 1.00,"2,2","9,8","12,3","34,5"
05/12/2014 2.00,"2,3","12,8","16,1","34,5"
05/12/2014 3.00,"2,8","9,5","13,0","34,5"
05/12/2014 4.00,"2,8","7,2","10,6","34,5"
05/12/2014 5.00,"2,4","5,5","8,9","34,5"
05/12/2014 6.00,"2,6","5,6","8,7","34,5"
05/12/2014 7.00,"2,7","11,0","14,4","34,5"
05/12/2014 8.00,"2,5","19,0","23,7","34,5"
05/12/2014 9.00,"2,5","33,8","68,6","34,5"
05/12/2014 10.00,"2,9","36,1","70,6","34,5"
05/12/2014 11.00,"2,5","22,9","32,3","34,5"
