,Comune Bari,,,,
,Rione Japigia,,,,
Parm,SO2,NO2,CO,PM10,BENZENE
,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
11/01/2009 8.00,,"20,34283872","0,42211795","6,03188181","1,53145148"
11/01/2009 9.00,,"21,20201504","0,43292216","6,03242397","2,02199533"
11/01/2009 10.00,,"22,25719048","0,51190799","6,03513813","1,93786096"
11/01/2009 11.00,,"22,11054008","0,54931381","6,02984715","2,59959336"
11/01/2009 12.00,,"22,70236144","0,55074327","6,02876091","3,18335035"
11/01/2009 13.00,,"23,3097656","0,5482723","6,03283215","2,11991006"
11/01/2009 14.00,,"21,16308672","0,48750241","6,03133917","2,66362673"
11/01/2009 15.00,,"16,75682536","0,42393185","6,02998304","1,84529565"
11/01/2009 16.00,,"17,08518268","0,44091289","6,03255987","1,71479726"
11/01/2009 17.00,,"20,21305216","0,46903949","6,03283215","2,04744677"
11/01/2009 18.00,,"24,37014168","0,52165089","6,03066111","1,92813335"
11/01/2009 19.00,,"31,15150856","0,60638017","6,03228903","2,1701641"
11/01/2009 20.00,,"37,76806104","0,60429715","6,03554487","2,71063756"
11/01/2009 21.00,,"41,52540872","0,67042838","6,03133917","2,03285689"
11/01/2009 22.00,,"41,20354264","0,62713814","6,03500223","2,09332364"
11/01/2009 23.00,,"40,34044672","0,66998451","6,02659082","1,98941167"
12/01/2009 0.00,,"36,92574856","0,61529242","6,02808285","2,12461165"
12/01/2009 1.00,,"29,72515656","0,53449851",,"2,37507027"
12/01/2009 2.00,,"22,95415272","0,46988761",,"1,79876993"
12/01/2009 3.00,,,"0,41129626",,"1,94969477"
12/01/2009 4.00,,"29,67064544","0,40243993",,"1,39414428"
12/01/2009 5.00,,"22,04304648","0,37444265",,"0,84280926"
12/01/2009 6.00,,"22,45317048",,"14,21230984","1,22976454"
12/01/2009 7.00,,"31,07623312","0,56782916","14,22751045","1,72111995"
12/01/2009 8.00,,"44,14192336","0,66234677","14,22058964","2,33373227"
12/01/2009 9.00,,"47,73831888","1,07759471","14,21488953","2,40619556"
12/01/2009 10.00,,"48,96090904","0,93584567","14,21570969","3,55020462"
12/01/2009 11.00,,"45,68767976","0,76344314","14,22262955","3,44159105"
12/01/2009 12.00,,"39,6460848","0,71961351","14,21868992","2,81406443"
12/01/2009 13.00,,"36,79856232","0,64497429","14,22764015","2,63768815"
12/01/2009 14.00,,"36,96987752","0,66260657","14,23320961","2,60607674"
12/01/2009 15.00,,"40,975116","0,61390724","14,22655964","2,21231264"
12/01/2009 16.00,,"40,35082888","0,63233637","14,22980976","1,95099144"
12/01/2009 17.00,,"40,94655072","0,7201133","14,08858967","2,75278611"
12/01/2009 18.00,,"49,02840264","0,85909547","14,05508041","2,98784532"
12/01/2009 19.00,,"53,34382488","1,05608415","14,04693985","3,11380484"
12/01/2009 20.00,,"52,9817112","1,10275638","14,04951","4,16784296"
12/01/2009 21.00,,"55,85261744","1,30823326","14,04992008","3,82254908"
12/01/2009 22.00,,"61,68394976","1,63010645","14,05263042","6,39198941"
12/01/2009 23.00,,"42,5727832","1,26267477","14,05235958","7,20091732"
13/01/2009 0.00,,"41,99004384","1,18142883","14,05140972","5,20210348"
13/01/2009 1.00,,"36,89330192","1,11746917",,
13/01/2009 2.00,,"40,87907624","0,94003384",,
13/01/2009 3.00,,,"0,84937587",,
13/01/2009 4.00,,"32,2313488","0,60390921",,
13/01/2009 5.00,,"22,52196424","0,55225194",,
