Stat,Italgreen,,,,
,,,,,,,,,
Parm,NO2,NOX,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,,Aver
,,,,,,,
,,,,,,
,,,,,,,
16/01/2014 21.00,"50,5","90,0","21,1","2,9","14,1"
16/01/2014 22.00,"39,3","62,9","21,1","2,9","14,1"
16/01/2014 23.00,"27,8","47,2","21,1","2,2","14,1"
17/01/2014 0.00,"17,6","33,8","21,1","1,3","14,1"
17/01/2014 1.00,"16,5","30,9","15,7","0,9","7,6"
17/01/2014 2.00,"13,7","27,2","15,7","0,7","7,6"
17/01/2014 3.00,"9,4","21,4","15,7","0,5","7,6"
17/01/2014 4.00,"10,0","22,0","15,7","0,6","7,6"
17/01/2014 5.00,"11,6","23,7","15,7","0,6","7,6"
17/01/2014 6.00,"14,9","28,3","15,7","0,6","7,6"
17/01/2014 7.00,"14,5","27,8","15,7","0,5","7,6"
17/01/2014 8.00,"22,1","38,6","15,7","0,5","7,6"
17/01/2014 9.00,"29,6","51,7","15,7","1,0","7,6"
17/01/2014 10.00,"17,5","33,8","15,7","0,8","7,6"
17/01/2014 11.00,"13,6","29,2","15,7","0,7","7,6"
17/01/2014 12.00,"10,8","23,6","15,7","0,4","7,6"
17/01/2014 13.00,"11,3","23,5","15,7","0,4","7,6"
17/01/2014 14.00,"12,2","23,9","15,7","0,5","7,6"
17/01/2014 15.00,"11,5","22,5","15,7","0,4","7,6"
17/01/2014 16.00,"14,0","26,2","15,7","0,7","7,6"
17/01/2014 17.00,"14,0","25,6","15,7","0,5","7,6"
17/01/2014 18.00,"14,3","25,8","15,7","0,5","7,6"
17/01/2014 19.00,"13,9","26,4","15,7","0,4","7,6"
17/01/2014 20.00,"12,3","23,9","15,7","0,5","7,6"
17/01/2014 21.00,"19,3","32,7","15,7","0,9","7,6"
17/01/2014 22.00,"16,7","31,1","15,7","0,7","7,6"
17/01/2014 23.00,"13,4","27,6","15,7","0,5","7,6"
18/01/2014 0.00,"11,3","25,1","15,7","0,8","7,6"
18/01/2014 1.00,"10,6","24,6","19,1","0,4","6,8"
18/01/2014 2.00,,,"19,1","0,3","6,8"
18/01/2014 3.00,"9,3","21,2","19,1","0,2","6,8"
18/01/2014 4.00,"8,1","20,3","19,1","0,2","6,8"
18/01/2014 5.00,"7,7","19,7","19,1","0,3","6,8"
18/01/2014 6.00,"9,7","22,9","19,1","0,3","6,8"
18/01/2014 7.00,"11,4","24,7","19,1","0,3","6,8"
18/01/2014 8.00,"14,4","28,5","19,1","0,3","6,8"
18/01/2014 9.00,"27,5","45,2","19,1","0,7","6,8"
18/01/2014 10.00,"14,1","29,0","19,1","0,6","6,8"
18/01/2014 11.00,"13,2","26,4","19,1","0,5","6,8"
