Stat,Italgreen,,,,
,,,,,,,,,
Parm,NO2,NOX,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,,Aver
,,,,,,,
,,,,,,
,,,,,,,
17/10/2014 17.00,"26,3","33,6","18,5",,"8,2"
17/10/2014 18.00,"51,1","63,6","18,5",,"8,2"
17/10/2014 19.00,"62,3","83,7","18,5",,"8,2"
17/10/2014 20.00,"25,7","35,5","18,5",,"8,2"
17/10/2014 21.00,"17,5","25,0","18,5",,"8,2"
17/10/2014 22.00,"13,7","21,2","18,5",,"8,2"
17/10/2014 23.00,"17,2","24,4","18,5",,"8,2"
18/10/2014 0.00,"17,6","25,2","18,5",,"8,2"
18/10/2014 1.00,"8,4","13,8","13,0",,"6,6"
18/10/2014 2.00,"7,2","12,5","13,0",,"6,6"
18/10/2014 3.00,"8,7","14,3","13,0",,"6,6"
18/10/2014 4.00,"5,1","10,5","13,0",,"6,6"
18/10/2014 5.00,"6,7","12,2","13,0",,"6,6"
18/10/2014 6.00,"11,0","17,4","13,0",,"6,6"
18/10/2014 7.00,"13,4","20,7","13,0",,"6,6"
18/10/2014 8.00,"12,1","19,0","13,0",,"6,6"
18/10/2014 9.00,"9,1","14,6","13,0",,"6,6"
18/10/2014 10.00,"5,8","10,3","13,0",,"6,6"
18/10/2014 11.00,"3,8","7,5","13,0",,"6,6"
18/10/2014 12.00,"3,1","6,5","13,0",,"6,6"
18/10/2014 13.00,"2,3","5,7","13,0",,"6,6"
18/10/2014 14.00,"2,4","5,7","13,0",,"6,6"
18/10/2014 15.00,"2,3","5,4","13,0",,"6,6"
18/10/2014 16.00,"2,5","5,7","13,0",,"6,6"
18/10/2014 17.00,"2,5","6,1","13,0",,"6,6"
18/10/2014 18.00,"10,9","15,7","13,0",,"6,6"
18/10/2014 19.00,"21,1","26,9","13,0",,"6,6"
18/10/2014 20.00,"12,0","17,0","13,0",,"6,6"
18/10/2014 21.00,"11,4","17,2","13,0",,"6,6"
18/10/2014 22.00,"12,4","18,8","13,0",,"6,6"
18/10/2014 23.00,"13,1","19,2","13,0",,"6,6"
19/10/2014 0.00,"12,2","18,0","13,0",,"6,6"
19/10/2014 1.00,"10,3","15,7","19,9",,"8,4"
19/10/2014 2.00,,,"19,9",,"8,4"
19/10/2014 3.00,"21,8","30,9","19,9",,"8,4"
19/10/2014 4.00,"9,5","15,8","19,9",,"8,4"
19/10/2014 5.00,"7,3","12,3","19,9",,"8,4"
19/10/2014 6.00,"3,4","7,0","19,9",,"8,4"
19/10/2014 7.00,"4,7","8,6","19,9",,"8,4"
19/10/2014 8.00,"5,5","9,3","19,9",,"8,4"
19/10/2014 9.00,"3,4","6,7","19,9",,"8,4"
19/10/2014 10.00,"3,1","6,5","19,9",,"8,4"
19/10/2014 11.00,"2,4","5,5","19,9",,"8,4"
19/10/2014 12.00,"3,4","6,8","19,9",,"8,4"
19/10/2014 13.00,"2,2","5,1","19,9",,"8,4"
19/10/2014 14.00,"1,7","4,3","19,9",,"8,4"
19/10/2014 15.00,"2,1","4,7","19,9",,"8,4"
19/10/2014 16.00,"2,5","5,3","19,9",,"8,4"
19/10/2014 17.00,"6,6","9,9","19,9",,"8,4"
19/10/2014 18.00,"20,5","24,5","19,9",,"8,4"
19/10/2014 19.00,"39,9","48,1","19,9",,"8,4"
19/10/2014 20.00,"29,6","36,6","19,9",,"8,4"
19/10/2014 21.00,"26,5","33,5","19,9",,"8,4"
19/10/2014 22.00,"19,4","25,4","19,9",,"8,4"
19/10/2014 23.00,"18,2","24,4","19,9",,"8,4"
20/10/2014 0.00,"14,9","21,1","19,9",,"8,4"
20/10/2014 1.00,"11,9","18,1","23,0",,"13,4"
20/10/2014 2.00,"10,1","16,0","23,0",,"13,4"
20/10/2014 3.00,"12,4","18,2","23,0",,"13,4"
20/10/2014 4.00,"16,4","22,1","23,0",,"13,4"
20/10/2014 5.00,"24,7","31,5","23,0",,"13,4"
20/10/2014 6.00,"39,4","50,3","23,0",,"13,4"
20/10/2014 7.00,"42,7","64,3","23,0",,"13,4"
20/10/2014 8.00,"48,5","92,9","23,0",,"13,4"
20/10/2014 9.00,"18,5","29,0","23,0",,"13,4"
20/10/2014 10.00,"14,2","22,1","23,0",,"13,4"
20/10/2014 11.00,"8,9","14,1","23,0",,"13,4"
20/10/2014 12.00,"6,0","10,0","23,0",,"13,4"
20/10/2014 13.00,"8,2","13,0","23,0",,"13,4"
20/10/2014 14.00,"5,4","9,1","23,0",,"13,4"
20/10/2014 15.00,"5,2","9,0","23,0",,"13,4"
20/10/2014 16.00,"4,8","8,7","23,0",,"13,4"
20/10/2014 17.00,"18,7","31,3","23,0",,"13,4"
20/10/2014 18.00,"25,9","33,0","23,0",,"13,4"
20/10/2014 19.00,"65,8","85,7","23,0",,"13,4"
20/10/2014 20.00,"52,9","74,3","23,0",,"13,4"
20/10/2014 21.00,"38,0","53,1","23,0",,"13,4"
20/10/2014 22.00,"21,5","32,4","23,0",,"13,4"
20/10/2014 23.00,"20,1","29,3","23,0",,"13,4"
21/10/2014 0.00,"20,2","28,6","23,0",,"13,4"
21/10/2014 1.00,"16,1","24,5","27,6",,"14,7"
21/10/2014 2.00,,,"27,6",,"14,7"
21/10/2014 3.00,"14,2","21,9","27,6",,"14,7"
21/10/2014 4.00,"27,2","36,8","27,6",,"14,7"
21/10/2014 5.00,"35,0","45,5","27,6",,"14,7"
21/10/2014 6.00,"63,7","119,6","27,6",,"14,7"
21/10/2014 7.00,"75,6","191,1","27,6",,"14,7"
21/10/2014 8.00,"68,4","140,9","27,6",,"14,7"
21/10/2014 9.00,"45,9","70,4","27,6",,"14,7"
21/10/2014 10.00,"18,0","26,3","27,6",,"14,7"
21/10/2014 11.00,"13,6","19,7","27,6",,"14,7"
21/10/2014 12.00,"9,2","13,3","27,6",,"14,7"
21/10/2014 13.00,"8,1","12,4","27,6",,"14,7"
21/10/2014 14.00,"6,3","10,1","27,6",,"14,7"
21/10/2014 15.00,"17,5","26,7","27,6",,"14,7"
21/10/2014 16.00,"12,1","16,5","27,6",,"14,7"
21/10/2014 17.00,"23,9","29,3","27,6",,"14,7"
21/10/2014 18.00,"48,2","58,7","27,6",,"14,7"
21/10/2014 19.00,"57,0","75,2","27,6",,"14,7"
21/10/2014 20.00,"38,3","50,2","27,6",,"14,7"
21/10/2014 21.00,"17,9","26,2","27,6",,"14,7"
21/10/2014 22.00,"21,8","29,9","27,6",,"14,7"
21/10/2014 23.00,"23,0","31,4","27,6",,"14,7"
22/10/2014 0.00,"13,3","21,2","27,6",,"14,7"
22/10/2014 1.00,"10,0","18,5","16,7",,"7,1"
22/10/2014 2.00,"8,2","16,3","16,7",,"7,1"
22/10/2014 3.00,"8,4","16,2","16,7",,"7,1"
22/10/2014 4.00,"8,7","16,3","16,7",,"7,1"
22/10/2014 5.00,"9,9","18,0","16,7",,"7,1"
22/10/2014 6.00,"10,1","17,4","16,7",,"7,1"
22/10/2014 7.00,"16,5","25,0","16,7",,"7,1"
22/10/2014 8.00,"22,1","33,8","16,7",,"7,1"
22/10/2014 9.00,"19,0","29,8","16,7",,"7,1"
22/10/2014 10.00,"12,3","19,5","16,7",,"7,1"
22/10/2014 11.00,"12,7","20,2","16,7",,"7,1"
22/10/2014 12.00,"10,7","17,1","16,7",,"7,1"
22/10/2014 13.00,"11,7","17,8","16,7",,"7,1"
22/10/2014 14.00,"4,1","7,5","16,7",,"7,1"
22/10/2014 15.00,"3,9","7,1","16,7",,"7,1"
22/10/2014 16.00,"3,1","6,0","16,7",,"7,1"
22/10/2014 17.00,"9,1","12,8","16,7",,"7,1"
22/10/2014 18.00,"11,4","15,4","16,7",,"7,1"
22/10/2014 19.00,"11,4","16,1","16,7",,"7,1"
22/10/2014 20.00,"6,5","10,1","16,7",,"7,1"
22/10/2014 21.00,"2,3","5,0","16,7",,"7,1"
22/10/2014 22.00,"2,3","5,1","16,7",,"7,1"
22/10/2014 23.00,"2,1","4,6","16,7",,"7,1"
23/10/2014 0.00,"1,4","4,0","16,7",,"7,1"
23/10/2014 1.00,"2,3","5,2","6,0",,"3,8"
23/10/2014 2.00,,,"6,0",,"3,8"
23/10/2014 3.00,"3,5","6,4","6,0",,"3,8"
23/10/2014 4.00,"3,7","6,7","6,0",,"3,8"
23/10/2014 5.00,"6,0","9,3","6,0",,"3,8"
23/10/2014 6.00,"8,2","11,9","6,0",,"3,8"
23/10/2014 7.00,"10,2","14,3","6,0",,"3,8"
23/10/2014 8.00,"12,2","17,2","6,0",,"3,8"
23/10/2014 9.00,"10,5","15,7","6,0",,"3,8"
23/10/2014 10.00,"8,9","14,6","6,0",,"3,8"
23/10/2014 11.00,"8,4","13,6","6,0",,"3,8"
23/10/2014 12.00,"7,8","12,6","6,0",,"3,8"
23/10/2014 13.00,"4,2","8,0","6,0",,"3,8"
23/10/2014 14.00,"7,1","11,6","6,0",,"3,8"
23/10/2014 15.00,"10,1","15,0","6,0",,"3,8"
23/10/2014 16.00,"12,7","18,0","6,0",,"3,8"
23/10/2014 17.00,"15,1","20,7","6,0",,"3,8"
23/10/2014 18.00,"13,8","19,8","6,0",,"3,8"
23/10/2014 19.00,"14,9","21,8","6,0",,"3,8"
23/10/2014 20.00,"13,3","20,2","6,0",,"3,8"
23/10/2014 21.00,"15,2","23,7","6,0",,"3,8"
23/10/2014 22.00,"16,9","25,8","6,0",,"3,8"
23/10/2014 23.00,"16,6","26,8","6,0",,"3,8"
24/10/2014 0.00,"16,2","26,6","6,0",,"3,8"
24/10/2014 1.00,"15,1","26,0","8,0",,"3,5"
24/10/2014 2.00,"13,1","24,0","8,0",,"3,5"
24/10/2014 3.00,"16,8","27,7","8,0",,"3,5"
24/10/2014 4.00,"13,3","23,6","8,0",,"3,5"
24/10/2014 5.00,"11,5","21,1","8,0",,"3,5"
24/10/2014 6.00,"14,1","24,1","8,0",,"3,5"
24/10/2014 7.00,"19,0","31,9","8,0",,"3,5"
24/10/2014 8.00,"18,4","32,4","8,0",,"3,5"
24/10/2014 9.00,"4,1","9,3","8,0",,"3,5"
24/10/2014 10.00,"2,8","6,6","8,0",,"3,5"
24/10/2014 11.00,"2,8","6,7","8,0",,"3,5"
24/10/2014 12.00,"3,3","7,4","8,0",,"3,5"
24/10/2014 13.00,"2,8","6,5","8,0","0,1","3,5"
24/10/2014 14.00,"2,9","6,7","8,0","0,1","3,5"
24/10/2014 15.00,"3,1","7,4","8,0",,"3,5"
24/10/2014 16.00,"3,8","8,8","8,0","0,2","3,5"
24/10/2014 17.00,"3,4","7,5","8,0","0,4","3,5"
24/10/2014 18.00,"3,3","6,9","8,0","0,4","3,5"
24/10/2014 19.00,"4,3","8,7","8,0","0,2","3,5"
24/10/2014 20.00,"5,0","10,1","8,0","0,3","3,5"
24/10/2014 21.00,"3,4","6,9","8,0","0,3","3,5"
24/10/2014 22.00,"3,9","7,7","8,0","0,4","3,5"
24/10/2014 23.00,"3,8","8,0","8,0","0,5","3,5"
25/10/2014 0.00,"3,8","7,8","8,0","0,3","3,5"
25/10/2014 1.00,"10,2","17,6","13,0","0,5","4,9"
25/10/2014 2.00,,,"13,0","0,9","4,9"
25/10/2014 3.00,"9,0","17,5","13,0","0,7","4,9"
25/10/2014 4.00,"7,9","15,1","13,0","0,1","4,9"
25/10/2014 5.00,"8,6","15,3","13,0","0,4","4,9"
25/10/2014 6.00,"11,5","20,3","13,0","0,2","4,9"
25/10/2014 7.00,"10,2","17,2","13,0","0,3","4,9"
25/10/2014 8.00,"3,8","8,8","13,0","0,1","4,9"
25/10/2014 9.00,"3,1","7,1","13,0","0,1","4,9"
25/10/2014 10.00,"2,9","6,5","13,0","0,2","4,9"
25/10/2014 11.00,"3,3","7,4","13,0","0,2","4,9"
25/10/2014 12.00,"3,4","7,3","13,0","0,1","4,9"
25/10/2014 13.00,"3,2","7,3","13,0","0,2","4,9"
25/10/2014 14.00,"2,7","6,2","13,0","0,1","4,9"
25/10/2014 15.00,"3,4","7,2","13,0","0,1","4,9"
25/10/2014 16.00,"2,7","6,0","13,0","0,1","4,9"
25/10/2014 17.00,"3,3","6,9","13,0","0,1","4,9"
25/10/2014 18.00,"2,8","6,3","13,0","0,2","4,9"
25/10/2014 19.00,"2,3","5,2","13,0",,"4,9"
25/10/2014 20.00,"2,3","5,4","13,0",,"4,9"
25/10/2014 21.00,"3,5","6,9","13,0",,"4,9"
25/10/2014 22.00,"5,1","9,2","13,0",,"4,9"
25/10/2014 23.00,"3,3","7,0","13,0",,"4,9"
26/10/2014 0.00,"4,0","8,2","13,0",,"4,9"
26/10/2014 1.00,"3,4","7,1","17,2",,"5,3"
26/10/2014 2.00,"3,4","7,1","17,2",,"5,3"
26/10/2014 3.00,"3,1","6,5","17,2",,"5,3"
26/10/2014 4.00,"3,7","7,5","17,2",,"5,3"
26/10/2014 5.00,"3,3","7,4","17,2",,"5,3"
26/10/2014 6.00,"7,3","12,4","17,2",,"5,3"
26/10/2014 7.00,"11,8","20,1","17,2",,"5,3"
26/10/2014 8.00,"12,0","22,5","17,2",,"5,3"
26/10/2014 9.00,"8,7","17,0","17,2",,"5,3"
26/10/2014 10.00,"5,8","11,4","17,2",,"5,3"
26/10/2014 11.00,"3,8","8,5","17,2",,"5,3"
26/10/2014 12.00,"3,5","7,3","17,2",,"5,3"
26/10/2014 13.00,"3,4","7,3","17,2",,"5,3"
26/10/2014 14.00,"2,8","6,2","17,2",,"5,3"
26/10/2014 15.00,"2,9","6,4","17,2",,"5,3"
26/10/2014 16.00,"4,3","8,3","17,2",,"5,3"
26/10/2014 17.00,"5,2","9,7","17,2",,"5,3"
26/10/2014 18.00,"8,8","14,8","17,2",,"5,3"
26/10/2014 19.00,"8,2","13,5","17,2",,"5,3"
26/10/2014 20.00,"40,1","51,9","17,2",,"5,3"
26/10/2014 21.00,"38,1","51,0","17,2",,"5,3"
26/10/2014 22.00,"25,9","36,8","17,2",,"5,3"
26/10/2014 23.00,"19,9","30,2","17,2",,"5,3"
27/10/2014 0.00,"17,2","27,2","17,2",,"5,3"
27/10/2014 1.00,"14,3","23,7","12,6",,"4,8"
27/10/2014 2.00,,,"12,6",,"4,8"
27/10/2014 3.00,"14,3","22,9","12,6",,"4,8"
27/10/2014 4.00,"15,1","24,2","12,6",,"4,8"
27/10/2014 5.00,"24,8","36,4","12,6",,"4,8"
27/10/2014 6.00,"25,1","37,2","12,6",,"4,8"
27/10/2014 7.00,"23,6","35,3","12,6",,"4,8"
27/10/2014 8.00,"30,8","48,9","12,6",,"4,8"
27/10/2014 9.00,"22,5","37,2","12,6",,"4,8"
27/10/2014 10.00,"10,8","19,3","12,6",,"4,8"
27/10/2014 11.00,"4,4","8,9","12,6",,"4,8"
27/10/2014 12.00,"4,6","9,0","12,6",,"4,8"
27/10/2014 13.00,"5,0","9,6","12,6",,"4,8"
27/10/2014 14.00,"6,1","11,6","12,6",,"4,8"
27/10/2014 15.00,"4,7","9,1","12,6",,"4,8"
27/10/2014 16.00,"5,0","9,6","12,6",,"4,8"
27/10/2014 17.00,"9,1","16,3","12,6",,"4,8"
27/10/2014 18.00,,"12,6","12,6",,"4,8"
27/10/2014 19.00,"8,4","15,2","12,6",,"4,8"
27/10/2014 20.00,"5,0","10,0","12,6",,"4,8"
27/10/2014 21.00,"5,1","10,0","12,6",,"4,8"
27/10/2014 22.00,"5,3","9,9","12,6",,"4,8"
27/10/2014 23.00,"3,6","7,4","12,6",,"4,8"
28/10/2014 0.00,"3,5","7,3","12,6",,"4,8"
28/10/2014 1.00,"15,2","21,6","16,1",,"9,3"
28/10/2014 2.00,"15,9","24,4","16,1",,"9,3"
28/10/2014 3.00,"19,0","28,5","16,1",,"9,3"
28/10/2014 4.00,"15,6","26,0","16,1",,"9,3"
28/10/2014 5.00,"14,8","25,6","16,1",,"9,3"
28/10/2014 6.00,"22,8","34,5","16,1",,"9,3"
28/10/2014 7.00,"30,4","45,9","16,1",,"9,3"
28/10/2014 8.00,"27,3","45,7","16,1",,"9,3"
28/10/2014 9.00,"35,5","64,5","16,1",,"9,3"
28/10/2014 10.00,"25,3","43,6","16,1",,"9,3"
28/10/2014 11.00,"8,9","17,1","16,1",,"9,3"
28/10/2014 12.00,"5,1","10,6","16,1",,"9,3"
28/10/2014 13.00,"5,0","9,9","16,1",,"9,3"
28/10/2014 14.00,"5,9","11,5","16,1",,"9,3"
28/10/2014 15.00,"5,1","9,5","16,1",,"9,3"
28/10/2014 16.00,"5,9","10,7","16,1",,"9,3"
28/10/2014 17.00,"6,5","11,1","16,1",,"9,3"
28/10/2014 18.00,"10,0","15,7","16,1",,"9,3"
28/10/2014 19.00,"10,0","17,1","16,1",,"9,3"
28/10/2014 20.00,"26,6","43,3","16,1",,"9,3"
28/10/2014 21.00,"53,7","83,3","16,1",,"9,3"
28/10/2014 22.00,"43,8","64,0","16,1",,"9,3"
28/10/2014 23.00,"37,9","53,8","16,1",,"9,3"
29/10/2014 0.00,"25,2","38,1","16,1",,"9,3"
29/10/2014 1.00,"20,3","32,8","14,2",,"11,6"
29/10/2014 2.00,,,"14,2",,"11,6"
29/10/2014 3.00,"17,4","26,2","14,2",,"11,6"
29/10/2014 4.00,"12,7","21,1","14,2",,"11,6"
29/10/2014 5.00,"16,5","26,2","14,2",,"11,6"
29/10/2014 6.00,"18,4","28,9","14,2",,"11,6"
29/10/2014 7.00,"16,9","27,0","14,2",,"11,6"
29/10/2014 8.00,"20,9","33,7","14,2",,"11,6"
29/10/2014 9.00,"17,5","30,2","14,2",,"11,6"
29/10/2014 10.00,"11,1","19,0","14,2",,"11,6"
29/10/2014 11.00,"6,1","11,5","14,2",,"11,6"
29/10/2014 12.00,"9,9","16,8","14,2",,"11,6"
29/10/2014 13.00,"6,1","11,3","14,2",,"11,6"
29/10/2014 14.00,"5,1","10,1","14,2",,"11,6"
29/10/2014 15.00,"4,6","9,1","14,2",,"11,6"
29/10/2014 16.00,"5,6","10,6","14,2",,"11,6"
29/10/2014 17.00,"6,8","12,8","14,2",,"11,6"
29/10/2014 18.00,"23,1","31,4","14,2",,"11,6"
29/10/2014 19.00,"34,2","44,8","14,2",,"11,6"
29/10/2014 20.00,"25,9","35,7","14,2",,"11,6"
29/10/2014 21.00,"36,4","48,4","14,2",,"11,6"
29/10/2014 22.00,"27,1","38,6","14,2",,"11,6"
29/10/2014 23.00,"25,4","35,9","14,2",,"11,6"
30/10/2014 0.00,"18,5","28,5","14,2",,"11,6"
30/10/2014 1.00,"18,0","27,3","10,7",,"8,2"
30/10/2014 2.00,"15,1","23,7","10,7",,"8,2"
30/10/2014 3.00,"15,3","23,4","10,7",,"8,2"
30/10/2014 4.00,"15,9","23,9","10,7",,"8,2"
30/10/2014 5.00,"15,6","23,6","10,7",,"8,2"
30/10/2014 6.00,"13,0","20,1","10,7",,"8,2"
30/10/2014 7.00,"17,0","24,4","10,7",,"8,2"
30/10/2014 8.00,"30,9","44,4","10,7",,"8,2"
30/10/2014 9.00,"26,2","35,4","10,7",,"8,2"
30/10/2014 10.00,"26,1","37,8","10,7",,"8,2"
30/10/2014 11.00,"16,8","25,9","10,7",,"8,2"
30/10/2014 12.00,"14,5","22,1","10,7",,"8,2"
30/10/2014 13.00,"13,3","21,1","10,7",,"8,2"
30/10/2014 14.00,"16,5","23,5","10,7",,"8,2"
30/10/2014 15.00,"16,9","23,6","10,7",,"8,2"
30/10/2014 16.00,"21,1","28,8","10,7",,"8,2"
30/10/2014 17.00,"18,2","25,3","10,7",,"8,2"
30/10/2014 18.00,"5,8","10,4","10,7",,"8,2"
30/10/2014 19.00,"12,9","19,4","10,7",,"8,2"
30/10/2014 20.00,"10,3","15,6","10,7",,"8,2"
30/10/2014 21.00,"16,2","23,5","10,7",,"8,2"
30/10/2014 22.00,"11,9","18,2","10,7",,"8,2"
30/10/2014 23.00,"10,5","16,5","10,7",,"8,2"
31/10/2014 0.00,"16,1","22,4","10,7",,"8,2"
31/10/2014 1.00,"13,1","19,8","19,5",,"13,0"
31/10/2014 2.00,,,"19,5",,"13,0"
31/10/2014 3.00,"12,7","19,6","19,5",,"13,0"
31/10/2014 4.00,"9,9","16,1","19,5",,"13,0"
31/10/2014 5.00,"10,9","17,4","19,5",,"13,0"
31/10/2014 6.00,"11,8","18,8","19,5",,"13,0"
31/10/2014 7.00,"12,2","18,0","19,5",,"13,0"
31/10/2014 8.00,"31,7","45,3","19,5",,"13,0"
31/10/2014 9.00,"29,7","44,3","19,5",,"13,0"
31/10/2014 10.00,"28,1","41,2","19,5",,"13,0"
31/10/2014 11.00,"12,2","19,2","19,5",,"13,0"
31/10/2014 12.00,"7,1","12,6","19,5",,"13,0"
31/10/2014 13.00,"11,1","20,5","19,5",,"13,0"
31/10/2014 14.00,"5,6","10,5","19,5",,"13,0"
31/10/2014 15.00,"5,6","10,5","19,5",,"13,0"
31/10/2014 16.00,"5,0","9,4","19,5",,"13,0"
31/10/2014 17.00,"22,1","29,5","19,5",,"13,0"
31/10/2014 18.00,"23,9","31,1","19,5",,"13,0"
31/10/2014 19.00,"4,2","8,6","19,5",,"13,0"
31/10/2014 20.00,"4,6","8,6","19,5",,"13,0"
31/10/2014 21.00,"4,2","7,8","19,5",,"13,0"
31/10/2014 22.00,"4,6","8,3","19,5",,"13,0"
31/10/2014 23.00,"4,8","8,8","19,5",,"13,0"
01/11/2014 0.00,"11,2","16,3","19,5",,"13,0"
01/11/2014 1.00,"18,3","25,7","18,2",,"12,6"
01/11/2014 2.00,"13,5","21,4","18,2",,"12,6"
01/11/2014 3.00,"10,8","17,8","18,2",,"12,6"
01/11/2014 4.00,"10,2","16,7","18,2",,"12,6"
01/11/2014 5.00,"10,1","16,6","18,2",,"12,6"
01/11/2014 6.00,"10,7","17,5","18,2",,"12,6"
01/11/2014 7.00,"12,0","17,7","18,2",,"12,6"
01/11/2014 8.00,"12,3","19,6","18,2",,"12,6"
01/11/2014 9.00,"12,3","20,6","18,2",,"12,6"
01/11/2014 10.00,"14,5","26,6","18,2",,"12,6"
01/11/2014 11.00,"6,9","12,4","18,2",,"12,6"
01/11/2014 12.00,"5,0","9,4","18,2",,"12,6"
01/11/2014 13.00,"5,0","9,5","18,2",,"12,6"
01/11/2014 14.00,"4,8","9,3","18,2",,"12,6"
01/11/2014 15.00,"3,8","7,7","18,2",,"12,6"
01/11/2014 16.00,"4,5","9,4","18,2",,"12,6"
01/11/2014 17.00,"4,2","8,2","18,2",,"12,6"
01/11/2014 18.00,"5,1","9,1","18,2",,"12,6"
01/11/2014 19.00,"5,6","9,6","18,2",,"12,6"
01/11/2014 20.00,"15,2","20,2","18,2",,"12,6"
01/11/2014 21.00,"16,9","23,0","18,2",,"12,6"
01/11/2014 22.00,"19,1","26,3","18,2",,"12,6"
01/11/2014 23.00,"20,1","27,2","18,2",,"12,6"
02/11/2014 0.00,"20,9","28,3","18,2",,"12,6"
02/11/2014 1.00,"19,2","26,5","40,2",,"31,2"
02/11/2014 2.00,,,"40,2",,"31,2"
02/11/2014 3.00,"11,0","17,6","40,2",,"31,2"
02/11/2014 4.00,"15,0","21,6","40,2",,"31,2"
02/11/2014 5.00,"18,4","25,5","40,2",,"31,2"
02/11/2014 6.00,"19,3","26,3","40,2",,"31,2"
02/11/2014 7.00,"15,8","24,3","40,2",,"31,2"
02/11/2014 8.00,"12,5","20,2","40,2",,"31,2"
02/11/2014 9.00,"11,0","18,2","40,2",,"31,2"
02/11/2014 10.00,"8,8","14,5","40,2",,"31,2"
02/11/2014 11.00,"6,3","10,6","40,2",,"31,2"
02/11/2014 12.00,"7,1","11,4","40,2",,"31,2"
02/11/2014 13.00,"6,0","10,1","40,2",,"31,2"
02/11/2014 14.00,"5,8","9,5","40,2",,"31,2"
02/11/2014 15.00,"6,2","10,3","40,2",,"31,2"
02/11/2014 16.00,"6,9","11,3","40,2",,"31,2"
02/11/2014 17.00,"7,9","12,8","40,2",,"31,2"
02/11/2014 18.00,"35,9","48,1","40,2",,"31,2"
02/11/2014 19.00,"56,2","75,8","40,2",,"31,2"
02/11/2014 20.00,"41,7","61,6","40,2",,"31,2"
02/11/2014 21.00,"32,5","49,9","40,2",,"31,2"
02/11/2014 22.00,"26,3","41,1","40,2",,"31,2"
02/11/2014 23.00,"21,9","34,9","40,2",,"31,2"
03/11/2014 0.00,"19,8","32,9","40,2",,"31,2"
03/11/2014 1.00,"15,2","23,9","26,1",,"19,2"
03/11/2014 2.00,"12,0","19,2","26,1",,"19,2"
03/11/2014 3.00,"11,8","19,0","26,1",,"19,2"
03/11/2014 4.00,"17,3","26,4","26,1",,"19,2"
03/11/2014 5.00,"30,4","44,7","26,1",,"19,2"
03/11/2014 6.00,"26,7","39,7","26,1",,"19,2"
03/11/2014 7.00,"47,4","78,8","26,1",,"19,2"
03/11/2014 8.00,"60,4","137,9","26,1",,"19,2"
03/11/2014 9.00,"56,9","118,5","26,1",,"19,2"
03/11/2014 10.00,"32,4","50,3","26,1",,"19,2"
03/11/2014 11.00,"15,5","24,2","26,1",,"19,2"
03/11/2014 12.00,"9,4","14,8","26,1",,"19,2"
03/11/2014 13.00,"12,1","18,0","26,1",,"19,2"
03/11/2014 14.00,"16,7","24,0","26,1",,"19,2"
03/11/2014 15.00,"10,2","15,6","26,1",,"19,2"
03/11/2014 16.00,"17,6","23,7","26,1",,"19,2"
03/11/2014 17.00,"37,8","47,5","26,1",,"19,2"
03/11/2014 18.00,"63,8","80,7","26,1",,"19,2"
03/11/2014 19.00,"47,1","66,5","26,1",,"19,2"
03/11/2014 20.00,"30,5","45,7","26,1",,"19,2"
03/11/2014 21.00,"23,6","33,8","26,1",,"19,2"
03/11/2014 22.00,"41,7","53,3","26,1",,"19,2"
03/11/2014 23.00,"33,1","42,8","26,1",,"19,2"
04/11/2014 0.00,"22,7","31,4","26,1",,"19,2"
04/11/2014 1.00,"19,4","28,8","19,3",,
04/11/2014 2.00,,,"19,3",,
04/11/2014 3.00,"14,4","26,2","19,3",,
04/11/2014 4.00,"17,0","29,6","19,3",,
04/11/2014 5.00,"26,7","42,6","19,3",,
04/11/2014 6.00,"34,0","56,0","19,3",,
04/11/2014 7.00,"27,5","49,6","19,3",,
04/11/2014 8.00,"43,6","87,3","19,3",,
04/11/2014 9.00,"52,6","102,6","19,3",,
04/11/2014 10.00,"32,5","54,3","19,3",,
04/11/2014 11.00,"17,9","29,2","19,3",,
04/11/2014 12.00,"16,0","25,2","19,3",,
04/11/2014 13.00,"17,7","25,7","19,3",,
04/11/2014 14.00,"23,5","32,7","19,3",,
04/11/2014 15.00,"15,3","21,2","19,3",,
04/11/2014 16.00,"19,0","25,1","19,3",,
04/11/2014 17.00,"18,4","24,0","19,3",,
04/11/2014 18.00,"22,4","29,6","19,3",,
04/11/2014 19.00,"17,8","25,6","19,3",,
04/11/2014 20.00,"17,7","25,3","19,3",,
04/11/2014 21.00,"18,8","27,4","19,3",,
04/11/2014 22.00,"14,1","22,5","19,3",,
04/11/2014 23.00,"11,5","20,5","19,3",,
05/11/2014 0.00,"10,5","20,0","19,3",,
05/11/2014 1.00,"9,5","18,1","17,6",,
05/11/2014 2.00,"8,6","17,0","17,6",,
05/11/2014 3.00,"7,9","15,8","17,6",,
05/11/2014 4.00,"9,2","17,1","17,6",,
05/11/2014 5.00,"7,0","13,8","17,6",,
05/11/2014 6.00,"9,5","17,6","17,6",,
05/11/2014 7.00,"10,4","17,2","17,6",,
05/11/2014 8.00,"13,1","21,4","17,6",,
05/11/2014 9.00,"14,1","22,5","17,6",,
05/11/2014 10.00,"12,4","20,2","17,6",,
05/11/2014 11.00,"11,1","17,8","17,6",,
05/11/2014 12.00,"11,0","18,2","17,6",,
05/11/2014 13.00,"9,6","15,8","17,6",,
