TARANTO -  v.Alto Adige,,,,,
,,,,,,
,SO2,NO2,PM10,PM2.5,BENZENE
08/01/2011 18.00,"0,517806","31,350088","22,700001","17,700001","0,966744"
08/01/2011 19.00,"0,53319","42,581884","22,700001","17,700001","1,592464"
08/01/2011 20.00,"0,616182","54,257531","22,700001","17,700001","1,496271"
08/01/2011 21.00,"0,665847","67,896858","22,700001","17,700001","2,131509"
08/01/2011 22.00,"0,559548","71,990353","22,700001","17,700001","1,94318"
08/01/2011 23.00,"0,775538","61,133653","22,700001","17,700001","2,429482"
09/01/2011 0.00,"0,581807","38,795968","22,700001","17,700001","1,282181"
09/01/2011 1.00,"0,649353","34,655765","32,400002",24,"1,137347"
09/01/2011 2.00,"0,649076","36,239169","32,400002",24,"1,136883"
09/01/2011 3.00,"0,585907","37,113946","32,400002",24,"1,11832"
09/01/2011 4.00,"0,737001","54,057669","32,400002",24,"1,355568"
09/01/2011 5.00,"0,801804","44,339185","32,400002",24,"1,993589"
09/01/2011 6.00,"0,675805","36,322244","32,400002",24,"2,223355"
09/01/2011 7.00,"0,884704","49,91096","32,400002",24,"2,199945"
09/01/2011 8.00,"0,835778","51,085541","32,400002",24,"2,176167"
09/01/2011 9.00,"0,789411","34,419555","32,400002",24,"1,600079"
09/01/2011 10.00,"1,019026","41,058172","32,400002",24,"1,7956"
09/01/2011 11.00,"1,011719","40,590937","32,400002",24,"4,433766"
09/01/2011 12.00,"0,928912","39,091892","32,400002",24,"1,973795"
09/01/2011 13.00,"0,799461","53,2387","32,400002",24,"1,877804"
09/01/2011 14.00,"0,924997","48,238","32,400002",24,"2,121599"
09/01/2011 15.00,"0,756578","44,449506","32,400002",24,"2,10017"
09/01/2011 16.00,"0,859578","29,828978","32,400002",24,"1,669471"
09/01/2011 17.00,"0,748099","18,826926","32,400002",24,"1,290824"
09/01/2011 18.00,"0,847122","28,13007","32,400002",24,"1,190903"
09/01/2011 19.00,"0,810652","51,276319","32,400002",24,"2,177996"
09/01/2011 20.00,"0,861643","32,202784","32,400002",24,"1,607638"
09/01/2011 21.00,"0,872001","44,0303","32,400002",24,"1,380803"
09/01/2011 22.00,"0,84928","42,297627","32,400002",24,"1,438735"
09/01/2011 23.00,"0,934492","59,169974","32,400002",24,"1,524997"
10/01/2011 0.00,"0,837504","57,333478","32,400002",24,"1,521374"
10/01/2011 1.00,,"47,359339","35,900002","22,9","1,471888"
10/01/2011 2.00,"0,593751",,"35,900002","22,9","1,702211"
10/01/2011 3.00,"0,52296","66,782431","35,900002","22,9","1,73188"
10/01/2011 4.00,"0,561503","40,597418","35,900002","22,9",
10/01/2011 5.00,"0,632258","32,427328","35,900002","22,9","1,800314"
10/01/2011 6.00,"0,577935","24,651779","35,900002","22,9","1,716622"
10/01/2011 7.00,"0,499905","28,453236","35,900002","22,9","1,182493"
